timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,112.2600,114.3850,111.9350,114.1700,114.1700,1425686,0.0000,1.0000
2019-11-12,113.0300,114.0100,112.7400,113.2600,113.2600,2277100,0.0000,1.0000
2019-11-11,112.5500,112.7400,111.4200,112.5500,112.5500,1263500,0.0000,1.0000
2019-11-08,111.9800,113.0400,111.1700,113.0200,113.0200,1123900,0.0000,1.0000
2019-11-07,113.7700,113.8200,111.5300,112.2900,112.2900,1139200,0.0000,1.0000
2019-11-06,113.0000,113.2200,110.6500,112.0300,112.0300,1676800,0.0000,1.0000
2019-11-05,111.4700,114.4300,111.3400,113.4500,113.4500,3043500,0.0000,1.0000
2019-11-04,111.0700,112.2600,110.3500,111.3900,111.3900,1681300,0.0000,1.0000
2019-11-01,107.6200,109.9200,107.5600,109.3700,109.3700,1991800,0.0000,1.0000
2019-10-31,107.7000,107.7000,104.9500,106.6300,106.6300,3847400,0.0000,1.0000
2019-10-30,110.5100,110.9900,107.7700,108.2500,108.2500,2543700,0.0000,1.0000
2019-10-29,109.2400,110.1200,107.8400,108.0500,108.0500,2765800,0.0000,1.0000
2019-10-28,107.7000,109.0800,107.4200,108.8300,108.8300,2084800,0.0000,1.0000
2019-10-25,105.5500,107.0300,105.1200,106.8300,106.8300,1867700,0.0000,1.0000
2019-10-24,106.3700,106.6800,104.9200,105.3200,105.3200,3038400,0.0000,1.0000
2019-10-23,107.5000,107.7500,104.5800,105.5700,105.5700,4584000,0.0000,1.0000
2019-10-22,111.2500,112.2400,110.7300,110.8800,110.8800,1641100,0.0000,1.0000
2019-10-21,110.1900,111.4800,109.9900,111.1100,111.1100,1327300,0.0000,1.0000
2019-10-18,110.1700,110.4300,108.4200,109.4800,109.4800,1444800,0.0000,1.0000
2019-10-17,111.7700,112.2600,109.6300,110.0000,110.0000,1494100,0.0000,1.0000
2019-10-16,112.7100,113.2500,110.3900,110.5900,110.5900,1928100,0.0000,1.0000
2019-10-15,110.7500,113.4100,110.5000,113.2900,113.2900,2615400,0.0000,1.0000
2019-10-14,110.5700,111.0000,109.9900,110.3400,110.3400,1755600,0.0000,1.0000
2019-10-11,109.7300,112.7200,109.7300,111.2200,111.2200,2613900,0.0000,1.0000
2019-10-10,107.8000,109.7700,107.5200,108.4400,108.4400,1883200,0.0000,1.0000
2019-10-09,107.7700,108.8700,106.7800,108.0700,108.0700,1869200,0.0000,1.0000
2019-10-08,109.9900,110.3600,106.0900,106.1300,106.1300,3196500,0.0000,1.0000
2019-10-07,112.9200,113.2900,110.7800,110.8400,110.8400,1658300,0.0000,1.0000
2019-10-04,111.8500,113.2200,111.1900,113.0300,113.0300,1437500,0.0000,1.0000
2019-10-03,108.8700,111.3000,108.0000,110.8700,110.8700,1816100,0.0000,1.0000
2019-10-02,109.1300,109.8100,108.1100,108.9700,108.9700,1545800,0.0000,1.0000
2019-10-01,114.8100,116.1900,109.5600,109.7800,109.7800,2901800,0.0000,1.0000
2019-09-30,112.1500,112.2400,110.5400,111.7300,111.7300,2276600,0.0000,1.0000
2019-09-27,112.9600,113.8600,110.3700,111.0400,111.0400,1517800,0.0000,1.0000
2019-09-26,112.8500,113.4400,111.6700,113.1400,113.1400,1020500,0.0000,1.0000
2019-09-25,111.1400,113.0600,109.7600,112.6800,112.6800,2349700,0.0000,1.0000
2019-09-24,115.0400,115.0600,110.6100,110.9600,110.9600,2916400,0.0000,1.0000
2019-09-23,114.9500,115.1400,113.4000,114.2900,114.2900,1593900,0.0000,1.0000
2019-09-20,115.7600,116.6200,114.6200,115.3300,115.3300,3204100,0.0000,1.0000
2019-09-19,116.1000,116.8400,115.0700,115.8800,115.8800,1636000,0.0000,1.0000
2019-09-18,115.2100,116.6200,114.8200,116.5600,116.5600,1350500,0.0000,1.0000
