timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,107.5000,107.8600,106.1201,107.1800,107.1800,542179,0.0000,1.0000
2019-11-12,108.2100,109.5300,107.5000,108.7600,108.1300,964700,0.6300,1.0000
2019-11-11,108.5400,110.8000,107.6700,108.0400,107.4142,1063300,0.0000,1.0000
2019-11-08,105.2400,108.7300,104.8900,107.9000,107.2750,1164100,0.0000,1.0000
2019-11-07,104.9900,106.7500,104.9900,105.4000,104.7895,1246300,0.0000,1.0000
2019-11-06,103.5900,104.9200,102.6900,103.6500,103.0496,699100,0.0000,1.0000
2019-11-05,102.9900,105.1400,102.9000,103.8800,103.2783,992600,0.0000,1.0000
2019-11-04,102.0300,103.8900,102.0100,102.3300,101.7373,730500,0.0000,1.0000
2019-11-01,100.8200,102.1700,100.0600,101.0600,100.4746,1074100,0.0000,1.0000
2019-10-31,102.4200,102.9400,99.2000,100.0000,99.4207,1290800,0.0000,1.0000
2019-10-30,104.3600,104.7700,101.8900,102.7900,102.1946,1063700,0.0000,1.0000
2019-10-29,103.4000,105.6700,103.0000,103.9800,103.3777,2855000,0.0000,1.0000
2019-10-28,105.4000,109.6900,105.3900,106.7900,106.1714,1035300,0.0000,1.0000
2019-10-25,106.3500,107.2900,104.1300,104.8000,104.1929,1618700,0.0000,1.0000
2019-10-24,116.0000,117.2000,101.5100,107.0200,106.4001,4068700,0.0000,1.0000
2019-10-23,124.3000,124.7500,123.2300,123.7600,123.0431,572900,0.0000,1.0000
2019-10-22,124.5500,125.7800,123.0100,124.4000,123.6794,474400,0.0000,1.0000
2019-10-21,124.4900,125.7400,124.1100,124.7700,124.0473,476200,0.0000,1.0000
2019-10-18,123.0500,124.6200,122.4600,123.5400,122.8244,650300,0.0000,1.0000
2019-10-17,123.4500,124.8900,122.7900,123.3600,122.6454,563200,0.0000,1.0000
2019-10-16,123.8900,124.8500,122.8000,123.2100,122.4963,663600,0.0000,1.0000
2019-10-15,122.8500,124.2200,121.2300,123.7000,122.9835,598200,0.0000,1.0000
2019-10-14,122.5500,123.7200,120.9400,122.5400,121.8302,492900,0.0000,1.0000
2019-10-11,120.3300,123.0400,119.7200,122.5500,121.8401,700500,0.0000,1.0000
2019-10-10,119.0900,121.2100,117.0800,118.2100,117.5253,483300,0.0000,1.0000
