timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,18.1000,18.2100,17.9800,18.1500,18.1500,5497318,0.0000,1.0000
2019-11-12,17.8600,18.1400,17.8200,18.0600,18.0600,8803300,0.0000,1.0000
2019-11-11,17.6500,18.0300,17.5600,17.9300,17.9300,6040100,0.0000,1.0000
2019-11-08,17.4900,17.6500,17.3800,17.6400,17.6400,4905500,0.0000,1.0000
2019-11-07,17.7300,17.8000,17.3400,17.5700,17.5700,6037900,0.0000,1.0000
2019-11-06,17.6200,17.8400,17.4500,17.6800,17.6800,5706200,0.0000,1.0000
2019-11-05,17.3700,17.5000,17.1200,17.1900,17.1900,5836900,0.0000,1.0000
2019-11-04,17.5100,17.6200,17.3300,17.4200,17.4200,6026000,0.0000,1.0000
2019-11-01,17.0900,17.5400,17.0900,17.5100,17.5100,5284800,0.0000,1.0000
2019-10-31,17.0900,17.1100,16.9700,17.0500,17.0500,5335300,0.1370,1.0000
2019-10-30,17.0800,17.2300,16.9600,17.2100,17.0730,6598000,0.0000,1.0000
2019-10-29,16.9300,17.1600,16.8900,17.0900,16.9540,5620100,0.0000,1.0000
2019-10-28,16.8000,17.1900,16.7500,16.9800,16.8448,5094100,0.0000,1.0000
2019-10-25,16.8200,16.9200,16.6600,16.8000,16.6663,3455300,0.0000,1.0000
2019-10-24,17.2000,17.2100,16.8500,16.8800,16.7456,5099800,0.0000,1.0000
2019-10-23,16.8600,17.1500,16.8400,17.1300,16.9936,6329900,0.0000,1.0000
2019-10-22,16.4800,16.9200,16.3400,16.9000,16.7655,5380000,0.0000,1.0000
2019-10-21,16.4000,16.5000,16.3300,16.4400,16.3091,4114300,0.0000,1.0000
2019-10-18,16.1900,16.4800,16.1200,16.3800,16.2496,4070200,0.0000,1.0000
2019-10-17,16.1000,16.3000,16.0700,16.2400,16.1107,3028400,0.0000,1.0000
2019-10-16,15.9700,16.1400,15.9500,16.1300,16.0016,4117100,0.0000,1.0000
2019-10-15,15.9300,16.1900,15.8400,16.0200,15.8925,4768100,0.0000,1.0000
2019-10-14,16.0300,16.0400,15.8700,15.9900,15.8627,2969700,0.0000,1.0000
2019-10-11,15.8700,16.1500,15.8600,16.0100,15.8826,3461400,0.0000,1.0000
2019-10-10,15.5200,15.8500,15.4900,15.8200,15.6941,3050400,0.0000,1.0000
2019-10-09,15.5600,15.6700,15.4300,15.5400,15.4163,4693900,0.0000,1.0000
2019-10-08,15.8000,15.8700,15.4900,15.5100,15.3865,4203400,0.0000,1.0000
2019-10-07,16.0000,16.0600,15.8400,15.8500,15.7238,3266400,0.0000,1.0000
2019-10-04,15.8600,16.0300,15.6700,16.0300,15.9024,3923500,0.0000,1.0000
2019-10-03,15.7300,15.8800,15.6200,15.8000,15.6742,4055000,0.0000,1.0000
2019-10-02,16.2500,16.2500,15.7000,15.7000,15.5750,4670900,0.0000,1.0000
2019-10-01,16.2200,16.4200,16.1400,16.2400,16.1107,3743000,0.0000,1.0000
2019-09-30,16.3700,16.4500,16.2200,16.3400,16.2099,3559100,0.0000,1.0000
2019-09-27,16.2600,16.5300,16.1700,16.3100,16.1802,4431100,0.0000,1.0000
2019-09-26,16.1900,16.3000,16.0500,16.2200,16.0909,3612100,0.0000,1.0000
2019-09-25,16.1400,16.2700,16.0800,16.1200,15.9917,4336400,0.0000,1.0000
2019-09-24,16.3000,16.3500,16.0500,16.1700,16.0413,4858000,0.0000,1.0000
2019-09-23,16.0800,16.2900,15.9500,16.2500,16.1206,3675800,0.0000,1.0000
2019-09-20,15.9700,16.1900,15.9100,16.0900,15.9619,7443100,0.0000,1.0000
2019-09-19,16.0700,16.1100,15.9100,15.9500,15.8230,4635400,0.0000,1.0000
2019-09-18,15.9400,16.0600,15.8000,16.0500,15.9222,3859500,0.0000,1.0000
2019-09-17,16.0000,16.0400,15.8400,15.8900,15.7635,4324900,0.0000,1.0000
2019-09-16,15.8400,16.0100,15.6200,16.0000,15.8726,4362400,0.0000,1.0000
2019-09-13,15.6700,15.9600,15.6400,15.7900,15.6643,5643200,0.0000,1.0000
2019-09-12,15.6000,15.7700,15.4300,15.6700,15.5453,6214100,0.0000,1.0000
2019-09-11,15.2000,15.6200,15.1200,15.5500,15.4262,5890600,0.0000,1.0000
2019-09-10,15.0100,15.1900,14.9900,15.1800,15.0592,3254000,0.0000,1.0000
2019-09-09,15.2800,15.3800,14.8500,15.0300,14.9104,4366500,0.0000,1.0000
2019-09-06,15.5300,15.5700,15.2800,15.3100,15.1881,3491100,0.0000,1.0000
2019-09-05,15.2100,15.5300,15.2100,15.4400,15.3171,5652100,0.0000,1.0000
2019-09-04,15.4200,15.4800,15.2200,15.2900,15.1683,3373200,0.0000,1.0000
2019-09-03,15.2200,15.4500,15.1700,15.3400,15.2179,5740400,0.0000,1.0000
