timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,181.7900,182.6600,181.1400,181.6000,181.6000,2795565,0.0000,1.0000
2019-11-12,181.0100,183.7900,180.7000,181.9600,181.9600,2414500,0.7400,1.0000
2019-11-11,180.4600,181.6200,180.0300,181.5800,180.8400,1755800,0.0000,1.0000
2019-11-08,178.7500,181.4500,178.5300,181.2800,180.5412,2345900,0.0000,1.0000
2019-11-07,178.7800,179.3500,177.9500,178.6800,177.9518,2292200,0.0000,1.0000
2019-11-06,178.6100,178.9700,177.0100,178.5500,177.8224,3570800,0.0000,1.0000
2019-11-05,179.5000,179.8800,177.6300,178.4100,177.6829,2954100,0.0000,1.0000
2019-11-04,178.8000,179.7400,178.8000,178.8000,178.0713,3493200,0.0000,1.0000
2019-11-01,177.0000,179.5200,175.9100,178.2900,177.5634,3168700,0.0000,1.0000
2019-10-31,175.6600,176.3300,175.4600,176.1100,175.3923,1170900,0.0000,1.0000
2019-10-30,174.9100,176.0000,174.4300,175.7900,175.0736,1206400,0.0000,1.0000
2019-10-29,174.3900,174.9100,173.5200,174.6400,173.9283,1104300,0.0000,1.0000
2019-10-28,173.9800,174.8500,173.8300,174.2200,173.5100,2812200,0.0000,1.0000
2019-10-25,173.9000,174.2300,173.0500,173.8400,173.1315,1698300,0.0000,1.0000
2019-10-24,175.0800,175.3900,172.9700,173.9300,173.2212,3257000,0.0000,1.0000
2019-10-23,174.9100,175.3700,174.5900,175.0000,174.2868,1935900,0.0000,1.0000
2019-10-22,175.0700,175.9500,174.7600,174.9200,174.2071,1688900,0.0000,1.0000
2019-10-21,174.2600,175.4300,173.5600,174.7000,173.9880,1968900,0.0000,1.0000
2019-10-18,172.6500,174.6200,172.6500,173.6000,172.8925,3446600,0.0000,1.0000
2019-10-17,171.2400,173.5400,171.0900,172.5000,171.7970,2911700,0.0000,1.0000
2019-10-16,170.3000,171.2300,170.0600,170.9200,170.2234,1811500,0.0000,1.0000
2019-10-15,168.9500,170.6500,168.9100,170.1600,169.4665,1380300,0.0000,1.0000
2019-10-14,169.1700,169.4900,168.5900,168.9400,168.2515,1380000,0.0000,1.0000
2019-10-11,168.5800,169.6800,167.9500,169.0900,168.4009,1916500,0.0000,1.0000
2019-10-10,166.6000,168.0500,166.4300,167.8300,167.1460,1263700,0.0000,1.0000
2019-10-09,167.3900,168.1700,166.7400,166.7400,166.0605,1308400,0.0000,1.0000
2019-10-08,167.4800,168.4400,167.0200,167.1000,166.4190,1343300,0.0000,1.0000
2019-10-07,168.1800,168.9600,167.8300,167.9800,167.2954,1852100,0.0000,1.0000
2019-10-04,167.3000,168.6000,167.1000,168.4400,167.7536,1233800,0.0000,1.0000
2019-10-03,165.3000,167.5900,165.3000,167.2200,166.5385,1293900,0.0000,1.0000
2019-10-02,166.0800,166.2400,164.9200,165.4000,164.7259,1720100,0.0000,1.0000
2019-10-01,168.2100,168.7500,166.4100,166.4600,165.7816,2823000,0.0000,1.0000
2019-09-30,168.0300,169.3000,167.5000,168.2900,167.6042,1724100,0.0000,1.0000
2019-09-27,167.1800,168.4400,167.0000,168.2500,167.5643,2442800,0.0000,1.0000
2019-09-26,166.6500,168.0300,166.4600,166.8900,166.2099,1894900,0.0000,1.0000
2019-09-25,166.6600,167.4000,165.9500,165.9500,165.2737,1680600,0.0000,1.0000
2019-09-24,167.3500,167.9000,166.6100,166.6900,166.0107,2179400,0.0000,1.0000
2019-09-23,166.2100,167.8300,165.8600,166.8600,166.1800,2130400,0.0000,1.0000
2019-09-20,166.2800,167.2900,165.4200,166.4700,165.7916,7694100,0.0000,1.0000
2019-09-19,166.0500,166.1600,165.6100,165.7300,165.0546,3048100,0.0000,1.0000
2019-09-18,166.3100,166.3700,165.4300,166.0000,165.3235,1641900,0.0000,1.0000
2019-09-17,165.6500,166.6200,165.4100,166.1000,165.4231,3077000,0.0000,1.0000
2019-09-16,165.2900,166.3100,165.2900,165.5600,164.8853,2226700,0.0000,1.0000
2019-09-13,166.3800,167.0500,165.6800,166.1400,165.4629,4119800,0.0000,1.0000
2019-09-12,166.5000,167.1900,166.0600,166.3500,165.6721,4011000,0.0000,1.0000
2019-09-11,163.7900,165.8800,163.4500,165.8400,165.1641,2758600,0.0000,1.0000
2019-09-10,161.9700,164.0700,161.6100,164.0000,163.3316,4659300,0.0000,1.0000
2019-09-09,163.2700,163.3400,161.8600,162.3700,161.7083,2206600,0.0000,1.0000
2019-09-06,162.4500,163.4000,161.9000,163.2600,162.5947,2499700,0.0000,1.0000
2019-09-05,161.7200,162.8000,161.5700,162.4100,161.7481,1713900,0.0000,1.0000
2019-09-04,160.0000,161.8600,159.4600,161.6900,161.0311,7561000,0.0000,1.0000
2019-09-03,159.3000,160.1900,158.6700,159.8000,159.1488,4043200,0.0000,1.0000
2019-08-30,159.6700,160.1400,159.1700,159.7200,159.0691,1948200,0.0000,1.0000
2019-08-29,160.6800,161.0800,159.3500,159.6600,159.0093,2269000,0.0000,1.0000
2019-08-28,160.6000,161.6100,159.9200,159.9800,159.3280,2429500,0.0000,1.0000
2019-08-27,160.5700,162.1900,160.4000,160.7700,160.1148,4131400,0.0000,1.0000
2019-08-26,159.5200,160.4900,159.3600,160.2200,159.5670,2021400,0.0000,1.0000
2019-08-23,160.6000,161.1500,158.3100,158.9600,158.3122,3128600,0.0000,1.0000
2019-08-22,161.2200,161.5000,160.2000,160.9300,160.2741,1488500,0.0000,1.0000
2019-08-21,160.0000,161.6400,159.3000,161.2500,160.5928,3123100,0.0000,1.0000
2019-08-20,160.0000,161.1900,159.0400,159.1100,158.4616,2807000,0.0000,1.0000
2019-08-19,158.8100,159.8500,158.4500,159.2500,158.6010,1903100,0.0000,1.0000
2019-08-16,157.0383,158.6400,156.0600,158.2500,157.6051,3003600,0.0000,1.0000
2019-08-15,158.0600,158.4900,156.0620,156.3400,155.7029,3458500,0.0000,1.0000
2019-08-14,158.9700,159.2300,157.2800,157.4000,156.7585,5181700,0.0000,1.0000
2019-08-13,158.6500,160.4600,158.5600,159.9400,159.2882,4883400,0.0000,1.0000
2019-08-12,159.0000,159.2000,158.1400,158.6500,158.0034,3060400,0.7400,1.0000
2019-08-09,159.8500,161.2800,158.4500,159.8400,158.4516,2930600,0.0000,1.0000
