timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,130.2200,131.4300,129.6100,131.3000,131.3000,406928,0.0000,1.0000
2019-11-12,128.9300,131.0600,128.6500,130.6100,130.6100,474100,0.0000,1.0000
2019-11-11,128.9800,129.8500,128.1800,129.0800,129.0800,411500,0.0000,1.0000
2019-11-08,127.3200,131.0400,127.3200,130.0700,130.0700,659700,0.0000,1.0000
2019-11-07,127.5700,128.3600,127.0500,127.4800,127.4800,413900,0.0000,1.0000
2019-11-06,125.4100,127.9400,124.5000,127.5500,127.5500,630200,0.0000,1.0000
2019-11-05,126.8700,127.8800,124.6400,126.1800,126.1800,680800,0.0000,1.0000
2019-11-04,128.0600,128.8800,126.1000,126.6300,126.6300,364200,0.0000,1.0000
2019-11-01,127.0200,127.8900,125.4100,127.7000,127.7000,279400,0.0000,1.0000
2019-10-31,125.3100,126.1600,124.3100,126.0700,126.0700,397100,0.0000,1.0000
2019-10-30,126.1300,126.4700,125.2400,125.8700,125.8700,246500,0.0000,1.0000
2019-10-29,124.9300,126.6900,124.9300,126.3800,126.3800,264300,0.0000,1.0000
2019-10-28,126.1000,126.4500,124.5500,125.3100,125.3100,470500,0.0000,1.0000
2019-10-25,125.9600,126.0400,124.9100,125.5700,125.5700,260000,0.0000,1.0000
2019-10-24,127.0000,127.9300,125.4300,126.3600,126.3600,435200,0.0000,1.0000
2019-10-23,125.8600,127.2000,125.7000,126.5300,126.5300,338500,0.0000,1.0000
2019-10-22,127.4300,127.4300,125.8900,126.2400,126.2400,330500,0.0000,1.0000
2019-10-21,126.6700,127.5900,126.3600,127.5600,127.5600,345500,0.0000,1.0000
2019-10-18,125.4800,126.4100,125.2900,125.6700,125.6700,291000,0.0000,1.0000
2019-10-17,126.1000,126.4000,125.0300,125.9400,125.9400,255500,0.0000,1.0000
2019-10-16,125.3800,125.7700,124.4600,125.4500,125.4500,301900,0.0000,1.0000
2019-10-15,126.0500,126.4700,125.1200,125.4600,125.4600,351700,0.0000,1.0000
2019-10-14,125.2500,125.8700,125.1300,125.7100,125.7100,265100,0.0000,1.0000
2019-10-11,126.3200,126.8300,125.6500,125.7800,125.7800,328300,0.0000,1.0000
2019-10-10,125.1200,126.6700,125.1200,125.5400,125.5400,292300,0.0000,1.0000
2019-10-09,124.3900,125.5300,124.1900,124.8000,124.8000,415400,0.0000,1.0000
2019-10-08,124.4700,124.6700,123.2400,123.3200,123.3200,358900,0.0000,1.0000
2019-10-07,126.1900,126.3200,125.0900,125.3600,125.3600,282100,0.0000,1.0000
2019-10-04,123.7000,126.7900,123.7000,126.7900,126.7900,370300,0.0000,1.0000
2019-10-03,122.0300,123.7300,121.7600,123.7000,123.7000,412600,0.0000,1.0000
2019-10-02,122.9700,123.4600,121.2500,122.0300,122.0300,333000,0.0000,1.0000
2019-10-01,126.4200,126.4200,123.7400,123.8100,123.8100,393700,0.0000,1.0000
2019-09-30,125.9900,126.5000,125.1400,125.8200,125.8200,377100,0.0000,1.0000
2019-09-27,127.2500,127.2500,125.3600,125.4700,125.4700,312400,0.0000,1.0000
2019-09-26,126.8200,127.3000,125.8500,126.8000,126.8000,316600,0.0000,1.0000
2019-09-25,126.4500,127.4900,126.0300,126.7000,126.7000,451600,0.0000,1.0000
2019-09-24,126.0800,127.3000,126.0800,126.6100,126.6100,491700,0.0000,1.0000
2019-09-23,126.3700,127.2600,125.8100,125.8400,125.8400,361200,0.0000,1.0000
2019-09-20,126.4200,127.1800,125.7800,126.6400,126.6400,641400,0.0000,1.0000
2019-09-19,127.3100,127.6400,126.1300,126.2300,126.2300,580600,0.0000,1.0000
