timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,91.1600,92.2700,91.0400,92.1200,92.1200,561865,0.0000,1.0000
2019-11-12,91.6400,91.8300,91.1500,91.4900,91.4900,735400,0.0000,1.0000
2019-11-11,90.6400,91.7000,90.4700,91.4900,91.4900,453000,0.0000,1.0000
2019-11-08,90.8400,91.4400,90.5700,91.1500,91.1500,569200,0.0000,1.0000
2019-11-07,91.8500,91.8900,90.9800,91.0500,91.0500,777900,0.0000,1.0000
2019-11-06,89.9800,91.7300,89.7900,91.6400,91.6400,730600,0.0000,1.0000
2019-11-05,90.5100,90.8300,89.4200,89.9800,89.9800,812300,0.0000,1.0000
2019-11-04,92.0100,92.0900,90.2000,90.6200,90.6200,881600,0.0000,1.0000
2019-11-01,91.7600,91.7600,90.9500,91.5200,91.5200,813200,0.0000,1.0000
2019-10-31,91.1500,91.8100,90.5200,91.2200,91.2200,796300,0.0000,1.0000
2019-10-30,89.8700,91.3100,89.1200,91.2700,91.2700,772300,0.0000,1.0000
2019-10-29,89.7000,90.0600,89.1200,89.9400,89.9400,968900,0.0000,1.0000
2019-10-28,89.6300,90.0000,88.9200,89.7000,89.7000,1078700,0.0000,1.0000
2019-10-25,91.3400,92.0000,88.7900,89.4500,89.4500,1211500,0.0000,1.0000
2019-10-24,90.4100,91.4100,90.1500,91.2100,91.2100,1255800,0.0000,1.0000
2019-10-23,89.4600,90.2900,89.4600,90.1500,90.1500,801600,0.0000,1.0000
2019-10-22,90.3100,90.8000,89.5800,89.6800,89.6800,563200,0.0000,1.0000
2019-10-21,89.7700,90.3600,89.7500,90.3300,90.3300,818500,0.0000,1.0000
2019-10-18,88.7400,89.7400,88.3700,89.5500,89.5500,1592900,0.0000,1.0000
2019-10-17,89.1200,89.6200,88.6000,89.2300,89.2300,701400,0.0000,1.0000
2019-10-16,88.1900,88.9300,87.6900,88.8100,88.8100,868900,0.0000,1.0000
2019-10-15,88.5200,88.9900,88.3400,88.5200,88.5200,813900,0.0000,1.0000
2019-10-14,87.6300,88.3200,87.4300,88.1900,88.1900,563300,0.0000,1.0000
2019-10-11,88.2300,88.6900,87.9500,87.9800,87.9800,1014700,0.0000,1.0000
2019-10-10,87.2600,88.2000,86.2900,87.4700,87.4700,796900,0.0000,1.0000
2019-10-09,87.6000,87.8300,86.5200,87.3200,87.3200,749800,0.0000,1.0000
2019-10-08,87.9500,88.0500,86.7500,86.7600,86.7600,997200,0.0000,1.0000
2019-10-07,88.5500,89.2300,87.8100,88.5600,88.5600,739100,0.0000,1.0000
2019-10-04,87.2200,89.2000,87.1100,89.0200,89.0200,590300,0.0000,1.0000
2019-10-03,86.2600,87.1700,85.4800,87.1100,87.1100,507400,0.0000,1.0000
2019-10-02,87.4400,87.7100,85.3400,86.3300,86.3300,775400,0.0000,1.0000
2019-10-01,89.9900,90.0100,87.8600,87.9400,87.9400,738500,0.0000,1.0000
2019-09-30,89.0700,89.9400,88.8700,89.5700,89.5700,540100,0.0000,1.0000
2019-09-27,90.4400,90.4400,88.1900,88.8100,88.8100,446700,0.0000,1.0000
2019-09-26,89.0600,90.0700,88.3600,89.8000,89.8000,659000,0.0000,1.0000
2019-09-25,88.7900,89.2600,88.5000,88.9400,88.9400,691900,0.0000,1.0000
2019-09-24,88.6800,89.3700,88.2800,88.8400,88.8400,863000,0.0000,1.0000
2019-09-23,88.1600,88.9500,88.1600,88.3900,88.3900,596500,0.0000,1.0000
2019-09-20,89.5400,89.8600,88.3900,88.8000,88.8000,1495100,0.0000,1.0000
2019-09-19,89.9600,90.4500,89.3900,89.4700,89.4700,740100,0.0000,1.0000
2019-09-18,89.4800,90.2400,88.8900,89.8800,89.8800,755500,0.0000,1.0000
2019-09-17,87.8900,89.8200,87.8900,89.6400,89.6400,1297100,0.0000,1.0000
2019-09-16,86.4500,87.6100,86.2100,87.5600,87.5600,1075900,0.0000,1.0000
2019-09-13,87.8500,88.1200,86.5300,86.9800,86.9800,1111300,0.0000,1.0000
2019-09-12,88.2700,89.1600,87.7400,87.8100,87.8100,996200,0.0000,1.0000
2019-09-11,88.1000,88.3700,87.0500,87.9500,87.9500,914800,0.0000,1.0000
2019-09-10,89.8600,90.0100,86.8900,88.0800,88.0800,970400,0.0000,1.0000
2019-09-09,90.9500,90.9500,89.5500,89.8700,89.8700,666700,0.0000,1.0000
2019-09-06,89.7700,91.0000,89.5100,90.5000,90.5000,741200,0.0000,1.0000
2019-09-05,90.5400,90.9300,89.4100,89.7300,89.7300,574600,0.4300,1.0000
2019-09-04,90.2800,90.5600,89.4400,90.0200,89.5900,594400,0.0000,1.0000
2019-09-03,90.0200,90.3000,89.2100,89.6600,89.2317,860900,0.0000,1.0000
2019-08-30,89.5200,91.1100,89.3500,90.7100,90.2767,1214200,0.0000,1.0000
2019-08-29,88.4900,89.2600,88.0500,88.7800,88.3559,1009900,0.0000,1.0000
2019-08-28,88.0500,88.3800,87.4300,87.9000,87.4801,1039200,0.0000,1.0000
2019-08-27,88.6800,89.3100,88.0100,88.0400,87.6195,1174000,0.0000,1.0000
2019-08-26,88.6600,89.0100,87.7600,88.3900,87.9678,1320500,0.0000,1.0000
2019-08-23,90.5900,91.4500,87.6300,88.0100,87.5896,1101200,0.0000,1.0000
2019-08-22,90.5700,91.1000,89.8900,90.8700,90.4359,576200,0.0000,1.0000
2019-08-21,90.0800,90.6600,89.8000,90.4600,90.0279,624000,0.0000,1.0000
2019-08-20,90.3200,90.3800,89.4600,89.5600,89.1322,633500,0.0000,1.0000
2019-08-19,90.5500,91.1000,90.3800,90.5400,90.1075,579900,0.0000,1.0000
2019-08-16,88.9900,89.8600,87.8500,89.7200,89.2914,1072800,0.0000,1.0000
2019-08-15,88.0300,88.9700,87.8500,88.5000,88.0773,570700,0.0000,1.0000
2019-08-14,89.0100,89.6000,87.2000,87.9200,87.5000,1046800,0.0000,1.0000
2019-08-13,89.0100,90.4600,88.2400,90.0200,89.5900,532500,0.0000,1.0000
2019-08-12,89.9100,90.5600,88.6600,88.7300,88.3062,416100,0.0000,1.0000
2019-08-09,90.1800,90.9000,89.3300,90.4200,89.9881,571600,0.0000,1.0000
2019-08-08,89.0600,90.4100,88.9000,90.2000,89.7691,792300,0.0000,1.0000
2019-08-07,87.6264,88.9900,86.8500,88.3300,87.9081,1015400,0.0000,1.0000
2019-08-06,86.5700,88.6800,86.3500,88.5600,88.1370,1103800,0.0000,1.0000
2019-08-05,89.0200,89.2030,85.9000,86.4500,86.0370,1163000,0.0000,1.0000
2019-08-02,90.0400,90.4600,88.9900,90.0800,89.6497,956000,0.0000,1.0000
2019-08-01,90.4400,91.5100,89.8330,89.9700,89.5402,1160900,0.0000,1.0000
2019-07-31,91.7000,92.4200,90.0600,90.4300,89.9980,956000,0.0000,1.0000
2019-07-30,91.6200,92.1600,91.3100,91.8100,91.3714,1324800,0.0000,1.0000
2019-07-29,92.3000,92.3200,91.4200,92.0000,91.5605,1100200,0.0000,1.0000
2019-07-26,91.6000,92.7400,90.2600,92.3300,91.8890,1395800,0.0000,1.0000
2019-07-25,92.1500,92.5600,91.6200,91.8500,91.4113,1099900,0.0000,1.0000
2019-07-24,91.7558,92.4300,91.2100,92.3700,91.9288,822900,0.0000,1.0000
2019-07-23,91.5100,92.1800,91.0200,91.9500,91.5108,975800,0.0000,1.0000
2019-07-22,91.7400,92.4100,91.0200,91.2500,90.8141,1675600,0.0000,1.0000
2019-07-19,92.2500,92.3400,91.4600,91.8100,91.3714,2409200,0.0000,1.0000
2019-07-18,92.0300,92.6300,91.7600,92.0500,91.6103,1237600,0.0000,1.0000
2019-07-17,92.0100,92.2000,91.6900,91.9500,91.5108,1467100,0.0000,1.0000
2019-07-16,92.2900,92.3700,91.7600,92.1900,91.7496,1352800,0.0000,1.0000
2019-07-15,91.9000,92.2200,91.6400,92.2200,91.7795,1125200,0.0000,1.0000
2019-07-12,91.6700,91.8700,90.8000,91.8300,91.3914,1005800,0.0000,1.0000
