timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,70.2300,70.6300,69.9400,70.5200,70.5200,410424,0.0000,1.0000
2019-11-12,71.9800,71.9800,70.6000,70.8400,70.8400,513100,0.0000,1.0000
2019-11-11,71.0300,71.9100,70.5600,71.9100,71.9100,603300,0.0000,1.0000
2019-11-08,70.7900,71.2600,69.9500,71.1700,71.1700,506100,0.0000,1.0000
2019-11-07,71.5800,72.2200,70.6400,70.9300,70.9300,681200,0.0000,1.0000
2019-11-06,71.0700,71.4700,70.4800,71.3700,71.3700,709600,0.0000,1.0000
2019-11-05,70.8500,71.9200,70.7700,71.3800,71.3800,777600,0.0000,1.0000
2019-11-04,70.8300,71.0000,70.2500,70.6300,70.6300,740700,0.0000,1.0000
2019-11-01,69.8900,70.5700,69.6400,70.1500,70.1500,666600,0.0000,1.0000
2019-10-31,69.9000,70.1500,69.0400,69.4300,69.4300,715500,0.0000,1.0000
2019-10-30,69.6400,70.4700,69.3500,70.3800,70.3800,932700,0.0000,1.0000
2019-10-29,70.0000,70.4200,69.5700,69.7600,69.7600,801800,0.0000,1.0000
2019-10-28,70.4000,71.3300,69.8700,70.0800,70.0800,1438600,0.0000,1.0000
2019-10-25,69.0000,72.0000,68.8000,71.5700,71.5700,1669900,0.0000,1.0000
2019-10-24,69.3000,69.7000,68.2800,68.7600,68.7600,1480900,0.0000,1.0000
2019-10-23,69.0900,69.3800,68.8500,68.9100,68.9100,741200,0.0000,1.0000
2019-10-22,68.9900,69.7700,68.3300,69.1900,69.1900,1129400,0.0000,1.0000
2019-10-21,67.9100,69.2800,67.3500,69.0400,69.0400,1441600,0.0000,1.0000
2019-10-18,66.6100,67.5200,66.0800,66.8400,66.8400,969700,0.0000,1.0000
2019-10-17,67.1400,67.7600,66.5100,66.9800,66.9800,749200,0.0000,1.0000
2019-10-16,67.3400,67.4700,66.5700,66.8300,66.8300,942100,0.0000,1.0000
2019-10-15,66.4200,67.7300,65.9800,67.3300,67.3300,928100,0.0000,1.0000
2019-10-14,65.8700,66.5900,65.3900,66.2100,66.2100,593500,0.0000,1.0000
2019-10-11,66.0000,67.6300,65.0000,66.0800,66.0800,1585100,0.0000,1.0000
2019-10-10,63.0000,64.9600,62.7600,64.8800,64.8800,565600,0.0000,1.0000
2019-10-09,64.0500,64.6800,64.0300,64.1100,64.1100,536900,0.0000,1.0000
2019-10-08,63.2800,64.7600,62.9600,63.1800,63.1800,962300,0.0000,1.0000
2019-10-07,63.6000,64.1900,63.4800,63.9600,63.9600,621300,0.0000,1.0000
2019-10-04,62.3800,63.6300,62.2500,63.5100,63.5100,478200,0.0000,1.0000
2019-10-03,62.6900,62.8700,61.1500,62.3000,62.3000,980000,0.0000,1.0000
2019-10-02,64.1300,64.2000,61.5000,62.7200,62.7200,1334100,0.0000,1.0000
2019-10-01,65.4500,65.9100,64.6400,64.9500,64.9500,612700,0.0000,1.0000
2019-09-30,64.4000,65.2400,64.2400,64.9100,64.9100,808800,0.0000,1.0000
2019-09-27,64.9800,65.5700,63.9300,64.1800,64.1800,814000,0.0000,1.0000
2019-09-26,65.0500,65.0800,64.1800,64.5700,64.5700,541200,0.0000,1.0000
2019-09-25,64.6800,65.4300,64.5900,65.0500,65.0500,522600,0.0000,1.0000
2019-09-24,65.1300,65.2700,64.3800,64.6500,64.6500,596500,0.0000,1.0000
2019-09-23,64.7300,65.2100,64.4200,64.6400,64.6400,632600,0.0000,1.0000
2019-09-20,64.9500,65.4600,64.6100,65.0000,65.0000,1249100,0.0000,1.0000
2019-09-19,64.7100,65.3100,64.4300,64.5800,64.5800,604500,0.0000,1.0000
2019-09-18,64.8200,64.9900,64.0900,64.9300,64.9300,758600,0.0000,1.0000
2019-09-17,64.2500,65.4900,64.1700,64.9200,64.9200,657000,0.0000,1.0000
2019-09-16,64.0000,65.8400,63.6400,64.6600,64.6600,1295200,0.0000,1.0000
2019-09-13,66.2800,66.5200,65.8200,65.8700,65.8700,588400,0.0000,1.0000
2019-09-12,65.7900,66.4700,65.3000,65.6800,65.6800,668200,0.0000,1.0000
2019-09-11,64.9800,65.9000,64.3200,65.8300,65.8300,787500,0.0000,1.0000
2019-09-10,65.0100,65.4800,64.5100,64.9900,64.9900,723000,0.0000,1.0000
2019-09-09,63.0800,65.0500,62.6500,64.7700,64.7700,951200,0.0000,1.0000
2019-09-06,63.7800,64.1800,62.9000,63.0900,63.0900,1034000,0.0000,1.0000
2019-09-05,62.1800,63.9200,62.0600,63.3900,63.3900,1285700,0.0000,1.0000
2019-09-04,60.6300,61.8700,60.0600,61.7700,61.7700,1067000,0.0000,1.0000
2019-09-03,59.4300,60.5100,59.4300,60.4300,60.4300,1110600,0.0000,1.0000
2019-08-30,60.1300,60.3400,59.3700,59.7200,59.7200,842100,0.0000,1.0000
2019-08-29,59.3300,60.1700,59.0600,59.9600,59.9600,788300,0.0000,1.0000
2019-08-28,57.7900,59.0400,57.7100,58.7400,58.7400,728400,0.0000,1.0000
2019-08-27,58.7800,58.8800,57.1200,58.0100,58.0100,1455500,0.0000,1.0000
2019-08-26,58.4400,58.8500,57.7300,58.3800,58.3800,1044900,0.0000,1.0000
2019-08-23,59.5600,59.9000,57.5700,57.9300,57.9300,1180800,0.0000,1.0000
2019-08-22,59.8800,60.0200,58.9900,59.7300,59.7300,929300,0.0000,1.0000
2019-08-21,60.3900,60.6400,59.6700,59.8100,59.8100,1038900,0.0000,1.0000
2019-08-20,60.3100,60.3400,59.5100,60.1100,60.1100,740400,0.0000,1.0000
2019-08-19,60.6800,61.5100,60.4800,60.5900,60.5900,903200,0.3500,1.0000
2019-08-16,59.3100,60.5100,58.8200,60.3600,60.0100,952800,0.0000,1.0000
2019-08-15,59.3400,59.5300,58.8200,59.0200,58.6778,1223100,0.0000,1.0000
2019-08-14,60.6000,60.9900,58.3300,59.2300,58.8866,1416600,0.0000,1.0000
2019-08-13,61.8200,62.7900,61.1100,61.1700,60.8153,1160200,0.0000,1.0000
2019-08-12,63.4300,63.4300,61.3600,62.1100,61.7499,1041500,0.0000,1.0000
2019-08-09,64.1600,64.7900,63.9000,63.9300,63.5593,746600,0.0000,1.0000
2019-08-08,63.4700,64.6700,63.4350,64.5300,64.1558,769000,0.0000,1.0000
2019-08-07,62.1200,63.3700,61.5600,63.1100,62.7441,749700,0.0000,1.0000
2019-08-06,61.9700,62.6600,61.8400,62.4700,62.1078,797300,0.0000,1.0000
2019-08-05,62.5400,62.6500,60.5100,61.5200,61.1633,1208400,0.0000,1.0000
2019-08-02,63.0000,63.7700,62.4355,63.2700,62.9031,1021100,0.0000,1.0000
2019-08-01,63.5700,64.2500,62.9000,63.1400,62.7739,1069500,0.0000,1.0000
2019-07-31,63.9800,64.5128,63.2600,63.3600,62.9926,1171000,0.0000,1.0000
2019-07-30,63.6900,64.5600,63.4900,64.0100,63.6388,812300,0.0000,1.0000
2019-07-29,64.2300,64.2400,62.6700,63.9700,63.5991,1397800,0.0000,1.0000
2019-07-26,64.2200,65.2200,64.0800,64.9200,64.5436,1637800,0.0000,1.0000
2019-07-25,64.7300,65.5700,63.3243,63.8600,63.4897,1599000,0.0000,1.0000
2019-07-24,65.1000,65.9100,64.8500,65.5700,65.1898,1007400,0.0000,1.0000
2019-07-23,63.1000,65.4000,62.8314,65.1000,64.7225,1458400,0.0000,1.0000
2019-07-22,63.7600,64.2000,62.8600,62.8700,62.5054,1303700,0.0000,1.0000
2019-07-19,64.5200,65.1400,63.4800,63.4900,63.1219,1143300,0.0000,1.0000
2019-07-18,63.7500,64.4200,63.3400,64.3600,63.9868,1018800,0.0000,1.0000
2019-07-17,65.2700,65.3200,63.7300,63.7800,63.4102,1179000,0.0000,1.0000
2019-07-16,63.3600,65.6200,63.3000,65.4100,65.0307,1385000,0.0000,1.0000
2019-07-15,64.1400,64.5800,63.2500,63.3600,62.9926,946300,0.0000,1.0000
2019-07-12,63.5600,64.6100,63.3300,64.2400,63.8675,958700,0.0000,1.0000
2019-07-11,63.2000,63.5500,62.4200,63.3100,62.9429,982500,0.0000,1.0000
2019-07-10,64.1500,64.3900,62.5600,62.9400,62.5750,1197000,0.0000,1.0000
2019-07-09,64.3000,64.6200,63.3200,63.6900,63.3207,910700,0.0000,1.0000
