timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,95.5800,96.6200,95.3300,96.0500,96.0500,938680,0.0000,1.0000
2019-11-12,96.5700,97.0700,96.1600,96.2500,96.2500,1456200,0.0000,1.0000
2019-11-11,95.7000,96.4900,95.7000,96.3600,96.3600,431000,0.0000,1.0000
2019-11-08,95.8500,96.5700,95.5500,96.5400,96.5400,606100,0.0000,1.0000
2019-11-07,97.1400,97.3000,96.0400,96.2000,96.2000,1032200,0.0000,1.0000
2019-11-06,96.4500,96.4800,95.4600,96.3700,96.3700,1198700,0.0000,1.0000
2019-11-05,95.5200,96.8700,95.5100,96.2500,96.2500,1624400,0.0000,1.0000
2019-11-04,94.7400,95.8200,94.4500,95.6200,95.6200,1758600,0.0000,1.0000
2019-11-01,92.4800,94.2000,91.8500,94.2000,94.2000,1109500,0.0000,1.0000
2019-10-31,93.8000,94.0000,90.9600,91.6500,91.6500,1998500,0.0000,1.0000
2019-10-30,91.6300,91.6300,90.4500,91.3100,91.3100,1080400,0.0000,1.0000
2019-10-29,89.9600,92.2900,89.9600,91.6300,91.6300,1444000,0.0000,1.0000
2019-10-28,90.4800,91.2000,90.3900,90.4000,90.4000,1155200,0.0000,1.0000
2019-10-25,89.2500,90.7600,88.8400,89.9600,89.9600,898900,0.0000,1.0000
2019-10-24,89.3600,89.5100,88.6900,89.1200,89.1200,406700,0.0000,1.0000
2019-10-23,88.4800,89.0200,88.0500,89.0000,89.0000,928500,0.0000,1.0000
2019-10-22,88.2800,89.2000,87.8800,88.3800,88.3800,1883200,0.0000,1.0000
2019-10-21,88.8200,89.3300,88.0300,88.2300,88.2300,2047900,0.0000,1.0000
2019-10-18,88.4800,88.8700,88.0600,88.3500,88.3500,1299700,0.0000,1.0000
2019-10-17,89.2400,90.3700,88.4800,88.5100,88.5100,779200,0.0000,1.0000
2019-10-16,88.8300,89.3200,88.1900,88.5400,88.5400,666600,0.0000,1.0000
2019-10-15,88.6200,89.7400,88.1100,89.0600,89.0600,714700,0.0000,1.0000
2019-10-14,87.9500,88.7100,87.6800,88.3600,88.3600,688800,0.0000,1.0000
2019-10-11,88.8600,90.0700,88.4200,88.5100,88.5100,1214600,0.0000,1.0000
2019-10-10,86.8700,88.3100,86.7300,87.9500,87.9500,675900,0.0000,1.0000
2019-10-09,86.7200,87.3200,86.2700,86.9300,86.9300,861000,0.0000,1.0000
2019-10-08,87.1200,87.1200,85.9600,85.9800,85.9800,1029900,0.0000,1.0000
2019-10-07,88.6800,89.0300,87.6200,88.0000,88.0000,837600,0.0000,1.0000
2019-10-04,87.6500,88.9000,87.3100,88.8300,88.8300,724700,0.0000,1.0000
2019-10-03,86.0000,87.4200,85.1900,87.3900,87.3900,791500,0.0000,1.0000
2019-10-02,87.3500,87.6600,85.1800,86.3000,86.3000,1492100,0.0000,1.0000
2019-10-01,92.2400,92.8600,88.5600,88.8000,88.8000,2164300,0.0000,1.0000
2019-09-30,91.1900,91.9900,90.8200,91.8200,91.8200,1128400,0.0000,1.0000
2019-09-27,91.0000,91.8700,90.4300,91.3700,91.3700,1380400,0.0000,1.0000
2019-09-26,90.4400,90.7000,89.8800,90.1700,90.1700,763100,0.0000,1.0000
2019-09-25,89.5000,90.6800,88.6500,90.5100,90.5100,778200,0.0000,1.0000
2019-09-24,89.7400,91.0400,89.3700,89.8800,89.8800,1795500,0.0000,1.0000
2019-09-23,89.3700,90.0800,88.8000,89.4500,89.4500,1041600,0.0000,1.0000
2019-09-20,90.6900,91.1500,89.1600,89.8800,89.8800,2180300,0.0000,1.0000
2019-09-19,90.0100,90.8000,89.7400,90.2100,90.2100,1040100,0.0000,1.0000
2019-09-18,89.8900,90.2200,88.8100,90.0200,90.0200,793700,0.0000,1.0000
2019-09-17,90.5900,90.7400,90.0200,90.3900,90.3900,1043100,0.0000,1.0000
2019-09-16,90.2800,91.0200,90.1900,90.8600,90.8600,1480700,0.0000,1.0000
2019-09-13,90.3100,91.0700,89.8500,90.7000,90.7000,773900,0.1400,1.0000
2019-09-12,88.5400,90.1200,87.7200,89.8200,89.6800,2001000,0.0000,1.0000
2019-09-11,88.2900,88.2900,86.9600,88.1000,87.9627,1274700,0.0000,1.0000
2019-09-10,90.0000,90.0000,87.7200,88.4000,88.2622,1278400,0.0000,1.0000
2019-09-09,89.8000,90.0000,89.3300,89.7700,89.6301,775500,0.0000,1.0000
2019-09-06,88.7400,89.5700,88.2700,89.2700,89.1309,1685400,0.0000,1.0000
2019-09-05,86.2700,88.3900,86.2700,88.3300,88.1923,1922200,0.0000,1.0000
2019-09-04,84.3800,85.2400,84.0200,85.1700,85.0372,1284000,0.0000,1.0000
2019-09-03,85.0700,85.5300,82.7600,83.3800,83.2500,905400,0.0000,1.0000
2019-08-30,86.8800,87.1700,85.4500,85.9300,85.7961,1052000,0.0000,1.0000
2019-08-29,85.0700,86.3500,84.8900,86.1100,85.9758,640700,0.0000,1.0000
2019-08-28,83.2200,84.2500,82.8500,84.1100,83.9789,840000,0.0000,1.0000
2019-08-27,83.6600,84.1200,83.0300,83.7300,83.5995,1106700,0.0000,1.0000
