timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,207.7800,211.0900,207.5600,210.3200,210.3200,1475267,0.0000,1.0000
2019-11-12,207.4400,208.7700,206.3500,206.7500,206.7500,1475400,0.0000,1.0000
2019-11-11,205.7000,208.5900,205.5800,207.3500,207.3500,1347200,0.0000,1.0000
2019-11-08,204.8900,208.5600,204.2600,205.8700,205.8700,1819400,0.0000,1.0000
2019-11-07,206.7100,207.2000,203.5300,205.6900,205.6900,2117400,0.0000,1.0000
2019-11-06,206.3100,208.8800,205.8700,207.9800,207.9800,2206100,0.0000,1.0000
2019-11-05,210.6500,210.7300,202.9100,206.0100,206.0100,3449700,0.0000,1.0000
2019-11-04,214.7600,215.4800,211.0000,211.0700,211.0700,1639900,0.0000,1.0000
2019-11-01,219.1500,219.7600,212.3500,215.5200,215.5200,2112100,0.0000,1.0000
2019-10-31,218.5000,219.5000,214.0500,218.0800,218.0800,2021100,0.0000,1.0000
2019-10-30,216.1800,217.4100,214.6000,217.2400,217.2400,1520700,0.0000,1.0000
2019-10-29,211.0100,216.8200,210.5500,216.1600,216.1600,2044000,0.0000,1.0000
2019-10-28,218.7800,219.0000,210.0300,210.7500,210.7500,3431400,0.0000,1.0000
2019-10-25,223.1900,223.2000,215.2000,216.6700,216.6700,2409800,0.0000,1.0000
2019-10-24,226.0000,226.7300,223.3500,223.4700,223.4700,1097900,0.0000,1.0000
2019-10-23,226.2500,227.3600,223.8700,226.0200,226.0200,1151500,0.0000,1.0000
2019-10-22,229.1600,231.2100,226.4300,226.7400,226.7400,1341000,0.0000,1.0000
2019-10-21,229.2400,229.5900,226.7000,229.4000,229.4000,1272400,0.0000,1.0000
2019-10-18,225.9500,229.6000,225.8500,229.0900,229.0900,1544400,0.0000,1.0000
2019-10-17,224.1000,227.1500,223.4600,225.9100,225.9100,1197100,0.0000,1.0000
2019-10-16,223.5500,223.5500,220.5500,221.9700,221.9700,1508400,0.0000,1.0000
2019-10-15,225.7400,226.4600,221.8400,224.2100,224.2100,993200,0.0000,1.0000
2019-10-14,224.9900,226.6000,224.5100,225.6400,225.6400,766100,0.0000,1.0000
2019-10-11,226.1700,227.0600,224.3500,224.4500,224.4500,1352200,0.0000,1.0000
2019-10-10,226.1500,227.6800,224.1100,226.2800,226.2800,1888900,0.0000,1.0000
2019-10-09,226.5700,227.3500,225.3300,226.5700,226.5700,1038800,0.0000,1.0000
2019-10-08,225.2200,228.1200,223.6400,226.1000,226.1000,1962200,0.0000,1.0000
2019-10-07,225.1900,226.6100,222.9700,225.2800,225.2800,1005800,0.0000,1.0000
2019-10-04,223.9700,227.4000,223.6600,225.9300,225.9300,1621900,0.0000,1.0000
2019-10-03,220.4200,225.5200,220.2700,223.9000,223.9000,1604700,0.0000,1.0000
2019-10-02,220.7500,222.0000,218.5000,219.9900,219.9900,1270100,0.0000,1.0000
2019-10-01,220.7000,222.8700,218.2200,220.8900,220.8900,1545400,0.0000,1.0000
2019-09-30,219.3200,221.7800,218.8700,221.1300,221.1300,1703000,0.0000,1.0000
2019-09-27,223.0900,223.0900,216.8600,218.9800,218.9800,1832400,0.0000,1.0000
2019-09-26,221.6400,224.0700,221.5500,223.0000,223.0000,1350400,0.9500,1.0000
2019-09-25,225.4600,225.6200,220.8600,222.0400,221.0900,1709400,0.0000,1.0000
2019-09-24,226.1000,227.2700,223.1000,225.1600,224.1967,1728600,0.0000,1.0000
2019-09-23,225.8400,226.5100,224.9500,225.3800,224.4157,1267000,0.0000,1.0000
2019-09-20,228.2500,228.4800,224.7300,225.5600,224.5949,2787400,0.0000,1.0000
2019-09-19,220.5400,229.3600,220.0000,227.0700,226.0985,2281100,0.0000,1.0000
2019-09-18,221.9500,222.6000,218.4700,221.6100,220.6618,1318300,0.0000,1.0000
2019-09-17,218.4000,221.4000,217.5200,221.3000,220.3532,1853300,0.0000,1.0000
2019-09-16,215.5200,217.5000,215.0300,216.7700,215.8426,1422100,0.0000,1.0000
2019-09-13,218.2900,219.2500,213.9200,215.3700,214.4485,1908800,0.0000,1.0000
2019-09-12,216.0200,219.3500,214.6700,218.8500,217.9137,2334500,0.0000,1.0000
2019-09-11,215.9500,217.8700,212.5000,212.7000,211.7900,3019700,0.0000,1.0000
2019-09-10,222.8300,222.9900,213.5000,216.2100,215.2850,4266100,0.0000,1.0000
2019-09-09,232.7800,233.1800,223.7400,224.0000,223.0416,2994000,0.0000,1.0000
2019-09-06,235.9500,236.5600,231.6600,232.5900,231.5949,2307600,0.0000,1.0000
2019-09-05,242.0000,242.0000,234.5900,235.7500,234.7413,2059100,0.0000,1.0000
2019-09-04,238.2300,242.0000,237.9700,241.0700,240.0386,1796100,0.0000,1.0000
2019-09-03,230.6000,237.9000,230.1900,237.8400,236.8224,1843100,0.0000,1.0000
2019-08-30,231.4900,231.6700,229.0700,230.1900,229.2051,1426200,0.0000,1.0000
2019-08-29,231.0000,231.5000,229.1300,230.4100,229.4242,986200,0.0000,1.0000
2019-08-28,229.5500,231.5300,228.5800,230.1400,229.1553,1143700,0.0000,1.0000
2019-08-27,230.7800,231.7700,229.0300,229.7900,228.8068,1584000,0.0000,1.0000
2019-08-26,227.5700,230.1500,226.1100,230.0700,229.0857,968500,0.0000,1.0000
2019-08-23,228.9400,231.6400,225.5700,226.5700,225.6006,1497100,0.0000,1.0000
2019-08-22,227.7800,228.7800,224.9900,228.5100,227.5323,1073000,0.0000,1.0000
2019-08-21,225.5500,227.4800,224.7900,227.3800,226.4072,1279500,0.0000,1.0000
2019-08-20,225.5100,227.3900,223.5300,225.5600,224.5949,1620700,0.0000,1.0000
2019-08-19,224.0400,225.6900,222.8300,225.1900,224.2265,1415900,0.0000,1.0000
2019-08-16,225.1000,225.4300,218.8500,222.9300,221.9762,1681900,0.0000,1.0000
2019-08-15,219.2500,224.5700,218.8500,224.2000,223.2408,1773200,0.0000,1.0000
2019-08-14,221.0700,221.6200,218.4600,218.8800,217.9435,2092700,0.0000,1.0000
2019-08-13,222.6800,223.5900,219.3700,221.1000,220.1540,2468800,0.0000,1.0000
2019-08-12,222.0100,222.9700,220.4311,222.2200,221.2692,883800,0.0000,1.0000
2019-08-09,221.6200,224.7100,219.4800,222.2300,221.2792,1251300,0.0000,1.0000
2019-08-08,217.5400,221.3700,216.0000,221.0200,220.0744,1389700,0.0000,1.0000
2019-08-07,216.0300,219.0130,211.5400,217.4300,216.4997,1827800,0.0000,1.0000
2019-08-06,214.0400,217.0300,213.1528,216.9500,216.0218,1988200,0.0000,1.0000
2019-08-05,214.6300,216.2000,211.3200,213.9000,212.9848,2268700,0.0000,1.0000
2019-08-02,211.7444,216.7000,210.9200,215.4700,214.5481,1802200,0.0000,1.0000
2019-08-01,210.1100,213.8600,208.5000,211.4100,210.5055,1691400,0.0000,1.0000
2019-07-31,209.6200,213.6800,209.3500,211.6200,210.7146,2845100,0.0000,1.0000
2019-07-30,206.5400,209.0011,205.5900,208.6500,207.7573,2080100,0.0000,1.0000
2019-07-29,204.6700,207.0000,204.1500,205.5700,204.6905,1875400,0.0000,1.0000
2019-07-26,205.5000,206.0800,203.6500,204.5900,203.7147,1336800,0.0000,1.0000
2019-07-25,207.0300,207.0300,203.8300,205.4200,204.5411,1058800,0.0000,1.0000
2019-07-24,206.8200,207.3013,204.5800,204.7900,203.9138,1932400,0.0000,1.0000
2019-07-23,206.5200,207.7400,205.4800,206.8000,205.9152,1165300,0.0000,1.0000
2019-07-22,205.9500,207.1600,204.6800,206.7000,205.8156,1259200,0.0000,1.0000
2019-07-19,209.1500,209.4300,205.2900,205.5600,204.6805,1847200,0.0000,1.0000
2019-07-18,208.6500,209.4100,205.0100,208.6600,207.7673,1279400,0.0000,1.0000
2019-07-17,210.0700,211.5400,207.8200,208.7400,207.8469,1395000,0.0000,1.0000
2019-07-16,211.1946,211.5900,209.0200,209.3100,208.4145,1430600,0.0000,1.0000
2019-07-15,210.3300,211.3500,208.9800,210.7000,209.7985,1640300,0.0000,1.0000
2019-07-12,209.5200,209.5200,207.4200,208.9800,208.0859,1263300,0.0000,1.0000
2019-07-11,211.6400,211.6400,208.0900,209.2600,208.3647,1398200,0.0000,1.0000
2019-07-10,211.8800,212.4300,210.0400,211.5300,210.6250,1858600,0.0000,1.0000
2019-07-09,209.4700,211.6400,208.8100,211.3100,210.4059,1483200,0.0000,1.0000
2019-07-08,208.8900,210.4000,208.3100,208.9500,208.0560,1227600,0.0000,1.0000
2019-07-05,209.0000,210.2700,206.2100,209.0400,208.1456,1735500,0.0000,1.0000
2019-07-03,206.4100,211.8900,206.4000,210.1700,209.2708,1408700,0.0000,1.0000
2019-07-02,202.9200,206.2300,202.6800,205.6300,204.7502,3224300,0.0000,1.0000
2019-07-01,205.0000,205.5000,199.4800,202.3000,201.4345,3039800,0.0000,1.0000
2019-06-28,206.0600,206.8800,203.6200,204.4500,203.5753,2965500,0.0000,1.0000
2019-06-27,206.9300,208.2000,205.5500,205.8500,204.9693,2044600,0.0000,1.0000
2019-06-26,210.8600,210.8600,205.2300,205.8000,204.9195,2434100,0.0000,1.0000
2019-06-25,215.0400,215.4100,210.6900,210.8100,209.9081,1542400,0.0000,1.0000
2019-06-24,215.8100,216.0000,213.9815,214.5500,213.6320,1064000,0.0000,1.0000
2019-06-21,217.4600,217.9300,214.2400,215.1800,214.2594,2420400,0.0000,1.0000
2019-06-20,216.1600,218.7900,215.9000,217.5200,216.5894,1839900,0.0000,1.0000
2019-06-19,213.5100,217.0400,213.1900,216.1700,215.2451,1421300,0.0000,1.0000
2019-06-18,214.3000,215.9600,213.3300,214.3900,213.4727,1696600,0.9200,1.0000
2019-06-17,211.7200,214.6900,211.3000,214.0900,212.2579,1780900,0.0000,1.0000
2019-06-14,209.0000,211.9500,208.1800,211.2300,209.4224,1568100,0.0000,1.0000
2019-06-13,212.1000,212.6520,208.5300,209.0100,207.2214,2586500,0.0000,1.0000
2019-06-12,209.5300,212.3600,209.5150,211.5000,209.6901,2974400,0.0000,1.0000
2019-06-11,209.8400,210.4700,207.4700,208.9700,207.1818,1715600,0.0000,1.0000
2019-06-10,213.0000,213.5400,209.0300,209.8500,208.0542,1976600,0.0000,1.0000
2019-06-07,213.5500,214.5200,212.0300,212.4600,210.6419,1132200,0.0000,1.0000
2019-06-06,212.8600,213.7100,211.5000,212.7000,210.8798,1237800,0.0000,1.0000
2019-06-05,209.6100,212.9600,208.7191,212.7700,210.9493,2193300,0.0000,1.0000
2019-06-04,209.2400,209.5400,206.4100,208.0100,206.2300,2351500,0.0000,1.0000
2019-06-03,208.8600,209.7900,206.5000,209.2900,207.4990,1730800,0.0000,1.0000
2019-05-31,204.6900,210.2520,204.2200,208.7700,206.9835,2706200,0.0000,1.0000
2019-05-30,201.3400,205.0200,200.5320,204.6900,202.9384,1568600,0.0000,1.0000
2019-05-29,202.6400,203.4300,200.2300,201.1300,199.4089,1448500,0.0000,1.0000
2019-05-28,204.1500,204.7500,202.4800,202.5500,200.8167,1936300,0.0000,1.0000
2019-05-24,204.1525,205.3100,202.9300,203.0000,201.2629,1412600,0.0000,1.0000
2019-05-23,200.1700,203.8500,200.1700,202.9200,201.1835,1436800,0.0000,1.0000
2019-05-22,198.5600,201.2350,198.2200,200.6700,198.9528,998000,0.0000,1.0000
2019-05-21,199.4800,200.0200,197.9934,198.1700,196.4742,1338100,0.0000,1.0000
2019-05-20,199.7900,200.9600,197.3900,198.2500,196.5535,2764800,0.0000,1.0000
2019-05-17,200.8900,202.7400,200.5300,202.4300,200.6977,1421400,0.0000,1.0000
2019-05-16,201.8100,203.3830,200.2000,202.0200,200.2912,1507400,0.0000,1.0000
2019-05-15,198.2000,201.2000,197.0200,200.4700,198.7545,1285400,0.0000,1.0000
2019-05-14,197.2051,200.3800,196.7000,198.0700,196.3751,1788000,0.0000,1.0000
2019-05-13,194.5200,197.3881,194.0800,196.8800,195.1952,1790600,0.0000,1.0000
2019-05-10,192.5100,196.2300,192.3300,195.6600,193.9857,1283100,0.0000,1.0000
2019-05-09,191.7100,192.9200,190.0900,192.5200,190.8725,1240400,0.0000,1.0000
2019-05-08,190.1700,193.5100,190.1700,191.6400,190.0001,1339000,0.0000,1.0000
2019-05-07,191.9700,192.3100,188.5300,189.8500,188.2254,1510000,0.0000,1.0000
2019-05-06,192.4300,193.5400,190.4700,192.1800,190.5354,1548700,0.0000,1.0000
2019-05-03,193.3400,194.5300,192.2734,192.9500,191.2988,1059100,0.0000,1.0000
2019-05-02,193.2800,193.7300,192.1400,192.8000,191.1501,1412700,0.0000,1.0000
2019-05-01,194.9500,195.0500,192.1400,192.9100,191.2592,1384700,0.0000,1.0000
2019-04-30,192.8100,195.5100,191.1200,195.3000,193.6288,1476200,0.0000,1.0000
2019-04-29,192.9000,193.9200,191.9600,192.4400,190.7932,901400,0.0000,1.0000
2019-04-26,192.4600,193.3540,191.6400,193.2100,191.5566,870000,0.0000,1.0000
2019-04-25,192.4300,193.3100,190.8107,192.2900,190.6445,993100,0.0000,1.0000
2019-04-24,193.9900,194.5000,192.4800,193.2300,191.5765,1324500,0.0000,1.0000
2019-04-23,193.5900,194.3900,192.5100,193.4000,191.7450,1457700,0.0000,1.0000
2019-04-22,192.5547,192.9000,190.9400,192.3200,190.6743,942500,0.0000,1.0000
2019-04-18,190.9300,193.6000,190.0500,192.9100,191.2592,1325400,0.0000,1.0000
2019-04-17,194.0900,194.0900,189.4263,191.1700,189.5341,2105100,0.0000,1.0000
2019-04-16,196.1700,196.1700,191.0540,192.2000,190.5553,2108300,0.0000,1.0000
2019-04-15,196.7000,197.8300,194.5200,196.0900,194.4120,1765500,0.0000,1.0000
2019-04-12,196.6460,198.0600,194.8000,197.9600,196.2660,1412300,0.0000,1.0000
2019-04-11,197.1200,197.1900,195.4400,196.6500,194.9672,1027100,0.0000,1.0000
2019-04-10,196.4600,197.2650,196.0000,196.6200,194.9375,1304500,0.9000,1.0000
2019-04-09,196.1400,197.1300,195.9500,196.7200,194.1443,1708200,0.0000,1.0000
2019-04-08,195.0700,196.4700,194.1900,196.2200,193.6509,2166500,0.0000,1.0000
2019-04-05,193.2600,195.9800,192.3100,195.7600,193.1969,1656500,0.0000,1.0000
2019-04-04,194.9400,195.0600,192.6520,193.0500,190.5224,1684000,0.0000,1.0000
2019-04-03,195.0670,195.9200,192.4900,194.2900,191.7461,2230300,0.0000,1.0000
2019-04-02,193.0000,195.8004,192.1120,195.1200,192.5652,2762400,0.0000,1.0000
2019-04-01,197.5400,198.1900,192.1600,192.5100,189.9894,4105700,0.0000,1.0000
2019-03-29,195.4600,197.3300,194.6600,197.0600,194.4799,3017700,0.0000,1.0000
2019-03-28,194.0000,194.9900,193.2000,194.9300,192.3777,2455300,0.0000,1.0000
2019-03-27,195.0468,196.0400,192.6200,194.0900,191.5487,2250600,0.0000,1.0000
2019-03-26,196.6500,196.6700,193.9600,195.0500,192.4962,1948100,0.0000,1.0000
2019-03-25,194.1000,196.3143,193.5300,195.6900,193.1278,2157600,0.0000,1.0000
2019-03-22,194.2400,196.7900,193.2100,193.6500,191.1145,2050300,0.0000,1.0000
2019-03-21,191.1600,194.7500,190.8000,194.7100,192.1606,1761300,0.0000,1.0000
2019-03-20,190.2800,192.1600,188.9200,191.5400,189.0321,1537900,0.0000,1.0000
