timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,101.0200,102.1100,101.0200,101.6700,101.6700,816773,0.0000,1.0000
2019-11-12,102.1600,102.7300,101.1900,101.5100,101.5100,850800,0.0000,1.0000
2019-11-11,102.0300,102.6900,101.7800,102.1700,102.1700,610100,0.0000,1.0000
2019-11-08,102.2700,102.8500,101.8700,102.7000,102.7000,790200,0.0000,1.0000
2019-11-07,103.8700,104.0800,102.3300,102.5300,102.5300,1031800,0.0000,1.0000
2019-11-06,103.7400,104.0700,102.2700,102.8900,102.8900,1054500,0.0000,1.0000
2019-11-05,104.2700,104.8400,103.4600,104.4100,104.4100,1510000,0.0000,1.0000
2019-11-04,103.0000,104.3600,102.8500,104.2000,104.2000,1088500,0.0000,1.0000
2019-11-01,101.2500,102.8000,100.8300,102.7800,102.7800,1209800,0.0000,1.0000
2019-10-31,100.5600,101.1400,99.4700,100.3300,100.3300,965300,0.0000,1.0000
2019-10-30,100.5000,100.9700,99.2700,100.8200,100.8200,1057200,0.0000,1.0000
2019-10-29,100.5000,101.4800,100.3300,100.9800,100.9800,880600,0.0000,1.0000
2019-10-28,100.5700,101.8200,100.2800,101.1900,101.1900,1471500,0.0000,1.0000
2019-10-25,101.6800,102.0000,100.1200,100.2300,100.2300,1875500,0.0000,1.0000
2019-10-24,102.0000,102.2400,101.2800,101.7900,101.7900,1188700,0.0000,1.0000
2019-10-23,101.5000,101.7400,98.4000,101.5900,101.5900,2033700,0.0000,1.0000
2019-10-22,99.4400,99.9800,98.9600,99.0900,99.0900,1277900,0.0000,1.0000
2019-10-21,99.7000,100.5200,99.3800,100.4100,100.4100,1368700,0.0000,1.0000
2019-10-18,98.6100,99.6400,98.5000,99.0000,99.0000,1264500,0.0000,1.0000
2019-10-17,99.0000,99.4900,98.4900,98.6400,98.6400,816000,0.0000,1.0000
2019-10-16,98.1300,98.8800,98.0800,98.7800,98.7800,1252200,0.0000,1.0000
2019-10-15,97.4000,98.8500,96.8500,98.4200,98.4200,1103500,0.0000,1.0000
2019-10-14,96.8900,97.3600,96.6400,96.9100,96.9100,1278300,0.0000,1.0000
2019-10-11,96.5700,98.2300,96.5700,96.9800,96.9800,1332800,0.0000,1.0000
2019-10-10,94.9100,96.3200,94.7200,95.5100,95.5100,783000,0.0000,1.0000
2019-10-09,94.4000,95.5000,93.7400,94.9500,94.9500,1002000,0.0000,1.0000
2019-10-08,94.5700,94.5700,92.9400,93.1800,93.1800,917300,0.0000,1.0000
2019-10-07,95.7100,96.3600,95.2500,95.3700,95.3700,986200,0.0000,1.0000
2019-10-04,94.5600,96.1800,94.5600,96.1400,96.1400,872400,0.0000,1.0000
2019-10-03,93.5500,94.6400,92.6000,94.6200,94.6200,881400,0.0000,1.0000
2019-10-02,94.4400,94.6000,92.8000,93.3900,93.3900,1296300,0.0000,1.0000
2019-10-01,97.0000,97.6700,95.1200,95.2800,95.2800,1639500,0.0000,1.0000
2019-09-30,96.5000,96.6700,95.8100,96.5000,96.5000,985200,0.0000,1.0000
2019-09-27,96.8100,96.8100,95.4700,95.7300,95.7300,1586100,0.0000,1.0000
2019-09-26,96.1000,96.9100,95.6200,96.4000,96.4000,1498100,0.0000,1.0000
2019-09-25,93.7200,96.3200,93.3600,96.0900,96.0900,1430000,0.0000,1.0000
2019-09-24,94.0800,94.5800,92.9200,93.8300,93.8300,1567000,0.0000,1.0000
2019-09-23,93.1800,94.1500,92.7300,93.6400,93.6400,1169200,0.0000,1.0000
2019-09-20,94.5600,94.8500,93.6400,93.8200,93.8200,1555100,0.0000,1.0000
2019-09-19,94.3300,95.4300,94.0700,94.2400,94.2400,963000,0.0000,1.0000
2019-09-18,94.7600,94.9800,93.0800,94.2800,94.2800,1460100,0.0000,1.0000
2019-09-17,94.6000,95.2300,93.6400,95.0800,95.0800,1325600,0.0000,1.0000
2019-09-16,94.4400,95.9500,94.2200,95.0500,95.0500,1830500,0.2500,1.0000
2019-09-13,94.3000,95.0500,93.9200,94.7100,94.4600,2131800,0.0000,1.0000
2019-09-12,91.9700,94.1900,91.1200,93.9500,93.7020,2276700,0.0000,1.0000
2019-09-11,89.9600,91.5300,89.0100,91.5000,91.2585,1124800,0.0000,1.0000
2019-09-10,88.4700,89.6700,87.7600,89.6000,89.3635,1433600,0.0000,1.0000
2019-09-09,89.9600,89.9700,88.3400,88.9700,88.7352,1297800,0.0000,1.0000
2019-09-06,90.0000,90.2400,88.8200,89.3200,89.0842,1027100,0.0000,1.0000
2019-09-05,87.7700,89.9400,87.7700,89.7900,89.5530,1056500,0.0000,1.0000
2019-09-04,86.7300,87.3300,86.4900,86.7000,86.4711,845200,0.0000,1.0000
2019-09-03,86.3300,86.6800,85.3600,85.6900,85.4638,980400,0.0000,1.0000
2019-08-30,88.3100,88.5400,87.2300,87.5400,87.3089,873700,0.0000,1.0000
2019-08-29,86.3700,87.8500,86.3700,87.6200,87.3887,1147500,0.0000,1.0000
2019-08-28,84.6600,85.7700,84.0800,85.1900,84.9651,886900,0.0000,1.0000
2019-08-27,85.8200,86.0700,84.7500,85.0400,84.8155,752800,0.0000,1.0000
2019-08-26,86.1700,86.3100,84.8500,85.2600,85.0349,1143100,0.0000,1.0000
2019-08-23,87.4100,88.7400,85.0900,85.4000,85.1746,1384300,0.0000,1.0000
2019-08-22,88.6500,88.8200,87.1800,87.8500,87.6181,1018100,0.0000,1.0000
2019-08-21,87.5500,88.3600,87.3500,88.1600,87.9273,1600000,0.0000,1.0000
2019-08-20,88.0100,88.0100,86.6800,86.7400,86.5110,1201900,0.0000,1.0000
2019-08-19,87.7000,88.8800,87.4100,88.2000,87.9672,1388100,0.0000,1.0000
2019-08-16,85.2800,86.7800,83.7800,86.6100,86.3814,1016500,0.0000,1.0000
2019-08-15,85.4200,85.6500,83.7820,84.3900,84.1672,1783500,0.0000,1.0000
2019-08-14,86.2000,87.1900,85.2400,85.2700,85.0449,1834200,0.0000,1.0000
2019-08-13,85.7300,89.3528,85.6100,88.0100,87.7777,1804200,0.0000,1.0000
2019-08-12,86.2200,86.8551,85.6400,86.0700,85.8428,1466900,0.0000,1.0000
2019-08-09,88.4600,88.5000,86.7900,86.9100,86.6806,1337000,0.0000,1.0000
2019-08-08,88.4400,89.1000,87.9000,88.7400,88.5058,1753600,0.0000,1.0000
2019-08-07,86.2600,88.0710,85.6900,87.7800,87.5483,1302500,0.0000,1.0000
2019-08-06,87.0800,87.6700,86.3100,87.2700,87.0396,1569900,0.0000,1.0000
2019-08-05,87.2900,87.5000,85.2500,86.2100,85.9824,2056400,0.0000,1.0000
2019-08-02,90.1300,90.1300,88.6000,89.0900,88.8548,2020400,0.0000,1.0000
2019-08-01,93.2100,93.8800,90.5700,90.8000,90.5603,1534600,0.0000,1.0000
2019-07-31,95.0200,95.1500,92.9100,93.3200,93.0737,1160700,0.0000,1.0000
2019-07-30,94.9647,95.4700,94.5500,94.7600,94.5099,1191600,0.0000,1.0000
2019-07-29,95.4100,96.0500,94.7800,95.8900,95.6369,1502800,0.0000,1.0000
2019-07-26,93.9100,95.4200,93.7100,95.2800,95.0285,1706000,0.0000,1.0000
2019-07-25,92.1100,93.9100,91.5400,93.8600,93.6122,3456700,0.0000,1.0000
2019-07-24,94.4400,95.7000,91.6700,92.3800,92.1361,4015500,0.0000,1.0000
2019-07-23,97.8465,98.5900,97.0300,98.3600,98.1004,2349400,0.0000,1.0000
2019-07-22,96.8700,97.6000,96.6800,97.1500,96.8936,1333800,0.0000,1.0000
2019-07-19,97.1900,97.7700,96.6200,96.6400,96.3849,2025900,0.0000,1.0000
2019-07-18,96.9800,97.0400,95.9700,96.4600,96.2054,2052600,0.0000,1.0000
2019-07-17,97.9700,98.1400,96.9600,96.9900,96.7340,951300,0.0000,1.0000
2019-07-16,98.4700,98.4700,97.3000,97.8500,97.5917,1314900,0.0000,1.0000
2019-07-15,99.0897,99.3100,98.0900,99.0100,98.7486,616800,0.0000,1.0000
2019-07-12,97.4900,99.0700,97.4900,99.0500,98.7885,784200,0.0000,1.0000
2019-07-11,97.3300,98.0300,96.4700,96.9000,96.6442,947000,0.0000,1.0000
2019-07-10,98.0400,98.4400,97.4000,97.5200,97.2626,1134100,0.0000,1.0000
2019-07-09,96.9600,97.7200,96.7100,97.5800,97.3224,1085100,0.0000,1.0000
2019-07-08,97.7300,97.9800,97.3437,97.5600,97.3025,888300,0.0000,1.0000
2019-07-05,98.1400,98.4050,96.7700,98.3200,98.0605,742300,0.0000,1.0000
2019-07-03,98.9400,99.2400,97.8450,99.1100,98.8484,682700,0.0000,1.0000
2019-07-02,97.9000,98.5000,97.3400,98.3900,98.1303,1002300,0.0000,1.0000
2019-07-01,97.6300,98.3400,97.0500,97.8700,97.6117,1285200,0.0000,1.0000
2019-06-28,95.9964,96.3250,95.2500,95.9400,95.6868,1973100,0.0000,1.0000
2019-06-27,95.8900,96.1645,95.2200,95.6500,95.3975,895300,0.0000,1.0000
2019-06-26,95.5500,95.7300,95.1100,95.4300,95.1781,1229800,0.0000,1.0000
2019-06-25,95.1300,95.6500,94.7800,94.7900,94.5398,849900,0.0000,1.0000
2019-06-24,95.6100,95.8200,95.5350,95.6200,95.3676,943700,0.0000,1.0000
2019-06-21,95.9800,96.1200,95.0100,95.5100,95.2579,2375400,0.0000,1.0000
2019-06-20,95.9854,96.1300,95.3400,95.8800,95.6269,1509400,0.0000,1.0000
2019-06-19,94.7000,94.8550,93.9900,94.4300,94.1807,1333400,0.0000,1.0000
2019-06-18,93.3900,94.4300,93.0700,94.1000,93.8516,2553400,0.2300,1.0000
2019-06-17,94.0000,94.1200,92.9600,93.5000,93.0238,1268100,0.0000,1.0000
2019-06-14,95.5400,96.1800,93.1100,94.3000,93.8197,1689900,0.0000,1.0000
2019-06-13,95.7100,97.0400,95.5900,96.8900,96.3965,1410300,0.0000,1.0000
2019-06-12,95.3800,95.9600,94.1700,95.4600,94.9738,1091100,0.0000,1.0000
2019-06-11,95.7300,97.0100,95.2000,95.5400,95.0534,1598600,0.0000,1.0000
2019-06-10,93.7200,95.2100,93.7200,94.1500,93.6705,1213500,0.0000,1.0000
2019-06-07,92.5500,93.3744,91.9800,93.1900,92.7154,1092900,0.0000,1.0000
2019-06-06,91.2800,92.2900,90.5097,91.9300,91.4618,1185700,0.0000,1.0000
2019-06-05,90.4400,90.8800,89.1400,90.7900,90.3276,1017900,0.0000,1.0000
2019-06-04,88.3300,89.7400,87.7100,89.5700,89.1138,2255100,0.0000,1.0000
2019-06-03,87.2000,87.8800,86.5800,87.1400,86.6962,1326400,0.0000,1.0000
2019-05-31,87.7400,88.1300,86.8400,87.0000,86.5569,1534100,0.0000,1.0000
2019-05-30,87.8700,88.5700,87.6800,88.5000,88.0493,1291400,0.0000,1.0000
2019-05-29,88.5300,89.0600,87.4050,87.6100,87.1638,2343700,0.0000,1.0000
2019-05-28,90.0300,90.6500,88.3600,88.7500,88.2980,1841300,0.0000,1.0000
2019-05-24,89.9600,90.2150,89.0000,89.5100,89.0541,1480200,0.0000,1.0000
2019-05-23,89.5100,90.0655,88.9400,89.4900,89.0342,970600,0.0000,1.0000
2019-05-22,91.1700,91.4300,90.5400,90.5800,90.1187,789500,0.0000,1.0000
2019-05-21,90.5700,91.4900,90.2800,91.2700,90.8052,1066900,0.0000,1.0000
2019-05-20,90.4100,90.7000,89.6250,89.7100,89.2531,1297600,0.0000,1.0000
2019-05-17,92.0300,92.4200,91.4300,91.6200,91.1534,2580500,0.0000,1.0000
2019-05-16,93.1800,94.3300,92.8900,93.0800,92.6059,1416400,0.0000,1.0000
2019-05-15,91.7200,93.5800,91.6400,93.2500,92.7751,1114000,0.0000,1.0000
2019-05-14,92.5300,93.3377,92.2300,92.3000,91.8299,1290000,0.0000,1.0000
2019-05-13,92.2400,93.1700,91.6200,92.1600,91.6906,2098600,0.0000,1.0000
2019-05-10,93.7300,95.1100,92.7700,94.7200,94.2376,1586200,0.0000,1.0000
2019-05-09,93.5000,94.8200,92.8250,94.2600,93.7799,1703600,0.0000,1.0000
2019-05-08,96.1000,96.3000,94.4900,94.5700,94.0884,3425500,0.0000,1.0000
2019-05-07,97.1600,97.8500,95.7100,96.2700,95.7797,2597300,0.0000,1.0000
2019-05-06,97.8500,98.8800,96.5100,98.3900,97.8889,2288300,0.0000,1.0000
2019-05-03,99.7700,100.2750,99.5900,100.0100,99.5006,1138400,0.0000,1.0000
2019-05-02,100.1043,100.1500,98.9800,99.1400,98.6351,1050300,0.0000,1.0000
2019-05-01,100.5200,100.7500,99.5000,99.9200,99.4111,1837400,0.0000,1.0000
2019-04-30,98.5800,99.7100,98.1900,99.5600,99.0529,1724000,0.0000,1.0000
2019-04-29,99.9700,100.4700,98.8000,98.9200,98.4162,1694200,0.0000,1.0000
