timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,155.0400,157.2100,154.8600,156.6000,156.6000,596467,0.0000,1.0000
2019-11-12,154.9000,156.2000,154.4200,154.7300,154.7300,967100,0.0000,1.0000
2019-11-11,153.7400,155.4600,153.7400,155.1300,155.1300,477300,0.0000,1.0000
2019-11-08,153.3100,153.9300,152.6900,153.9100,153.9100,641700,0.0000,1.0000
2019-11-07,154.3500,154.8600,153.4800,153.8800,153.8800,1152900,0.0000,1.0000
2019-11-06,155.5100,156.6500,154.5600,155.0100,155.0100,517000,0.0000,1.0000
2019-11-05,156.7300,157.3100,154.4300,155.0800,155.0800,784000,0.0000,1.0000
2019-11-04,158.1300,158.4900,156.6200,157.2000,157.2000,501300,0.0000,1.0000
2019-11-01,159.2900,159.8100,157.1400,158.4200,158.4200,618800,0.0000,1.0000
2019-10-31,159.7400,160.2500,157.4600,158.7500,158.7500,686400,0.0000,1.0000
2019-10-30,156.5000,159.1600,155.9100,159.0600,159.0600,1086200,0.0000,1.0000
2019-10-29,158.3900,159.2300,155.9700,156.3100,156.3100,697500,0.0000,1.0000
2019-10-28,158.1200,158.8800,157.4700,158.8800,158.8800,748700,0.0000,1.0000
2019-10-25,159.0300,159.0300,157.8400,158.2500,158.2500,488300,0.0000,1.0000
2019-10-24,157.9500,159.2600,156.9600,159.1600,159.1600,497200,0.0000,1.0000
2019-10-23,157.3000,158.0300,156.6000,157.7300,157.7300,621800,0.0000,1.0000
2019-10-22,157.7000,158.0500,155.9400,157.1400,157.1400,547400,0.0000,1.0000
2019-10-21,156.0300,157.5800,155.6100,157.5500,157.5500,540000,0.0000,1.0000
2019-10-18,155.8900,156.2200,154.3100,156.0100,156.0100,432000,0.0000,1.0000
2019-10-17,155.0800,155.8700,154.7300,155.3100,155.3100,643900,0.0000,1.0000
2019-10-16,152.9800,155.5300,152.3200,155.2700,155.2700,475300,0.0000,1.0000
2019-10-15,153.3800,153.6200,151.5600,153.2800,153.2800,646900,0.0000,1.0000
2019-10-14,154.0100,154.1500,152.7900,153.8700,153.8700,432500,0.0000,1.0000
2019-10-11,154.8100,155.0300,153.8000,153.9700,153.9700,554400,0.0000,1.0000
2019-10-10,154.0600,154.6200,153.2000,154.1300,154.1300,734600,0.0000,1.0000
2019-10-09,154.0500,154.7100,153.1200,153.8500,153.8500,346400,0.0000,1.0000
2019-10-08,153.9100,154.7000,152.5500,153.1000,153.1000,521600,0.0000,1.0000
2019-10-07,154.0300,155.6100,153.6700,154.3500,154.3500,596600,0.0000,1.0000
2019-10-04,154.4300,155.7100,154.2400,154.8000,154.8000,869200,0.0000,1.0000
2019-10-03,151.9800,154.2700,151.5700,154.1400,154.1400,541700,0.0000,1.0000
2019-10-02,152.2100,152.5100,150.6800,151.9000,151.9000,615800,0.0000,1.0000
2019-10-01,154.0300,154.3800,151.4100,153.1400,153.1400,441800,0.0000,1.0000
2019-09-30,153.0200,154.5200,152.9300,154.0400,154.0400,528200,0.0000,1.0000
2019-09-27,154.4400,154.8700,151.2200,153.1100,153.1100,901400,1.0000,1.0000
2019-09-26,154.0000,155.9900,153.4400,155.2300,154.2300,491900,0.0000,1.0000
2019-09-25,153.0600,154.0600,152.3900,153.5200,152.5310,434700,0.0000,1.0000
2019-09-24,153.9600,154.6000,152.3500,153.1500,152.1634,484700,0.0000,1.0000
2019-09-23,152.8400,154.7500,152.8300,153.5400,152.5509,529500,0.0000,1.0000
