timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,209.6700,212.5600,208.7400,211.5900,211.5900,457330,0.0000,1.0000
2019-11-12,210.6200,212.4800,208.6300,208.9900,208.9900,559600,0.0000,1.0000
2019-11-11,209.4800,211.2600,209.4800,210.4800,210.4800,358900,0.0000,1.0000
2019-11-08,209.2000,210.9700,208.6200,209.8500,209.8500,449800,0.0000,1.0000
2019-11-07,211.5900,211.5900,207.3100,209.1400,209.1400,667500,0.0000,1.0000
2019-11-06,211.2800,213.0700,211.2700,212.2900,212.2900,597200,0.0000,1.0000
2019-11-05,213.4300,213.4300,208.5900,210.6600,210.6600,1132600,0.0000,1.0000
2019-11-04,216.6500,216.6500,212.9700,214.2400,214.2400,766600,0.0000,1.0000
2019-11-01,217.9900,219.4100,214.5200,217.2400,217.2400,916700,0.0000,1.0000
2019-10-31,219.1900,220.5600,217.2700,217.6600,217.6600,838400,0.0000,1.0000
2019-10-30,216.1100,219.0600,214.7800,218.9800,218.9800,985000,0.0000,1.0000
2019-10-29,216.7000,216.7000,214.0600,215.3100,215.3100,1830500,0.0000,1.0000
2019-10-28,219.4200,219.4200,216.3900,216.9900,216.9900,1122400,0.0000,1.0000
2019-10-25,219.7400,220.8300,218.8500,219.4100,219.4100,522200,0.0000,1.0000
2019-10-24,221.2800,222.0700,219.4800,220.2400,220.2400,406500,0.0000,1.0000
2019-10-23,222.1200,222.1400,219.2000,221.5300,221.5300,554200,0.0000,1.0000
2019-10-22,222.5200,222.8700,220.8300,221.8300,221.8300,765000,0.0000,1.0000
2019-10-21,220.2300,222.0400,219.0900,222.0400,222.0400,762200,0.0000,1.0000
2019-10-18,219.3300,220.4000,218.2400,220.1700,220.1700,573300,0.0000,1.0000
2019-10-17,218.9400,220.1200,218.7000,219.0800,219.0800,516700,0.0000,1.0000
2019-10-16,217.5100,219.3300,215.8900,219.2100,219.2100,585600,0.0000,1.0000
2019-10-15,218.2000,218.7700,215.6000,217.3700,217.3700,658600,0.0000,1.0000
2019-10-14,218.0100,218.1800,216.8000,218.0800,218.0800,371200,0.0000,1.0000
2019-10-11,218.9700,219.0700,216.6900,218.0800,218.0800,410900,0.0000,1.0000
2019-10-10,218.6000,219.6000,216.5400,218.6800,218.6800,466300,0.0000,1.0000
2019-10-09,218.0700,219.7100,217.6100,218.7500,218.7500,599700,0.0000,1.0000
2019-10-08,218.0500,219.4200,215.5200,217.7300,217.7300,831300,0.0000,1.0000
2019-10-07,218.9700,219.5200,217.4000,219.2000,219.2000,514300,0.0000,1.0000
2019-10-04,218.1900,219.1700,217.2400,219.0000,219.0000,656900,0.0000,1.0000
2019-10-03,214.5800,218.4400,214.5800,217.9700,217.9700,876900,0.0000,1.0000
2019-10-02,213.7100,215.1600,212.1300,215.0000,215.0000,887500,0.0000,1.0000
2019-10-01,214.7300,215.4800,212.1200,214.0000,214.0000,724400,0.0000,1.0000
2019-09-30,213.9800,216.3300,213.8500,215.3300,215.3300,907700,0.0000,1.0000
2019-09-27,214.3800,215.3100,212.8200,214.2700,214.2700,689600,1.5200,1.0000
2019-09-26,213.8000,216.1300,213.2800,215.5800,214.0600,963300,0.0000,1.0000
2019-09-25,211.3800,213.7700,211.3300,212.7400,211.2400,1531900,0.0000,1.0000
2019-09-24,211.0000,212.7300,210.2800,211.3700,209.8797,554200,0.0000,1.0000
2019-09-23,208.0000,211.3300,208.0000,210.4400,208.9562,465600,0.0000,1.0000
2019-09-20,211.0000,211.2500,209.0500,209.0600,207.5860,993300,0.0000,1.0000
2019-09-19,211.8300,212.4300,210.2000,210.7600,209.2740,347000,0.0000,1.0000
2019-09-18,212.0300,212.3600,210.0100,211.3100,209.8201,359700,0.0000,1.0000
2019-09-17,210.5400,212.5400,210.4300,211.5100,210.0187,470200,0.0000,1.0000
2019-09-16,208.2400,210.3800,206.6700,209.9000,208.4200,561000,0.0000,1.0000
2019-09-13,208.6500,209.6000,205.4800,207.1100,205.6497,733300,0.0000,1.0000
2019-09-12,211.8200,213.0000,208.5000,209.5300,208.0527,776800,0.0000,1.0000
2019-09-11,209.7400,209.8900,207.0000,209.7200,208.2413,679800,0.0000,1.0000
2019-09-10,213.0000,213.0000,208.2100,210.2500,208.7676,698200,0.0000,1.0000
2019-09-09,215.5300,215.5300,213.0900,213.8800,212.3720,601200,0.0000,1.0000
2019-09-06,214.9500,216.5600,214.8400,215.7500,214.2288,694500,0.0000,1.0000
2019-09-05,215.4900,216.2400,213.8700,214.7100,213.1961,594900,0.0000,1.0000
2019-09-04,215.4700,216.8000,214.7500,216.1600,214.6359,720100,0.0000,1.0000
2019-09-03,211.9200,214.5700,211.9200,214.0900,212.5805,505200,0.0000,1.0000
2019-08-30,213.1200,213.1400,211.1000,212.5600,211.0613,502100,0.0000,1.0000
2019-08-29,210.5700,212.2200,209.7000,211.9700,210.4754,560900,0.0000,1.0000
2019-08-28,208.1800,209.7000,208.0800,209.4500,207.9732,382400,0.0000,1.0000
2019-08-27,209.8600,210.8600,208.0500,208.0800,206.6129,670500,0.0000,1.0000
2019-08-26,207.1700,208.8500,206.0800,208.7100,207.2384,381900,0.0000,1.0000
2019-08-23,208.6300,209.9900,205.5100,206.1600,204.7064,602700,0.0000,1.0000
2019-08-22,208.2500,209.3200,206.9600,208.8800,207.4072,347700,0.0000,1.0000
2019-08-21,207.0900,208.7400,206.3100,207.9500,206.4838,422000,0.0000,1.0000
2019-08-20,208.2600,209.1300,206.1700,206.5400,205.0837,634600,0.0000,1.0000
2019-08-19,206.9100,208.4800,205.2700,207.7100,206.2455,374100,0.0000,1.0000
