timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,120.2700,120.9650,120.1300,120.2600,120.2600,1803042,0.0000,1.0000
2019-11-12,120.8700,121.2300,120.4100,120.8900,120.8900,2012400,0.0000,1.0000
2019-11-11,120.7600,121.8100,120.5100,120.9000,120.9000,1704100,0.0000,1.0000
2019-11-08,121.0100,121.8100,120.8900,121.4700,121.4700,1984600,0.0000,1.0000
2019-11-07,120.2700,122.4300,120.1000,121.2800,121.2800,2845000,0.0000,1.0000
2019-11-06,118.8900,119.7200,118.8900,119.6900,119.6900,2420700,0.0000,1.0000
2019-11-05,119.8400,119.9600,117.7600,118.7700,118.7700,2630000,0.0000,1.0000
2019-11-04,119.6200,120.5000,119.0100,119.6200,119.6200,1956400,0.0000,1.0000
2019-11-01,118.4100,119.4500,118.1700,119.1400,119.1400,2036500,0.0000,1.0000
2019-10-31,117.7900,118.2100,116.8900,117.2800,117.2800,2507400,0.0000,1.0000
2019-10-30,117.4400,118.1700,116.8600,118.0700,118.0700,2264200,0.0000,1.0000
2019-10-29,118.0900,118.8300,117.0800,117.4200,117.4200,2756300,0.0000,1.0000
2019-10-28,118.6400,119.3000,118.0700,118.5800,118.5800,2552700,0.0000,1.0000
2019-10-25,116.3600,118.5100,116.2700,118.2600,118.2600,2324800,0.0000,1.0000
2019-10-24,116.4400,116.9000,116.1400,116.4100,116.4100,2551300,0.0000,1.0000
2019-10-23,118.4200,119.2300,115.5100,116.4900,116.4900,3921100,0.0000,1.0000
2019-10-22,118.6700,119.3500,118.2900,118.6100,118.6100,3912100,0.0000,1.0000
2019-10-21,117.5500,119.3800,117.4900,119.0500,119.0500,4259500,0.0000,1.0000
2019-10-18,119.7300,119.9800,116.6700,116.7600,116.7600,6188500,0.0000,1.0000
2019-10-17,118.0100,119.3300,117.9600,119.1000,119.1000,3005500,0.0000,1.0000
2019-10-16,117.6300,117.9900,117.0700,117.4100,117.4100,2136700,0.0000,1.0000
2019-10-15,117.0300,118.1900,116.7300,117.5900,117.5900,2379700,0.0000,1.0000
2019-10-14,116.1400,117.0000,115.9400,116.3900,116.3900,1864400,0.0000,1.0000
2019-10-11,116.7400,117.5700,116.1900,116.4000,116.4000,2860400,0.0000,1.0000
2019-10-10,114.8100,115.7900,113.9300,115.0200,115.0200,2384300,0.0000,1.0000
2019-10-09,113.2500,114.7700,113.2300,113.9200,113.9200,2365600,0.0000,1.0000
2019-10-08,112.8300,113.6500,112.0500,112.5400,112.5400,3757300,0.0000,1.0000
2019-10-07,113.9100,114.6500,113.6000,113.6500,113.6500,2556000,0.0000,1.0000
2019-10-04,112.6600,114.5300,112.6000,114.4100,114.4100,2728200,0.0000,1.0000
2019-10-03,112.2000,112.9600,111.0600,112.5500,112.5500,3529300,0.4300,1.0000
2019-10-02,115.7600,115.8100,112.7500,112.8600,112.4300,4908800,0.0000,1.0000
2019-10-01,118.7000,119.5000,116.6100,116.7000,116.2554,2841300,0.0000,1.0000
2019-09-30,119.0500,119.2400,118.1400,118.2800,117.8293,2345800,0.0000,1.0000
2019-09-27,119.1300,119.6200,117.9800,118.5900,118.1382,2909200,0.0000,1.0000
2019-09-26,119.3100,120.0300,118.8400,118.9100,118.4569,3411200,0.0000,1.0000
2019-09-25,117.8600,119.4400,117.0600,119.1200,118.6662,2742900,0.0000,1.0000
2019-09-24,118.8900,120.2000,117.5200,118.1700,117.7198,5128400,0.0000,1.0000
2019-09-23,116.3600,118.4200,116.1000,118.2400,117.7895,5089400,0.0000,1.0000
2019-09-20,117.8300,118.2400,116.3700,116.8000,116.3550,5301500,0.0000,1.0000
2019-09-19,118.6100,119.5200,117.6000,117.7900,117.3412,1975800,0.0000,1.0000
2019-09-18,118.5900,118.8000,117.4700,118.7400,118.2876,2844500,0.0000,1.0000
2019-09-17,117.9000,119.1300,117.5000,119.0500,118.5964,3054700,0.0000,1.0000
2019-09-16,118.1400,118.4400,116.6800,117.6400,117.1918,4280600,0.0000,1.0000
2019-09-13,119.2400,119.9700,118.2900,119.2000,118.7458,3941100,0.0000,1.0000
2019-09-12,119.0000,120.4300,118.7800,119.0200,118.5665,3733500,0.0000,1.0000
2019-09-11,117.1200,118.1000,116.7500,118.0000,117.5504,3674400,0.0000,1.0000
2019-09-10,119.6000,119.6100,116.3000,117.3100,116.8630,6196100,0.0000,1.0000
2019-09-09,121.2100,121.4100,119.5200,119.9200,119.4631,5336000,0.0000,1.0000
2019-09-06,121.1400,121.1900,120.0000,120.1900,119.7321,4552400,0.0000,1.0000
2019-09-05,119.5000,121.6300,119.5000,120.6700,120.2102,5261100,0.0000,1.0000
2019-09-04,118.4200,118.7300,117.8000,118.4000,117.9489,3746900,0.0000,1.0000
2019-09-03,119.8600,120.2800,117.5200,117.6000,117.1519,3198700,0.0000,1.0000
2019-08-30,121.4700,121.6600,119.8200,120.3700,119.9114,2366200,0.0000,1.0000
2019-08-29,120.4600,121.2000,119.9600,120.7400,120.2800,1901300,0.0000,1.0000
2019-08-28,117.0300,119.3100,116.9700,119.0900,118.6363,2327400,0.0000,1.0000
2019-08-27,119.0900,119.3400,116.8500,117.7500,117.3014,3145800,0.0000,1.0000
2019-08-26,118.3300,118.9400,117.3800,118.5300,118.0784,3170600,0.0000,1.0000
2019-08-23,122.0000,122.0500,117.0600,117.7600,117.3113,4800400,0.0000,1.0000
2019-08-22,123.3100,123.7100,121.7700,122.2700,121.8041,2322100,0.0000,1.0000
2019-08-21,122.5000,123.0600,121.9900,122.5000,122.0333,2948300,0.0000,1.0000
2019-08-20,123.6300,123.7800,121.3400,121.4200,120.9574,3641600,0.0000,1.0000
2019-08-19,126.1000,126.1500,124.3400,124.4000,123.9260,3286700,0.0000,1.0000
2019-08-16,123.5000,124.7500,121.1400,124.6300,124.1552,2343400,0.0000,1.0000
2019-08-15,122.6500,123.0000,121.1313,122.3800,121.9137,3031700,0.0000,1.0000
2019-08-14,124.3500,125.3300,122.1300,122.6500,122.1827,5626300,0.0000,1.0000
2019-08-13,123.8600,126.5000,122.5100,126.3200,125.8387,3175700,0.0000,1.0000
2019-08-12,124.9900,125.7100,123.8000,123.9500,123.4777,2918000,0.0000,1.0000
2019-08-09,125.5800,126.7400,124.7200,126.1700,125.6893,2138300,0.0000,1.0000
2019-08-08,123.8500,125.7000,123.7000,125.2900,124.8126,2976100,0.0000,1.0000
2019-08-07,120.9200,123.8500,120.2200,123.5400,123.0693,3170800,0.0000,1.0000
2019-08-06,121.0605,122.8500,120.8700,122.5500,122.0831,3497000,0.0000,1.0000
2019-08-05,122.4600,123.0800,120.1600,120.7200,120.2601,5876200,0.0000,1.0000
2019-08-02,123.9200,124.9100,123.0800,124.3100,123.8364,3268800,0.0000,1.0000
2019-08-01,123.7700,126.1300,123.5200,124.0900,123.6172,4489800,0.0000,1.0000
2019-07-31,126.5300,126.5900,123.6200,124.3700,123.8961,3221000,0.0000,1.0000
2019-07-30,126.5700,126.9100,126.3000,126.4700,125.9881,1575400,0.0000,1.0000
2019-07-29,126.9100,127.4600,126.5400,127.1900,126.7054,1829500,0.0000,1.0000
2019-07-26,127.0900,127.5600,126.3000,126.7800,126.2970,4236200,0.0000,1.0000
2019-07-25,127.8100,128.1900,126.5000,127.1500,126.6656,2663500,0.0000,1.0000
2019-07-24,127.7100,128.2200,126.7900,127.9500,127.4625,3628300,0.0000,1.0000
2019-07-23,126.3800,128.9800,126.3600,128.2000,127.7115,4055100,0.0000,1.0000
2019-07-22,124.7500,126.0100,124.7000,126.0000,125.5199,4839700,0.0000,1.0000
2019-07-19,126.8000,128.0000,123.8000,124.8200,124.3444,7819000,0.0000,1.0000
2019-07-18,126.6900,129.0804,126.6600,128.4000,127.9108,3524500,0.0000,1.0000
2019-07-17,128.0200,128.6400,127.0100,127.0800,126.5958,2248900,0.0000,1.0000
2019-07-16,129.2200,129.3400,127.8000,128.0600,127.5721,2734000,0.0000,1.0000
2019-07-15,128.2500,128.6800,127.7600,128.5700,128.0802,2355700,0.0000,1.0000
2019-07-12,127.5500,128.0000,126.8700,127.9600,127.4725,1639400,0.0000,1.0000
2019-07-11,126.9800,127.6900,126.4400,127.2800,126.7951,2928100,0.0000,1.0000
2019-07-10,126.7000,128.4200,126.7000,126.8900,126.4065,2733800,0.0000,1.0000
2019-07-09,124.2700,126.0400,124.1800,125.9000,125.4203,2237100,0.0000,1.0000
2019-07-08,124.9900,125.2300,124.6400,124.8500,124.3743,3332000,0.0000,1.0000
2019-07-05,126.1300,126.1900,124.3100,125.4000,124.9222,3731500,0.0000,1.0000
2019-07-03,125.2100,126.0500,124.9400,125.8600,125.3805,3714300,0.3900,1.0000
2019-07-02,124.7800,125.3300,124.6145,125.1000,124.2348,4076100,0.0000,1.0000
2019-07-01,125.3000,126.4000,124.5500,124.9200,124.0561,4008800,0.0000,1.0000
2019-06-28,124.2900,124.5450,123.2000,123.4400,122.5863,4338900,0.0000,1.0000
2019-06-27,123.6900,124.4100,123.5621,123.9400,123.0829,1504300,0.0000,1.0000
2019-06-26,123.1800,124.0000,123.0300,123.5900,122.7353,1902500,0.0000,1.0000
2019-06-25,124.2700,124.5700,123.0400,123.1600,122.3083,2387800,0.0000,1.0000
2019-06-24,124.9800,125.4200,124.0100,124.1400,123.2815,2680900,0.0000,1.0000
2019-06-21,125.2000,126.3100,124.5600,124.7300,123.8674,5703800,0.0000,1.0000
2019-06-20,125.6900,126.4000,124.4700,124.9200,124.0561,3303200,0.0000,1.0000
2019-06-19,124.2400,124.9200,123.6800,124.6800,123.8178,2951700,0.0000,1.0000
2019-06-18,122.8100,125.0500,122.2100,123.4300,122.5764,2729200,0.0000,1.0000
2019-06-17,122.2365,122.2400,121.3000,121.4500,120.6101,2094200,0.0000,1.0000
2019-06-14,122.0100,122.6100,120.9400,122.0000,121.1563,2483800,0.0000,1.0000
2019-06-13,122.0900,122.6935,121.4200,121.8600,121.0173,2343900,0.0000,1.0000
2019-06-12,122.9200,123.1900,121.5900,122.0300,121.1861,2685700,0.0000,1.0000
2019-06-11,123.5500,124.7400,123.0800,123.2300,122.3778,3303800,0.0000,1.0000
2019-06-10,121.6000,123.4450,121.4100,122.6600,121.8117,3453700,0.0000,1.0000
2019-06-07,119.8700,121.3600,119.5600,121.1100,120.2724,2481800,0.0000,1.0000
2019-06-06,118.4200,119.6400,118.1500,119.4300,118.6041,2209300,0.0000,1.0000
2019-06-05,117.1800,118.2400,117.0100,118.1200,117.3031,2568100,0.0000,1.0000
2019-06-04,115.7100,117.0000,115.2300,116.8500,116.0419,3043200,0.0000,1.0000
2019-06-03,114.5600,115.9300,113.8940,114.6200,113.8273,2968500,0.0000,1.0000
2019-05-31,115.7620,115.9800,114.5600,114.7100,113.9167,2969100,0.0000,1.0000
2019-05-30,117.2100,117.3100,116.1050,116.7400,115.9327,1882400,0.0000,1.0000
2019-05-29,117.7100,117.8100,116.0400,117.0100,116.2008,2553900,0.0000,1.0000
2019-05-28,119.3600,120.1235,118.1700,118.1700,117.3528,2550300,0.0000,1.0000
2019-05-24,119.2100,119.6300,118.3260,119.5100,118.6835,2240100,0.0000,1.0000
2019-05-23,119.2700,119.4000,117.8500,118.4300,117.6110,3290200,0.0000,1.0000
2019-05-22,120.3600,120.8800,119.4400,120.0100,119.1801,2941100,0.0000,1.0000
2019-05-21,120.4700,120.6750,119.3400,120.5500,119.7163,3369100,0.0000,1.0000
2019-05-20,118.8300,120.3250,118.6200,119.8400,119.0112,2765600,0.0000,1.0000
2019-05-17,118.6000,119.5900,118.5065,119.0700,118.2466,5273600,0.0000,1.0000
2019-05-16,117.7700,120.3450,117.7700,119.8400,119.0112,4143500,0.0000,1.0000
2019-05-15,116.1806,118.2300,115.9000,117.6600,116.8463,2711400,0.0000,1.0000
2019-05-14,115.9800,117.7190,115.7700,117.0100,116.2008,2460700,0.0000,1.0000
2019-05-13,116.4200,116.8900,115.6200,115.9000,115.0985,3710600,0.0000,1.0000
2019-05-10,116.8620,118.9300,116.2100,118.4600,117.6408,2435100,0.0000,1.0000
2019-05-09,116.1500,117.2900,115.3800,117.2600,116.4491,3219600,0.0000,1.0000
2019-05-08,117.8300,118.1100,116.8081,117.4900,116.6775,4037500,0.0000,1.0000
2019-05-07,118.3700,119.4100,117.6524,118.2200,117.4024,6282300,0.0000,1.0000
2019-05-06,117.2600,119.6100,117.0500,119.3400,118.5147,2924500,0.0000,1.0000
2019-05-03,117.9100,119.6550,117.6300,119.3500,118.5246,2856200,0.0000,1.0000
2019-05-02,117.0000,117.6500,116.6800,117.2500,116.4391,2538700,0.0000,1.0000
2019-05-01,117.4700,117.9900,116.9300,117.0200,116.2107,2450500,0.0000,1.0000
2019-04-30,117.0500,117.3500,116.1000,117.2300,116.4193,2387900,0.0000,1.0000
2019-04-29,117.2400,117.7000,116.5450,116.7600,115.9525,3096200,0.0000,1.0000
2019-04-26,116.5846,117.7300,116.1000,117.6000,116.7867,2990600,0.0000,1.0000
2019-04-25,115.2300,116.5000,114.7500,115.8800,115.0786,4595200,0.0000,1.0000
2019-04-24,113.7600,114.3600,113.4200,114.0200,113.2315,2318400,0.0000,1.0000
2019-04-23,112.1834,114.0400,111.9000,113.9700,113.1818,3342800,0.0000,1.0000
2019-04-22,112.6000,113.4000,112.2300,112.3300,111.5532,3174400,0.0000,1.0000
2019-04-18,112.2500,114.1400,111.3200,113.6700,112.8839,6186800,0.0000,1.0000
2019-04-17,112.3100,112.5000,111.2500,111.7600,110.9871,3799900,0.0000,1.0000
2019-04-16,111.0900,112.0300,110.9400,111.8800,111.1063,2523400,0.0000,1.0000
2019-04-15,110.9200,110.9700,110.2500,110.5300,109.7656,2285000,0.0000,1.0000
2019-04-12,110.8200,111.5500,110.4500,110.9100,110.1430,2316900,0.0000,1.0000
2019-04-11,110.5100,110.8300,109.4200,109.8500,109.0903,2320600,0.0000,1.0000
2019-04-10,110.4800,110.4800,109.5200,110.1600,109.3982,2650100,0.0000,1.0000
2019-04-09,110.0100,110.3100,109.4900,109.8500,109.0903,2869300,0.0000,1.0000
2019-04-08,110.6200,110.8500,109.9150,110.7000,109.9344,4776600,0.0000,1.0000
2019-04-05,110.4800,111.2100,110.4400,110.9600,110.1926,4553700,0.0000,1.0000
2019-04-04,110.3300,110.4900,109.5000,110.1200,109.3585,3619600,0.3900,1.0000
2019-04-03,111.8200,112.0000,110.3450,110.5600,109.4081,3719700,0.0000,1.0000
2019-04-02,111.2100,111.4600,110.3700,111.0000,109.8435,3568900,0.0000,1.0000
2019-04-01,110.2900,112.0400,110.0800,111.7000,110.5362,5125100,0.0000,1.0000
2019-03-29,110.2000,110.3850,109.1400,109.3000,108.1612,4891000,0.0000,1.0000
2019-03-28,109.4200,109.8800,108.4900,109.1600,108.0227,2693300,0.0000,1.0000
2019-03-27,109.6800,110.0000,108.3300,108.9800,107.8446,3346600,0.0000,1.0000
2019-03-26,109.9900,110.4000,109.0500,109.5000,108.3591,2844500,0.0000,1.0000
2019-03-25,109.2800,110.0700,108.1900,109.0400,107.9039,3596200,0.0000,1.0000
2019-03-22,111.2900,111.3336,108.9880,109.4600,108.3196,3737400,0.0000,1.0000
2019-03-21,109.9664,112.1800,109.8100,111.8200,110.6550,3111000,0.0000,1.0000
2019-03-20,112.2600,112.4600,110.6000,110.7700,109.6159,3309300,0.0000,1.0000
2019-03-19,114.2200,114.2200,112.3600,112.6700,111.4961,3331300,0.0000,1.0000
2019-03-18,113.7500,114.2500,113.1600,113.5500,112.3670,2918000,0.0000,1.0000
2019-03-15,112.7100,113.7748,112.5300,113.5200,112.3373,4780400,0.0000,1.0000
2019-03-14,112.3900,112.7800,111.8800,112.3500,111.1795,3538200,0.0000,1.0000
2019-03-13,110.1800,112.2600,110.0900,112.1400,110.9716,4234100,0.0000,1.0000
2019-03-12,109.7400,111.2750,109.7400,110.4300,109.2794,3917500,0.0000,1.0000
2019-03-11,109.0100,109.7900,108.7100,109.5600,108.4185,3289200,0.0000,1.0000
2019-03-08,106.7900,108.0731,106.6800,107.9800,106.8550,2077100,0.0000,1.0000
2019-03-07,108.5600,108.6300,107.4000,107.8600,106.7362,3048200,0.0000,1.0000
2019-03-06,108.9300,109.4500,108.8500,108.9800,107.8446,2616000,0.0000,1.0000
2019-03-05,109.0300,109.3150,108.3200,108.8500,107.7159,2685700,0.0000,1.0000
2019-03-04,109.5701,110.0900,107.7600,109.0000,107.8644,4053200,0.0000,1.0000
2019-03-01,108.4037,109.6500,108.2000,108.9000,107.7654,2682000,0.0000,1.0000
2019-02-28,107.2200,108.4460,107.0800,107.7400,106.6175,3295800,0.0000,1.0000
2019-02-27,106.8600,107.6250,106.6000,107.4200,106.3008,2393500,0.0000,1.0000
2019-02-26,106.6700,107.6200,106.4200,106.9400,105.8258,2548100,0.0000,1.0000
2019-02-25,108.2000,108.8470,106.7600,106.9300,105.8159,3333500,0.0000,1.0000
2019-02-22,106.9800,107.5500,106.8600,107.4400,106.3206,2256400,0.0000,1.0000
2019-02-21,106.7400,106.9500,106.3200,106.6100,105.4993,2566500,0.0000,1.0000
2019-02-20,106.5700,107.1790,106.5000,106.7800,105.6675,3840800,0.0000,1.0000
2019-02-19,107.0511,107.2300,106.4600,106.5000,105.3904,3692800,0.0000,1.0000
2019-02-15,107.3300,108.0900,107.1200,107.3800,106.2612,3882300,0.0000,1.0000
