timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,27.6500,27.6500,27.1850,27.3000,27.3000,2597345,0.0000,1.0000
2019-11-12,27.9400,28.2100,27.6800,27.9700,27.9700,2664800,0.0000,1.0000
2019-11-11,28.1000,28.3500,27.8800,27.9600,27.9600,2571300,0.0000,1.0000
2019-11-08,28.6600,28.7600,28.1100,28.2800,28.2800,2871300,0.0000,1.0000
2019-11-07,28.9100,29.0500,28.6100,28.7400,28.7400,2585700,0.0000,1.0000
2019-11-06,28.9500,29.0000,28.4900,28.5600,28.5600,3606800,0.0000,1.0000
2019-11-05,28.8300,29.2700,28.7200,28.9900,28.9900,3974800,0.0000,1.0000
2019-11-04,28.3300,28.7100,28.2700,28.6700,28.6700,2315600,0.0000,1.0000
2019-11-01,27.8200,28.1400,27.7500,28.0500,28.0500,2257900,0.0000,1.0000
2019-10-31,27.9200,28.0700,27.3700,27.5500,27.5500,8275900,0.0000,1.0000
2019-10-30,27.9600,28.1900,27.6400,28.0700,28.0700,2230900,0.0000,1.0000
2019-10-29,28.1900,28.4700,28.0000,28.1200,28.1200,3249800,0.0000,1.0000
2019-10-28,28.0700,28.5900,28.0400,28.4100,28.4100,2745200,0.0000,1.0000
2019-10-25,27.4100,28.1300,26.8100,27.8300,27.8300,4208700,0.0000,1.0000
2019-10-24,28.0800,28.3600,27.8500,28.1400,28.1400,4678900,0.0000,1.0000
2019-10-23,27.0000,27.9100,26.9600,27.8800,27.8800,6935000,0.0000,1.0000
2019-10-22,27.4300,27.8200,26.9800,27.0800,27.0800,4767600,0.0000,1.0000
2019-10-21,27.4900,27.7700,27.3800,27.4300,27.4300,2502600,0.0000,1.0000
2019-10-18,27.0300,27.5100,26.9900,27.2200,27.2200,5204700,0.0000,1.0000
2019-10-17,27.2100,27.4100,26.9400,27.1400,27.1400,2010500,0.0000,1.0000
2019-10-16,27.2100,27.4600,26.8500,26.8900,26.8900,2268800,0.0000,1.0000
2019-10-15,27.2400,27.5900,26.9800,27.2700,27.2700,3570100,0.0000,1.0000
2019-10-14,27.1700,27.1700,26.5100,26.9700,26.9700,2345900,0.0000,1.0000
2019-10-11,27.1200,27.8300,27.0900,27.3200,27.3200,3989600,0.0000,1.0000
2019-10-10,26.5400,26.9100,26.4700,26.5300,26.5300,2075100,0.0000,1.0000
2019-10-09,26.4800,26.5700,26.1800,26.3700,26.3700,2770600,0.0000,1.0000
2019-10-08,26.7900,26.8000,26.2600,26.2800,26.2800,3415000,0.0000,1.0000
2019-10-07,27.2300,27.4500,26.9200,27.1400,27.1400,3340200,0.0000,1.0000
2019-10-04,27.0500,27.3800,26.8300,27.3800,27.3800,2298600,0.0000,1.0000
2019-10-03,26.9300,27.2100,26.4700,27.1300,27.1300,2503200,0.0000,1.0000
2019-10-02,27.5500,27.6800,27.0500,27.0600,27.0600,4004300,0.0000,1.0000
2019-10-01,28.8600,29.0500,27.8800,27.9100,27.9100,2874600,0.0000,1.0000
2019-09-30,28.7500,29.0800,28.6300,28.8600,28.8600,2705200,0.0000,1.0000
2019-09-27,28.6300,28.9500,28.4600,28.6300,28.6300,1832600,0.2600,1.0000
2019-09-26,28.7900,28.8200,28.4100,28.6600,28.4000,2007600,0.0000,1.0000
2019-09-25,28.4300,28.8500,28.3500,28.7900,28.5288,3080400,0.0000,1.0000
2019-09-24,29.2100,29.2600,28.2400,28.4300,28.1721,3664100,0.0000,1.0000
2019-09-23,29.0100,29.3700,28.9200,29.0800,28.8162,2956900,0.0000,1.0000
2019-09-20,29.6700,29.6700,29.1000,29.3400,29.0738,5265000,0.0000,1.0000
2019-09-19,29.5900,29.9500,29.4700,29.5600,29.2918,2356900,0.0000,1.0000
2019-09-18,29.3100,29.6100,29.2300,29.4400,29.1729,1930200,0.0000,1.0000
2019-09-17,29.3000,29.6700,28.9900,29.4600,29.1927,2395100,0.0000,1.0000
2019-09-16,29.5600,29.8200,29.5100,29.7300,29.4603,2421300,0.0000,1.0000
2019-09-13,30.0000,30.2100,29.8700,29.9100,29.6387,3341300,0.0000,1.0000
2019-09-12,29.5200,29.9400,29.3700,29.7900,29.5197,3792200,0.0000,1.0000
2019-09-11,28.4500,29.5400,28.0100,29.4800,29.2126,6147600,0.0000,1.0000
2019-09-10,27.9800,28.4900,27.9700,28.4500,28.1919,4466900,0.0000,1.0000
2019-09-09,27.0800,27.8000,27.0700,27.7800,27.5280,3260000,0.0000,1.0000
2019-09-06,27.0400,27.1400,26.7600,26.9200,26.6758,2131000,0.0000,1.0000
2019-09-05,26.6000,27.2400,26.6000,27.0300,26.7848,2924600,0.0000,1.0000
2019-09-04,26.3000,26.4100,26.1000,26.2300,25.9920,1893800,0.0000,1.0000
