timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,118.0300,119.3300,117.9500,118.8700,118.8700,346625,0.0000,1.0000
2019-11-12,118.4000,119.1200,117.8100,118.2300,118.2300,472100,0.0000,1.0000
2019-11-11,119.0600,119.8100,118.0100,118.6200,118.6200,398300,0.0000,1.0000
2019-11-08,119.9900,120.5000,117.6400,119.5800,119.5800,475300,0.0000,1.0000
2019-11-07,117.2100,120.9700,116.8300,120.4800,120.4800,832200,0.0000,1.0000
2019-11-06,118.4700,119.6600,115.1500,116.8400,116.8400,1537300,0.0000,1.0000
2019-11-05,123.7600,124.2600,122.3700,123.4000,123.4000,705400,0.0000,1.0000
2019-11-04,126.2100,126.2600,123.3400,123.4700,123.4700,423200,0.0000,1.0000
2019-11-01,125.6300,126.7700,125.3600,125.8100,125.8100,364900,0.0000,1.0000
2019-10-31,124.8800,125.9200,122.5000,125.2200,125.2200,344500,0.0000,1.0000
2019-10-30,124.6100,124.9700,123.8500,124.8600,124.8600,461700,0.0000,1.0000
2019-10-29,124.6300,126.0900,124.0600,124.6000,124.6000,432800,0.0000,1.0000
2019-10-28,124.2600,125.2300,124.0900,124.7500,124.7500,316400,0.0000,1.0000
2019-10-25,124.5500,125.1800,123.3800,123.5500,123.5500,455900,0.0000,1.0000
2019-10-24,123.6000,125.4900,122.5700,124.7800,124.7800,635800,0.0000,1.0000
2019-10-23,121.6500,123.4300,121.5100,123.1000,123.1000,491200,0.0000,1.0000
2019-10-22,124.3900,124.6600,121.5600,121.6700,121.6700,435800,0.0000,1.0000
2019-10-21,123.3800,123.8100,121.9900,123.6500,123.6500,379800,0.0000,1.0000
2019-10-18,125.0800,125.1400,122.1300,122.9800,122.9800,456700,0.0000,1.0000
2019-10-17,125.4800,126.4900,125.0400,125.3800,125.3800,327500,0.0000,1.0000
2019-10-16,124.8900,125.2600,123.6000,125.2300,125.2300,545600,0.0000,1.0000
2019-10-15,124.0100,125.5600,123.7600,125.2400,125.2400,330000,0.0000,1.0000
2019-10-14,124.4100,124.8500,123.4500,123.6000,123.6000,229200,0.0000,1.0000
2019-10-11,123.8300,125.5700,123.8300,124.3400,124.3400,409400,0.0000,1.0000
2019-10-10,120.5400,122.8500,119.6100,122.5400,122.5400,452700,0.0000,1.0000
2019-10-09,120.6100,121.3000,119.8500,120.8400,120.8400,1438700,0.0000,1.0000
2019-10-08,120.9700,121.4300,118.9900,119.5700,119.5700,1481700,0.0000,1.0000
2019-10-07,122.4800,122.6600,121.2700,121.7900,121.7900,976700,0.0000,1.0000
2019-10-04,122.5100,123.4600,121.9200,123.0000,123.0000,735500,0.0000,1.0000
2019-10-03,121.3300,122.3000,119.2600,121.6700,121.6700,809300,0.0000,1.0000
2019-10-02,123.9000,124.0600,121.4900,121.6300,121.6300,741600,0.0000,1.0000
2019-10-01,125.0500,126.7100,124.5000,124.9000,124.9000,446200,0.0000,1.0000
2019-09-30,123.9400,125.3500,123.9400,124.4300,124.4300,556300,0.0000,1.0000
2019-09-27,127.2800,127.2800,122.7500,123.8800,123.8800,434800,0.0000,1.0000
2019-09-26,126.8200,127.5800,125.5800,126.6500,126.6500,364800,0.0000,1.0000
2019-09-25,125.1300,126.8900,124.2700,126.6200,126.6200,258500,0.0000,1.0000
2019-09-24,126.5200,128.2800,124.9700,125.4600,125.4600,644200,0.0000,1.0000
2019-09-23,126.1900,126.5400,124.2900,125.4300,125.4300,476500,0.0000,1.0000
2019-09-20,127.0400,128.3300,126.2000,126.7100,126.7100,1037600,0.0000,1.0000
2019-09-19,128.3400,128.3400,126.2000,126.8700,126.8700,375100,0.0000,1.0000
2019-09-18,127.5200,128.2700,124.4400,126.3400,126.3400,489000,0.0000,1.0000
2019-09-17,125.1600,127.3000,125.1600,127.1800,127.1800,454900,0.0000,1.0000
2019-09-16,123.4000,125.4200,123.1700,124.8600,124.8600,309100,0.0000,1.0000
2019-09-13,124.7200,124.8000,123.4500,124.0200,124.0200,358700,0.0000,1.0000
2019-09-12,125.1000,126.2300,124.1500,124.3000,124.3000,372300,0.5400,1.0000
2019-09-11,124.9800,125.3500,123.8600,124.6500,124.1100,518400,0.0000,1.0000
2019-09-10,128.3800,128.3800,123.9200,125.0000,124.4585,582600,0.0000,1.0000
2019-09-09,131.0500,131.0500,128.4700,129.1700,128.6104,381800,0.0000,1.0000
2019-09-06,132.1100,132.1100,130.1600,130.2900,129.7256,414800,0.0000,1.0000
2019-09-05,130.0000,131.9600,129.6900,131.5100,130.9403,326000,0.0000,1.0000
2019-09-04,129.9000,129.9700,128.5600,129.7800,129.2178,398400,0.0000,1.0000
2019-09-03,128.5500,129.5500,127.8500,128.3500,127.7940,426700,0.0000,1.0000
2019-08-30,131.2700,131.4300,129.0800,129.4400,128.8793,465200,0.0000,1.0000
2019-08-29,130.0600,131.0400,129.4600,130.3300,129.7654,428800,0.0000,1.0000
2019-08-28,128.7500,129.1300,126.9600,128.5800,128.0230,561200,0.0000,1.0000
2019-08-27,129.5000,130.8600,128.7000,129.4500,128.8892,650300,0.0000,1.0000
2019-08-26,128.1400,128.7700,126.7500,128.3300,127.7741,606600,0.0000,1.0000
2019-08-23,129.7700,130.9400,126.9700,127.4600,126.9078,1743600,0.0000,1.0000
2019-08-22,130.8400,131.6600,129.3400,130.1900,129.6260,580400,0.0000,1.0000
2019-08-21,129.1100,131.4200,129.0100,131.2700,130.7013,637800,0.0000,1.0000
2019-08-20,128.3700,129.4800,127.4900,128.1800,127.6247,482400,0.0000,1.0000
2019-08-19,129.0000,129.6000,128.1800,128.2500,127.6944,1051400,0.0000,1.0000
2019-08-16,127.2000,128.4600,125.4800,128.2200,127.6645,564800,0.0000,1.0000
2019-08-15,126.2900,126.9900,125.4800,126.6700,126.1212,1045800,0.0000,1.0000
2019-08-14,125.2333,126.2900,124.3500,125.5800,125.0360,1209700,0.0000,1.0000
2019-08-13,124.7000,126.7900,123.7600,126.7500,126.2009,1086700,0.0000,1.0000
2019-08-12,125.4100,125.7150,124.0200,124.4800,123.9407,334700,0.0000,1.0000
2019-08-09,125.7200,126.8600,124.5000,125.7500,125.2052,429500,0.0000,1.0000
2019-08-08,124.5200,126.5090,124.2800,126.2300,125.6832,597200,0.0000,1.0000
2019-08-07,122.0500,124.1700,120.7300,123.6000,123.0645,585900,0.0000,1.0000
2019-08-06,122.3400,123.5536,120.9300,123.0300,122.4970,824400,0.0000,1.0000
2019-08-05,124.1305,125.2000,120.2800,121.0800,120.5555,982700,0.0000,1.0000
2019-08-02,128.4400,129.1000,127.3000,127.7300,127.1767,752900,0.0000,1.0000
2019-08-01,126.3600,131.3500,125.1000,128.4700,127.9135,1109600,0.0000,1.0000
2019-07-31,128.8200,129.5600,126.4500,127.1200,126.5693,1161100,0.0000,1.0000
2019-07-30,132.7400,133.1461,130.9500,131.2400,130.6715,749000,0.0000,1.0000
2019-07-29,134.6700,134.8400,133.0700,133.7300,133.1507,576200,0.0000,1.0000
2019-07-26,134.9000,135.2200,133.8900,134.4000,133.8177,742200,0.0000,1.0000
2019-07-25,134.9000,136.3700,134.0500,134.6200,134.0368,642800,0.0000,1.0000
2019-07-24,133.9300,134.6118,132.7300,134.1600,133.5788,338500,0.0000,1.0000
2019-07-23,132.7300,134.7800,132.4500,134.1700,133.5888,438100,0.0000,1.0000
2019-07-22,133.8700,134.1200,132.4400,132.6400,132.0654,577700,0.0000,1.0000
2019-07-19,135.4300,136.9900,133.0500,133.1200,132.5433,546100,0.0000,1.0000
2019-07-18,133.1200,134.9200,133.1200,134.8700,134.2857,329700,0.0000,1.0000
2019-07-17,132.5710,133.6000,131.9800,133.2000,132.6230,402100,0.0000,1.0000
2019-07-16,132.8300,133.1100,131.9800,132.2500,131.6771,327900,0.0000,1.0000
2019-07-15,132.5400,133.2200,131.6900,132.5900,132.0156,346300,0.0000,1.0000
2019-07-12,132.8300,133.1700,131.9200,132.3700,131.7966,510200,0.0000,1.0000
2019-07-11,131.6800,132.2100,130.9300,132.1900,131.6173,469600,0.0000,1.0000
2019-07-10,131.4700,132.6900,130.8800,131.1600,130.5918,435100,0.0000,1.0000
2019-07-09,130.6200,131.2500,130.2300,131.0600,130.4922,614800,0.0000,1.0000
2019-07-08,132.0500,132.4400,131.1900,131.2200,130.6515,483900,0.0000,1.0000
2019-07-05,131.6700,132.5200,130.8640,132.4500,131.8762,560200,0.0000,1.0000
2019-07-03,130.8700,132.0500,130.6800,131.8500,131.2788,375000,0.0000,1.0000
2019-07-02,129.6600,131.1350,129.4500,131.0900,130.5221,692400,0.0000,1.0000
2019-07-01,129.3200,129.5000,128.0700,129.3700,128.8096,693700,0.0000,1.0000
2019-06-28,128.9577,129.2900,127.1200,127.6800,127.1269,1255500,0.0000,1.0000
2019-06-27,127.7800,129.5500,126.9000,128.7000,128.1425,1325700,0.0000,1.0000
2019-06-26,128.4000,129.5700,127.2700,127.3300,126.7784,537300,0.0000,1.0000
2019-06-25,128.8500,129.3000,127.7500,128.0600,127.5052,606000,0.0000,1.0000
2019-06-24,129.3600,129.6600,127.9500,128.4400,127.8836,576600,0.0000,1.0000
2019-06-21,130.5500,130.5500,128.5900,128.7200,128.1624,1509000,0.0000,1.0000
2019-06-20,131.8200,132.3100,129.9900,130.5500,129.9845,547100,0.0000,1.0000
2019-06-19,130.0600,130.7500,129.0400,130.5600,129.9944,510900,0.0000,1.0000
2019-06-18,130.1900,130.9100,129.5800,130.0400,129.4766,697400,0.0000,1.0000
2019-06-17,130.6500,131.1450,129.4400,129.7000,129.1381,601000,0.0000,1.0000
2019-06-14,131.2200,131.5700,130.1372,130.1500,129.5862,478000,0.0000,1.0000
2019-06-13,131.4600,131.7928,129.9900,131.1500,130.5818,574900,0.4850,1.0000
2019-06-12,131.1800,132.3100,131.0400,131.4600,130.4076,507800,0.0000,1.0000
2019-06-11,133.1200,133.2700,130.5000,131.0500,130.0009,636500,0.0000,1.0000
2019-06-10,131.9000,133.4500,131.5700,132.1400,131.0822,535900,0.0000,1.0000
2019-06-07,129.3400,131.4100,129.2700,131.0200,129.9711,823600,0.0000,1.0000
2019-06-06,127.7500,128.8800,127.1800,128.3200,127.2927,674400,0.0000,1.0000
2019-06-05,126.7600,128.1981,125.8350,127.8100,126.7868,685800,0.0000,1.0000
2019-06-04,124.2800,126.3000,123.5750,126.3000,125.2889,748300,0.0000,1.0000
2019-06-03,124.9400,125.6000,122.4500,123.1200,122.1344,1852400,0.0000,1.0000
2019-05-31,123.5200,125.5600,123.5142,124.8700,123.8704,995100,0.0000,1.0000
2019-05-30,123.8500,124.8200,123.7300,124.6200,123.6224,710800,0.0000,1.0000
2019-05-29,123.0800,124.5918,122.5400,123.7900,122.7990,1301700,0.0000,1.0000
2019-05-28,124.2800,125.7700,123.7300,123.8200,122.8288,1410100,0.0000,1.0000
2019-05-24,123.7100,124.4200,122.7900,123.9000,122.9081,916100,0.0000,1.0000
2019-05-23,122.2740,123.0720,121.7220,122.9400,121.9558,693400,0.0000,1.0000
2019-05-22,123.6100,124.7200,123.0500,123.1700,122.1840,778000,0.0000,1.0000
2019-05-21,123.0800,124.3300,122.8700,123.8900,122.8982,782900,0.0000,1.0000
2019-05-20,120.8353,122.2600,120.5700,122.1600,121.1821,654400,0.0000,1.0000
2019-05-17,121.2300,122.8500,121.2355,121.6400,120.6662,640900,0.0000,1.0000
2019-05-16,121.0900,123.4600,121.0900,122.4300,121.4499,908100,0.0000,1.0000
2019-05-15,118.0900,121.0100,117.9300,120.6500,119.6841,946700,0.0000,1.0000
2019-05-14,117.9400,119.6400,117.4700,118.7100,117.7597,1076300,0.0000,1.0000
2019-05-13,117.2300,118.3200,116.8400,117.3000,116.3610,1389900,0.0000,1.0000
2019-05-10,116.5600,119.7700,115.9800,119.2000,118.2457,1100100,0.0000,1.0000
2019-05-09,114.7200,117.4400,114.6600,117.0700,116.1328,1158100,0.0000,1.0000
2019-05-08,115.0700,117.0100,114.7100,115.7800,114.8531,735600,0.0000,1.0000
2019-05-07,117.7700,117.7700,114.5300,115.2300,114.3075,1197800,0.0000,1.0000
2019-05-06,115.8400,118.2300,115.2700,118.0300,117.0851,954400,0.0000,1.0000
2019-05-03,117.7621,117.9300,117.0800,117.7700,116.8272,685200,0.0000,1.0000
2019-05-02,116.7600,118.2800,116.3200,117.0000,116.0634,690700,0.0000,1.0000
2019-05-01,118.3400,118.4600,117.0300,117.0600,116.1229,489200,0.0000,1.0000
2019-04-30,118.0800,118.6500,116.8285,118.1300,117.1843,815600,0.0000,1.0000
2019-04-29,118.0000,118.0900,117.5031,117.7700,116.8272,648100,0.0000,1.0000
2019-04-26,117.2400,117.9800,116.6931,117.9300,116.9859,438800,0.0000,1.0000
2019-04-25,116.6800,117.2100,115.5680,117.0600,116.1229,767900,0.0000,1.0000
2019-04-24,115.6300,117.5800,114.9000,116.9500,116.0137,1265500,0.0000,1.0000
2019-04-23,113.8300,115.2400,113.7950,115.0700,114.1488,1096900,0.0000,1.0000
2019-04-22,112.4200,113.4500,112.1100,113.3900,112.4823,498500,0.0000,1.0000
2019-04-18,113.6800,113.8400,112.1310,112.7900,111.8871,836400,0.0000,1.0000
2019-04-17,113.6600,115.0650,112.9500,114.0000,113.0874,2429300,0.0000,1.0000
2019-04-16,112.5600,113.2750,112.4000,113.2500,112.3434,1770400,0.0000,1.0000
2019-04-15,111.4500,112.4750,111.1800,112.4500,111.5498,982500,0.0000,1.0000
2019-04-12,110.8800,111.5300,110.2100,111.4900,110.5975,652800,0.0000,1.0000
2019-04-11,109.7600,110.3400,109.1800,110.3000,109.4170,957700,0.0000,1.0000
2019-04-10,109.1600,109.8700,108.9612,109.5000,108.6234,559500,0.0000,1.0000
2019-04-09,108.4800,109.3900,108.4350,109.2300,108.3556,1063500,0.0000,1.0000
2019-04-08,109.0500,109.4400,108.2600,109.2200,108.3456,1081100,0.0000,1.0000
2019-04-05,107.5300,109.2900,107.0400,109.1700,108.2960,1594800,0.0000,1.0000
2019-04-04,107.4400,108.2300,106.5600,107.3400,106.4807,898200,0.0000,1.0000
2019-04-03,105.7700,107.7600,105.2650,107.6000,106.7386,1229400,0.0000,1.0000
2019-04-02,105.2300,105.5100,104.4700,105.1800,104.3380,548800,0.0000,1.0000
2019-04-01,104.5100,105.1500,104.0800,104.9900,104.1495,539200,0.0000,1.0000
2019-03-29,103.3400,103.8500,102.1100,103.6900,102.8599,711700,0.0000,1.0000
2019-03-28,101.5000,102.7600,101.2300,102.7000,101.8778,751800,0.0000,1.0000
