timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,135.4300,137.0100,135.4200,136.7100,136.7100,532788,0.0000,1.0000
2019-11-12,138.2600,138.7600,135.2400,135.6200,135.6200,532600,0.0000,1.0000
2019-11-11,137.8400,138.7100,137.0100,138.5700,138.5700,429600,0.0000,1.0000
2019-11-08,137.9000,138.6100,137.0100,138.3400,138.3400,370400,0.0000,1.0000
2019-11-07,137.6700,138.2300,137.0800,137.9600,137.9600,678700,0.0000,1.0000
2019-11-06,136.9400,138.3900,136.8400,137.9200,137.9200,751700,0.0000,1.0000
2019-11-05,138.0100,138.6300,135.5800,136.3200,136.3200,822900,0.0000,1.0000
2019-11-04,137.3200,138.6200,136.9800,138.5300,138.5300,532900,0.0000,1.0000
2019-11-01,137.7600,138.4300,135.7400,137.4400,137.4400,614900,0.0000,1.0000
2019-10-31,138.3800,138.9300,135.8400,137.2000,137.2000,917200,0.0000,1.0000
2019-10-30,135.9600,140.0600,134.3300,138.9300,138.9300,1170700,0.0000,1.0000
2019-10-29,133.2800,133.8900,132.6700,133.3000,133.3000,1042000,0.0000,1.0000
2019-10-28,132.3600,132.8500,131.8800,132.6800,132.6800,515900,0.0000,1.0000
2019-10-25,132.1000,133.5300,131.2700,132.1800,132.1800,510400,0.0000,1.0000
2019-10-24,131.2300,132.6200,130.5800,132.3700,132.3700,534700,0.0000,1.0000
2019-10-23,130.1600,131.2600,129.8000,130.9700,130.9700,752200,0.0000,1.0000
2019-10-22,130.1500,131.1500,128.8700,130.8400,130.8400,680000,0.0000,1.0000
2019-10-21,128.1000,129.9900,128.1000,129.9800,129.9800,530800,0.0000,1.0000
2019-10-18,127.9100,128.5700,126.9000,128.3600,128.3600,507100,0.0000,1.0000
2019-10-17,128.0700,128.3200,127.0800,127.6600,127.6600,542300,0.0000,1.0000
2019-10-16,128.3600,129.5400,127.7800,128.3400,128.3400,520300,0.0000,1.0000
2019-10-15,127.3200,128.9100,126.6700,128.8500,128.8500,555600,0.0000,1.0000
2019-10-14,128.1200,128.1200,126.2600,127.5700,127.5700,384500,0.0000,1.0000
2019-10-11,127.7800,129.2600,127.6500,128.2000,128.2000,571100,0.0000,1.0000
2019-10-10,127.9300,128.2500,127.1100,127.1800,127.1800,409400,0.0000,1.0000
2019-10-09,127.9000,128.3400,127.1600,127.8600,127.8600,1187300,0.0000,1.0000
2019-10-08,127.6000,128.2800,126.5700,127.0800,127.0800,818200,0.0000,1.0000
2019-10-07,128.1400,129.3500,127.8300,128.1500,128.1500,330000,0.0000,1.0000
2019-10-04,128.0300,128.8700,127.5300,128.7100,128.7100,496500,0.0000,1.0000
2019-10-03,125.4400,128.1800,124.5800,127.8900,127.8900,1021900,0.0000,1.0000
2019-10-02,128.0100,128.2300,124.9600,125.4400,125.4400,1489500,0.0000,1.0000
2019-10-01,129.8800,130.2900,127.5300,128.6800,128.6800,634300,0.0000,1.0000
2019-09-30,129.9000,130.5200,129.1800,129.6600,129.6600,780200,0.0000,1.0000
2019-09-27,131.9600,131.9600,129.1600,130.1200,130.1200,894000,0.9500,1.0000
2019-09-26,130.7500,132.6600,130.4500,132.5900,131.6400,739600,0.0000,1.0000
2019-09-25,129.6100,130.9200,128.9700,130.1700,129.2373,992800,0.0000,1.0000
2019-09-24,130.6100,131.0200,128.6500,129.5200,128.5920,1213200,0.0000,1.0000
2019-09-23,129.5200,131.4300,129.0300,130.2500,129.3168,1006200,0.0000,1.0000
2019-09-20,130.5300,132.1200,129.7600,130.1100,129.1778,3669500,0.0000,1.0000
2019-09-19,130.9400,131.0200,129.6100,130.0300,129.0983,768900,0.0000,1.0000
2019-09-18,131.4800,131.4800,129.2900,130.4400,129.5054,843900,0.0000,1.0000
2019-09-17,131.9000,132.2400,130.0400,131.2000,130.2599,832800,0.0000,1.0000
2019-09-16,131.3300,132.1300,130.2700,132.0300,131.0840,792500,0.0000,1.0000
2019-09-13,133.4900,134.0900,130.6500,131.4000,130.4585,868800,0.0000,1.0000
2019-09-12,132.6200,133.5500,130.3500,133.4300,132.4740,1146400,0.0000,1.0000
2019-09-11,130.7100,132.0300,129.6700,132.0200,131.0741,738400,0.0000,1.0000
2019-09-10,129.6700,130.9100,129.0500,130.9100,129.9720,1045900,0.0000,1.0000
2019-09-09,129.8400,130.9400,126.1800,130.3600,129.4260,984700,0.0000,1.0000
2019-09-06,129.9200,130.5900,129.6400,130.1700,129.2373,472600,0.0000,1.0000
2019-09-05,129.9000,129.9000,127.7900,129.6200,128.6913,619400,0.0000,1.0000
2019-09-04,129.7300,130.5100,129.1100,129.7200,128.7906,575500,0.0000,1.0000
2019-09-03,127.7700,128.8700,127.4500,128.8000,127.8772,548200,0.0000,1.0000
2019-08-30,128.6400,128.9900,127.8700,128.4200,127.4999,453500,0.0000,1.0000
2019-08-29,127.4300,128.6500,127.0600,128.0900,127.1722,364500,0.0000,1.0000
2019-08-28,126.2000,126.9900,125.9700,126.6400,125.7326,333600,0.0000,1.0000
2019-08-27,127.7500,128.1600,126.1200,126.2400,125.3355,587000,0.0000,1.0000
2019-08-26,126.7900,127.1100,125.5400,127.0300,126.1198,462700,0.0000,1.0000
2019-08-23,127.4900,128.1900,125.3900,125.8300,124.9284,566700,0.0000,1.0000
2019-08-22,128.2100,128.2900,126.2900,127.9300,127.0134,473900,0.0000,1.0000
2019-08-21,127.7500,128.4900,126.8200,127.6700,126.7552,742100,0.0000,1.0000
2019-08-20,127.9000,128.6000,127.3500,127.5900,126.6758,492800,0.0000,1.0000
2019-08-19,129.1300,129.2200,128.1800,128.3900,127.4701,404800,0.0000,1.0000
2019-08-16,127.4700,128.7600,125.5500,128.2100,127.2914,567400,0.0000,1.0000
2019-08-15,125.5500,127.4400,125.5500,127.0900,126.1794,760400,0.0000,1.0000
2019-08-14,126.4800,126.8650,125.2400,125.6200,124.7199,582300,0.0000,1.0000
2019-08-13,126.7500,128.0900,126.4500,127.2800,126.3680,594100,0.0000,1.0000
2019-08-12,128.8800,128.9500,126.3900,126.8700,125.9610,725700,0.0000,1.0000
2019-08-09,130.7100,130.9950,128.2622,129.3400,128.4133,536900,0.0000,1.0000
2019-08-08,128.7700,131.2800,128.1250,130.9000,129.9621,616500,0.0000,1.0000
