timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,150.8900,152.7466,150.8100,152.3100,152.3100,948386,0.0000,1.0000
2019-11-12,151.0600,152.3400,150.6600,151.4000,151.4000,1117400,0.0000,1.0000
2019-11-11,150.6400,151.7300,150.3300,151.3200,151.3200,940700,0.0000,1.0000
2019-11-08,152.6400,153.1600,151.2100,151.5100,151.5100,1161800,0.0000,1.0000
2019-11-07,152.5400,154.1400,152.2800,152.9200,152.9200,2360200,0.0000,1.0000
2019-11-06,149.0400,152.2300,148.7500,152.1800,152.1800,2324200,0.0000,1.0000
2019-11-05,148.0800,149.7400,147.4800,148.8300,148.8300,3638200,0.0000,1.0000
2019-11-04,151.5200,151.5200,147.3400,147.7200,147.7200,1946100,0.0000,1.0000
2019-11-01,152.9600,153.1900,150.0700,150.4400,150.4400,1634100,0.0000,1.0000
2019-10-31,152.7800,153.3700,150.7200,152.4200,152.4200,1638000,0.0000,1.0000
2019-10-30,149.3700,154.0800,148.8500,153.3700,153.3700,2710800,0.0000,1.0000
2019-10-29,147.7400,149.2500,147.3800,148.6300,148.6300,2590200,0.0000,1.0000
2019-10-28,149.4300,149.9500,148.2100,148.2400,148.2400,2020900,0.0000,1.0000
2019-10-25,150.8000,150.8000,147.5400,149.1400,149.1400,2201800,0.0000,1.0000
2019-10-24,150.2000,151.4000,149.5300,151.1200,151.1200,1404900,0.0000,1.0000
2019-10-23,148.5200,150.3600,148.5200,150.1600,150.1600,1445000,0.0000,1.0000
2019-10-22,152.1100,152.1100,148.0500,148.5000,148.5000,2646900,0.0000,1.0000
2019-10-21,153.4100,153.6900,152.6600,153.3000,153.3000,1265400,0.0000,1.0000
2019-10-18,153.4100,153.6600,152.5900,152.6900,152.6900,1607700,0.0000,1.0000
2019-10-17,154.7800,155.0000,152.9600,153.0200,153.0200,1252500,0.0000,1.0000
2019-10-16,155.1800,155.6200,153.6300,154.6500,154.6500,1474800,0.0000,1.0000
2019-10-15,155.9100,156.6500,155.1200,155.2100,155.2100,1138900,0.0000,1.0000
2019-10-14,155.0500,156.0600,154.3700,155.4400,155.4400,1050200,0.0000,1.0000
2019-10-11,156.9900,156.9900,155.0300,155.1000,155.1000,2543700,0.0000,1.0000
2019-10-10,156.6600,157.4600,155.0200,155.3900,155.3900,2208400,0.0000,1.0000
2019-10-09,156.3700,157.5300,155.8300,156.8000,156.8000,1080900,0.0000,1.0000
2019-10-08,158.6700,159.0400,155.4700,155.4800,155.4800,1768600,0.0000,1.0000
2019-10-07,161.5900,161.9900,159.4900,159.6600,159.6600,1592700,0.0000,1.0000
2019-10-04,156.6400,162.4400,156.5900,162.0600,162.0600,2491200,0.0000,1.0000
2019-10-03,156.7400,157.3000,155.4200,156.4500,156.4500,1132700,0.0000,1.0000
2019-10-02,157.8500,158.4600,155.9800,156.8100,156.8100,1390800,0.0000,1.0000
2019-10-01,161.8300,161.9900,158.5600,158.6300,158.6300,1029000,0.0000,1.0000
