timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,116.2800,117.4800,115.8700,117.4000,117.4000,476393,0.0000,1.0000
2019-11-12,115.0100,116.3100,114.0300,115.8800,115.8800,428000,0.0000,1.0000
2019-11-11,114.9700,116.4100,114.4900,115.1000,115.1000,411900,0.0000,1.0000
2019-11-08,115.8600,115.8600,114.1200,114.8800,114.8800,451700,0.0000,1.0000
2019-11-07,114.6600,115.4800,113.6200,115.4000,115.4000,771100,0.0000,1.0000
2019-11-06,114.7700,115.4100,114.1700,114.4500,114.4500,707700,0.0000,1.0000
2019-11-05,113.2500,115.2600,112.7500,115.2600,115.2600,638200,0.0000,1.0000
2019-11-04,115.2500,115.8400,112.5800,113.5200,113.5200,517900,0.0000,1.0000
2019-11-01,119.4700,119.4700,112.4500,114.8500,114.8500,951300,0.0000,1.0000
2019-10-31,117.2700,117.8400,114.8200,115.1500,115.1500,882300,0.0000,1.0000
2019-10-30,113.6300,116.9700,113.2400,116.6400,116.6400,575200,0.0000,1.0000
2019-10-29,113.5400,115.0100,113.2300,113.8400,113.8400,707500,0.0000,1.0000
2019-10-28,114.5500,114.6600,112.1900,113.2200,113.2200,596900,0.0000,1.0000
2019-10-25,116.0000,116.1800,113.7400,114.1000,114.1000,374700,0.0000,1.0000
2019-10-24,114.6800,116.3300,113.8700,115.7000,115.7000,261700,0.0000,1.0000
2019-10-23,114.0000,114.9500,113.3900,114.0300,114.0300,454700,0.0000,1.0000
2019-10-22,115.9700,116.9600,114.6300,114.6800,114.6800,317600,0.0000,1.0000
2019-10-21,117.5600,117.5600,115.0100,115.2700,115.2700,505100,0.0000,1.0000
2019-10-18,115.7500,117.2200,115.7500,116.7700,116.7700,317800,0.0000,1.0000
2019-10-17,115.4400,117.3500,114.8400,116.4500,116.4500,316100,0.0000,1.0000
2019-10-16,115.2300,115.9200,114.1600,115.4800,115.4800,633100,0.0000,1.0000
2019-10-15,115.0300,116.7500,115.0300,115.0500,115.0500,457300,0.0000,1.0000
2019-10-14,115.6300,117.3200,115.1000,115.1800,115.1800,323400,0.0000,1.0000
2019-10-11,117.9700,117.9700,114.5800,115.6000,115.6000,689700,0.0000,1.0000
2019-10-10,116.2700,118.3700,116.2700,117.0800,117.0800,492600,0.0000,1.0000
2019-10-09,117.2900,117.8700,116.4800,117.1500,117.1500,463600,0.0000,1.0000
2019-10-08,117.0400,118.2500,114.5300,116.4800,116.4800,542200,0.0000,1.0000
2019-10-07,115.4100,118.4500,115.4100,118.2500,118.2500,620700,0.0000,1.0000
2019-10-04,115.7700,117.9500,115.5000,116.2800,116.2800,681200,0.0000,1.0000
2019-10-03,112.8000,116.3900,112.8000,116.1600,116.1600,691700,0.0000,1.0000
2019-10-02,115.1800,116.2700,112.7200,112.8000,112.8000,978600,0.0000,1.0000
2019-10-01,115.2800,116.5400,114.1500,115.5800,115.5800,510400,0.0000,1.0000
2019-09-30,115.1800,116.5500,114.6100,114.9100,114.9100,664800,0.0000,1.0000
2019-09-27,117.5200,118.2400,114.2800,115.4400,115.4400,607100,0.0000,1.0000
2019-09-26,117.8800,118.0700,116.2700,117.7700,117.7700,444400,0.0000,1.0000
2019-09-25,118.4100,118.4100,115.9800,117.9300,117.9300,514500,0.0000,1.0000
2019-09-24,116.4700,118.6500,116.4500,118.2300,118.2300,751700,0.0000,1.0000
2019-09-23,114.8200,117.2200,114.0600,115.9200,115.9200,553700,0.0000,1.0000
2019-09-20,118.0500,118.0500,115.3800,115.5600,115.5600,1247400,0.0000,1.0000
2019-09-19,114.5600,117.3800,114.5600,116.4400,116.4400,729600,0.0000,1.0000
2019-09-18,114.5000,117.1900,114.0100,115.6600,115.6600,992200,0.0000,1.0000
2019-09-17,111.6000,114.6100,110.9200,113.4800,113.4800,754500,0.0000,1.0000
2019-09-16,111.7200,113.0300,110.1600,111.0000,111.0000,668200,0.0000,1.0000
2019-09-13,114.1000,114.2500,109.2000,111.0600,111.0600,1346500,0.0000,1.0000
