timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,131.0200,131.9800,130.7400,131.3700,131.3700,1666412,0.0000,1.0000
2019-11-12,131.1100,131.4400,130.2800,130.6600,130.6600,2657400,0.0000,1.0000
2019-11-11,130.8400,132.0000,130.7600,131.1100,131.1100,1878400,0.0000,1.0000
2019-11-08,130.5800,133.0600,130.4800,130.8100,130.8100,2279700,0.0000,1.0000
2019-11-07,133.1400,133.8100,131.4800,131.9100,131.9100,2122900,0.0000,1.0000
2019-11-06,132.1600,134.2000,132.1100,133.9100,133.9100,2315300,0.0000,1.0000
2019-11-05,134.0300,134.3000,129.8600,131.6600,131.6600,3104000,0.0000,1.0000
2019-11-04,137.2800,137.2800,134.4800,134.5000,134.5000,1626900,0.0000,1.0000
2019-11-01,139.5600,139.7400,136.1800,137.4200,137.4200,2545300,0.0000,1.0000
2019-10-31,139.3200,139.7400,138.1600,138.7900,138.7900,2397800,0.0000,1.0000
2019-10-30,139.2100,140.2000,138.7500,139.2500,139.2500,1959200,0.0000,1.0000
2019-10-29,139.3800,140.4000,138.6600,139.0200,139.0200,1345000,0.0000,1.0000
2019-10-28,140.9700,141.2400,138.6700,139.4000,139.4000,2219900,0.0000,1.0000
2019-10-25,141.5000,141.8300,140.2600,141.0000,141.0000,2028100,0.0000,1.0000
2019-10-24,141.2600,141.9000,140.0000,141.7100,141.7100,1657700,0.0000,1.0000
2019-10-23,141.0000,142.0900,139.9700,140.9000,140.9000,1301500,0.0000,1.0000
2019-10-22,143.0800,143.7700,141.0300,141.3000,141.3000,1323500,0.0000,1.0000
2019-10-21,144.0500,144.0500,141.3200,143.3500,143.3500,1570600,0.0000,1.0000
2019-10-18,140.4500,144.9900,140.0900,144.0600,144.0600,3120000,0.0000,1.0000
2019-10-17,135.5200,140.8600,135.5200,139.5800,139.5800,2355400,0.0000,1.0000
2019-10-16,134.1500,134.7700,133.4800,134.6900,134.6900,2266500,0.0000,1.0000
2019-10-15,136.2200,136.4400,133.5000,134.6500,134.6500,1894100,0.0000,1.0000
2019-10-14,136.9500,137.0000,135.6700,136.1300,136.1300,938000,0.0000,1.0000
2019-10-11,138.2300,138.6000,136.5700,136.6800,136.6800,1851800,0.0000,1.0000
2019-10-10,136.6000,138.4200,135.8000,138.2200,138.2200,2212600,0.0000,1.0000
2019-10-09,137.3600,137.8100,136.5000,137.2500,137.2500,1475300,0.0000,1.0000
2019-10-08,137.3300,138.0000,135.9200,137.0800,137.0800,2297600,0.0000,1.0000
2019-10-07,137.4500,138.0200,135.7100,137.4400,137.4400,1673500,0.0000,1.0000
2019-10-04,137.5200,138.5100,137.3100,137.9200,137.9200,2126700,0.0000,1.0000
2019-10-03,136.8800,138.0800,136.3600,137.3400,137.3400,2433300,0.0000,1.0000
2019-10-02,136.9400,137.3000,135.2300,136.5000,136.5000,1981100,0.0000,1.0000
2019-10-01,138.8900,139.1900,136.6800,136.7900,136.7900,2234000,0.0000,1.0000
2019-09-30,138.4300,139.8200,138.1700,139.0100,139.0100,2530100,0.0000,1.0000
2019-09-27,141.7400,141.9800,136.5300,137.8700,137.8700,2696500,0.0000,1.0000
2019-09-26,140.0300,142.4800,140.0100,142.0000,142.0000,1158400,0.0000,1.0000
2019-09-25,142.8200,142.8200,140.0000,140.0900,140.0900,1512000,0.0000,1.0000
2019-09-24,141.8700,142.9100,141.6200,142.3500,142.3500,1289700,0.0000,1.0000
2019-09-23,140.7200,142.2000,139.0000,141.4400,141.4400,1295700,0.0000,1.0000
2019-09-20,141.6700,142.0400,139.5300,140.5800,140.5800,2333900,0.0000,1.0000
2019-09-19,141.0000,141.9100,140.5600,141.2400,141.2400,1599800,0.0000,1.0000
2019-09-18,142.9900,143.2700,138.7600,140.5500,140.5500,2550800,0.0000,1.0000
2019-09-17,138.9100,142.6300,138.9100,142.4800,142.4800,2057600,0.0000,1.0000
2019-09-16,136.1200,138.5500,135.8600,137.9600,137.9600,1693800,0.0000,1.0000
2019-09-13,138.6100,139.6700,135.6700,136.4400,136.4400,2276800,0.0000,1.0000
2019-09-12,138.4200,140.0000,137.0500,138.8100,138.8100,1699100,1.1250,1.0000
2019-09-11,139.0700,140.4200,137.9100,138.6600,137.5350,2205900,0.0000,1.0000
2019-09-10,142.3300,142.3600,138.2300,139.3200,138.1897,2363800,0.0000,1.0000
2019-09-09,146.2300,146.3000,143.1400,143.4800,142.3159,1631600,0.0000,1.0000
2019-09-06,147.0400,147.7700,145.9200,146.4400,145.2519,977700,0.0000,1.0000
2019-09-05,149.3500,149.4000,146.1000,147.0700,145.8768,1273000,0.0000,1.0000
2019-09-04,148.0000,149.4700,147.7800,149.0700,147.8605,1361400,0.0000,1.0000
2019-09-03,145.0900,147.6000,144.8600,147.5800,146.3826,1361400,0.0000,1.0000
2019-08-30,146.3500,146.3500,144.3800,145.1700,143.9922,2003500,0.0000,1.0000
2019-08-29,147.1600,147.7500,145.0200,145.9500,144.7659,1396400,0.0000,1.0000
2019-08-28,146.1800,147.8800,145.8900,146.4500,145.2618,1447600,0.0000,1.0000
2019-08-27,148.0400,148.7000,146.0300,146.0700,144.8849,1690700,0.0000,1.0000
2019-08-26,147.0000,147.9100,146.3900,147.5900,146.3925,980800,0.0000,1.0000
2019-08-23,146.5000,147.8800,145.8400,146.3400,145.1527,1751200,0.0000,1.0000
2019-08-22,145.2400,146.3200,144.1000,146.1100,144.9246,893300,0.0000,1.0000
2019-08-21,145.3300,145.7200,144.5400,145.1700,143.9922,1201300,0.0000,1.0000
2019-08-20,145.5000,145.6300,143.8400,144.5100,143.3375,1434500,0.0000,1.0000
2019-08-19,143.6500,145.0700,142.5200,144.8600,143.6847,1090800,0.0000,1.0000
2019-08-16,143.3400,143.5900,138.6900,142.9200,141.7604,1637000,0.0000,1.0000
2019-08-15,139.0400,142.8100,138.6900,142.4100,141.2546,1222500,0.0000,1.0000
2019-08-14,141.5800,141.8100,138.8600,138.9400,137.8127,1693400,0.0000,1.0000
2019-08-13,141.0800,142.2433,139.2700,141.9500,140.7983,1762800,0.0000,1.0000
2019-08-12,141.5700,142.1400,140.4853,141.5000,140.3520,904900,0.0000,1.0000
2019-08-09,140.9700,141.8615,139.3100,141.2400,140.0941,1632500,0.0000,1.0000
2019-08-08,138.1400,141.1500,137.0600,140.9400,139.7965,1713800,0.0000,1.0000
2019-08-07,135.6500,139.2900,133.5900,138.2500,137.1283,2498300,0.0000,1.0000
2019-08-06,133.2100,136.5700,133.0200,136.3000,135.1942,1834900,0.0000,1.0000
2019-08-05,134.8400,135.1900,132.1100,133.1300,132.0499,1835500,0.0000,1.0000
2019-08-02,133.8700,135.9400,133.0300,135.2300,134.1328,1449900,0.0000,1.0000
2019-08-01,134.6364,135.5100,133.5300,133.8400,132.7541,2102200,0.0000,1.0000
2019-07-31,133.0900,134.2200,131.3700,133.2600,132.1788,3278100,0.0000,1.0000
2019-07-30,130.3400,132.8500,130.0600,132.6800,131.6035,1785600,0.0000,1.0000
2019-07-29,131.2400,132.4800,129.7573,130.1600,129.1040,2386800,0.0000,1.0000
2019-07-26,129.9900,130.8900,129.3500,130.5800,129.5206,2143500,0.0000,1.0000
2019-07-25,129.2000,129.6000,127.2700,129.4700,128.4196,1746500,0.0000,1.0000
2019-07-24,127.8600,129.2800,127.1600,129.2100,128.1617,2105800,0.0000,1.0000
2019-07-23,126.5400,127.7400,125.6600,127.7000,126.6639,1951000,0.0000,1.0000
2019-07-22,125.4800,127.0200,124.6300,126.4200,125.3943,1912000,0.0000,1.0000
2019-07-19,127.5300,128.3400,125.2100,125.4800,124.4619,4059100,0.0000,1.0000
2019-07-18,125.3100,128.6000,123.8700,126.8700,125.8407,5462200,0.0000,1.0000
2019-07-17,133.0300,133.2000,130.9300,131.6200,130.5521,1640700,0.0000,1.0000
2019-07-16,133.3300,134.0600,132.6600,132.7200,131.6432,1202000,0.0000,1.0000
