timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,125.9800,126.4400,124.9800,125.4100,125.4100,388920,0.0000,1.0000
2019-11-12,127.2200,127.7100,126.6400,126.9400,126.9400,438800,0.0000,1.0000
2019-11-11,126.3400,127.2300,126.3400,126.7300,126.7300,498000,0.0000,1.0000
2019-11-08,125.7200,128.8800,125.3500,127.3100,127.3100,882100,0.0000,1.0000
2019-11-07,124.9200,126.0500,124.2500,125.7400,125.7400,777000,0.0000,1.0000
2019-11-06,124.2000,125.1500,123.4900,125.0800,125.0800,624800,0.0000,1.0000
2019-11-05,124.0600,125.6600,123.7700,124.4800,124.4800,611400,0.0000,1.0000
2019-11-04,123.8500,124.1100,122.6700,123.6600,123.6600,916700,0.0000,1.0000
2019-11-01,122.2900,123.3300,121.7100,122.5000,122.5000,1078000,0.0000,1.0000
2019-10-31,122.1700,122.4200,120.0900,121.1500,121.1500,976100,0.0000,1.0000
2019-10-30,122.6700,122.9100,121.4400,122.2800,122.2800,619100,0.0000,1.0000
2019-10-29,121.1700,124.4600,121.0500,123.2800,123.2800,624100,0.0000,1.0000
2019-10-28,124.3600,125.8100,121.0600,121.5600,121.5600,1290800,0.0000,1.0000
2019-10-25,122.9400,124.4400,121.9900,123.6500,123.6500,559000,0.6200,1.0000
2019-10-24,122.8400,123.6200,121.6200,123.5200,122.9000,764600,0.0000,1.0000
2019-10-23,119.2400,122.9400,119.2400,121.7600,121.1488,1078800,0.0000,1.0000
2019-10-22,121.0500,122.4200,115.1600,119.3000,118.7012,1473900,0.0000,1.0000
2019-10-21,122.0700,123.0400,121.2200,121.3100,120.7011,972200,0.0000,1.0000
2019-10-18,121.3200,123.9400,121.3200,121.6500,121.0394,952600,0.0000,1.0000
2019-10-17,121.9300,122.3200,120.9500,121.9600,121.3478,552700,0.0000,1.0000
2019-10-16,122.4000,123.6400,121.0600,121.5200,120.9100,752500,0.0000,1.0000
2019-10-15,120.9600,122.5500,120.5400,122.0400,121.4274,672300,0.0000,1.0000
2019-10-14,121.1200,121.6600,120.4400,120.4400,119.8355,644400,0.0000,1.0000
2019-10-11,119.6900,122.8300,119.6900,121.8700,121.2583,802200,0.0000,1.0000
2019-10-10,119.0500,119.7500,117.6600,118.3600,117.7659,908400,0.0000,1.0000
2019-10-09,119.5300,119.6500,117.3700,118.7200,118.1241,742300,0.0000,1.0000
2019-10-08,118.5700,119.5400,117.3200,117.8500,117.2585,1067000,0.0000,1.0000
2019-10-07,119.1000,120.4400,118.4700,119.4400,118.8405,703900,0.0000,1.0000
2019-10-04,118.4900,119.9500,118.2100,119.5300,118.9300,527100,0.0000,1.0000
2019-10-03,117.6900,118.7000,116.5900,118.6700,118.0743,725900,0.0000,1.0000
2019-10-02,119.1400,119.7600,117.2200,118.1000,117.5072,1067500,0.0000,1.0000
2019-10-01,122.4800,123.9400,119.9800,120.3500,119.7459,1196100,0.0000,1.0000
2019-09-30,122.4300,122.9800,121.1700,122.2900,121.6762,777400,0.0000,1.0000
2019-09-27,121.8800,123.6000,121.5600,122.1400,121.5269,715600,0.0000,1.0000
2019-09-26,121.1800,122.2300,120.7300,121.5900,120.9797,656100,0.0000,1.0000
2019-09-25,121.6900,122.6200,121.1200,122.2100,121.5966,715900,0.0000,1.0000
2019-09-24,122.0600,122.5000,120.8300,121.3500,120.7409,615400,0.0000,1.0000
2019-09-23,121.5900,123.1600,121.2500,122.4700,121.8553,753000,0.0000,1.0000
2019-09-20,124.2200,124.2200,122.2300,122.6800,122.0642,1499000,0.0000,1.0000
2019-09-19,123.7400,124.4200,123.2400,123.8000,123.1786,680700,0.0000,1.0000
2019-09-18,123.5000,124.0500,122.2300,123.7400,123.1189,754200,0.0000,1.0000
2019-09-17,124.1300,124.2500,122.2500,123.9800,123.3577,909600,0.0000,1.0000
2019-09-16,125.1500,126.0100,123.8000,124.4500,123.8253,607600,0.0000,1.0000
2019-09-13,125.2800,127.1500,124.9500,125.4900,124.8601,799800,0.0000,1.0000
2019-09-12,124.9900,125.0000,122.5700,124.2000,123.5766,753800,0.0000,1.0000
2019-09-11,123.4500,124.3600,121.3400,124.3100,123.6860,947500,0.0000,1.0000
2019-09-10,120.9700,123.9000,120.7500,123.3200,122.7010,1340700,0.0000,1.0000
2019-09-09,118.4100,121.0600,118.2000,120.9100,120.3031,901600,0.0000,1.0000
2019-09-06,117.8800,118.4200,116.8500,118.0700,117.4774,555500,0.0000,1.0000
2019-09-05,115.2500,118.3400,114.8500,117.6300,117.0396,818900,0.0000,1.0000
2019-09-04,113.3300,114.3800,112.8800,113.8200,113.2487,829300,0.0000,1.0000
2019-09-03,111.8900,112.6100,110.6400,111.7000,111.1393,558200,0.0000,1.0000
2019-08-30,112.8500,114.1000,112.6100,113.3700,112.8009,1058600,0.0000,1.0000
2019-08-29,111.1800,112.3600,110.7600,111.7600,111.1990,671800,0.0000,1.0000
2019-08-28,107.0400,109.7200,106.5900,109.5400,108.9902,797500,0.0000,1.0000
2019-08-27,108.1400,108.7200,105.9300,107.2200,106.6818,1040600,0.0000,1.0000
2019-08-26,108.1100,108.9900,106.5600,107.4000,106.8609,682400,0.0000,1.0000
2019-08-23,112.9800,113.0000,106.6500,107.2500,106.7117,1103600,0.0000,1.0000
2019-08-22,113.5400,114.7800,112.1300,113.7400,113.1691,867200,0.0000,1.0000
2019-08-21,113.1200,113.7500,112.8800,113.1700,112.6020,699800,0.0000,1.0000
2019-08-20,111.7900,112.1800,110.7500,111.7400,111.1791,612500,0.0000,1.0000
