timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,12.3600,12.4200,12.1700,12.2400,12.2400,3803653,0.0000,1.0000
2019-11-12,12.4200,12.6000,12.3200,12.4100,12.4100,4446600,0.0000,1.0000
2019-11-11,12.7800,12.8400,12.3400,12.4200,12.4200,3912100,0.0000,1.0000
2019-11-08,12.9400,13.0000,12.7900,12.8400,12.8400,5381400,0.0000,1.0000
2019-11-07,13.1400,13.1400,12.8100,13.0000,13.0000,7531800,0.0000,1.0000
2019-11-06,11.9500,13.4200,11.3900,13.0200,13.0200,24250600,0.0000,1.0000
2019-11-05,11.4800,11.6300,11.4000,11.4600,11.4600,6338100,0.0000,1.0000
2019-11-04,11.7800,11.8200,11.4400,11.4500,11.4500,5232400,0.0000,1.0000
2019-11-01,11.7100,11.8100,11.5000,11.6700,11.6700,4230600,0.0000,1.0000
2019-10-31,11.6300,11.7200,11.5000,11.6900,11.6900,3592200,0.0000,1.0000
2019-10-30,11.6600,11.8100,11.5500,11.6300,11.6300,3351100,0.0000,1.0000
2019-10-29,11.7400,11.8300,11.5600,11.6700,11.6700,3116200,0.0000,1.0000
2019-10-28,11.7000,11.9000,11.7000,11.7900,11.7900,3197600,0.0000,1.0000
2019-10-25,11.7400,11.9000,11.5300,11.7600,11.7600,2948800,0.0000,1.0000
2019-10-24,11.9000,11.9000,11.6600,11.7800,11.7800,2768000,0.0000,1.0000
2019-10-23,11.9000,11.9700,11.6800,11.9000,11.9000,4051800,0.0000,1.0000
2019-10-22,11.6500,11.9300,11.4000,11.9100,11.9100,6830500,0.0000,1.0000
2019-10-21,11.0000,11.6500,10.7000,11.4800,11.4800,17740300,0.0000,1.0000
2019-10-18,10.1500,10.2700,10.0600,10.1200,10.1200,3163900,0.0000,1.0000
2019-10-17,10.3200,10.3900,10.1600,10.2000,10.2000,1807400,0.0000,1.0000
2019-10-16,10.4300,10.5000,10.2800,10.3000,10.3000,3470200,0.0000,1.0000
2019-10-15,10.6300,10.6300,10.3600,10.3800,10.3800,3009300,0.0000,1.0000
2019-10-14,10.6100,10.9000,10.5700,10.6500,10.6500,2830700,0.0000,1.0000
2019-10-11,10.1800,10.6600,10.0900,10.5700,10.5700,3507400,0.0000,1.0000
2019-10-10,10.1000,10.1600,10.0100,10.0700,10.0700,2557700,0.0000,1.0000
2019-10-09,10.2200,10.2500,10.0000,10.0700,10.0700,2641300,0.0000,1.0000
2019-10-08,10.2400,10.3200,10.0800,10.1800,10.1800,2064500,0.0000,1.0000
2019-10-07,10.3300,10.5300,10.3100,10.3400,10.3400,2032000,0.0000,1.0000
2019-10-04,10.2900,10.3600,10.1800,10.3300,10.3300,1877600,0.0000,1.0000
2019-10-03,10.0200,10.2400,9.8500,10.2400,10.2400,1915600,0.0000,1.0000
2019-10-02,10.5100,10.5100,10.0300,10.0500,10.0500,3120200,0.0000,1.0000
2019-10-01,10.5400,10.6300,10.2900,10.6000,10.6000,5203400,0.0000,1.0000
2019-09-30,10.4000,10.6700,10.3600,10.5100,10.5100,3350300,0.0000,1.0000
2019-09-27,10.4700,10.6000,10.3700,10.5300,10.5300,2322500,0.0000,1.0000
2019-09-26,10.4900,10.5200,10.3300,10.3600,10.3600,2379500,0.0000,1.0000
2019-09-25,10.4600,10.5500,10.4100,10.4900,10.4900,1911700,0.0000,1.0000
2019-09-24,10.3900,10.5000,10.3200,10.4200,10.4200,2718600,0.0000,1.0000
2019-09-23,10.1000,10.3600,10.0000,10.3500,10.3500,2709200,0.0000,1.0000
2019-09-20,10.2700,10.3800,10.1400,10.1700,10.1700,6199100,0.0000,1.0000
2019-09-19,10.4700,10.4700,10.1700,10.2700,10.2700,3376800,0.0000,1.0000
2019-09-18,10.5500,10.6600,10.3600,10.4900,10.4900,2463700,0.0000,1.0000
2019-09-17,10.8100,10.8100,10.4600,10.5600,10.5600,3360200,0.0000,1.0000
2019-09-16,10.5900,10.8900,10.5500,10.8500,10.8500,3876200,0.0000,1.0000
2019-09-13,10.5700,10.7300,10.5700,10.6600,10.6600,2349900,0.0000,1.0000
2019-09-12,10.8000,10.8000,10.5100,10.5800,10.5800,3349400,0.0000,1.0000
2019-09-11,10.5500,10.7500,10.3500,10.7400,10.7400,4523900,0.0000,1.0000
2019-09-10,10.1800,10.6300,10.1800,10.5800,10.5800,8966600,0.0000,1.0000
2019-09-09,10.0100,10.3000,9.9800,10.2700,10.2700,4678000,0.0000,1.0000
2019-09-06,9.7500,10.1600,9.7500,10.0200,10.0200,4830400,0.1250,1.0000
2019-09-05,9.9000,9.9800,9.5800,9.9100,9.7850,6802300,0.0000,1.0000
2019-09-04,9.1200,9.4100,9.0100,9.3900,9.2716,5471100,0.0000,1.0000
2019-09-03,9.5000,9.6000,9.0700,9.1100,8.9951,8927900,0.0000,1.0000
2019-08-30,9.4400,9.6400,9.4400,9.5500,9.4295,5301600,0.0000,1.0000
2019-08-29,9.3500,9.4600,9.1700,9.3500,9.2321,6189300,0.0000,1.0000
2019-08-28,9.3700,9.4100,9.0200,9.3300,9.2123,10250400,0.0000,1.0000
2019-08-27,8.8400,8.8600,8.7500,8.8000,8.6890,7574300,0.0000,1.0000
2019-08-26,8.7200,8.8100,8.7000,8.7500,8.6396,2847400,0.0000,1.0000
2019-08-23,8.8900,8.9200,8.6100,8.6800,8.5705,5153400,0.0000,1.0000
2019-08-22,8.8500,9.0500,8.8500,8.9200,8.8075,2832800,0.0000,1.0000
2019-08-21,8.8700,9.0600,8.7700,8.8500,8.7384,3975900,0.0000,1.0000
2019-08-20,9.0800,9.0900,8.7100,8.8100,8.6989,8547900,0.0000,1.0000
2019-08-19,9.4100,9.4500,9.1600,9.1900,9.0741,5991300,0.0000,1.0000
2019-08-16,9.0500,9.6100,8.9600,9.1100,8.9951,4477000,0.0000,1.0000
2019-08-15,9.5600,9.6100,9.0000,9.0100,8.8964,6739400,0.0000,1.0000
2019-08-14,9.5800,9.6100,9.2900,9.5400,9.4197,6416900,0.0000,1.0000
2019-08-13,9.8000,9.9900,9.6700,9.6700,9.5480,7266100,0.0000,1.0000
2019-08-12,10.2900,10.2900,9.8309,9.8400,9.7159,3533800,0.0000,1.0000
2019-08-09,10.4100,10.4500,10.1600,10.3700,10.2392,2346400,0.0000,1.0000
2019-08-08,10.4800,10.6400,10.4100,10.4200,10.2886,3888000,0.0000,1.0000
2019-08-07,10.2200,10.4800,10.1050,10.4400,10.3083,4454200,0.0000,1.0000
2019-08-06,10.2600,10.3700,10.0300,10.2900,10.1602,4641100,0.0000,1.0000
2019-08-05,10.5900,10.6200,10.1200,10.1500,10.0220,6082000,0.0000,1.0000
2019-08-02,10.9000,10.9000,10.5900,10.7000,10.5650,3551300,0.0000,1.0000
2019-08-01,10.8900,11.0400,10.8400,10.8800,10.7428,3997500,0.0000,1.0000
2019-07-31,11.1600,11.2000,10.7400,10.9100,10.7724,7365800,0.0000,1.0000
2019-07-30,11.0000,11.3800,11.0000,11.1900,11.0489,5196000,0.0000,1.0000
2019-07-29,11.1000,11.1700,10.9500,11.0000,10.8613,2436700,0.0000,1.0000
2019-07-26,11.0400,11.1800,10.8900,11.1000,10.9600,2896400,0.0000,1.0000
2019-07-25,10.9700,11.1700,10.9500,11.0000,10.8613,4016300,0.0000,1.0000
2019-07-24,10.9300,11.0400,10.8700,11.0100,10.8711,5799300,0.0000,1.0000
2019-07-23,11.0000,11.0400,10.8500,10.9400,10.8020,3362800,0.0000,1.0000
2019-07-22,11.1000,11.3000,10.9200,10.9600,10.8218,3705700,0.0000,1.0000
2019-07-19,11.1000,11.2700,11.0000,11.0700,10.9304,4961100,0.0000,1.0000
2019-07-18,11.0500,11.1200,10.9400,11.0500,10.9106,3781000,0.0000,1.0000
2019-07-17,11.1300,11.2505,10.9900,11.0500,10.9106,2784100,0.0000,1.0000
2019-07-16,11.0900,11.2700,11.0700,11.1400,10.9995,4325900,0.0000,1.0000
2019-07-15,11.1400,11.4000,11.0500,11.1100,10.9699,5449500,0.0000,1.0000
2019-07-12,11.2300,11.3400,11.0300,11.1200,10.9797,4816800,0.0000,1.0000
2019-07-11,11.2802,11.3600,11.1900,11.2400,11.0982,4567300,0.0000,1.0000
2019-07-10,11.5000,11.5200,11.2300,11.3000,11.1575,4358700,0.0000,1.0000
2019-07-09,11.4000,11.4898,11.2400,11.4200,11.2760,7183300,0.0000,1.0000
2019-07-08,11.5000,11.5200,11.3100,11.4500,11.3056,7044300,0.0000,1.0000
2019-07-05,11.5500,11.6400,11.2550,11.5500,11.4043,7647700,0.0000,1.0000
2019-07-03,11.6200,11.7800,11.5253,11.6700,11.5228,3231600,0.0000,1.0000
2019-07-02,11.1000,11.8256,11.1000,11.7000,11.5524,11526500,0.0000,1.0000
2019-07-01,13.5300,13.5400,10.8600,11.5900,11.4438,26306200,0.0000,1.0000
2019-06-28,13.1800,13.4808,13.1200,13.4000,13.2310,6510200,0.0000,1.0000
2019-06-27,13.1600,13.2350,13.0300,13.1500,12.9841,3222500,0.0000,1.0000
2019-06-26,13.1900,13.3800,13.0101,13.1200,12.9545,5830000,0.0000,1.0000
2019-06-25,12.9600,13.3200,12.9300,13.1900,13.0236,5288000,0.0000,1.0000
2019-06-24,13.2400,13.2650,12.9403,13.0000,12.8360,5916800,0.0000,1.0000
2019-06-21,13.4700,13.5000,13.0100,13.0800,12.9150,12942400,0.0000,1.0000
2019-06-20,13.5600,13.6700,13.4200,13.4900,13.3198,6121900,0.0000,1.0000
