timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,252.3600,255.6500,247.7500,255.2400,255.2400,1652084,0.0000,1.0000
2019-11-12,260.3200,262.2500,258.2600,258.8500,258.8500,1191200,0.0000,1.0000
2019-11-11,259.9500,261.8800,259.7000,260.6100,260.6100,435600,0.0000,1.0000
2019-11-08,261.8800,263.9800,260.1300,260.8800,260.8800,628000,0.0000,1.0000
2019-11-07,264.2900,264.7300,261.7400,262.0000,262.0000,571000,2.5500,1.0000
2019-11-06,267.6800,267.6900,263.3800,264.9500,262.4000,573100,0.0000,1.0000
2019-11-05,271.0200,271.0200,265.4500,266.9900,264.4203,447600,0.0000,1.0000
2019-11-04,269.8000,271.9800,267.2600,269.7200,267.1241,422400,0.0000,1.0000
2019-11-01,270.9000,271.5800,267.0300,268.8900,266.3021,626200,0.0000,1.0000
2019-10-31,276.4900,277.8500,268.4600,268.6700,266.0842,667400,0.0000,1.0000
2019-10-30,275.1000,276.4900,273.3200,276.2600,273.6011,354100,0.0000,1.0000
2019-10-29,270.5800,276.2800,270.4700,274.5200,271.8779,440800,0.0000,1.0000
2019-10-28,271.4900,272.5600,270.5700,271.7900,269.1742,338600,0.0000,1.0000
2019-10-25,272.3100,272.6300,269.8500,270.3400,267.7381,273300,0.0000,1.0000
2019-10-24,268.6400,272.6400,267.9400,272.3400,269.7189,402600,0.0000,1.0000
2019-10-23,265.8800,268.1700,264.6900,268.1300,265.5494,282200,0.0000,1.0000
2019-10-22,270.3200,270.6400,265.9100,266.1300,263.5686,263300,0.0000,1.0000
2019-10-21,270.0400,271.9600,268.4400,269.9900,267.3915,300500,0.0000,1.0000
2019-10-18,268.5800,270.0000,266.7900,269.3100,266.7180,451900,0.0000,1.0000
2019-10-17,268.7600,269.6500,266.1600,268.3300,265.7474,376200,0.0000,1.0000
2019-10-16,269.1800,269.1800,265.7700,266.9700,264.4005,420500,0.0000,1.0000
2019-10-15,266.6200,269.5000,266.0000,269.4500,266.8567,472900,0.0000,1.0000
2019-10-14,267.7000,268.2800,265.7900,265.9400,263.3805,519000,0.0000,1.0000
2019-10-11,270.3000,271.7800,267.3100,267.6100,265.0344,443400,0.0000,1.0000
2019-10-10,263.3700,266.7000,262.1000,266.0700,263.5092,382500,0.0000,1.0000
2019-10-09,261.1500,264.4300,260.9000,263.5700,261.0333,275300,0.0000,1.0000
2019-10-08,258.8700,262.7900,257.2600,260.3300,257.8244,570800,0.0000,1.0000
2019-10-07,262.3700,262.9600,259.7800,260.9700,258.4583,301200,0.0000,1.0000
2019-10-04,260.1100,263.1900,259.4800,262.8600,260.3301,445300,0.0000,1.0000
2019-10-03,258.0700,259.4000,253.8600,258.6300,256.1408,456100,0.0000,1.0000
2019-10-02,261.9300,261.9800,256.7500,258.9500,256.4578,683500,0.0000,1.0000
2019-10-01,268.5300,268.8200,262.3600,262.3900,259.8647,518700,0.0000,1.0000
2019-09-30,267.1800,269.5500,265.4600,268.1000,265.5197,561200,0.0000,1.0000
2019-09-27,268.1700,270.1100,264.2100,266.1300,263.5686,893400,0.0000,1.0000
2019-09-26,266.3300,268.6800,265.0600,268.0200,265.4404,700900,0.0000,1.0000
2019-09-25,262.0000,267.8900,260.1700,266.6200,264.0539,1725600,0.0000,1.0000
2019-09-24,256.2600,257.9000,251.2400,252.1400,249.7133,612800,0.0000,1.0000
2019-09-23,254.4400,255.3600,252.3700,254.6500,252.1991,569700,0.0000,1.0000
2019-09-20,252.7200,256.8800,251.9200,253.7800,251.3375,1090100,0.0000,1.0000
2019-09-19,248.8700,252.9600,248.8700,251.4200,249.0002,491700,0.0000,1.0000
2019-09-18,250.1200,250.1200,246.8900,249.6700,247.2671,544500,0.0000,1.0000
2019-09-17,247.9800,250.3400,247.9800,249.9500,247.5444,384400,0.0000,1.0000
2019-09-16,245.5000,249.0100,244.0000,247.4600,245.0783,770600,0.0000,1.0000
2019-09-13,246.6000,247.6200,244.5900,246.6800,244.3058,858700,0.0000,1.0000
2019-09-12,247.7900,249.7500,246.3800,246.5100,244.1375,715400,0.0000,1.0000
2019-09-11,249.9900,250.0000,244.7800,246.0200,243.6522,878700,0.0000,1.0000
2019-09-10,253.5500,254.1700,246.9600,248.9700,246.5738,1047900,0.0000,1.0000
2019-09-09,267.5600,267.5600,255.2300,255.6600,253.1994,930100,0.0000,1.0000
2019-09-06,267.1900,269.2700,265.9500,266.1900,263.6281,288400,0.0000,1.0000
2019-09-05,266.9200,270.2400,266.3700,267.2400,264.6679,380800,0.0000,1.0000
2019-09-04,262.1500,265.3300,260.0000,264.0100,261.4691,647700,0.0000,1.0000
2019-09-03,262.6000,264.0000,258.5300,259.9300,257.4283,390500,0.0000,1.0000
2019-08-30,263.4200,266.6700,262.7900,263.8000,261.2610,391300,0.0000,1.0000
2019-08-29,264.0000,266.0000,263.7400,264.6000,262.0534,365400,0.0000,1.0000
2019-08-28,259.8100,262.5600,258.2500,262.1800,259.6566,387600,0.0000,1.0000
2019-08-27,263.2400,263.4600,260.8500,261.1500,258.6366,530600,0.0000,1.0000
2019-08-26,259.7300,260.4500,257.5200,260.3400,257.8344,567400,0.0000,1.0000
2019-08-23,263.5300,264.1500,254.6700,256.0400,253.5758,537400,0.0000,1.0000
