timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,107.6900,108.4600,106.2200,108.4000,108.4000,1438997,0.0000,1.0000
2019-11-12,108.5000,109.0000,107.6000,107.6900,107.6900,1695100,0.0000,1.0000
2019-11-11,109.7900,109.8300,107.9100,108.9300,108.9300,1450900,0.0000,1.0000
2019-11-08,112.3100,112.8500,109.9900,110.3500,110.3500,1297800,0.0000,1.0000
2019-11-07,113.3700,114.8300,112.4000,112.4700,112.4700,1265100,0.0000,1.0000
2019-11-06,113.0800,113.3900,112.2900,112.7900,112.7900,830100,0.0000,1.0000
2019-11-05,111.8400,114.0700,111.8200,113.2800,113.2800,1260600,0.0000,1.0000
2019-11-04,112.0600,112.8900,111.5200,112.2100,112.2100,1105900,0.0000,1.0000
2019-11-01,111.1400,112.4000,110.6700,111.7400,111.7400,1290400,0.0000,1.0000
2019-10-31,111.7100,112.0600,109.2500,110.4000,110.4000,1812500,0.0000,1.0000
2019-10-30,112.3600,112.6700,110.8000,112.0600,112.0600,1200900,0.0000,1.0000
2019-10-29,113.7300,114.3400,112.5400,112.5800,112.5800,1150400,0.0000,1.0000
2019-10-28,114.9200,115.4000,113.3700,113.4200,113.4200,1695100,0.0000,1.0000
2019-10-25,115.2100,116.2000,114.0200,114.5500,114.5500,1439200,0.0000,1.0000
2019-10-24,116.2400,116.7400,115.0000,115.6000,115.6000,1091100,0.0000,1.0000
2019-10-23,117.8600,118.1000,115.5100,116.6300,116.6300,1358000,0.0000,1.0000
2019-10-22,117.4500,119.7100,117.4400,118.4400,118.4400,2008200,0.0000,1.0000
2019-10-21,117.2600,117.5100,115.9500,116.6900,116.6900,1346200,0.0000,1.0000
2019-10-18,117.2000,118.0400,116.8600,116.9800,116.9800,1348700,0.0000,1.0000
2019-10-17,117.2700,117.6200,116.7100,117.3700,117.3700,1106100,0.0000,1.0000
2019-10-16,116.6600,116.9900,115.8000,116.9000,116.9000,1639300,0.0000,1.0000
2019-10-15,115.0000,116.6300,115.0000,116.5100,116.5100,1241200,0.0000,1.0000
2019-10-14,115.3500,115.9800,114.9300,115.0200,115.0200,1154000,0.0000,1.0000
2019-10-11,115.0000,116.5900,114.8000,115.1900,115.1900,2200000,0.0000,1.0000
2019-10-10,113.2500,114.0300,112.3000,113.9100,113.9100,1107000,0.0000,1.0000
2019-10-09,113.1600,114.6900,112.9200,112.9900,112.9900,1536200,0.0000,1.0000
2019-10-08,111.1100,114.1000,110.8100,112.4800,112.4800,1731600,0.0000,1.0000
2019-10-07,115.1300,115.6600,111.8300,112.1600,112.1600,1740900,0.0000,1.0000
2019-10-04,113.2100,116.5900,113.1500,115.7300,115.7300,2595600,0.0000,1.0000
2019-10-03,112.7700,113.1400,110.6500,112.9200,112.9200,1934300,0.0000,1.0000
2019-10-02,112.2500,113.3700,111.0100,113.0700,113.0700,2456400,0.0000,1.0000
2019-10-01,115.0900,115.0900,113.0000,113.2500,113.2500,1658100,0.0000,1.0000
2019-09-30,114.4600,115.7900,113.8600,114.1600,114.1600,2011800,0.0000,1.0000
2019-09-27,113.2900,114.4200,112.6000,114.3000,114.3000,1840200,0.0000,1.0000
2019-09-26,113.5100,113.5800,111.3300,112.4600,112.4600,1384700,0.0000,1.0000
2019-09-25,113.3700,114.1600,111.8500,112.9500,112.9500,1346300,0.0000,1.0000
2019-09-24,113.6700,114.5100,111.8200,113.3700,113.3700,1693000,0.0000,1.0000
2019-09-23,111.1000,113.9400,111.1000,113.4200,113.4200,1922900,0.0000,1.0000
2019-09-20,111.9600,113.6700,111.0400,111.0700,111.0700,2548600,0.0000,1.0000
2019-09-19,112.4600,112.9200,111.6800,111.7400,111.7400,1565100,0.0000,1.0000
2019-09-18,111.3600,112.2700,110.3800,112.2600,112.2600,1728000,0.0000,1.0000
2019-09-17,109.7400,111.1000,109.2500,111.0400,111.0400,1220900,0.0000,1.0000
2019-09-16,112.1000,112.1400,109.5100,109.5600,109.5600,1746600,0.0000,1.0000
2019-09-13,111.8900,113.1200,111.5100,112.8600,112.8600,1801600,0.0000,1.0000
2019-09-12,111.8300,112.9100,111.0100,111.9400,111.9400,1549900,0.0000,1.0000
2019-09-11,111.0200,112.6500,110.4200,111.3600,111.3600,3242900,0.0000,1.0000
2019-09-10,108.5500,110.0200,106.8100,109.9300,109.9300,1826200,0.0000,1.0000
2019-09-09,109.8700,110.7200,107.7100,108.9000,108.9000,2687100,0.0000,1.0000
2019-09-06,107.6800,109.7200,107.1700,109.6200,109.6200,2531200,0.0000,1.0000
2019-09-05,106.4300,108.2900,106.1900,107.6300,107.6300,2448500,0.0000,1.0000
2019-09-04,102.8600,105.1800,102.5100,105.0000,105.0000,2570500,0.0000,1.0000
2019-09-03,101.1900,102.1500,99.8800,101.9900,101.9900,2110800,0.0000,1.0000
2019-08-30,98.2500,101.9300,97.9100,101.5300,101.5300,3975300,0.0000,1.0000
2019-08-29,102.5000,104.2400,96.6800,97.6700,97.6700,6131300,0.0000,1.0000
