timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,54.1900,54.4800,53.4600,53.6600,53.6600,3383387,0.0000,1.0000
2019-11-12,56.0000,56.1100,54.5300,55.1600,55.1600,2731300,0.0000,1.0000
2019-11-11,55.5500,56.2500,55.2200,55.8100,55.8100,3184900,0.0000,1.0000
2019-11-08,55.5000,55.9900,55.0200,55.9900,55.9900,4812000,0.0000,1.0000
2019-11-07,54.9400,55.9400,54.4200,55.8000,55.8000,5974300,0.0000,1.0000
2019-11-06,54.1600,54.7400,53.8100,54.2800,54.2800,3847000,0.0000,1.0000
2019-11-05,54.0100,55.0000,53.6500,54.2000,54.2000,6044500,0.0000,1.0000
2019-11-04,52.6500,54.4100,52.4600,54.1700,54.1700,5430200,0.0000,1.0000
2019-11-01,50.9800,52.4900,50.9000,52.3100,52.3100,3207100,0.0000,1.0000
2019-10-31,50.8800,51.0300,49.7100,50.4900,50.4900,3744000,0.0000,1.0000
2019-10-30,51.2000,51.4700,50.3300,51.0300,51.0300,3602100,0.0000,1.0000
2019-10-29,50.9600,51.6300,50.3700,51.4900,51.4900,3462100,0.0000,1.0000
2019-10-28,50.7500,51.4400,50.4300,51.2100,51.2100,4504100,0.0000,1.0000
2019-10-25,49.7800,50.7600,48.9000,50.4800,50.4800,5361100,0.0000,1.0000
2019-10-24,48.6500,49.9900,47.8400,49.4700,49.4700,6098900,0.0000,1.0000
2019-10-23,46.7800,47.5100,46.5500,47.2300,47.2300,4152000,0.0000,1.0000
2019-10-22,47.0800,47.3840,46.0200,46.8200,46.8200,4645400,0.0000,1.0000
2019-10-21,48.5900,48.9700,47.0900,47.1200,47.1200,3967000,0.0000,1.0000
2019-10-18,47.9100,48.1910,47.3600,47.9600,47.9600,2757600,0.0000,1.0000
2019-10-17,47.4400,48.5400,47.1400,47.8100,47.8100,2724400,0.0000,1.0000
2019-10-16,47.4900,47.9200,47.0100,47.1200,47.1200,3626900,0.0000,1.0000
2019-10-15,46.8200,48.1000,46.5300,47.2000,47.2000,3216800,0.0000,1.0000
2019-10-14,46.7200,47.2700,46.2400,46.8200,46.8200,3196500,0.0000,1.0000
2019-10-11,45.7500,47.7200,45.5030,47.1300,47.1300,3675700,0.0000,1.0000
2019-10-10,44.3300,45.2900,44.0200,44.9200,44.9200,4325000,0.0000,1.0000
2019-10-09,44.3900,44.5400,44.0000,44.0100,44.0100,2844600,0.0000,1.0000
2019-10-08,44.7500,45.0500,43.8300,43.8500,43.8500,2985900,0.0000,1.0000
2019-10-07,45.0800,45.7700,44.7650,45.1700,45.1700,2977900,0.0000,1.0000
2019-10-04,45.1800,45.7800,45.0100,45.3400,45.3400,3512300,0.0000,1.0000
2019-10-03,44.8500,45.3900,44.3700,45.3100,45.3100,3422400,0.0000,1.0000
2019-10-02,44.6700,45.1700,44.3600,44.9300,44.9300,4759500,0.0000,1.0000
2019-10-01,47.9400,48.5700,45.9000,45.9700,45.9700,3838400,0.0000,1.0000
2019-09-30,47.2600,47.7900,47.1100,47.6500,47.6500,2512200,0.0000,1.0000
2019-09-27,47.4000,47.8800,47.0100,47.0700,47.0700,3722300,0.0000,1.0000
2019-09-26,47.5100,47.6900,46.9340,47.2300,47.2300,2994200,0.0000,1.0000
2019-09-25,46.5500,47.9700,46.1300,47.6800,47.6800,4396200,0.0000,1.0000
2019-09-24,47.7800,48.0000,45.9500,46.6000,46.6000,4515300,0.0000,1.0000
2019-09-23,47.3900,48.2150,47.1200,47.9100,47.9100,3599400,0.0000,1.0000
2019-09-20,47.4700,48.8500,47.0700,48.2100,48.2100,10570400,0.0000,1.0000
2019-09-19,48.1200,48.4100,47.4900,47.6400,47.6400,2418300,0.0000,1.0000
2019-09-18,47.9000,47.9000,47.0200,47.5100,47.5100,2588200,0.0000,1.0000
2019-09-17,48.6700,49.0900,47.6100,48.0000,48.0000,3741900,0.0000,1.0000
2019-09-16,48.6900,49.9800,48.2800,49.0100,49.0100,5040600,0.0000,1.0000
2019-09-13,47.6400,48.4400,47.2500,48.2000,48.2000,4027600,0.0000,1.0000
2019-09-12,47.0700,47.1900,45.5700,46.9700,46.9700,3649700,0.0000,1.0000
2019-09-11,46.5200,47.0500,45.5800,46.8800,46.8800,4445000,0.0000,1.0000
2019-09-10,45.1000,46.3700,44.7800,46.3200,46.3200,4704000,0.0000,1.0000
2019-09-09,43.5300,44.6270,43.2600,44.4500,44.4500,3848000,0.0000,1.0000
2019-09-06,43.5400,43.6600,42.6600,43.2400,43.2400,3217900,0.0000,1.0000
2019-09-05,43.1500,43.9700,43.0900,43.3600,43.3600,4041400,0.0000,1.0000
2019-09-04,42.5900,42.7900,41.8500,42.5400,42.5400,2651400,0.0000,1.0000
2019-09-03,42.1400,42.2300,41.1500,41.8000,41.8000,3343300,0.0000,1.0000
2019-08-30,42.8300,43.0000,42.2700,42.6300,42.6300,4099200,0.0000,1.0000
2019-08-29,42.3300,43.0000,42.2100,42.3700,42.3700,3292500,0.7000,1.0000
2019-08-28,41.1500,42.6400,40.7600,42.5200,41.8200,4539300,0.0000,1.0000
2019-08-27,41.1900,41.7300,40.9190,41.1700,40.4922,4152200,0.0000,1.0000
2019-08-26,41.2700,41.3500,40.6100,40.8200,40.1480,3402400,0.0000,1.0000
2019-08-23,42.0000,42.0200,40.4400,40.7100,40.0398,6696800,0.0000,1.0000
2019-08-22,43.3200,43.9000,42.0200,42.0500,41.3577,6072100,0.0000,1.0000
2019-08-21,43.8500,44.2400,43.2400,43.2800,42.5675,4397800,0.0000,1.0000
2019-08-20,45.2500,45.2500,43.0700,43.1600,42.4495,5972800,0.0000,1.0000
2019-08-19,45.3600,45.8630,45.1500,45.6000,44.8493,3615500,0.0000,1.0000
2019-08-16,43.2900,44.8100,42.7700,44.5100,43.7772,4586000,0.0000,1.0000
2019-08-15,44.3400,44.3700,42.9600,43.3800,42.6658,3494600,0.0000,1.0000
2019-08-14,45.8000,46.1500,44.0000,44.0800,43.3543,6178300,0.0000,1.0000
2019-08-13,45.7852,47.7600,45.5800,46.8500,46.0787,5407300,0.0000,1.0000
2019-08-12,46.3900,46.8000,45.5200,45.6900,44.9378,4491600,0.0000,1.0000
2019-08-09,46.4200,46.9900,46.1000,46.6400,45.8722,4468000,0.0000,1.0000
2019-08-08,45.1970,46.8200,45.1900,46.7900,46.0197,4573400,0.0000,1.0000
2019-08-07,44.1000,45.0000,43.9100,44.8900,44.1510,4490100,0.0000,1.0000
2019-08-06,45.1100,45.4500,43.7350,44.4300,43.6986,4702800,0.0000,1.0000
2019-08-05,45.0600,45.1300,44.0700,44.7700,44.0330,5147300,0.0000,1.0000
2019-08-02,46.6900,47.5000,45.3700,45.6000,44.8493,5346400,0.0000,1.0000
2019-08-01,48.1517,48.6000,46.7800,46.8500,46.0787,5803200,0.0000,1.0000
2019-07-31,48.4900,49.4300,47.9500,48.4400,47.6425,5188500,0.0000,1.0000
2019-07-30,47.7800,48.4400,47.7800,48.4000,47.6032,4194300,0.0000,1.0000
2019-07-29,48.5200,48.8800,47.9800,48.0500,47.2590,4219800,0.0000,1.0000
2019-07-26,50.2700,50.3000,48.9200,49.1100,48.3015,5066000,0.0000,1.0000
2019-07-25,51.6400,51.9900,50.3000,50.7700,49.9342,4254600,0.0000,1.0000
2019-07-24,52.5000,52.9900,52.0400,52.7900,51.9209,3516400,0.0000,1.0000
2019-07-23,51.0000,52.9000,50.9500,52.6200,51.7537,4387700,0.0000,1.0000
2019-07-22,51.5040,51.5700,50.6000,50.8800,50.0424,2814900,0.0000,1.0000
2019-07-19,51.7700,51.8300,51.5000,51.5200,50.6718,3221500,0.0000,1.0000
2019-07-18,51.5500,52.0500,51.2800,51.7500,50.8980,3620300,0.0000,1.0000
2019-07-17,52.1600,52.3000,51.2300,51.6000,50.7505,4417500,0.0000,1.0000
2019-07-16,50.9500,52.6450,50.9500,52.3200,51.4587,6011200,0.0000,1.0000
2019-07-15,49.7700,50.9500,49.6600,50.9300,50.0915,4923800,0.0000,1.0000
2019-07-12,48.4600,50.0400,48.0800,49.7100,48.8916,4328400,0.0000,1.0000
2019-07-11,47.7300,48.0600,47.1800,47.7800,46.9934,4202000,0.0000,1.0000
2019-07-10,48.3400,48.4200,47.5200,47.5500,46.7672,3507400,0.0000,1.0000
2019-07-09,48.3000,48.4300,47.5000,47.8700,47.0819,4967400,0.0000,1.0000
2019-07-08,49.3400,49.5000,48.3850,48.5200,47.7212,5936000,0.0000,1.0000
2019-07-05,49.0100,49.3700,48.9600,49.3100,48.4982,2529800,0.0000,1.0000
2019-07-03,49.4643,49.6500,49.2000,49.3300,48.5179,2479400,0.0000,1.0000
2019-07-02,50.0006,50.0600,48.7600,49.4000,48.5867,4725800,0.0000,1.0000
2019-07-01,50.0000,50.2000,49.5200,50.1600,49.3342,4641700,0.0000,1.0000
2019-06-28,51.0400,51.2000,49.0800,49.3100,48.4982,6507400,0.0000,1.0000
2019-06-27,50.6100,51.1420,50.5310,50.9100,50.0719,4097200,0.0000,1.0000
2019-06-26,49.8500,51.2196,49.8100,50.4500,49.6194,5244400,0.0000,1.0000
2019-06-25,49.4900,50.2230,49.0500,49.6900,48.8720,4005200,0.0000,1.0000
2019-06-24,48.5100,49.7000,48.3200,49.5800,48.7638,4602300,0.0000,1.0000
2019-06-21,48.8200,49.2700,48.3100,48.3600,47.5639,9478500,0.0000,1.0000
2019-06-20,49.0950,49.5900,48.6200,48.9300,48.1245,4228300,0.0000,1.0000
2019-06-19,49.9500,50.2400,48.3300,48.5000,47.7015,5404000,0.0000,1.0000
2019-06-18,49.7500,50.5700,49.4000,49.6100,48.7933,5014200,0.0000,1.0000
2019-06-17,50.0600,50.3315,49.0500,49.3500,48.5376,5787300,0.0000,1.0000
2019-06-14,52.6300,52.6900,51.0000,51.1500,50.3079,3919300,0.0000,1.0000
2019-06-13,52.6800,52.9500,52.0400,52.8800,52.0094,4179800,0.0000,1.0000
2019-06-12,52.0600,52.6400,51.6800,52.4900,51.6259,3103900,0.0000,1.0000
2019-06-11,52.0000,52.1700,51.5600,52.0400,51.1833,5144300,0.0000,1.0000
2019-06-10,51.7200,52.1000,51.5800,51.6200,50.7702,5434400,0.0000,1.0000
2019-06-07,51.1300,51.6900,50.8700,51.3000,50.4555,5391100,0.0000,1.0000
2019-06-06,50.2800,51.3100,50.1500,51.0600,50.2194,6228100,0.0000,1.0000
2019-06-05,50.4900,50.5700,49.0500,50.3400,49.5113,6413300,0.0000,1.0000
2019-06-04,48.6812,49.9300,48.6400,49.9300,49.1080,7043000,0.0000,1.0000
2019-06-03,46.8500,47.9600,46.8500,47.9600,47.1704,5905200,0.0000,1.0000
2019-05-31,47.9600,48.0000,46.7500,46.7600,45.9902,3396900,0.0000,1.0000
2019-05-30,48.1200,48.5900,48.0200,48.4700,47.6720,3777600,0.7000,1.0000
2019-05-29,48.2000,49.4300,48.0100,48.7100,47.2196,3525900,0.0000,1.0000
2019-05-28,49.3700,49.4301,48.1000,48.5600,47.0742,6613000,0.0000,1.0000
2019-05-24,49.3900,49.5750,48.4400,49.2000,47.6946,2918900,0.0000,1.0000
2019-05-23,49.5000,49.8600,48.2100,48.7100,47.2196,4919200,0.0000,1.0000
2019-05-22,50.4600,50.6100,49.9650,50.2100,48.6737,3019100,0.0000,1.0000
2019-05-21,50.2800,51.1900,50.0200,50.6300,49.0809,4968400,0.0000,1.0000
2019-05-20,50.4000,50.5400,49.9200,50.0800,48.5477,5168400,0.0000,1.0000
2019-05-17,52.3400,52.5200,50.6600,50.8000,49.2457,4440800,0.0000,1.0000
2019-05-16,53.2900,53.5500,52.7300,52.9800,51.3590,3689700,0.0000,1.0000
2019-05-15,51.9800,53.3250,51.6700,52.9500,51.3299,2928700,0.0000,1.0000
2019-05-14,51.3300,53.0000,50.8400,52.4800,50.8743,4204500,0.0000,1.0000
2019-05-13,52.2800,52.5500,50.7600,50.9500,49.3911,4213100,0.0000,1.0000
2019-05-10,52.9400,53.7140,52.4900,53.0700,51.4462,4758100,0.0000,1.0000
2019-05-09,52.2600,53.1400,51.5500,52.9300,51.3105,4579700,0.0000,1.0000
2019-05-08,53.3300,53.3950,52.3100,52.4800,50.8743,5390700,0.0000,1.0000
2019-05-07,52.8600,53.3250,52.6500,52.9500,51.3299,7330800,0.0000,1.0000
2019-05-06,52.1500,54.0300,51.7000,53.4600,51.8243,6089500,0.0000,1.0000
2019-05-03,53.1997,53.3500,51.7200,53.3000,51.6692,7401700,0.0000,1.0000
2019-05-02,55.5400,56.4900,52.0300,52.7000,51.0875,13932700,0.0000,1.0000
2019-05-01,56.8200,57.4800,55.8800,56.1300,54.4126,7644400,0.0000,1.0000
2019-04-30,55.7600,57.2050,55.6000,56.7300,54.9942,6454100,0.0000,1.0000
2019-04-29,55.0529,55.6850,54.8000,55.5000,53.8019,5935200,0.0000,1.0000
2019-04-26,55.3000,55.6000,54.9500,55.2500,53.5595,4009800,0.0000,1.0000
2019-04-25,55.7600,55.9800,54.8200,55.3300,53.6371,6260500,0.0000,1.0000
2019-04-24,57.4900,57.8900,55.8650,55.9800,54.2672,5431300,0.0000,1.0000
2019-04-23,57.2900,57.8400,57.0000,57.6400,55.8764,5687200,0.0000,1.0000
2019-04-22,57.4800,58.4100,57.2600,57.8900,56.1187,4401700,0.0000,1.0000
2019-04-18,58.3600,58.6100,57.5522,57.7700,56.0024,5178800,0.0000,1.0000
2019-04-17,58.9500,59.0500,58.2000,58.3200,56.5356,6420700,0.0000,1.0000
2019-04-16,58.7100,58.9900,57.8400,58.5000,56.7101,6681600,0.0000,1.0000
2019-04-15,58.5695,58.8500,57.2900,57.7800,56.0121,5727300,0.0000,1.0000
2019-04-12,55.9300,58.3300,55.9300,58.3000,56.5162,9281700,0.0000,1.0000
2019-04-11,55.7000,56.2100,54.8300,54.8900,53.2105,7346100,0.0000,1.0000
2019-04-10,55.9900,56.4100,55.1000,55.7100,54.0054,9081900,0.0000,1.0000
2019-04-09,56.8000,57.2000,56.0800,56.2700,54.5483,9179900,0.0000,1.0000
2019-04-08,56.5000,58.3900,56.2700,57.1500,55.4014,10764600,0.0000,1.0000
2019-04-05,58.3900,58.9800,56.2696,57.2400,55.4886,17000800,0.0000,1.0000
2019-04-04,57.2000,60.5200,57.1000,59.7100,57.8830,13309200,0.0000,1.0000
2019-04-03,57.0800,57.2023,55.5100,56.8800,55.1396,15066200,0.0000,1.0000
2019-04-02,55.1200,57.3900,54.3007,56.2500,54.5289,17414200,0.0000,1.0000
2019-04-01,52.3000,54.3900,51.2494,53.5000,51.8631,19663400,0.0000,1.0000
2019-03-29,49.5200,52.4800,49.1800,51.6300,50.0503,1769000,0.0000,1.0000
2019-03-28,50.9000,51.0000,49.9150,50.8500,49.2941,585400,0.0000,1.0000
2019-03-27,49.0000,50.7800,49.0000,50.1000,48.5671,1788600,0.0000,1.0000
2019-03-26,49.0000,49.7500,48.1800,48.8500,47.3553,504700,0.0000,1.0000
2019-03-25,48.6000,49.4012,48.0000,49.1500,47.6462,440900,0.0000,1.0000
2019-03-22,48.8000,49.9500,48.1600,48.6000,47.1130,844700,0.0000,1.0000
2019-03-21,49.9900,50.0000,48.2000,48.9800,47.4814,1764700,0.0000,1.0000
2019-03-20,52.7466,53.5000,49.5000,49.8000,48.2763,2350800,0.0000,1.0000
