timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,134.5900,136.2200,134.0950,135.9600,135.9600,873034,0.0000,1.0000
2019-11-12,135.1600,135.8500,134.6600,135.1100,135.1100,555200,0.0000,1.0000
2019-11-11,133.2100,135.3800,132.0900,134.9400,134.9400,666800,0.0000,1.0000
2019-11-08,133.5700,134.5700,132.9800,133.9600,133.9600,491600,0.0000,1.0000
2019-11-07,135.7400,136.2000,132.7600,133.8900,133.8900,626600,0.0000,1.0000
2019-11-06,133.4800,135.7200,132.9900,135.1800,135.1800,730600,0.0000,1.0000
2019-11-05,134.9600,134.9600,131.5700,133.2500,133.2500,1431500,0.0000,1.0000
2019-11-04,139.0300,139.3500,134.5500,134.8000,134.8000,914700,0.0000,1.0000
2019-11-01,137.5100,138.7600,136.4000,138.7000,138.7000,770600,0.0000,1.0000
2019-10-31,135.4900,137.3500,135.2600,136.7100,136.7100,824600,0.0000,1.0000
2019-10-30,136.0700,136.0700,133.4900,135.0100,135.0100,1198400,0.0000,1.0000
2019-10-29,136.4900,137.5800,135.5000,135.8400,135.8400,1298700,0.0000,1.0000
2019-10-28,138.1600,138.5800,135.9400,136.6900,136.6900,1136200,0.0000,1.0000
2019-10-25,136.9200,138.7500,135.9200,137.9000,137.9000,881000,0.0000,1.0000
2019-10-24,140.0000,141.3500,131.9000,137.6900,137.6900,3019700,0.0000,1.0000
2019-10-23,139.0000,139.9500,137.9200,139.3700,139.3700,1845700,0.0000,1.0000
2019-10-22,145.6600,145.6600,139.2100,139.3300,139.3300,1087800,0.0000,1.0000
2019-10-21,145.3500,146.1300,144.0500,145.5100,145.5100,952200,0.0000,1.0000
2019-10-18,145.7000,146.4500,144.5000,144.6800,144.6800,1069900,0.0000,1.0000
2019-10-17,145.8100,146.8000,144.9500,146.7000,146.7000,480100,0.0000,1.0000
2019-10-16,145.1100,145.2300,142.9600,145.1800,145.1800,376700,0.0000,1.0000
2019-10-15,143.8500,145.4400,143.5600,144.9600,144.9600,422200,0.0000,1.0000
2019-10-14,143.7100,145.6500,142.6900,143.3300,143.3300,382900,0.0000,1.0000
2019-10-11,142.9700,144.9500,142.7100,143.9300,143.9300,697600,0.0000,1.0000
2019-10-10,139.4600,141.6700,139.0200,141.5100,141.5100,634600,0.0000,1.0000
2019-10-09,137.4000,139.6500,136.7100,139.5200,139.5200,971600,0.0000,1.0000
2019-10-08,136.6500,137.1200,134.2400,136.0700,136.0700,1016200,0.0000,1.0000
2019-10-07,137.8000,138.5900,137.1500,137.7600,137.7600,1036700,0.0000,1.0000
2019-10-04,137.2400,139.1700,136.9800,138.0400,138.0400,713300,0.0000,1.0000
2019-10-03,134.4600,136.7300,132.9500,136.5000,136.5000,1102100,0.0000,1.0000
2019-10-02,136.9500,137.1500,134.1800,134.4200,134.4200,676300,0.0000,1.0000
2019-10-01,140.6600,141.8000,137.9500,138.2700,138.2700,756000,0.0000,1.0000
2019-09-30,140.8800,141.8800,140.4000,140.6700,140.6700,723200,0.0000,1.0000
2019-09-27,143.9100,143.9100,140.1700,141.3100,141.3100,1182600,0.0000,1.0000
2019-09-26,143.1600,143.8100,142.5800,143.2100,143.2100,528200,0.0000,1.0000
2019-09-25,141.3100,142.9900,140.4500,142.8400,142.8400,819900,0.0000,1.0000
2019-09-24,141.3800,142.9800,140.1900,140.8500,140.8500,809000,0.0000,1.0000
2019-09-23,140.6700,141.5300,139.9300,140.9500,140.9500,717700,0.0000,1.0000
2019-09-20,141.5200,141.7800,139.6300,141.0500,141.0500,793200,0.0000,1.0000
