timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,533.7200,541.9600,532.6500,540.7300,540.7300,359956,0.0000,1.0000
2019-11-12,535.6300,539.0100,526.8500,531.2400,531.2400,358000,0.0000,1.0000
2019-11-11,530.2600,539.3600,530.2600,535.0000,535.0000,309400,0.0000,1.0000
2019-11-08,523.4600,535.9600,521.9200,530.3100,530.3100,505500,0.0000,1.0000
2019-11-07,530.9600,530.9600,519.3700,522.5000,522.5000,383600,0.0000,1.0000
2019-11-06,530.0700,534.9900,527.8500,531.8800,531.8800,375800,0.0000,1.0000
2019-11-05,542.1400,542.1400,523.7900,527.1900,527.1900,934300,0.0000,1.0000
2019-11-04,560.6700,560.8000,542.3800,543.2000,543.2000,661300,0.0000,1.0000
2019-11-01,565.3300,567.4600,557.1400,562.2400,562.2400,431900,0.0000,1.0000
2019-10-31,572.7000,574.9000,553.8100,566.7800,566.7800,690100,0.0000,1.0000
2019-10-30,570.7200,577.7100,566.4500,571.1600,571.1600,556100,0.0000,1.0000
2019-10-29,565.8900,576.2500,565.7600,567.5200,567.5200,305000,0.0000,1.0000
2019-10-28,564.2300,568.5600,563.1800,567.1300,567.1300,288100,0.0000,1.0000
2019-10-25,562.3400,566.5400,553.6700,565.7400,565.7400,379200,0.0000,1.0000
2019-10-24,569.5000,569.5000,561.2800,563.3400,563.3400,329300,0.0000,1.0000
2019-10-23,569.6900,572.6100,558.9300,566.6200,566.6200,370600,0.0000,1.0000
2019-10-22,582.6800,582.6800,569.8300,569.9300,569.9300,271100,0.0000,1.0000
2019-10-21,576.4100,578.3200,572.0300,577.3500,577.3500,270800,0.0000,1.0000
2019-10-18,574.8200,577.1700,571.3200,576.4100,576.4100,247900,0.0000,1.0000
2019-10-17,570.9300,576.4800,569.4500,571.8400,571.8400,198100,0.0000,1.0000
2019-10-16,568.1600,568.9000,560.8900,567.8900,567.8900,313200,0.0000,1.0000
2019-10-15,570.6000,574.1700,566.0000,571.6500,571.6500,207100,0.0000,1.0000
2019-10-14,566.9800,571.2200,565.0500,567.5000,567.5000,181500,0.0000,1.0000
2019-10-11,576.1900,576.1900,565.8700,566.6100,566.6100,280100,0.0000,1.0000
2019-10-10,573.5300,574.9200,568.1400,572.2000,572.2000,230600,0.0000,1.0000
2019-10-09,570.9100,579.2900,570.0700,575.0000,575.0000,274000,0.0000,1.0000
2019-10-08,576.1700,577.7700,569.3400,569.5000,569.5000,280500,0.0000,1.0000
2019-10-07,577.8700,580.9500,575.5500,577.3100,577.3100,224800,0.0000,1.0000
2019-10-04,577.6300,582.4300,575.9300,581.6500,581.6500,295700,0.0000,1.0000
2019-10-03,563.1600,575.7600,562.7700,575.7500,575.7500,417600,0.0000,1.0000
2019-10-02,568.1200,571.5100,555.1800,561.5200,561.5200,531300,0.0000,1.0000
