timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,104.8500,106.1000,104.5700,105.3600,105.3600,753559,0.0000,1.0000
2019-11-12,105.8300,107.1400,104.3900,104.4700,104.4700,716100,0.0000,1.0000
2019-11-11,106.2100,106.8000,105.3700,105.6600,105.6600,829300,0.0000,1.0000
2019-11-08,107.8500,108.1800,106.0600,106.2900,106.2900,735500,0.0000,1.0000
2019-11-07,108.4300,109.0100,107.6400,107.9700,107.9700,803400,0.0000,1.0000
2019-11-06,107.5600,109.0700,107.0600,108.9000,108.9000,917100,0.0000,1.0000
2019-11-05,108.3700,108.7400,105.9300,107.1100,107.1100,1522500,0.0000,1.0000
2019-11-04,110.9800,110.9800,108.6900,109.0100,109.0100,1048100,0.0000,1.0000
2019-11-01,112.3600,113.0400,110.1000,111.2200,111.2200,925100,0.0000,1.0000
2019-10-31,111.1700,112.3700,110.9800,112.2700,112.2700,1152500,0.0000,1.0000
2019-10-30,112.1400,112.4100,108.0500,110.8500,110.8500,2113200,0.0000,1.0000
2019-10-29,112.1600,113.5200,111.9500,112.7300,112.7300,783600,0.0000,1.0000
2019-10-28,112.1200,112.8200,111.5900,112.0700,112.0700,965000,0.0000,1.0000
2019-10-25,114.5400,114.7800,112.0300,112.2300,112.2300,795500,0.0000,1.0000
2019-10-24,115.8700,116.5100,115.0000,115.5500,115.5500,622900,0.0000,1.0000
2019-10-23,115.2900,115.9500,114.5500,115.6800,115.6800,975900,0.0000,1.0000
2019-10-22,115.7500,116.5200,114.9900,115.2200,115.2200,911700,0.0000,1.0000
2019-10-21,114.0300,115.9200,114.0300,115.6400,115.6400,970900,0.0000,1.0000
2019-10-18,114.3000,114.5500,113.4300,114.2400,114.2400,906900,0.0000,1.0000
2019-10-17,115.0500,115.5200,114.2300,114.3000,114.3000,579400,0.0000,1.0000
2019-10-16,114.8900,115.2000,114.1100,115.1700,115.1700,755600,0.0000,1.0000
2019-10-15,115.2500,115.5600,113.8100,115.0000,115.0000,606300,0.0000,1.0000
2019-10-14,115.8200,116.0000,114.8600,115.2400,115.2400,440300,0.0000,1.0000
2019-10-11,116.0000,116.3300,115.4600,115.6700,115.6700,709800,0.0000,1.0000
2019-10-10,116.6200,116.9900,115.6900,116.2800,116.2800,545000,0.0000,1.0000
2019-10-09,117.3400,117.8100,116.6500,116.8600,116.8600,472700,0.0000,1.0000
2019-10-08,116.8900,117.8100,115.7600,117.0200,117.0200,930300,0.0000,1.0000
2019-10-07,116.8900,117.4900,116.5500,116.7500,116.7500,509600,0.0000,1.0000
2019-10-04,116.8300,117.8400,116.3100,117.4500,117.4500,573400,0.0000,1.0000
2019-10-03,115.4700,117.2100,115.4200,116.6500,116.6500,1337600,0.0000,1.0000
2019-10-02,115.8200,116.7400,114.9900,115.2000,115.2000,818900,0.0000,1.0000
2019-10-01,116.5100,116.7100,113.9300,115.6700,115.6700,806000,0.0000,1.0000
2019-09-30,116.4600,117.7800,116.4400,116.8200,116.8200,763800,0.0000,1.0000
2019-09-27,118.0400,118.0800,115.9000,116.6900,116.6900,631500,0.0000,1.0000
2019-09-26,117.4100,118.2500,116.8300,117.9800,117.9800,939200,0.0000,1.0000
2019-09-25,116.4000,117.1500,116.0900,117.0700,117.0700,791900,0.0000,1.0000
