timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,36.6400,36.6450,35.9700,36.0200,36.0200,2714271,0.0000,1.0000
2019-11-12,36.8200,37.0100,36.5700,36.9000,36.9000,2927300,0.0000,1.0000
2019-11-11,36.8200,36.8900,36.5600,36.8300,36.8300,1828800,0.0000,1.0000
2019-11-08,37.1200,37.1400,36.8300,37.0700,37.0700,3178300,0.0000,1.0000
2019-11-07,37.4000,37.5700,36.7900,37.1400,37.1400,4006400,0.0000,1.0000
2019-11-06,36.9000,37.1600,36.4800,37.1500,37.1500,7306000,0.0000,1.0000
2019-11-05,37.3500,37.9100,37.0100,37.2800,37.2800,3842900,0.0000,1.0000
2019-11-04,37.4100,37.9100,37.1800,37.3000,37.3000,4154400,0.0000,1.0000
2019-11-01,36.3000,37.1600,36.2000,37.1500,37.1500,3767500,0.0000,1.0000
2019-10-31,36.1200,36.2900,35.4700,35.9400,35.9400,5582900,0.0000,1.0000
2019-10-30,36.8100,36.8700,36.0100,36.2900,36.2900,4170400,0.0000,1.0000
2019-10-29,36.4100,36.8400,36.3700,36.7300,36.7300,5232700,0.0000,1.0000
2019-10-28,37.3900,37.5500,36.6900,36.8300,36.8300,4025200,0.0000,1.0000
2019-10-25,37.1000,37.3600,37.0400,37.1800,37.1800,4323500,0.0000,1.0000
2019-10-24,37.3800,37.5000,36.8600,37.1800,37.1800,4222900,0.2200,1.0000
2019-10-23,37.1500,37.8000,36.8200,37.6600,37.4400,5529600,0.0000,1.0000
2019-10-22,36.8200,37.6400,36.5700,37.3700,37.1517,4840100,0.0000,1.0000
2019-10-21,36.1000,36.9600,35.9800,36.7900,36.5751,6178100,0.0000,1.0000
2019-10-18,36.0000,36.1600,35.8100,35.8300,35.6207,3815300,0.0000,1.0000
2019-10-17,35.5500,36.3100,35.5500,36.0200,35.8096,4378000,0.0000,1.0000
2019-10-16,35.7100,35.8800,35.4100,35.6100,35.4020,5105400,0.0000,1.0000
2019-10-15,35.6400,36.1200,35.4200,35.8000,35.5909,5827500,0.0000,1.0000
2019-10-14,35.3500,36.2400,35.3200,35.4200,35.2131,11701900,0.0000,1.0000
2019-10-11,34.1000,36.5800,34.0400,36.3400,36.1277,28822500,0.0000,1.0000
2019-10-10,30.6400,31.1500,30.6400,31.0200,30.8388,5764700,0.0000,1.0000
2019-10-09,30.7200,30.9000,30.4500,30.6500,30.4710,3565000,0.0000,1.0000
2019-10-08,30.5700,31.0700,30.1400,30.6100,30.4312,4852300,0.0000,1.0000
2019-10-07,31.4100,31.4700,30.9000,31.0300,30.8487,5022500,0.0000,1.0000
2019-10-04,31.2100,31.8500,31.0900,31.7800,31.5944,3629000,0.0000,1.0000
2019-10-03,30.9100,31.0300,30.3800,31.0100,30.8288,4186900,0.0000,1.0000
2019-10-02,30.8700,31.1200,30.5500,30.9600,30.7791,4652700,0.0000,1.0000
2019-10-01,33.0000,33.1600,30.9800,31.1700,30.9879,6476100,0.0000,1.0000
2019-09-30,32.3300,32.8500,32.3200,32.6700,32.4791,3358600,0.0000,1.0000
2019-09-27,32.2400,32.2900,31.8800,32.2300,32.0417,4686200,0.0000,1.0000
2019-09-26,32.0100,32.1300,31.8300,31.9900,31.8031,3315000,0.0000,1.0000
2019-09-25,31.7400,32.2600,31.7000,32.1000,31.9125,3161700,0.0000,1.0000
2019-09-24,32.5400,32.6400,31.4800,31.7000,31.5148,4968100,0.0000,1.0000
2019-09-23,31.8700,32.4100,31.7000,32.2800,32.0914,3284700,0.0000,1.0000
2019-09-20,32.4100,32.6300,31.8500,31.8600,31.6739,5374300,0.0000,1.0000
2019-09-19,32.7800,32.9100,32.3600,32.4000,32.2107,3375900,0.0000,1.0000
2019-09-18,33.4600,33.4600,32.4200,32.8700,32.6780,5082500,0.0000,1.0000
2019-09-17,33.4400,33.6100,32.7800,33.5700,33.3739,3278900,0.0000,1.0000
2019-09-16,33.4000,33.7800,33.2000,33.4600,33.2645,3328700,0.0000,1.0000
2019-09-13,33.7700,34.0900,33.5800,33.6400,33.4435,3819600,0.0000,1.0000
2019-09-12,33.5000,33.9900,33.2400,33.6300,33.4335,3954900,0.0000,1.0000
2019-09-11,32.8600,33.5000,32.6000,33.5000,33.3043,4533700,0.0000,1.0000
2019-09-10,31.7900,32.8100,31.6100,32.7900,32.5984,4847700,0.0000,1.0000
2019-09-09,31.7200,32.3500,31.6400,32.0700,31.8827,4683900,0.0000,1.0000
2019-09-06,31.2800,31.8800,31.1900,31.5600,31.3756,4006100,0.0000,1.0000
2019-09-05,30.3100,31.4300,30.3100,31.0600,30.8786,4148100,0.0000,1.0000
2019-09-04,30.0200,30.2600,29.9000,29.9600,29.7850,2188700,0.0000,1.0000
2019-09-03,30.3100,30.5200,29.5200,29.7200,29.5464,4935200,0.0000,1.0000
2019-08-30,30.7900,31.1000,30.4900,30.6200,30.4411,3061800,0.0000,1.0000
2019-08-29,30.2900,30.7500,30.0200,30.5400,30.3616,2818200,0.0000,1.0000
2019-08-28,29.5600,29.9200,29.2600,29.8700,29.6955,3433200,0.0000,1.0000
2019-08-27,29.9700,29.9800,29.4400,29.7000,29.5265,3982400,0.0000,1.0000
2019-08-26,30.0700,30.1400,29.4500,29.7300,29.5563,2208400,0.0000,1.0000
