timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,160.0000,160.0100,156.1500,156.2300,156.2300,2192038,0.0000,1.0000
2019-11-12,162.3500,163.8400,160.7600,161.2200,161.2200,1279900,0.0000,1.0000
2019-11-11,161.9600,163.0200,161.3300,162.1800,162.1800,1063400,0.0000,1.0000
2019-11-08,163.8000,164.0000,161.6000,163.2200,163.2200,1152500,0.0000,1.0000
2019-11-07,165.4600,166.8300,163.4700,163.9200,163.9200,1978200,0.0000,1.0000
2019-11-06,164.5600,164.6200,161.9100,163.1700,163.1700,1767300,0.0000,1.0000
2019-11-05,164.6000,167.5900,163.0100,164.8500,164.8500,2510000,0.0000,1.0000
2019-11-04,159.8500,165.0300,159.5000,164.8400,164.8400,4303600,0.0000,1.0000
2019-11-01,154.1600,157.1000,153.9600,156.5200,156.5200,2129400,0.0000,1.0000
2019-10-31,155.0000,155.8400,151.6200,152.6600,152.6600,2110500,0.0000,1.0000
2019-10-30,157.7500,157.7600,154.0200,155.8400,155.8400,1576200,0.0000,1.0000
2019-10-29,158.9300,158.9300,156.8000,158.0100,158.0100,1464100,0.0000,1.0000
2019-10-28,158.9000,160.3900,157.1700,158.4000,158.4000,2597000,0.0000,1.0000
2019-10-25,153.8000,158.2400,153.5100,158.0900,158.0900,2080600,0.0000,1.0000
2019-10-24,156.3000,156.9800,153.0400,154.0500,154.0500,1712600,0.0000,1.0000
2019-10-23,154.3900,156.7300,153.6900,155.9800,155.9800,2174800,0.0000,1.0000
2019-10-22,151.3200,154.6900,149.8500,154.6300,154.6300,2975000,0.0000,1.0000
2019-10-21,150.6800,154.1300,150.0900,152.0400,152.0400,3459700,0.0000,1.0000
2019-10-18,150.4800,151.1200,149.1900,149.9100,149.9100,2789600,0.0000,1.0000
2019-10-17,151.3800,152.4200,150.4800,150.7000,150.7000,2585400,0.0000,1.0000
2019-10-16,150.0300,152.3600,149.7500,150.7700,150.7700,3425100,0.0000,1.0000
2019-10-15,147.6000,150.1300,147.1800,149.9600,149.9600,3187300,0.0000,1.0000
2019-10-14,145.1100,147.7000,144.3900,146.7800,146.7800,2388200,0.0000,1.0000
2019-10-11,143.1700,147.0500,143.1700,145.5400,145.5400,3947900,0.0000,1.0000
2019-10-10,139.5400,141.6200,139.1500,141.3600,141.3600,1751500,0.0000,1.0000
2019-10-09,138.8300,139.7700,137.7800,139.2500,139.2500,2212800,0.0000,1.0000
2019-10-08,140.8000,140.9400,138.3800,138.3900,138.3900,2382600,0.0000,1.0000
2019-10-07,141.8400,144.2300,141.1300,142.0900,142.0900,1778800,0.0000,1.0000
2019-10-04,141.7900,143.0600,140.6900,143.0000,143.0000,2166100,0.0000,1.0000
2019-10-03,140.5000,141.9000,138.5900,141.7100,141.7100,2300900,0.0000,1.0000
2019-10-02,140.1600,141.9000,139.1000,140.7800,140.7800,2740800,0.0000,1.0000
2019-10-01,145.5900,146.8400,140.6200,141.6400,141.6400,3434800,0.0000,1.0000
2019-09-30,145.3100,146.5000,144.9600,145.5700,145.5700,1693400,0.0000,1.0000
2019-09-27,145.6700,146.8200,143.9100,144.9600,144.9600,1967700,0.0000,1.0000
2019-09-26,147.2700,147.4800,144.4700,145.1600,145.1600,2033200,0.0000,1.0000
2019-09-25,143.1500,147.8200,143.1500,147.0400,147.0400,3551200,0.0000,1.0000
2019-09-24,145.9300,147.6200,142.4900,143.2500,143.2500,5502600,0.0000,1.0000
2019-09-23,147.5400,149.1000,145.4600,145.6700,145.6700,4084500,0.0000,1.0000
2019-09-20,153.3600,153.3600,148.4500,148.7800,148.7800,5606500,0.0000,1.0000
2019-09-19,150.2200,152.6000,149.5000,152.4500,152.4500,5557800,0.0000,1.0000
2019-09-18,153.3000,154.5700,148.5000,150.9100,150.9100,22812400,0.0000,1.0000
