timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,132.3600,134.5200,132.2100,133.8200,133.8200,3794950,0.0000,1.0000
2019-11-12,132.7100,133.5900,132.0800,132.6200,132.6200,4478900,0.0000,1.0000
2019-11-11,130.5500,132.7700,130.0000,132.3600,132.3600,3106700,0.0000,1.0000
2019-11-08,131.7100,132.2500,130.2400,130.6900,130.6900,2863100,0.0000,1.0000
2019-11-07,131.2000,133.7900,131.0700,132.3500,132.3500,3039400,0.0000,1.0000
2019-11-06,132.0100,133.5800,130.3800,130.8900,130.8900,3296800,0.0000,1.0000
2019-11-05,135.0800,135.2300,128.2000,132.1900,132.1900,5902600,0.0000,1.0000
2019-11-04,134.5200,134.8700,130.9900,131.0000,131.0000,5304400,0.0000,1.0000
2019-11-01,132.7900,134.2100,132.5500,134.1500,134.1500,3137200,0.0000,1.0000
2019-10-31,131.9200,133.0400,130.9000,131.7600,131.7600,3385800,0.0000,1.0000
2019-10-30,131.0600,132.2300,130.0700,131.9600,131.9600,2097500,0.0000,1.0000
2019-10-29,130.0800,132.0600,129.6700,130.7400,130.7400,2383200,0.0000,1.0000
2019-10-28,129.8600,131.3000,128.9400,130.2200,130.2200,2623700,0.0000,1.0000
2019-10-25,128.6100,130.3600,128.2200,129.3200,129.3200,1979000,0.0000,1.0000
2019-10-24,127.7700,129.7400,127.6300,129.2100,129.2100,1808400,0.0000,1.0000
2019-10-23,125.5500,127.2100,125.0100,126.9700,126.9700,3765100,0.0000,1.0000
2019-10-22,129.1700,129.8100,125.3400,125.4400,125.4400,2865000,0.0000,1.0000
2019-10-21,128.8700,129.8800,127.1200,128.8300,128.8300,2384700,0.0000,1.0000
2019-10-18,130.5400,130.8100,128.0100,128.3300,128.3300,4189000,0.0000,1.0000
2019-10-17,132.1500,132.9900,130.1700,130.5300,130.5300,2530200,0.0000,1.0000
2019-10-16,132.2100,132.3100,129.9800,131.7600,131.7600,2175600,0.0000,1.0000
2019-10-15,132.6900,133.0300,132.0900,132.8100,132.8100,2068200,0.0000,1.0000
2019-10-14,131.7100,132.8900,131.6000,132.7400,132.7400,1558600,0.0000,1.0000
2019-10-11,132.5600,133.5600,131.6600,132.0300,132.0300,2973300,0.0000,1.0000
2019-10-10,130.9500,132.3600,130.1800,131.5400,131.5400,2467300,0.0000,1.0000
2019-10-09,130.4300,131.8800,129.8000,131.6300,131.6300,1927900,0.0000,1.0000
2019-10-08,129.8800,131.6200,128.4900,129.5300,129.5300,2333400,0.0000,1.0000
