timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,29.7500,29.9900,29.4800,29.8100,29.8100,4091316,0.0000,1.0000
2019-11-12,30.1900,30.3100,29.9400,30.1100,30.1100,4307000,0.0000,1.0000
2019-11-11,30.2600,30.3700,30.0600,30.1300,30.1300,4751500,0.0000,1.0000
2019-11-08,30.4100,30.6400,30.3900,30.5600,30.5600,3597500,0.0000,1.0000
2019-11-07,30.6700,30.8900,30.4300,30.5100,30.5100,5180900,0.0000,1.0000
2019-11-06,30.3700,30.4900,30.1000,30.4300,30.4300,5428700,0.0000,1.0000
2019-11-05,30.2400,30.6500,30.1000,30.3500,30.3500,4962700,0.0000,1.0000
2019-11-04,29.8000,30.1500,29.7400,30.0800,30.0800,5990700,0.0000,1.0000
2019-11-01,29.3500,29.5700,29.2100,29.5600,29.5600,5209800,0.0000,1.0000
2019-10-31,29.1000,29.2800,28.6800,29.0800,29.0800,7915000,0.0000,1.0000
2019-10-30,29.5800,29.6000,29.0600,29.2800,29.2800,8114000,0.0000,1.0000
2019-10-29,29.2900,29.6700,29.0700,29.6300,29.6300,6889700,0.0000,1.0000
2019-10-28,28.9900,29.5800,28.9900,29.4400,29.4400,7465500,0.0000,1.0000
2019-10-25,28.6200,29.2500,28.4900,29.0500,29.0500,9573400,0.0000,1.0000
2019-10-24,28.2800,28.4200,27.9300,28.1900,28.1900,3222700,0.0000,1.0000
2019-10-23,28.1100,28.3800,27.9800,28.2700,28.2700,4557900,0.0000,1.0000
2019-10-22,27.8300,28.6400,26.9300,28.3000,28.3000,8416600,0.0000,1.0000
2019-10-21,27.5700,28.0400,27.5700,28.0200,28.0200,6067100,0.0000,1.0000
2019-10-18,27.1900,27.5100,27.0600,27.3300,27.3300,6307300,0.0000,1.0000
2019-10-17,27.3500,27.4200,26.9500,27.0800,27.0800,5085900,0.0000,1.0000
2019-10-16,27.2800,27.5800,27.1000,27.1700,27.1700,3897500,0.0000,1.0000
2019-10-15,27.1000,27.5700,26.9000,27.3800,27.3800,3990400,0.0000,1.0000
2019-10-14,26.5800,27.0700,26.5700,26.9900,26.9900,3674600,0.0000,1.0000
2019-10-11,26.9900,27.1400,26.7700,26.8500,26.8500,5213500,0.0000,1.0000
2019-10-10,25.8900,26.3500,25.7800,26.1800,26.1800,4585000,0.0000,1.0000
2019-10-09,25.7400,25.7900,25.5700,25.6600,25.6600,4037800,0.0000,1.0000
2019-10-08,25.8100,25.9200,25.4200,25.4500,25.4500,5921100,0.0000,1.0000
2019-10-07,26.4900,26.6200,26.2600,26.2900,26.2900,3188100,0.0000,1.0000
2019-10-04,26.1500,26.5200,25.8400,26.5000,26.5000,4576500,0.0000,1.0000
2019-10-03,25.8600,26.1000,25.4600,26.0800,26.0800,4812800,0.0000,1.0000
2019-10-02,26.2900,26.3600,25.8200,25.9400,25.9400,4184300,0.0000,1.0000
2019-10-01,27.5200,27.6600,26.4600,26.4700,26.4700,4449800,0.0000,1.0000
2019-09-30,27.5800,27.6400,27.3100,27.3800,27.3800,3654800,0.0000,1.0000
2019-09-27,27.4000,27.7100,27.1300,27.4800,27.4800,4831500,0.2400,1.0000
2019-09-26,27.5200,27.6300,27.2600,27.3900,27.1500,5249100,0.0000,1.0000
2019-09-25,27.3900,27.8000,27.3200,27.6600,27.4176,3293000,0.0000,1.0000
2019-09-24,27.7300,27.8800,27.3200,27.4500,27.2095,5499500,0.0000,1.0000
2019-09-23,27.5800,27.8300,27.4300,27.7200,27.4771,4794000,0.0000,1.0000
2019-09-20,28.1200,28.1500,27.7800,27.8300,27.5861,8049600,0.0000,1.0000
2019-09-19,28.2300,28.4400,27.9300,27.9500,27.7051,4468700,0.0000,1.0000
2019-09-18,27.9900,28.4500,27.8500,28.2900,28.0421,4088000,0.0000,1.0000
2019-09-17,28.3600,28.4900,27.8900,28.1800,27.9331,5711200,0.0000,1.0000
2019-09-16,27.9600,28.5400,27.9200,28.5100,28.2602,4594500,0.0000,1.0000
2019-09-13,28.3200,28.6600,28.1800,28.3800,28.1313,4536400,0.0000,1.0000
2019-09-12,27.5900,28.1100,27.2800,28.0300,27.7844,5386800,0.0000,1.0000
2019-09-11,27.8400,27.9700,27.3900,27.7900,27.5465,6311300,0.0000,1.0000
2019-09-10,27.6000,28.1200,27.4800,27.9200,27.6754,6290700,0.0000,1.0000
2019-09-09,26.9500,27.6500,26.8900,27.5300,27.2888,6194200,0.0000,1.0000
2019-09-06,26.9100,26.9600,26.5800,26.7600,26.5255,5535000,0.0000,1.0000
2019-09-05,26.5000,27.0100,26.2700,26.7500,26.5156,5282200,0.0000,1.0000
2019-09-04,26.0300,26.0900,25.6800,25.9500,25.7226,5370200,0.0000,1.0000
2019-09-03,26.1800,26.2500,25.4600,25.7400,25.5145,5528500,0.0000,1.0000
2019-08-30,26.5800,26.7900,26.3700,26.4500,26.2182,4240600,0.0000,1.0000
2019-08-29,25.9900,26.4000,25.9900,26.3100,26.0795,4482900,0.0000,1.0000
2019-08-28,25.2100,25.9300,25.1300,25.7700,25.5442,5012700,0.0000,1.0000
2019-08-27,25.5100,25.5600,25.0800,25.3000,25.0783,8431200,0.0000,1.0000
2019-08-26,25.3400,25.4100,25.0600,25.4100,25.1873,3490700,0.0000,1.0000
2019-08-23,25.5900,25.8300,24.9700,25.0800,24.8602,8413500,0.0000,1.0000
2019-08-22,25.7400,25.8800,25.5000,25.7800,25.5541,4685800,0.0000,1.0000
2019-08-21,25.5200,25.7100,25.3900,25.5500,25.3261,4808800,0.0000,1.0000
2019-08-20,25.6700,25.8000,25.3600,25.4100,25.1873,4525300,0.0000,1.0000
2019-08-19,26.1200,26.2300,25.9100,25.9200,25.6929,3345100,0.0000,1.0000
2019-08-16,25.3900,25.8900,25.3600,25.6700,25.4451,5220500,0.0000,1.0000
2019-08-15,25.5900,25.7500,25.0700,25.2200,24.9990,5107700,0.0000,1.0000
2019-08-14,25.7000,25.8300,25.4050,25.5100,25.2865,9994800,0.0000,1.0000
2019-08-13,26.0300,26.6500,25.8300,26.4400,26.2083,5811500,0.0000,1.0000
2019-08-12,26.3585,26.5400,26.0400,26.0800,25.8515,5161900,0.0000,1.0000
2019-08-09,26.7100,26.9250,26.4050,26.7400,26.5057,3661900,0.0000,1.0000
2019-08-08,26.8000,27.0500,26.6100,26.8400,26.6048,4826700,0.0000,1.0000
2019-08-07,26.7300,26.7300,26.0700,26.5400,26.3074,5502000,0.0000,1.0000
2019-08-06,27.2200,27.7800,26.6900,27.2600,27.0211,4829500,0.0000,1.0000
2019-08-05,27.6700,27.7600,26.7200,26.9800,26.7436,5917900,0.0000,1.0000
2019-08-02,28.4097,28.4500,27.8700,28.2100,27.9628,4044900,0.0000,1.0000
2019-08-01,29.6000,29.7400,28.2300,28.3700,28.1214,6189800,0.0000,1.0000
2019-07-31,29.8700,30.0000,29.4800,29.6900,29.4298,5788600,0.0000,1.0000
2019-07-30,29.4900,29.8900,29.4200,29.8800,29.6182,4783800,0.0000,1.0000
2019-07-29,29.9700,30.2000,29.7500,29.7700,29.5091,4570600,0.0000,1.0000
2019-07-26,29.5000,30.1600,29.4192,30.0400,29.7768,4967500,0.0000,1.0000
2019-07-25,29.6600,30.0000,29.4600,29.5600,29.3010,6212000,0.0000,1.0000
2019-07-24,29.1300,29.7600,29.1300,29.6600,29.4001,6981100,0.0000,1.0000
