timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,109.2500,109.5700,108.1500,108.9800,108.9800,724213,0.0000,1.0000
2019-11-12,109.6200,110.4500,109.0700,109.9300,109.9300,716600,0.0000,1.0000
2019-11-11,109.7900,110.3200,109.2100,109.6600,109.6600,807700,0.0000,1.0000
2019-11-08,110.4400,110.4700,109.1800,110.2200,110.2200,932000,0.0000,1.0000
2019-11-07,110.0900,111.6700,109.8800,110.0100,110.0100,1988400,0.0000,1.0000
2019-11-06,109.4600,110.1400,108.4600,109.6000,109.6000,1494000,0.0000,1.0000
2019-11-05,110.6400,111.6100,109.7300,109.8100,109.8100,1988400,0.0000,1.0000
2019-11-04,109.3700,109.8700,108.7000,109.5000,109.5000,931800,0.0000,1.0000
2019-11-01,107.4300,108.3600,106.7500,108.3600,108.3600,1315200,0.0000,1.0000
2019-10-31,106.2800,107.1400,105.2000,106.3600,106.3600,991600,0.0000,1.0000
2019-10-30,107.3100,107.9300,106.2700,107.1400,107.1400,616600,0.1900,1.0000
2019-10-29,106.8700,108.5500,106.5000,107.6700,107.4800,800800,0.0000,1.0000
2019-10-28,107.9600,108.3500,106.9400,107.4200,107.2304,1273000,0.0000,1.0000
2019-10-25,106.1700,108.0100,106.1700,107.6500,107.4600,656900,0.0000,1.0000
2019-10-24,106.7600,107.0500,105.7900,106.3200,106.1324,914900,0.0000,1.0000
2019-10-23,105.8800,107.0900,105.8100,106.7100,106.5217,943000,0.0000,1.0000
2019-10-22,105.0300,106.8900,104.5200,106.2300,106.0425,747200,0.0000,1.0000
2019-10-21,104.9100,105.9800,104.8400,104.8900,104.7049,945400,0.0000,1.0000
2019-10-18,103.6600,104.8800,103.1600,104.1800,103.9962,794500,0.0000,1.0000
2019-10-17,103.7900,104.4700,103.0900,103.4500,103.2674,942700,0.0000,1.0000
2019-10-16,101.8600,103.9700,100.9600,103.0800,102.8981,1443600,0.0000,1.0000
2019-10-15,103.0000,105.2100,101.9000,103.6200,103.4371,2251600,0.0000,1.0000
2019-10-14,96.5800,97.6200,96.2500,97.1800,97.0085,1908000,0.0000,1.0000
2019-10-11,96.2700,97.5800,95.9100,97.3000,97.1283,1577300,0.0000,1.0000
2019-10-10,93.5500,94.6100,93.0500,94.1900,94.0238,836100,0.0000,1.0000
2019-10-09,93.2200,93.4800,92.6900,93.2100,93.0455,600500,0.0000,1.0000
2019-10-08,93.3800,93.5900,92.1900,92.6000,92.4366,1137800,0.0000,1.0000
2019-10-07,94.6800,95.6900,94.3200,94.4800,94.3133,701200,0.0000,1.0000
2019-10-04,92.9700,94.9400,92.2600,94.8900,94.7225,706900,0.0000,1.0000
2019-10-03,91.3100,92.7200,90.2200,92.7000,92.5364,715200,0.0000,1.0000
2019-10-02,93.2400,93.4900,91.5600,91.7100,91.5482,866700,0.0000,1.0000
2019-10-01,97.1500,97.7600,94.4800,94.6400,94.4730,1278900,0.0000,1.0000
2019-09-30,98.0000,98.0000,96.6400,96.7000,96.5294,879100,0.0000,1.0000
