timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,11.2900,11.3550,11.1800,11.2900,11.2900,51014530,0.0000,1.0000
2019-11-12,11.3200,11.5800,11.2900,11.4200,11.4200,48898200,0.0000,1.0000
2019-11-11,11.4000,11.5000,11.2400,11.3500,11.3500,45575600,0.0000,1.0000
2019-11-08,11.2300,11.5500,11.1400,11.5200,11.5200,62480600,0.0000,1.0000
2019-11-07,11.1000,11.3200,11.0900,11.2900,11.2900,71082300,0.0000,1.0000
2019-11-06,10.9300,11.1000,10.7900,11.0200,11.0200,78002300,0.0000,1.0000
2019-11-05,10.9200,10.9700,10.7200,10.9700,10.9700,71381700,0.0000,1.0000
2019-11-04,10.4200,10.9500,10.4200,10.9300,10.9300,97780000,0.0000,1.0000
2019-11-01,10.0800,10.3900,10.0600,10.3800,10.3800,82053300,0.0000,1.0000
2019-10-31,10.0500,10.2100,9.8600,9.9800,9.9800,86633900,0.0000,1.0000
2019-10-30,9.7800,10.3700,9.7100,10.1100,10.1100,215943400,0.0000,1.0000
2019-10-29,9.0100,9.1400,8.9300,9.0700,9.0700,45759000,0.0000,1.0000
2019-10-28,9.0200,9.1200,8.9900,9.0700,9.0700,31754900,0.0000,1.0000
2019-10-25,8.9200,9.0900,8.9200,9.0000,9.0000,42159700,0.0000,1.0000
2019-10-24,9.1200,9.1500,8.8800,8.9500,8.9500,34131700,0.0000,1.0000
2019-10-23,8.9800,9.1500,8.9300,9.1400,9.1400,47584900,0.0000,1.0000
2019-10-22,8.7700,9.0600,8.6100,9.0600,9.0600,57115100,0.0000,1.0000
2019-10-21,8.9900,9.1200,8.7600,8.7900,8.7900,60584800,0.0000,1.0000
2019-10-18,9.0100,9.1000,8.9500,8.9600,8.9600,39012900,0.0000,1.0000
2019-10-17,8.9200,9.0900,8.8800,9.0400,9.0400,32661000,0.0000,1.0000
2019-10-16,8.8600,9.0700,8.8400,8.9000,8.9000,57841500,0.0000,1.0000
2019-10-15,8.7400,8.9200,8.6100,8.8900,8.8900,38834300,0.0000,1.0000
2019-10-14,8.8400,8.8500,8.6400,8.7200,8.7200,34052700,0.0000,1.0000
2019-10-11,8.5900,8.9200,8.5800,8.8000,8.8000,55835000,0.0000,1.0000
2019-10-10,8.3400,8.5200,8.3100,8.4500,8.4500,30546100,0.0000,1.0000
2019-10-09,8.3100,8.3700,8.2400,8.3500,8.3500,32840800,0.0000,1.0000
2019-10-08,8.4800,8.5000,8.2700,8.2800,8.2800,45502400,0.0000,1.0000
2019-10-07,8.5500,8.6500,8.4800,8.5600,8.5600,32170400,0.0000,1.0000
2019-10-04,8.6100,8.7000,8.5400,8.5700,8.5700,52272800,0.0000,1.0000
2019-10-03,8.5000,8.7100,8.2500,8.7100,8.7100,58626600,0.0000,1.0000
2019-10-02,8.5600,8.6200,8.4100,8.5100,8.5100,47520800,0.0000,1.0000
2019-10-01,8.9600,9.0400,8.5100,8.6100,8.6100,68778600,0.0000,1.0000
2019-09-30,9.0800,9.1000,8.9400,8.9400,8.9400,35091400,0.0000,1.0000
2019-09-27,9.0400,9.1700,8.9900,9.0400,9.0400,30511000,0.0000,1.0000
2019-09-26,9.1800,9.2100,8.9600,9.0200,9.0200,37229800,0.0000,1.0000
2019-09-25,8.9600,9.2000,8.9400,9.1600,9.1600,43859400,0.0000,1.0000
2019-09-24,9.3100,9.3500,8.9600,8.9700,8.9700,53343000,0.0000,1.0000
2019-09-23,9.2200,9.3900,9.2000,9.3400,9.3400,33511100,0.0000,1.0000
2019-09-20,9.4600,9.5400,9.3400,9.3700,9.3700,57530400,0.0000,1.0000
2019-09-19,9.3500,9.5000,9.3400,9.4200,9.4200,33935300,0.0000,1.0000
2019-09-18,9.3100,9.3900,9.1800,9.3800,9.3800,40270700,0.0000,1.0000
2019-09-17,9.3000,9.3900,9.2500,9.3600,9.3600,37954000,0.0000,1.0000
2019-09-16,9.3000,9.4200,9.1700,9.3800,9.3800,45748400,0.0000,1.0000
2019-09-13,9.3100,9.4500,9.1400,9.3400,9.3400,45589400,0.0100,1.0000
2019-09-12,9.4000,9.5200,9.2200,9.2600,9.2500,68115100,0.0000,1.0000
2019-09-11,9.1500,9.3600,9.0600,9.3600,9.3499,57094900,0.0000,1.0000
2019-09-10,8.9100,9.2700,8.9000,9.1400,9.1301,62617200,0.0000,1.0000
2019-09-09,8.7500,9.0500,8.7300,8.9600,8.9503,49960500,0.0000,1.0000
2019-09-06,8.8200,8.8200,8.5700,8.7100,8.7006,42846200,0.0000,1.0000
2019-09-05,8.9900,9.2300,8.8000,8.8100,8.8005,86891100,0.0000,1.0000
2019-09-04,8.4100,8.8700,8.4000,8.8000,8.7905,93653700,0.0000,1.0000
2019-09-03,8.1000,8.3900,8.0800,8.3300,8.3210,67648900,0.0000,1.0000
2019-08-30,8.1400,8.2600,8.1100,8.2500,8.2411,47323600,0.0000,1.0000
2019-08-29,8.0400,8.2000,8.0000,8.1100,8.1012,58741000,0.0000,1.0000
2019-08-28,7.9200,7.9900,7.7600,7.9400,7.9314,57698300,0.0000,1.0000
2019-08-27,8.0900,8.1100,7.9100,7.9300,7.9214,66069600,0.0000,1.0000
2019-08-26,8.0600,8.1000,7.9200,8.0500,8.0413,57987200,0.0000,1.0000
2019-08-23,8.0900,8.1000,7.7600,7.9700,7.9614,128598300,0.0000,1.0000
2019-08-22,8.1800,8.3100,8.1100,8.1900,8.1812,68146600,0.0000,1.0000
