timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,52.5000,53.0500,52.3340,52.6000,52.6000,2360592,0.0000,1.0000
2019-11-12,52.2200,52.4300,51.9400,52.3600,52.3600,1958700,0.0000,1.0000
2019-11-11,52.4500,52.4600,52.1300,52.3600,52.3600,2362900,0.0000,1.0000
2019-11-08,51.9200,52.5100,51.7700,52.5000,52.5000,2656300,0.0000,1.0000
2019-11-07,52.1400,52.6700,51.7500,51.9800,51.9800,3273400,0.0000,1.0000
2019-11-06,51.8000,52.9100,51.6500,52.4700,52.4700,4153600,0.0000,1.0000
2019-11-05,51.3900,51.6300,51.2000,51.5900,51.5900,3022800,0.0000,1.0000
2019-11-04,51.2000,51.5300,51.0200,51.3800,51.3800,2526300,0.0000,1.0000
2019-11-01,50.9900,51.3800,50.9200,51.1800,51.1800,2746600,0.0000,1.0000
2019-10-31,50.8400,51.3700,50.4100,50.8600,50.8600,3710700,0.0000,1.0000
2019-10-30,50.8300,50.8300,50.1300,50.7100,50.7100,4417500,0.0000,1.0000
2019-10-29,50.4000,51.0200,50.0700,50.4600,50.4600,3127900,0.0000,1.0000
2019-10-28,50.5100,50.6000,49.9700,50.0000,50.0000,3350600,0.0000,1.0000
2019-10-25,51.1500,51.3100,50.0900,50.5100,50.5100,2898000,0.0000,1.0000
2019-10-24,51.0800,51.3000,50.5200,51.1100,51.1100,2314900,0.0000,1.0000
2019-10-23,51.0600,51.4100,50.8100,51.1800,51.1800,2954300,0.0000,1.0000
2019-10-22,52.5700,52.6000,50.9700,51.0900,51.0900,4014300,0.0000,1.0000
2019-10-21,52.3600,52.7400,52.2000,52.5100,52.5100,1927000,0.0000,1.0000
2019-10-18,52.8800,53.0500,52.3800,52.5500,52.5500,3064400,0.0000,1.0000
2019-10-17,52.5300,53.0200,52.1500,52.9600,52.9600,3414300,0.0000,1.0000
2019-10-16,53.6000,53.6600,52.6100,52.6500,52.6500,4073200,0.0000,1.0000
2019-10-15,54.1000,54.2000,53.3900,53.6100,53.6100,3847800,0.0000,1.0000
2019-10-14,54.4000,54.5800,53.8400,54.0100,54.0100,4744200,0.0000,1.0000
2019-10-11,54.8100,54.8100,53.9100,54.3500,54.3500,3114200,0.0000,1.0000
2019-10-10,53.9500,54.8500,53.9100,54.6100,54.6100,2623200,0.0000,1.0000
2019-10-09,53.8000,54.3700,53.6700,54.1600,54.1600,3612000,0.4900,1.0000
2019-10-08,54.4300,54.4300,53.7600,54.1500,53.6600,3465500,0.0000,1.0000
2019-10-07,54.0700,54.6500,53.8100,54.5000,54.0068,2377900,0.0000,1.0000
2019-10-04,53.5800,54.3000,53.4200,54.3000,53.8086,4293800,0.0000,1.0000
2019-10-03,53.2000,53.5700,52.7900,53.3700,52.8871,2953700,0.0000,1.0000
2019-10-02,54.2200,54.4000,52.7900,52.9100,52.4312,3764500,0.0000,1.0000
2019-10-01,55.1300,55.4300,54.2700,54.3900,53.8978,2448400,0.0000,1.0000
2019-09-30,54.9800,55.5900,54.9000,55.1200,54.6212,2609000,0.0000,1.0000
2019-09-27,55.0000,55.0200,54.3600,54.8700,54.3735,2083500,0.0000,1.0000
2019-09-26,54.3100,55.0000,54.2700,54.9900,54.4924,2417000,0.0000,1.0000
2019-09-25,54.3000,54.5500,53.9800,54.1700,53.6798,2830700,0.0000,1.0000
2019-09-24,54.1600,54.6400,53.7500,54.1800,53.6897,3315100,0.0000,1.0000
2019-09-23,54.4900,54.9000,53.8500,53.9000,53.4123,2165300,0.0000,1.0000
