timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,1294.0699,1304.3000,1293.5100,1298.0000,1298.0000,816078,0.0000,1.0000
2019-11-12,1300.0000,1310.0000,1295.7700,1298.8000,1298.8000,1085100,0.0000,1.0000
2019-11-11,1303.1801,1306.4250,1297.4100,1299.1899,1299.1899,1011900,0.0000,1.0000
2019-11-08,1305.2800,1318.0000,1304.3650,1311.3700,1311.3700,1251400,0.0000,1.0000
2019-11-07,1294.2800,1323.7400,1294.2450,1308.8600,1308.8600,2030000,0.0000,1.0000
2019-11-06,1289.4600,1293.7300,1282.5000,1291.8000,1291.8000,1152700,0.0000,1.0000
2019-11-05,1292.8900,1298.9301,1291.2290,1292.0300,1292.0300,1282700,0.0000,1.0000
2019-11-04,1276.4500,1294.1300,1276.3550,1291.3700,1291.3700,1501000,0.0000,1.0000
2019-11-01,1265.0000,1274.6200,1260.5000,1273.7400,1273.7400,1670100,0.0000,1.0000
2019-10-31,1261.2800,1267.6700,1250.8430,1260.1100,1260.1100,1455700,0.0000,1.0000
2019-10-30,1252.9700,1269.3600,1252.0000,1261.2900,1261.2900,1408900,0.0000,1.0000
2019-10-29,1276.2300,1281.5900,1257.2120,1262.6200,1262.6200,1886400,0.0000,1.0000
2019-10-28,1275.4500,1299.3101,1272.5400,1290.0000,1290.0000,2613200,0.0000,1.0000
2019-10-25,1251.0300,1269.6000,1250.0100,1265.1300,1265.1300,1213100,0.0000,1.0000
2019-10-24,1260.9000,1264.0000,1253.7150,1260.9900,1260.9900,1028100,0.0000,1.0000
2019-10-23,1242.3600,1259.8900,1242.3600,1259.1300,1259.1300,911500,0.0000,1.0000
2019-10-22,1247.8500,1250.6000,1241.3800,1242.8000,1242.8000,1023800,0.0000,1.0000
2019-10-21,1252.2600,1254.6290,1240.6000,1246.1500,1246.1500,1027200,0.0000,1.0000
2019-10-18,1253.4600,1258.8900,1241.0800,1245.4900,1245.4900,1352800,0.0000,1.0000
2019-10-17,1250.9301,1263.3250,1249.9399,1253.0699,1253.0699,952400,0.0000,1.0000
2019-10-16,1241.1700,1254.7400,1238.4500,1243.6400,1243.6400,1094600,0.0000,1.0000
2019-10-15,1220.4000,1247.3300,1220.4000,1243.0100,1243.0100,1381700,0.0000,1.0000
2019-10-14,1212.3400,1226.3300,1211.7600,1217.1400,1217.1400,867500,0.0000,1.0000
2019-10-11,1222.2100,1228.3900,1213.7400,1215.4500,1215.4500,1272700,0.0000,1.0000
2019-10-10,1198.5800,1215.0000,1197.3400,1208.6700,1208.6700,846600,0.0000,1.0000
2019-10-09,1199.3500,1208.3500,1197.6300,1202.3101,1202.3101,867700,0.0000,1.0000
2019-10-08,1197.5900,1206.0800,1189.0100,1189.1300,1189.1300,1039300,0.0000,1.0000
2019-10-07,1204.4000,1218.2040,1203.7500,1207.6801,1207.6801,842900,0.0000,1.0000
2019-10-04,1191.8900,1211.4399,1189.1700,1209.0000,1209.0000,1162400,0.0000,1.0000
2019-10-03,1180.0000,1189.0601,1162.4301,1187.8300,1187.8300,1621200,0.0000,1.0000
2019-10-02,1196.9800,1196.9800,1171.2900,1176.6300,1176.6300,1615100,0.0000,1.0000
2019-10-01,1219.0000,1231.2300,1203.5800,1205.1000,1205.1000,1273500,0.0000,1.0000
2019-09-30,1220.9700,1226.0000,1212.3000,1219.0000,1219.0000,1404100,0.0000,1.0000
2019-09-27,1243.0100,1244.0200,1214.4500,1225.0900,1225.0900,1353900,0.0000,1.0000
2019-09-26,1241.9600,1245.0000,1232.2679,1241.3900,1241.3900,1538000,0.0000,1.0000
2019-09-25,1215.8199,1248.3000,1210.0900,1246.5200,1246.5200,1453000,0.0000,1.0000
2019-09-24,1240.0000,1246.7400,1210.6801,1218.7600,1218.7600,1583200,0.0000,1.0000
2019-09-23,1226.0000,1239.0900,1224.1700,1234.0300,1234.0300,1062400,0.0000,1.0000
2019-09-20,1233.1200,1243.3199,1223.0800,1229.9301,1229.9301,2270000,0.0000,1.0000
2019-09-19,1232.0601,1244.4399,1232.0200,1238.7100,1238.7100,996000,0.0000,1.0000
2019-09-18,1227.5100,1235.6100,1216.5300,1232.4100,1232.4100,1135100,0.0000,1.0000
2019-09-17,1230.4000,1235.0000,1223.6899,1229.1500,1229.1500,955100,0.0000,1.0000
2019-09-16,1229.5200,1239.5601,1225.6100,1231.3000,1231.3000,1053300,0.0000,1.0000
2019-09-13,1231.3500,1240.8800,1227.0100,1239.5601,1239.5601,1301400,0.0000,1.0000
2019-09-12,1224.3000,1241.8600,1223.0200,1234.2500,1234.2500,1725900,0.0000,1.0000
2019-09-11,1203.4100,1222.6000,1202.2000,1220.1700,1220.1700,1307000,0.0000,1.0000
