timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,1293.1801,1302.5000,1292.1470,1296.1801,1296.1801,933712,0.0000,1.0000
2019-11-12,1298.5699,1309.3500,1294.2400,1297.2100,1297.2100,1442600,0.0000,1.0000
2019-11-11,1304.0000,1304.9000,1295.8700,1298.2800,1298.2800,861700,0.0000,1.0000
2019-11-08,1301.5200,1317.1100,1301.5200,1309.0000,1309.0000,1519600,0.0000,1.0000
2019-11-07,1294.2800,1322.6500,1293.7500,1306.9399,1306.9399,2257000,0.0000,1.0000
2019-11-06,1290.0900,1292.9900,1282.2700,1291.0100,1291.0100,1231300,0.0000,1.0000
2019-11-05,1291.2000,1297.2400,1289.3800,1291.4399,1291.4399,1257100,0.0000,1.0000
2019-11-04,1276.1100,1292.5000,1276.1100,1289.6100,1289.6100,1531600,0.0000,1.0000
2019-11-01,1265.8000,1273.0000,1259.7100,1272.2500,1272.2500,1440600,0.0000,1.0000
2019-10-31,1260.0000,1266.5200,1249.4800,1258.8000,1258.8000,1595000,0.0000,1.0000
2019-10-30,1255.1500,1268.0200,1250.6500,1260.7000,1260.7000,1460200,0.0000,1.0000
2019-10-29,1276.0000,1280.8000,1255.6100,1260.6600,1260.6600,2632700,0.0000,1.0000
2019-10-28,1275.0000,1299.2400,1272.3101,1288.9800,1288.9800,3271400,0.0000,1.0000
2019-10-25,1252.0000,1268.0000,1249.1500,1264.3000,1264.3000,1355200,0.0000,1.0000
2019-10-24,1259.1100,1262.9000,1252.3500,1259.1100,1259.1100,1011200,0.0000,1.0000
2019-10-23,1240.2100,1258.0400,1240.2100,1257.6300,1257.6300,1064100,0.0000,1.0000
2019-10-22,1244.4800,1248.7300,1239.8500,1241.2000,1241.2000,1143100,0.0000,1.0000
2019-10-21,1248.7000,1253.5100,1239.9900,1244.2800,1244.2800,904700,0.0000,1.0000
2019-10-18,1254.6899,1258.1100,1240.1400,1244.4100,1244.4100,1581200,0.0000,1.0000
2019-10-17,1251.4000,1263.7500,1249.8700,1252.8000,1252.8000,1047900,0.0000,1.0000
2019-10-16,1241.8101,1254.1899,1238.5300,1243.0000,1243.0000,1149300,0.0000,1.0000
2019-10-15,1221.5000,1247.1300,1220.9200,1242.2400,1242.2400,1379200,0.0000,1.0000
2019-10-14,1213.8900,1225.8800,1211.8800,1217.7700,1217.7700,664800,0.0000,1.0000
2019-10-11,1224.0300,1228.7500,1213.6400,1215.7100,1215.7100,1116500,0.0000,1.0000
2019-10-10,1198.6000,1215.6200,1197.8600,1209.4700,1209.4700,642100,0.0000,1.0000
2019-10-09,1201.3300,1208.4600,1198.1200,1202.4000,1202.4000,797400,0.0000,1.0000
2019-10-08,1198.7700,1206.8700,1189.4800,1190.1300,1190.1300,1004300,0.0000,1.0000
2019-10-07,1207.0000,1218.9100,1204.3600,1208.2500,1208.2500,852000,0.0000,1.0000
2019-10-04,1194.2900,1212.4600,1190.9700,1210.9600,1210.9600,1214100,0.0000,1.0000
2019-10-03,1183.3400,1191.0000,1163.1400,1189.4301,1189.4301,1418400,0.0000,1.0000
2019-10-02,1196.5000,1198.7600,1172.6300,1177.9200,1177.9200,1651500,0.0000,1.0000
2019-10-01,1222.4900,1232.8600,1205.5500,1206.0000,1206.0000,1225200,0.0000,1.0000
2019-09-30,1220.6000,1227.4100,1213.4200,1221.1400,1221.1400,1223500,0.0000,1.0000
2019-09-27,1242.8300,1244.9900,1215.2000,1225.9500,1225.9500,1706100,0.0000,1.0000
2019-09-26,1242.1400,1244.6700,1231.8199,1242.2900,1242.2900,1158300,0.0000,1.0000
2019-09-25,1216.0100,1248.0200,1209.2000,1245.9399,1245.9399,1339900,0.0000,1.0000
2019-09-24,1240.0000,1247.1100,1210.6400,1218.3300,1218.3300,1790200,0.0000,1.0000
