timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,323.9100,325.6300,321.3700,322.5200,322.5200,169961,0.0000,1.0000
2019-11-12,326.9600,327.7600,323.2200,325.4400,325.4400,269500,0.0000,1.0000
2019-11-11,322.4700,327.7200,322.1300,327.1500,327.1500,253300,0.0000,1.0000
2019-11-08,320.7100,325.1000,318.2500,324.9200,324.9200,322200,0.0000,1.0000
2019-11-07,321.9400,323.0000,318.5400,320.7300,320.7300,392800,1.4400,1.0000
2019-11-06,322.7300,323.7700,318.0000,321.2600,319.8200,292800,0.0000,1.0000
2019-11-05,320.9200,324.9200,318.7900,322.4700,321.0246,296200,0.0000,1.0000
2019-11-04,319.3200,322.3100,317.1100,319.3700,317.9385,322600,0.0000,1.0000
2019-11-01,312.1400,317.8300,309.8900,317.6700,316.2461,405100,0.0000,1.0000
2019-10-31,309.8700,310.8500,305.5000,308.8400,307.4557,428800,0.0000,1.0000
2019-10-30,312.6200,312.9700,307.1400,310.3800,308.9888,290600,0.0000,1.0000
2019-10-29,316.0500,316.3800,311.7200,312.9400,311.5373,426900,0.0000,1.0000
2019-10-28,319.0000,319.9500,315.3600,316.3900,314.9719,414700,0.0000,1.0000
2019-10-25,317.0000,319.9500,314.8000,317.3400,315.9176,327300,0.0000,1.0000
2019-10-24,313.8900,316.5000,310.4900,315.2100,313.7971,439400,0.0000,1.0000
2019-10-23,307.4000,315.0000,298.2500,312.4400,311.0396,1019800,0.0000,1.0000
2019-10-22,314.1500,320.5100,312.8100,319.1800,317.7493,562900,0.0000,1.0000
2019-10-21,313.4600,317.5000,312.1800,316.7800,315.3601,557900,0.0000,1.0000
2019-10-18,310.4600,313.9300,309.7500,310.0800,308.6901,485800,0.0000,1.0000
2019-10-17,308.6400,312.1700,308.3600,310.7400,309.3471,222200,0.0000,1.0000
2019-10-16,306.8500,310.2800,306.8500,307.8600,306.4800,205100,0.0000,1.0000
2019-10-15,306.0700,310.7600,304.3300,307.3400,305.9624,332600,0.0000,1.0000
2019-10-14,301.9300,308.6600,301.6300,306.0700,304.6981,456200,0.0000,1.0000
2019-10-11,304.0000,311.4100,302.0000,305.2000,303.8320,883000,0.0000,1.0000
2019-10-10,283.8200,290.2000,283.8200,288.7100,287.4159,324300,0.0000,1.0000
2019-10-09,285.5200,286.5800,282.5200,283.9900,282.7170,211900,0.0000,1.0000
2019-10-08,285.8700,288.2600,279.2400,282.1900,280.9251,369700,0.0000,1.0000
2019-10-07,290.0200,292.3700,288.3700,288.9700,287.6747,299800,0.0000,1.0000
2019-10-04,290.0000,292.0100,288.6000,291.2100,289.9047,258400,0.0000,1.0000
2019-10-03,286.2000,288.8600,281.4900,288.6900,287.3960,364200,0.0000,1.0000
2019-10-02,282.9700,288.7600,278.7800,287.1800,285.8928,559900,0.0000,1.0000
2019-10-01,300.1200,303.7700,281.8900,286.0500,284.7678,593000,0.0000,1.0000
2019-09-30,294.0600,297.7200,292.7300,297.1500,295.8181,338400,0.0000,1.0000
2019-09-27,295.0000,296.0000,291.9200,294.9900,293.6678,261100,0.0000,1.0000
2019-09-26,290.5200,294.8600,288.7100,293.6200,292.3039,272000,0.0000,1.0000
2019-09-25,287.5700,292.6600,286.2000,291.1100,289.8051,285700,0.0000,1.0000
2019-09-24,291.8500,292.0100,283.9200,286.5600,285.2755,297700,0.0000,1.0000
2019-09-23,289.9600,293.5200,289.6700,291.0700,289.7654,391700,0.0000,1.0000
2019-09-20,293.4100,294.6500,289.6000,292.1800,290.8703,534500,0.0000,1.0000
2019-09-19,291.7700,294.7300,290.5200,292.1600,290.8504,303400,0.0000,1.0000
2019-09-18,290.6500,293.2100,288.6100,292.4800,291.1690,283900,0.0000,1.0000
2019-09-17,293.9700,294.4700,288.9300,291.6400,290.3328,324100,0.0000,1.0000
2019-09-16,294.7300,297.5000,292.4600,295.8100,294.4841,233900,0.0000,1.0000
2019-09-13,294.4100,298.4800,294.4100,295.5600,294.2352,341500,0.0000,1.0000
2019-09-12,294.9300,296.0000,291.1100,293.6000,292.2840,315400,0.0000,1.0000
2019-09-11,292.1700,297.5200,290.2800,295.0000,293.6777,333200,0.0000,1.0000
2019-09-10,282.3600,291.5100,280.5600,290.7300,289.4268,432200,0.0000,1.0000
2019-09-09,279.6900,286.3900,279.5900,285.9000,284.6185,422200,0.0000,1.0000
2019-09-06,279.2700,281.3000,276.1500,278.2200,276.9729,295000,0.0000,1.0000
2019-09-05,270.9000,280.0100,270.9000,276.7800,275.5394,316100,0.0000,1.0000
2019-09-04,268.3200,271.4700,267.6200,268.1700,266.9680,213600,0.0000,1.0000
2019-09-03,271.5200,271.5200,263.8300,266.1000,264.9073,361900,0.0000,1.0000
2019-08-30,275.5300,277.8600,272.8600,273.6500,272.4234,227800,0.0000,1.0000
2019-08-29,271.4200,274.2600,270.0500,273.3600,272.1347,231500,0.0000,1.0000
2019-08-28,265.0600,269.7400,263.0000,268.3800,267.1770,254000,0.0000,1.0000
2019-08-27,269.8700,269.8700,262.8800,265.3700,264.1805,238800,0.0000,1.0000
2019-08-26,269.5400,270.3700,265.7700,267.4700,266.2711,234800,0.0000,1.0000
2019-08-23,271.3700,271.4700,264.6500,266.0200,264.8276,373500,0.0000,1.0000
2019-08-22,275.6800,275.7200,271.5400,272.8600,271.6369,318200,0.0000,1.0000
2019-08-21,275.3600,278.6600,274.5000,274.8200,273.5882,286300,0.0000,1.0000
