timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,14.7800,14.8300,14.6200,14.6650,14.6650,4235535,0.0000,1.0000
2019-11-12,14.9600,15.0000,14.8300,14.9100,14.9100,4663800,0.0000,1.0000
2019-11-11,14.8500,15.0100,14.8100,14.9300,14.9300,5536200,0.0000,1.0000
2019-11-08,14.9400,14.9900,14.7900,14.9800,14.9800,7450700,0.0000,1.0000
2019-11-07,15.0000,15.1600,14.9400,14.9800,14.9800,9075300,0.0000,1.0000
2019-11-06,14.8300,14.9800,14.7800,14.9100,14.9100,9596900,0.0000,1.0000
2019-11-05,14.7500,15.0000,14.6800,14.8700,14.8700,8422200,0.0000,1.0000
2019-11-04,14.4700,14.7200,14.4100,14.7000,14.7000,6715300,0.0000,1.0000
2019-11-01,14.2900,14.3600,14.2000,14.3400,14.3400,9100600,0.0000,1.0000
2019-10-31,14.1200,14.3000,13.8300,14.1300,14.1300,13289800,0.0000,1.0000
2019-10-30,14.4000,14.4100,14.1500,14.2100,14.2100,9602200,0.0000,1.0000
2019-10-29,14.5000,14.6400,14.3900,14.4600,14.4600,8147800,0.0000,1.0000
2019-10-28,14.5700,14.6400,14.4700,14.5800,14.5800,8242000,0.0000,1.0000
2019-10-25,14.2400,14.5100,14.2400,14.4800,14.4800,7339300,0.0000,1.0000
2019-10-24,14.3900,14.5000,14.1400,14.3300,14.3300,9814300,0.0000,1.0000
2019-10-23,14.4000,14.5300,14.3200,14.4700,14.4700,9241300,0.0000,1.0000
2019-10-22,14.3700,14.5300,14.1400,14.4300,14.4300,7156500,0.0000,1.0000
2019-10-21,14.3500,14.4300,14.2700,14.3600,14.3600,5746900,0.0000,1.0000
2019-10-18,14.1100,14.2800,14.1000,14.1900,14.1900,10829800,0.0000,1.0000
2019-10-17,14.2700,14.2800,14.0800,14.1800,14.1800,5303700,0.0000,1.0000
2019-10-16,14.3000,14.3800,14.1300,14.2000,14.2000,5819200,0.0000,1.0000
2019-10-15,14.0700,14.3200,13.9800,14.2500,14.2500,5631800,0.0000,1.0000
2019-10-14,13.8600,14.0600,13.6900,14.0300,14.0300,3477900,0.0000,1.0000
2019-10-11,14.0500,14.1700,13.9700,13.9900,13.9900,7425400,0.0000,1.0000
2019-10-10,13.6600,13.8900,13.6500,13.7300,13.7300,7461700,0.0000,1.0000
2019-10-09,13.5900,13.7000,13.4700,13.5700,13.5700,4872800,0.0000,1.0000
