timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,134.2300,135.2600,133.8700,134.3900,134.3900,885591,0.0000,1.0000
2019-11-12,135.5400,136.2100,134.6300,135.1400,135.1400,962400,0.0000,1.0000
2019-11-11,135.7600,136.2400,134.5400,135.3300,135.3300,886700,0.0000,1.0000
2019-11-08,136.0000,137.7300,135.7500,136.8400,136.8400,879600,0.0000,1.0000
2019-11-07,135.8500,137.0000,135.5800,136.2100,136.2100,1840100,0.0000,1.0000
2019-11-06,134.8200,135.2300,133.4100,134.8700,134.8700,1016900,0.0000,1.0000
2019-11-05,136.6700,137.9400,134.3100,134.3400,134.3400,1194500,0.0000,1.0000
2019-11-04,133.8500,136.3400,133.2300,136.2200,136.2200,2345100,0.0000,1.0000
2019-11-01,134.6100,136.3400,133.6100,133.6500,133.6500,1483900,0.0000,1.0000
2019-10-31,134.5800,134.8800,131.9900,133.5400,133.5400,2405900,0.0000,1.0000
2019-10-30,134.4200,135.1300,132.7500,134.7700,134.7700,1501100,0.0000,1.0000
2019-10-29,133.8900,136.0600,130.0000,134.9900,134.9900,3158600,0.0000,1.0000
2019-10-28,126.3000,127.7800,126.2700,126.8700,126.8700,1501100,0.0000,1.0000
2019-10-25,123.7500,127.0300,122.7800,126.2700,126.2700,1228700,0.0000,1.0000
2019-10-24,125.8700,125.9200,124.2100,125.0000,125.0000,877400,0.0000,1.0000
2019-10-23,125.1600,126.7100,124.9400,125.2500,125.2500,921800,0.0000,1.0000
2019-10-22,124.1400,126.0700,123.2400,125.2300,125.2300,1013200,0.0000,1.0000
2019-10-21,123.6500,125.0600,123.2100,123.6100,123.6100,842500,0.0000,1.0000
2019-10-18,122.7400,124.0200,122.1800,123.6400,123.6400,1206500,0.0000,1.0000
2019-10-17,122.2200,123.0300,121.6400,122.8000,122.8000,806000,0.0000,1.0000
2019-10-16,121.6900,121.9500,120.9300,121.4300,121.4300,1077200,0.0000,1.0000
2019-10-15,120.6300,122.6300,120.1200,121.5100,121.5100,1045900,0.0000,1.0000
2019-10-14,120.0100,120.3700,119.0400,119.4300,119.4300,584200,0.0000,1.0000
2019-10-11,119.5300,122.3100,119.4700,120.4300,120.4300,1149700,0.0000,1.0000
2019-10-10,118.1500,119.6600,117.6400,118.5600,118.5600,930800,0.0000,1.0000
2019-10-09,117.7000,118.2900,117.4500,117.5500,117.5500,1194200,0.0000,1.0000
2019-10-08,117.4000,117.6900,116.1900,116.6400,116.6400,1264900,0.0000,1.0000
2019-10-07,117.2100,119.0700,117.1800,118.1800,118.1800,1725800,0.0000,1.0000
2019-10-04,116.4500,117.9400,116.1100,117.6200,117.6200,1189400,0.0000,1.0000
2019-10-03,114.8200,116.2900,114.2300,115.9500,115.9500,1194300,0.0000,1.0000
2019-10-02,116.0600,116.3700,114.1300,115.0900,115.0900,1554000,0.0000,1.0000
2019-10-01,120.7300,121.4300,115.7500,117.0400,117.0400,1643200,0.0000,1.0000
2019-09-30,118.9000,121.6600,118.4300,120.4200,120.4200,2486800,0.0000,1.0000
2019-09-27,118.9100,120.8400,118.5600,118.9600,118.9600,1401100,0.0000,1.0000
2019-09-26,119.6000,119.9900,116.5300,118.1300,118.1300,1938700,0.0000,1.0000
2019-09-25,120.7500,121.2500,118.1100,119.1000,119.1000,1440100,0.0000,1.0000
2019-09-24,124.0000,124.1900,120.8700,121.2900,121.2900,1840900,0.0000,1.0000
2019-09-23,123.9000,124.9000,122.1700,123.4400,123.4400,1952900,0.0000,1.0000
2019-09-20,127.3900,127.5900,124.0900,124.2800,124.2800,2265100,0.0000,1.0000
2019-09-19,126.0400,128.1300,125.6000,126.8200,126.8200,1233900,0.0000,1.0000
2019-09-18,124.3300,125.8700,123.3800,125.5300,125.5300,1798800,0.0000,1.0000
2019-09-17,128.4300,128.4300,124.8800,124.9900,124.9900,1586300,0.0000,1.0000
2019-09-16,128.6500,129.5600,128.1200,128.9500,128.9500,992100,0.0000,1.0000
2019-09-13,129.5000,131.2500,128.7800,129.0700,129.0700,1005000,0.0000,1.0000
2019-09-12,131.9500,132.4900,128.6200,128.6900,128.6900,1135000,0.0000,1.0000
2019-09-11,129.6100,131.3100,129.0000,131.2700,131.2700,1793700,0.0000,1.0000
2019-09-10,127.3400,130.2800,127.0500,130.1000,130.1000,2101300,0.0000,1.0000
2019-09-09,126.2600,128.3500,125.3000,127.5100,127.5100,1342600,0.0000,1.0000
2019-09-06,126.1200,126.7600,124.2700,126.1000,126.1000,1495800,0.0000,1.0000
2019-09-05,122.0800,124.3500,121.6000,124.2500,124.2500,1872000,0.0000,1.0000
2019-09-04,121.3600,122.5500,120.4600,121.3100,121.3100,1233600,0.0000,1.0000
2019-09-03,119.0000,120.6000,118.3600,119.9600,119.9600,1946700,0.0000,1.0000
2019-08-30,121.3000,121.5600,119.9600,120.2000,120.2000,827400,0.4000,1.0000
2019-08-29,120.1900,121.2200,119.5500,120.7500,120.3500,1089700,0.0000,1.0000
2019-08-28,117.0000,119.5700,116.6300,119.0500,118.6556,973000,0.0000,1.0000
2019-08-27,120.8700,121.6200,117.4000,117.4000,117.0111,1194800,0.0000,1.0000
2019-08-26,120.7100,120.8400,119.4700,120.4100,120.0111,999100,0.0000,1.0000
2019-08-23,122.2900,123.3100,119.0900,119.7800,119.3832,1394600,0.0000,1.0000
2019-08-22,124.0100,124.1700,122.1900,122.2400,121.8351,1276300,0.0000,1.0000
2019-08-21,123.5700,124.1900,122.8300,123.5800,123.1706,1336500,0.0000,1.0000
2019-08-20,124.3500,124.5900,122.4400,123.1900,122.7819,1823700,0.0000,1.0000
2019-08-19,125.8500,125.9300,122.4300,124.6100,124.1972,1084800,0.0000,1.0000
2019-08-16,124.0100,125.6900,122.4300,123.9300,123.5195,1447800,0.0000,1.0000
2019-08-15,123.2900,124.3100,122.4390,123.2700,122.8616,1643100,0.0000,1.0000
2019-08-14,125.8500,126.4900,122.5400,123.2700,122.8616,2222600,0.0000,1.0000
2019-08-13,125.1500,129.2500,125.1500,127.9000,127.4763,1206300,0.0000,1.0000
2019-08-12,126.5600,127.0100,124.5400,125.8000,125.3833,1748400,0.0000,1.0000
2019-08-09,127.7300,128.4677,126.4100,127.5000,127.0776,1358300,0.0000,1.0000
2019-08-08,126.1700,127.1000,125.0500,126.6200,126.2006,1722300,0.0000,1.0000
2019-08-07,123.2556,126.3700,122.0100,126.1000,125.6823,1588600,0.0000,1.0000
2019-08-06,124.3700,125.3700,121.8400,124.3300,123.9181,1578400,0.0000,1.0000
2019-08-05,125.8000,126.1600,122.2524,123.5400,123.1308,1867600,0.0000,1.0000
2019-08-02,129.1700,130.0000,126.3700,127.1400,126.7188,1608200,0.0000,1.0000
2019-08-01,133.1900,133.1900,128.5300,129.5400,129.1109,1631800,0.0000,1.0000
2019-07-31,132.4500,136.2200,132.2012,133.5100,133.0677,3187400,0.0000,1.0000
2019-07-30,131.2900,136.9500,128.3200,132.8000,132.3601,6907300,0.0000,1.0000
2019-07-29,145.0000,146.9600,144.0600,146.1600,145.6758,2752700,0.0000,1.0000
2019-07-26,144.5100,146.0400,143.7400,145.0600,144.5795,2639400,0.0000,1.0000
2019-07-25,143.4500,143.4800,141.3700,141.8700,141.4000,1042600,0.0000,1.0000
2019-07-24,140.2300,143.5400,138.8500,143.2900,142.8153,1278500,0.0000,1.0000
2019-07-23,140.7600,141.0000,138.6800,140.6700,140.2040,1166600,0.0000,1.0000
2019-07-22,140.1700,141.4000,139.7000,140.5700,140.1044,1234100,0.0000,1.0000
2019-07-19,141.4500,141.9700,139.4100,139.4800,139.0179,1092700,0.0000,1.0000
2019-07-18,140.0100,141.7600,138.9200,141.2300,140.7621,1059300,0.0000,1.0000
2019-07-17,139.6900,142.0031,138.7800,139.9700,139.5063,1295000,0.0000,1.0000
2019-07-16,140.9300,141.8600,139.6600,139.7000,139.2372,1124800,0.0000,1.0000
2019-07-15,141.1600,142.0200,138.3900,140.9200,140.4532,1104300,0.0000,1.0000
2019-07-12,138.6100,141.7800,138.2100,141.5100,141.0412,1201300,0.0000,1.0000
2019-07-11,139.2300,139.4700,136.2000,138.6500,138.1907,1412800,0.0000,1.0000
2019-07-10,138.3900,138.3900,135.8400,136.6800,136.2272,1220400,0.0000,1.0000
2019-07-09,135.8500,137.3800,132.3300,134.9900,134.5428,1355400,0.0000,1.0000
2019-07-08,137.6500,138.6000,136.8600,137.3600,136.9050,1289200,0.0000,1.0000
2019-07-05,137.2200,138.5600,135.7600,138.5300,138.0711,1139500,0.0000,1.0000
2019-07-03,136.1200,138.2800,136.0650,138.1800,137.7222,805700,0.0000,1.0000
2019-07-02,134.7800,135.8500,132.3700,135.3400,134.8917,957800,0.0000,1.0000
2019-07-01,136.3600,136.4000,133.7900,134.5400,134.0943,1286600,0.0000,1.0000
2019-06-28,134.1000,135.6102,132.3300,135.1700,134.7222,1885800,0.0000,1.0000
2019-06-27,134.0800,135.8600,133.7500,134.1000,133.6558,1330300,0.0000,1.0000
2019-06-26,135.0000,135.0700,132.2200,133.6600,133.2172,2027100,0.0000,1.0000
2019-06-25,131.5300,136.3400,130.6350,135.1800,134.7322,3246300,0.0000,1.0000
2019-06-24,130.0000,131.5532,129.2700,131.0900,130.6557,1551500,0.0000,1.0000
2019-06-21,127.7100,128.9400,125.7700,128.2300,127.8052,1819400,0.0000,1.0000
2019-06-20,131.2300,132.3060,126.2100,128.0800,127.6557,2082900,0.0000,1.0000
2019-06-19,129.6100,130.9800,127.4915,130.1000,129.6690,1073800,0.0000,1.0000
2019-06-18,128.4900,130.3100,127.6600,129.0600,128.6325,1125800,0.0000,1.0000
2019-06-17,126.4900,128.2800,125.8600,128.1700,127.7454,911800,0.0000,1.0000
2019-06-14,127.6000,128.2500,126.0500,126.6300,126.2105,748800,0.0000,1.0000
2019-06-13,126.8400,127.6738,125.9400,127.3800,126.9580,1001000,0.0000,1.0000
2019-06-12,127.6197,127.6300,124.7600,126.7300,126.3102,1173000,0.0000,1.0000
