timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,180.7900,182.7854,180.5050,181.9500,181.9500,1813940,0.0000,1.0000
2019-11-12,181.1700,183.1200,181.1000,182.0100,182.0100,1816900,0.0000,1.0000
2019-11-11,180.6900,181.4400,179.7900,180.8300,180.8300,1594600,0.0000,1.0000
2019-11-08,179.6600,181.2300,179.5500,181.2100,181.2100,1636800,0.0000,1.0000
2019-11-07,181.8000,181.9900,179.3800,179.6600,179.6600,2548800,0.0000,1.0000
2019-11-06,180.6800,180.9800,179.7200,180.8100,180.8100,2742000,0.0000,1.0000
2019-11-05,179.7700,181.8300,179.2300,180.6800,180.6800,5155900,0.0000,1.0000
2019-11-04,176.6000,180.0000,176.6000,180.0000,180.0000,4383300,0.0000,1.0000
2019-11-01,174.2900,176.2900,173.9300,176.1200,176.1200,2835000,0.0000,1.0000
2019-10-31,174.1700,174.6000,171.6300,172.7300,172.7300,2143200,0.0000,1.0000
2019-10-30,173.2400,175.0000,173.0500,174.6000,174.6000,1956400,0.0000,1.0000
2019-10-29,172.1000,173.3100,171.6400,173.1600,173.1600,2714000,0.0000,1.0000
2019-10-28,171.9700,173.7200,171.9700,172.6800,172.6800,2367200,0.0000,1.0000
2019-10-25,171.2400,172.1000,170.6500,171.6300,171.6300,1950000,0.0000,1.0000
2019-10-24,169.9600,171.7200,168.9600,171.4600,171.4600,2181000,0.0000,1.0000
2019-10-23,169.9400,170.0000,169.0000,169.8500,169.8500,2379100,0.0000,1.0000
2019-10-22,168.7000,170.1100,167.8900,168.9400,168.9400,3290100,0.0000,1.0000
2019-10-21,166.9700,169.2400,166.5700,168.9400,168.9400,2534400,0.0000,1.0000
2019-10-18,167.1500,167.4700,162.4300,165.5700,165.5700,4421900,0.0000,1.0000
2019-10-17,166.3000,168.9900,165.5900,167.5200,167.5200,3302700,0.0000,1.0000
2019-10-16,163.6100,164.3400,162.6800,163.6300,163.6300,3449800,0.0000,1.0000
2019-10-15,163.5200,164.8200,163.1200,163.6400,163.6400,2814500,0.0000,1.0000
2019-10-14,163.6200,164.2200,162.5100,162.9800,162.9800,1055900,0.0000,1.0000
2019-10-11,163.0100,165.3500,162.7400,163.5300,163.5300,2244900,0.0000,1.0000
2019-10-10,159.8600,162.2500,159.8500,160.9700,160.9700,1613100,0.0000,1.0000
2019-10-09,160.6300,160.6700,158.7500,159.8400,159.8400,1680400,0.0000,1.0000
2019-10-08,161.3200,161.3700,158.5900,158.6200,158.6200,3418100,0.0000,1.0000
2019-10-07,163.2800,164.5700,162.5400,163.1800,163.1800,2214400,0.0000,1.0000
2019-10-04,162.0000,163.7700,161.8300,163.6300,163.6300,2741600,0.0000,1.0000
