timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,24.5700,24.7200,24.2770,24.3200,24.3200,2545184,0.0000,1.0000
2019-11-12,24.6000,24.7600,24.4800,24.5800,24.5800,1906500,0.0000,1.0000
2019-11-11,24.3600,24.6400,24.2900,24.6000,24.6000,2426300,0.0000,1.0000
2019-11-08,24.7600,24.9700,23.7000,24.4200,24.4200,7359000,0.0000,1.0000
2019-11-07,25.2100,25.4400,25.1000,25.1400,25.1400,2414700,0.0000,1.0000
2019-11-06,25.0600,25.1300,24.7500,25.1200,25.1200,2109100,0.0000,1.0000
2019-11-05,25.1100,25.2900,25.0000,25.0200,25.0200,2794500,0.0000,1.0000
2019-11-04,25.0300,25.3000,24.9200,24.9500,24.9500,2274600,0.0000,1.0000
2019-11-01,25.0300,25.1800,24.9000,24.9500,24.9500,1661300,0.0000,1.0000
2019-10-31,25.1400,25.1400,24.7700,24.9900,24.9900,2739000,0.0000,1.0000
2019-10-30,24.8500,25.1200,24.7100,25.1200,25.1200,1562600,0.0000,1.0000
2019-10-29,24.8900,25.0600,24.8400,24.9100,24.9100,1472200,0.0000,1.0000
2019-10-28,25.2100,25.3800,24.9000,24.9300,24.9300,2043200,0.0000,1.0000
2019-10-25,24.9000,25.2900,24.8000,25.1800,25.1800,2188600,0.0000,1.0000
2019-10-24,24.6900,24.8800,24.3900,24.8700,24.8700,1720300,0.0000,1.0000
2019-10-23,24.3500,24.7700,24.1500,24.6100,24.6100,3094700,0.0000,1.0000
2019-10-22,23.7600,24.3800,23.7400,24.3500,24.3500,2382900,0.0000,1.0000
2019-10-21,23.3800,23.8000,23.3800,23.7300,23.7300,2959900,0.0000,1.0000
2019-10-18,23.6600,23.7500,23.2700,23.2800,23.2800,2109000,0.0000,1.0000
2019-10-17,23.6600,23.8500,23.5500,23.7200,23.7200,1948800,0.0000,1.0000
2019-10-16,23.4600,23.6600,23.3200,23.6000,23.6000,3150800,0.0000,1.0000
2019-10-15,23.6600,23.7500,22.9900,23.4400,23.4400,4009700,0.0000,1.0000
2019-10-14,23.5600,23.7800,23.5100,23.6100,23.6100,2049600,0.0000,1.0000
2019-10-11,23.7600,23.9000,23.5800,23.6300,23.6300,2213100,0.0000,1.0000
2019-10-10,23.2600,23.8000,23.2600,23.6300,23.6300,2906900,0.0000,1.0000
2019-10-09,23.1900,23.4000,23.0900,23.2600,23.2600,2717300,0.0000,1.0000
2019-10-08,23.4700,23.4700,23.0100,23.1100,23.1100,2405300,0.0000,1.0000
2019-10-07,23.3200,23.7000,23.2900,23.5600,23.5600,3130900,0.0000,1.0000
2019-10-04,23.6600,23.6600,23.1100,23.4000,23.4000,2206800,0.0000,1.0000
2019-10-03,23.2900,23.5600,23.1100,23.5500,23.5500,2635300,0.0000,1.0000
2019-10-02,23.2900,23.5400,23.1900,23.4300,23.4300,3909200,0.0000,1.0000
2019-10-01,23.6400,23.8800,23.3700,23.3900,23.3900,2465400,0.0000,1.0000
2019-09-30,23.2400,23.7100,23.2400,23.6200,23.6200,3359100,0.0000,1.0000
