timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,258.0200,260.1700,257.0900,259.3100,259.3100,349788,0.0000,1.0000
2019-11-12,252.2500,258.9600,252.2500,257.5100,257.5100,534500,0.0000,1.0000
2019-11-11,253.5800,256.2500,251.6000,252.6800,252.6800,426500,0.0000,1.0000
2019-11-08,263.0000,264.2000,254.4200,254.7400,254.7400,771800,0.0000,1.0000
2019-11-07,261.8600,264.9900,261.8200,263.1400,263.1400,411400,0.0000,1.0000
2019-11-06,263.7400,266.0000,261.2400,261.4500,261.4500,551200,0.0000,1.0000
2019-11-05,277.9500,278.3900,263.2200,264.1500,264.1500,956100,0.0000,1.0000
2019-11-04,278.8600,282.2900,277.5200,278.6600,278.6600,544200,0.0000,1.0000
2019-11-01,285.5600,287.9200,276.5000,276.8700,276.8700,572900,0.0000,1.0000
2019-10-31,272.2500,294.5700,270.5000,285.0100,285.0100,730900,0.0000,1.0000
2019-10-30,270.8800,274.0600,270.0000,273.8500,273.8500,332500,0.0000,1.0000
2019-10-29,265.5600,273.4600,264.4800,270.8700,270.8700,763100,0.0000,1.0000
2019-10-28,267.9100,269.2400,265.3100,266.4200,266.4200,513300,0.0000,1.0000
2019-10-25,268.6300,271.1300,268.1100,268.2900,268.2900,370600,0.0000,1.0000
2019-10-24,267.9900,271.8600,266.7100,268.3300,268.3300,411800,0.0000,1.0000
2019-10-23,270.7600,273.6500,266.7200,267.9300,267.9300,372000,0.0000,1.0000
2019-10-22,279.0700,280.0200,270.7200,270.8400,270.8400,230900,0.0000,1.0000
2019-10-21,285.4400,285.4500,278.1000,278.8800,278.8800,239200,0.0000,1.0000
2019-10-18,282.4500,283.4400,280.4800,282.8300,282.8300,294900,0.0000,1.0000
2019-10-17,281.0500,282.8200,278.6100,282.1300,282.1300,187400,0.0000,1.0000
2019-10-16,280.0600,281.4600,277.0500,279.5700,279.5700,279600,0.0000,1.0000
2019-10-15,277.5800,282.6000,276.8200,282.2600,282.2600,236300,0.0000,1.0000
2019-10-14,277.3500,279.2000,275.0200,275.6800,275.6800,165700,0.0000,1.0000
2019-10-11,276.3800,279.0400,275.0000,276.8000,276.8000,262100,0.0000,1.0000
2019-10-10,270.2800,274.0800,268.4500,272.2400,272.2400,178900,0.0000,1.0000
2019-10-09,268.9100,273.0800,268.9100,271.9100,271.9100,214000,0.0000,1.0000
2019-10-08,270.6900,271.6000,265.9000,267.7200,267.7200,272000,0.0000,1.0000
