timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,160.4700,162.1100,160.2500,161.6800,161.6800,571413,0.0000,1.0000
2019-11-12,160.9100,162.8500,160.5000,161.5000,161.5000,567300,0.0000,1.0000
2019-11-11,158.2000,160.8700,158.2000,160.8000,160.8000,309600,0.0000,1.0000
2019-11-08,160.1300,161.4400,158.7200,159.6200,159.6200,219600,0.0000,1.0000
2019-11-07,160.2400,162.0100,160.2200,160.3800,160.3800,482100,0.0000,1.0000
2019-11-06,160.0600,160.7000,158.6100,159.6600,159.6600,282900,0.0000,1.0000
2019-11-05,160.3900,161.2500,159.4200,160.5400,160.5400,426600,0.0000,1.0000
2019-11-04,160.3200,160.9200,159.5000,160.2000,160.2000,433300,0.0000,1.0000
2019-11-01,156.7700,159.0400,156.3300,159.0400,159.0400,505200,0.0000,1.0000
2019-10-31,155.3700,155.7400,154.3600,155.5300,155.5300,551600,0.0000,1.0000
2019-10-30,160.5400,163.8200,155.8000,156.2400,156.2400,758700,0.0000,1.0000
2019-10-29,158.5800,162.6000,158.5800,162.2800,162.2800,574900,0.0000,1.0000
2019-10-28,159.7400,160.2900,158.8200,159.3600,159.3600,306200,0.0000,1.0000
2019-10-25,157.7600,159.9700,157.2700,158.7200,158.7200,482200,0.0000,1.0000
2019-10-24,159.8200,159.8200,157.1600,157.8300,157.8300,282500,0.0000,1.0000
2019-10-23,159.1300,160.3300,157.8500,158.9800,158.9800,319400,0.0000,1.0000
2019-10-22,158.9200,160.5200,158.2300,159.1400,159.1400,323800,0.0000,1.0000
2019-10-21,161.2300,161.7100,159.1200,159.3400,159.3400,316300,0.0000,1.0000
2019-10-18,159.0900,160.9600,158.9200,160.3400,160.3400,371700,0.0000,1.0000
2019-10-17,158.3200,160.5000,158.3200,159.6100,159.6100,266800,0.0000,1.0000
2019-10-16,158.0100,158.9100,157.0000,157.4000,157.4000,344700,0.0000,1.0000
2019-10-15,156.9300,159.1500,156.5300,158.5200,158.5200,294400,0.5000,1.0000
2019-10-14,158.6100,158.7300,157.0600,157.3100,156.8100,363400,0.0000,1.0000
2019-10-11,157.9300,162.1600,157.9300,159.4400,158.9332,393400,0.0000,1.0000
2019-10-10,154.0000,157.3500,154.0000,156.0700,155.5739,308700,0.0000,1.0000
2019-10-09,153.9100,155.0300,152.7900,153.8700,153.3809,398600,0.0000,1.0000
2019-10-08,154.3100,154.3500,152.0700,152.3100,151.8259,590400,0.0000,1.0000
2019-10-07,157.8700,157.9500,155.8800,156.1400,155.6437,556800,0.0000,1.0000
2019-10-04,157.4800,158.7000,156.9500,158.5400,158.0361,311100,0.0000,1.0000
2019-10-03,156.1600,157.7000,154.6300,157.5100,157.0094,314200,0.0000,1.0000
2019-10-02,158.1400,158.4200,155.3200,156.7500,156.2518,410400,0.0000,1.0000
2019-10-01,164.7900,165.5100,159.2800,159.5300,159.0229,262100,0.0000,1.0000
2019-09-30,164.5200,165.5000,163.1500,163.8800,163.3591,323200,0.0000,1.0000
2019-09-27,165.0300,166.3000,163.8100,164.5400,164.0170,294900,0.0000,1.0000
2019-09-26,164.0300,164.5300,163.2300,163.8500,163.3292,273200,0.0000,1.0000
2019-09-25,162.2100,164.5800,161.8100,164.1700,163.6482,320200,0.0000,1.0000
2019-09-24,164.3500,164.9100,161.5800,162.3700,161.8539,570400,0.0000,1.0000
2019-09-23,163.4200,164.9000,162.5000,163.6000,163.0800,542800,0.0000,1.0000
2019-09-20,167.5400,168.1500,164.3000,164.3400,163.8177,1870500,0.0000,1.0000
2019-09-19,170.0800,170.9500,166.5800,166.6700,166.1403,489600,0.0000,1.0000
2019-09-18,170.3900,170.5400,168.2400,170.4100,169.8684,394800,0.0000,1.0000
2019-09-17,170.9900,172.7900,170.3700,171.4200,170.8752,345700,0.0000,1.0000
2019-09-16,170.3900,172.4000,169.8100,171.5300,170.9848,341200,0.0000,1.0000
2019-09-13,170.5200,171.9200,169.7800,170.8800,170.3369,398400,0.0000,1.0000
2019-09-12,168.0300,169.7300,167.6200,169.5100,168.9712,350000,0.0000,1.0000
2019-09-11,166.6100,167.6900,165.0300,167.6800,167.1470,397700,0.0000,1.0000
2019-09-10,167.9400,167.9400,164.8700,166.2300,165.7016,469500,0.0000,1.0000
2019-09-09,169.0000,169.5000,166.7500,167.9300,167.3962,363200,0.0000,1.0000
2019-09-06,168.9500,169.6500,168.1000,168.8500,168.3133,441100,0.0000,1.0000
2019-09-05,164.4400,168.9000,164.4400,168.7100,168.1738,562800,0.0000,1.0000
2019-09-04,163.0700,163.3900,161.5400,162.9600,162.4420,304900,0.0000,1.0000
2019-09-03,163.6400,164.0500,160.3800,161.2600,160.7474,459500,0.0000,1.0000
2019-08-30,166.7000,167.5900,163.7300,164.7100,164.1865,499100,0.0000,1.0000
2019-08-29,164.7500,165.8900,163.6900,165.3200,164.7946,376700,0.0000,1.0000
