timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,129.5800,133.1300,129.2150,132.6800,132.6800,626551,0.0000,1.0000
2019-11-12,131.0000,131.7100,129.8700,130.5600,130.5600,576700,0.0000,1.0000
2019-11-11,132.4400,132.4500,130.7900,131.2200,131.2200,676600,0.0000,1.0000
2019-11-08,133.4800,134.0900,131.8200,132.8100,132.8100,664300,0.0000,1.0000
2019-11-07,133.5600,135.1300,132.9200,133.4200,133.4200,693700,0.0000,1.0000
2019-11-06,134.3100,134.7200,131.1300,133.0100,133.0100,1016400,0.0000,1.0000
2019-11-05,126.3500,136.0000,124.4300,134.4600,134.4600,2798400,0.0000,1.0000
2019-11-04,123.2400,124.8200,122.6700,124.0100,124.0100,1448000,0.0000,1.0000
2019-11-01,122.5800,123.7000,121.2400,121.7400,121.7400,1104900,0.0000,1.0000
2019-10-31,123.1200,123.3500,120.5900,122.0100,122.0100,940600,0.0000,1.0000
2019-10-30,121.9400,123.4700,120.3700,123.3200,123.3200,738000,0.0000,1.0000
2019-10-29,118.9500,123.0500,118.9200,122.2300,122.2300,1071900,0.0000,1.0000
2019-10-28,120.8300,120.9100,119.8000,120.1900,120.1900,895000,0.0000,1.0000
2019-10-25,119.4000,120.5200,118.2800,119.9600,119.9600,857600,0.0000,1.0000
2019-10-24,120.4500,120.4500,118.2800,119.7100,119.7100,581400,0.0000,1.0000
2019-10-23,119.4100,120.9300,119.4100,120.0200,120.0200,725200,0.0000,1.0000
2019-10-22,117.8800,119.5400,117.2200,119.1200,119.1200,604100,0.0000,1.0000
2019-10-21,118.4400,118.9500,117.6200,118.3900,118.3900,844300,0.0000,1.0000
2019-10-18,119.8300,120.1800,117.0900,117.8400,117.8400,788000,0.0000,1.0000
2019-10-17,119.7300,120.3900,118.9000,119.4500,119.4500,457100,0.0000,1.0000
2019-10-16,118.9600,120.2500,118.4500,119.1600,119.1600,786000,0.0000,1.0000
2019-10-15,118.9400,119.9800,118.1800,119.1800,119.1800,490700,0.0000,1.0000
2019-10-14,117.9900,119.3800,117.7600,118.3300,118.3300,518900,0.0000,1.0000
2019-10-11,117.4300,119.6600,117.2500,118.1500,118.1500,798700,0.0000,1.0000
2019-10-10,115.0900,116.3600,113.8800,115.9700,115.9700,1316300,0.0000,1.0000
2019-10-09,115.0500,115.7800,113.4100,115.1000,115.1000,1070300,0.0000,1.0000
2019-10-08,117.0000,117.2900,112.8700,114.1200,114.1200,1591900,0.0000,1.0000
2019-10-07,118.7500,120.2800,118.3200,118.4000,118.4000,908200,0.0000,1.0000
2019-10-04,117.2000,119.2700,116.3600,119.1500,119.1500,1727600,0.0000,1.0000
2019-10-03,116.6500,117.9800,114.5800,117.9200,117.9200,829700,0.0000,1.0000
2019-10-02,120.7400,121.5500,116.8700,116.9900,116.9900,1463700,0.0000,1.0000
2019-10-01,123.0500,123.5300,120.6300,121.6200,121.6200,817800,0.0000,1.0000
2019-09-30,121.2500,123.4700,121.0900,122.6900,122.6900,914300,0.0000,1.0000
2019-09-27,120.2700,121.3900,119.8000,120.8100,120.8100,492400,0.0000,1.0000
2019-09-26,122.0800,122.0800,117.3100,119.8000,119.8000,925100,0.0000,1.0000
2019-09-25,121.1800,122.9600,120.7500,122.1100,122.1100,1382800,0.0000,1.0000
2019-09-24,123.0200,123.6500,120.1200,120.6900,120.6900,1112300,0.0000,1.0000
2019-09-23,119.6000,123.0100,119.5000,122.7800,122.7800,1065100,0.0000,1.0000
2019-09-20,122.3200,122.7200,119.9700,120.1700,120.1700,1974400,0.7500,1.0000
2019-09-19,122.8200,124.3700,122.3200,122.8600,122.1100,711100,0.0000,1.0000
2019-09-18,122.6800,124.8600,121.7300,122.9900,122.2392,901700,0.0000,1.0000
2019-09-17,121.9500,122.5700,119.8500,122.2300,121.4838,1114800,0.0000,1.0000
2019-09-16,126.2600,126.5700,122.0000,122.0300,121.2851,1039900,0.0000,1.0000
2019-09-13,127.0300,127.8900,125.9300,127.3000,126.5229,785900,0.0000,1.0000
2019-09-12,127.8200,128.2500,124.5900,127.1000,126.3241,1169800,0.0000,1.0000
2019-09-11,125.0900,127.4800,124.1200,127.4600,126.6819,1467900,0.0000,1.0000
