timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,259.7800,262.9250,259.0000,261.7500,261.7500,1087866,0.0000,1.0000
2019-11-12,258.6500,262.3700,258.0000,259.9800,259.9800,1227800,0.0000,1.0000
2019-11-11,255.6500,259.4000,255.4700,258.0300,258.0300,963900,0.0000,1.0000
2019-11-08,258.5200,259.5100,255.4400,256.8500,256.8500,1357200,0.0000,1.0000
2019-11-07,253.0000,260.9700,252.7900,259.3500,259.3500,1401400,0.0000,1.0000
2019-11-06,253.2500,255.3300,251.9900,253.4200,253.4200,1430600,0.0000,1.0000
2019-11-05,254.4000,255.6300,250.4100,253.1600,253.1600,1918900,0.0000,1.0000
2019-11-04,258.1700,258.6100,253.7800,254.0600,254.0600,1410900,0.0000,1.0000
2019-11-01,259.9100,260.8800,256.2400,256.4800,256.4800,1108700,0.0000,1.0000
2019-10-31,260.1400,261.5700,257.1400,257.5000,257.5000,890100,0.0000,1.0000
2019-10-30,259.7600,261.6700,258.2400,260.2900,260.2900,1665800,0.0000,1.0000
2019-10-29,258.4900,261.0900,257.9500,258.4900,258.4900,953200,0.0000,1.0000
2019-10-28,259.2100,259.5600,256.2700,258.6100,258.6100,1027100,0.0000,1.0000
2019-10-25,259.1300,260.2800,256.7000,257.6700,257.6700,1185800,0.0000,1.0000
2019-10-24,257.1300,260.8400,255.8400,258.9000,258.9000,1071500,0.0000,1.0000
2019-10-23,253.3300,258.9700,252.5400,255.9700,255.9700,1227800,0.0000,1.0000
2019-10-22,260.7400,263.5500,253.1800,253.3300,253.3300,1482400,0.0000,1.0000
2019-10-21,264.4800,264.5000,258.5800,262.2000,262.2000,1040400,0.0000,1.0000
2019-10-18,267.6700,267.6700,260.5400,262.4700,262.4700,1551800,0.0000,1.0000
2019-10-17,269.8500,270.7900,263.7300,266.5300,266.5300,879800,0.0000,1.0000
2019-10-16,271.5200,271.6900,265.8100,269.1500,269.1500,1065500,0.0000,1.0000
2019-10-15,270.0600,274.1100,269.1000,273.5000,273.5000,1042100,0.0000,1.0000
2019-10-14,269.9900,271.6600,268.9000,269.0600,269.0600,1024300,0.0000,1.0000
2019-10-11,270.4000,273.8100,269.4200,270.0700,270.0700,1068600,0.0000,1.0000
2019-10-10,262.3600,268.9400,262.3600,267.5300,267.5300,1177400,0.0000,1.0000
2019-10-09,262.8700,265.1200,262.3700,264.0000,264.0000,864200,0.5300,1.0000
2019-10-08,265.3300,266.2000,260.9900,260.9900,260.4600,1340000,0.0000,1.0000
2019-10-07,264.9000,268.1000,264.8600,266.7600,266.2183,1551300,0.0000,1.0000
2019-10-04,264.0500,267.8300,262.0100,267.0900,266.5476,1312900,0.0000,1.0000
2019-10-03,259.4300,263.5400,255.4100,263.0000,262.4659,1270300,0.0000,1.0000
2019-10-02,263.2100,263.2100,255.4700,260.4500,259.9211,1375000,0.0000,1.0000
2019-10-01,267.6900,268.2700,263.3800,264.3000,263.7633,1007300,0.0000,1.0000
2019-09-30,263.5000,267.2700,262.4100,265.9400,265.4000,1135600,0.0000,1.0000
2019-09-27,271.3200,271.3200,259.2600,263.1900,262.6555,1020100,0.0000,1.0000
2019-09-26,267.0800,270.6300,266.4200,269.7200,269.1723,1182300,0.0000,1.0000
