timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,147.2500,148.8200,147.2500,148.3000,148.3000,285755,0.0000,1.0000
2019-11-12,148.9000,149.4300,146.7400,147.3100,147.3100,433800,0.0000,1.0000
2019-11-11,148.9800,150.0000,147.9500,148.6600,148.6600,332700,0.0000,1.0000
2019-11-08,147.6800,149.7100,147.2500,149.5100,149.5100,350000,0.0000,1.0000
2019-11-07,148.0600,149.9400,147.5700,148.6500,148.6500,612300,0.0000,1.0000
2019-11-06,145.6400,147.7300,143.0700,147.4900,147.4900,1044400,0.0000,1.0000
2019-11-05,146.1600,151.6600,144.3200,145.6400,145.6400,1758100,0.0000,1.0000
2019-11-04,142.9400,143.2500,141.5200,142.7200,142.7200,860100,0.0000,1.0000
2019-11-01,141.9500,142.3000,141.1500,141.7400,141.7400,622200,0.0000,1.0000
2019-10-31,141.5500,142.4200,140.9300,141.5600,141.5600,384800,0.0000,1.0000
2019-10-30,141.6500,142.1200,141.0700,141.4800,141.4800,400300,0.0000,1.0000
2019-10-29,140.9000,142.0100,140.2400,141.3300,141.3300,401000,0.0000,1.0000
2019-10-28,140.4100,141.2200,139.9500,140.7500,140.7500,347200,0.0000,1.0000
2019-10-25,138.8200,140.4700,138.5100,139.5300,139.5300,846400,0.0000,1.0000
2019-10-24,140.2300,140.6300,138.4000,139.0200,139.0200,496100,0.0000,1.0000
2019-10-23,138.7500,139.9300,138.1800,138.4900,138.4900,292200,0.0000,1.0000
2019-10-22,141.9900,142.9000,139.0800,139.1600,139.1600,282100,0.0000,1.0000
2019-10-21,144.3900,144.3900,141.3900,141.7300,141.7300,274900,0.0000,1.0000
2019-10-18,143.0700,143.7100,142.0800,143.4800,143.4800,332900,0.0000,1.0000
2019-10-17,143.7900,144.7300,142.5600,143.4000,143.4000,268900,0.0000,1.0000
2019-10-16,142.9500,144.0800,141.1300,143.7000,143.7000,412400,0.0000,1.0000
2019-10-15,142.6000,143.6900,141.3000,142.6300,142.6300,835000,0.0000,1.0000
2019-10-14,141.5600,142.6200,140.7500,141.9800,141.9800,237700,0.0000,1.0000
2019-10-11,143.6900,144.2800,142.0600,142.1000,142.1000,474600,0.0000,1.0000
2019-10-10,142.3000,143.4100,141.9700,142.7500,142.7500,274700,0.0000,1.0000
2019-10-09,142.8200,143.8300,142.1300,142.3400,142.3400,429100,0.0000,1.0000
2019-10-08,144.0600,144.1400,142.1700,142.2800,142.2800,246900,0.0000,1.0000
2019-10-07,145.8800,146.0000,143.9000,144.8100,144.8100,518000,0.0000,1.0000
2019-10-04,145.1500,146.1100,144.7900,145.9400,145.9400,438800,0.0000,1.0000
2019-10-03,144.1000,145.4500,143.1500,144.5000,144.5000,295500,0.0000,1.0000
2019-10-02,145.1600,145.2200,143.0500,144.5500,144.5500,442100,0.0000,1.0000
2019-10-01,146.3900,147.2100,145.0000,146.2600,146.2600,396900,0.0000,1.0000
2019-09-30,144.1200,146.2100,143.4800,145.9700,145.9700,667900,0.0000,1.0000
2019-09-27,147.6400,147.6400,142.8200,143.7200,143.7200,319600,0.0000,1.0000
2019-09-26,146.6400,147.1600,145.3100,146.7400,146.7400,481200,0.0000,1.0000
2019-09-25,146.4700,147.0300,145.0200,146.7500,146.7500,272000,0.0000,1.0000
2019-09-24,146.1200,148.6000,145.7800,146.8300,146.8300,325500,0.0000,1.0000
2019-09-23,147.2900,147.9900,145.2200,145.3600,145.3600,265500,0.0000,1.0000
2019-09-20,148.3600,149.4200,147.1800,147.6900,147.6900,468200,0.0000,1.0000
2019-09-19,148.2000,148.4900,147.1200,147.8600,147.8600,305000,0.0000,1.0000
2019-09-18,146.7400,147.6900,145.5100,147.5300,147.5300,572300,0.0000,1.0000
2019-09-17,145.9800,147.3200,145.4200,147.2200,147.2200,310900,0.0000,1.0000
2019-09-16,144.7500,146.3800,144.5000,146.1100,146.1100,204300,0.0000,1.0000
2019-09-13,146.0900,147.0900,144.9400,145.2100,145.2100,246000,0.0000,1.0000
2019-09-12,146.0500,147.3700,144.7100,146.3800,146.3800,293700,0.0000,1.0000
2019-09-11,142.2400,145.3300,142.0000,145.0200,145.0200,367700,0.0000,1.0000
2019-09-10,147.4700,147.5400,141.9500,142.6600,142.6600,484200,0.0000,1.0000
2019-09-09,148.5300,148.7000,146.5900,147.5100,147.5100,279000,0.0000,1.0000
2019-09-06,147.9400,148.8500,147.6800,147.7400,147.7400,307500,0.4000,1.0000
2019-09-05,147.8200,148.9600,146.9400,148.5100,148.1100,368600,0.0000,1.0000
2019-09-04,145.3800,145.9500,144.2800,145.8300,145.4372,315100,0.0000,1.0000
2019-09-03,144.4000,145.3200,143.2900,144.5700,144.1806,418200,0.0000,1.0000
2019-08-30,145.9800,146.1500,144.3300,144.9600,144.5696,407100,0.0000,1.0000
