timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,131.0400,131.4870,130.7200,131.2700,131.2700,5055271,0.0000,1.0000
2019-11-12,132.0000,132.0900,131.0200,131.3500,131.3500,5228700,0.0000,1.0000
2019-11-11,132.2700,132.5200,131.3300,131.9800,131.9800,4371400,0.0000,1.0000
2019-11-08,131.3000,133.0400,130.9700,133.0000,133.0000,5003000,0.0000,1.0000
2019-11-07,131.7300,132.3800,131.0100,131.4300,131.4300,5873700,0.0000,1.0000
2019-11-06,130.4200,131.4800,129.7000,130.9600,130.9600,5450000,0.0000,1.0000
2019-11-05,130.5300,131.4700,129.6800,130.4200,130.4200,6257300,0.0000,1.0000
2019-11-04,131.8000,131.9500,130.0900,130.2300,130.2300,6140300,0.0000,1.0000
2019-11-01,132.0500,133.0000,131.1400,131.2000,131.2000,5541800,0.0000,1.0000
2019-10-31,132.3800,132.8400,130.8900,132.0400,132.0400,7686600,0.0000,1.0000
2019-10-30,133.3000,133.5300,131.7300,132.8400,132.8400,9627600,0.0000,1.0000
2019-10-29,129.7000,129.9700,128.5600,129.1200,129.1200,4506300,0.0000,1.0000
2019-10-28,128.6200,130.0000,128.5100,129.1800,129.1800,7875900,0.0000,1.0000
2019-10-25,127.8300,129.1000,127.3100,128.3500,128.3500,6947300,0.0000,1.0000
2019-10-24,130.4200,130.5800,126.1000,127.5000,127.5000,12111600,0.0000,1.0000
2019-10-23,129.6600,130.4800,129.0700,129.9000,129.9000,6693400,0.0000,1.0000
2019-10-22,128.7600,130.5400,128.0900,129.2000,129.2000,7613700,0.0000,1.0000
2019-10-21,128.6700,129.6700,127.0600,128.0200,128.0200,13823600,0.0000,1.0000
2019-10-18,133.3100,134.3900,127.7000,127.7000,127.7000,25868700,0.0000,1.0000
2019-10-17,135.9600,137.4900,135.6500,136.1700,136.1700,8434000,0.0000,1.0000
2019-10-16,134.9000,136.5900,133.8000,135.1700,135.1700,12434200,0.0000,1.0000
2019-10-15,133.0000,134.2500,132.1000,132.8400,132.8400,10008800,0.0000,1.0000
2019-10-14,131.3600,131.3600,130.4200,130.7200,130.7200,5700000,0.0000,1.0000
2019-10-11,131.1400,132.6200,130.8200,131.3300,131.3300,7161400,0.0000,1.0000
2019-10-10,128.9500,130.1200,128.6300,129.0600,129.0600,5119700,0.0000,1.0000
2019-10-09,131.1400,131.2500,128.5200,129.2200,129.2200,7787700,0.0000,1.0000
2019-10-08,132.4500,133.2600,131.4900,131.8400,131.8400,7870400,0.0000,1.0000
2019-10-07,133.0900,133.8200,132.1400,133.1600,133.1600,5427200,0.0000,1.0000
2019-10-04,131.3400,133.7200,131.2500,133.6600,133.6600,7233300,0.0000,1.0000
2019-10-03,131.6400,132.3700,130.0100,131.1900,131.1900,6997600,0.0000,1.0000
2019-10-02,132.7600,134.7000,131.2200,132.0000,132.0000,12051800,0.0000,1.0000
2019-10-01,130.0200,130.8000,129.7700,129.9900,129.9900,7673000,0.0000,1.0000
2019-09-30,129.0700,130.2800,129.0000,129.3800,129.3800,6552100,0.0000,1.0000
2019-09-27,128.6100,129.4000,126.7000,128.6000,128.6000,6006500,0.0000,1.0000
2019-09-26,131.0900,131.3100,128.0300,128.8500,128.8500,7545800,0.0000,1.0000
2019-09-25,131.5000,131.5700,130.2300,130.9900,130.9900,4522900,0.0000,1.0000
2019-09-24,132.1000,132.7800,131.3400,131.5500,131.5500,7102600,0.0000,1.0000
2019-09-23,131.0200,132.0500,130.4900,131.7400,131.7400,5183700,0.0000,1.0000
2019-09-20,131.0000,132.0000,130.2900,131.6500,131.6500,12053100,0.0000,1.0000
2019-09-19,129.6300,131.1900,129.3600,130.1100,130.1100,4730100,0.0000,1.0000
2019-09-18,129.9000,130.5600,128.7800,130.4100,130.4100,4373600,0.0000,1.0000
2019-09-17,129.6000,130.5000,129.1100,129.6700,129.6700,4976400,0.0000,1.0000
2019-09-16,130.1100,130.7500,129.3300,129.5400,129.5400,5101700,0.0000,1.0000
2019-09-13,131.3300,131.5700,129.9600,130.7800,130.7800,5369800,0.0000,1.0000
2019-09-12,131.3600,131.7700,130.0600,130.4300,130.4300,5250000,0.0000,1.0000
2019-09-11,129.8600,131.2800,129.0800,131.1700,131.1700,6203600,0.0000,1.0000
2019-09-10,127.3400,129.5500,126.3400,129.5500,129.5500,8239500,0.0000,1.0000
2019-09-09,128.0000,128.1600,126.5900,126.9500,126.9500,7684700,0.0000,1.0000
2019-09-06,128.8800,129.2300,128.0700,128.2100,128.2100,6758300,0.0000,1.0000
2019-09-05,129.9000,129.9000,128.3100,128.5800,128.5800,4754100,0.0000,1.0000
2019-09-04,129.4900,129.5900,128.0800,128.8600,128.8600,4807200,0.0000,1.0000
2019-09-03,127.9900,128.9800,127.5100,128.7400,128.7400,5710200,0.0000,1.0000
2019-08-30,128.2700,129.1000,127.6200,128.3600,128.3600,7371100,0.0000,1.0000
2019-08-29,128.8400,129.2000,126.8300,128.2400,128.2400,6749900,0.0000,1.0000
2019-08-28,127.8600,128.8700,127.0100,128.6800,128.6800,9878800,0.0000,1.0000
2019-08-27,129.8800,132.4000,129.1000,129.6400,129.6400,20183800,0.0000,1.0000
2019-08-26,127.4200,128.0800,126.6300,127.8000,127.8000,8889500,0.9500,1.0000
2019-08-23,131.0700,131.2600,127.1300,127.7300,126.7800,15714000,0.0000,1.0000
2019-08-22,131.6000,132.1300,130.8000,131.2700,130.2937,7213500,0.0000,1.0000
2019-08-21,131.7000,132.4100,130.8500,131.5300,130.5517,6912800,0.0000,1.0000
2019-08-20,131.9600,132.6600,130.4600,130.6000,129.6287,7302000,0.0000,1.0000
2019-08-19,132.5000,132.5700,131.8200,132.2500,131.2664,4958000,0.0000,1.0000
2019-08-16,131.4616,131.6700,129.2500,131.3600,130.3830,5858900,0.0000,1.0000
2019-08-15,130.1700,131.0700,129.2500,130.5400,129.5691,7251200,0.0000,1.0000
2019-08-14,132.5300,132.5400,130.1195,130.2600,129.2912,7736200,0.0000,1.0000
2019-08-13,132.3000,134.1000,131.9971,133.4200,132.4277,5013200,0.0000,1.0000
2019-08-12,131.5000,132.7000,131.2900,131.9300,130.9487,6852100,0.0000,1.0000
2019-08-09,131.8000,132.7600,131.2300,132.0400,131.0579,4677300,0.0000,1.0000
2019-08-08,130.9800,131.9450,130.2300,131.6800,130.7006,5260500,0.0000,1.0000
2019-08-07,129.3600,130.9050,128.1900,130.2100,129.2416,6771700,0.0000,1.0000
2019-08-06,130.3400,131.2200,129.5900,130.7700,129.7974,7880600,0.0000,1.0000
2019-08-05,130.9100,131.4600,129.0100,130.1600,129.1919,9480000,0.0000,1.0000
2019-08-02,130.8600,131.4700,129.7737,131.0700,130.0952,6574900,0.0000,1.0000
2019-08-01,130.2600,130.7400,129.0200,130.2900,129.3210,7870700,0.0000,1.0000
2019-07-31,131.6400,132.0000,130.1806,130.2200,129.2515,8559200,0.0000,1.0000
2019-07-30,132.4700,132.4900,131.2700,132.0800,131.0976,5509600,0.0000,1.0000
2019-07-29,131.0000,133.3100,130.2062,133.0200,132.0307,7832000,0.0000,1.0000
2019-07-26,131.3000,131.3000,130.4862,130.7300,129.7577,4894600,0.0000,1.0000
2019-07-25,130.0600,131.5300,129.6700,131.1200,130.1448,8897800,0.0000,1.0000
2019-07-24,128.8800,129.7900,128.5719,129.7800,128.8147,6838600,0.0000,1.0000
2019-07-23,128.6100,129.4500,128.1600,128.8400,127.8817,5803600,0.0000,1.0000
2019-07-22,130.0000,130.1500,127.8400,128.6400,127.6832,12624800,0.0000,1.0000
2019-07-19,132.2500,132.3900,130.1900,130.3100,129.3408,8340200,0.0000,1.0000
2019-07-18,132.1300,132.5100,131.1700,132.0700,131.0877,6203100,0.0000,1.0000
2019-07-17,132.4977,133.5800,131.4100,131.8600,130.8793,8862100,0.0000,1.0000
2019-07-16,132.9300,133.8300,131.7500,132.5000,131.5145,10214500,0.0000,1.0000
2019-07-15,135.3808,136.3600,134.4500,134.7100,133.7081,10038200,0.0000,1.0000
2019-07-12,140.1200,140.1200,132.3200,134.3000,133.3011,17780100,0.0000,1.0000
2019-07-11,140.9400,141.2100,139.0200,140.1100,139.0679,5817400,0.0000,1.0000
2019-07-10,141.7800,141.9900,140.6706,141.2100,140.1597,4874400,0.0000,1.0000
2019-07-09,141.4600,142.4700,140.9100,141.4100,140.3583,4217400,0.0000,1.0000
2019-07-08,140.1200,141.0800,139.6477,140.9700,139.9215,4078100,0.0000,1.0000
2019-07-05,141.7400,141.8640,140.3700,140.5700,139.5245,4652400,0.0000,1.0000
2019-07-03,141.0000,142.1800,140.7900,142.1400,141.0828,3436300,0.0000,1.0000
2019-07-02,139.2200,140.0300,138.6900,140.0300,138.9885,4501200,0.0000,1.0000
2019-07-01,140.2000,140.2600,138.7200,139.3600,138.3235,5872300,0.0000,1.0000
2019-06-28,140.7400,141.1000,138.5050,139.2800,138.2441,12792400,0.0000,1.0000
2019-06-27,142.2300,142.5000,140.6050,140.6900,139.6436,5233500,0.0000,1.0000
2019-06-26,143.8510,143.8500,140.7600,141.8500,140.7950,7674100,0.0000,1.0000
2019-06-25,143.2700,144.9800,143.1900,144.2400,143.1672,7517000,0.0000,1.0000
2019-06-24,142.4200,143.7000,142.0858,143.0600,141.9960,5894700,0.0000,1.0000
2019-06-21,141.4600,142.4250,141.0100,142.0900,141.0332,11272200,0.0000,1.0000
2019-06-20,141.2500,142.4000,141.0000,142.2100,141.1523,7335800,0.0000,1.0000
2019-06-19,140.0100,140.9700,139.9100,140.4500,139.4054,6393400,0.0000,1.0000
2019-06-18,140.5600,140.9300,139.7900,140.2300,139.1870,7122700,0.0000,1.0000
2019-06-17,139.9954,140.2400,139.2100,139.4400,138.4029,5562800,0.0000,1.0000
2019-06-14,141.2300,141.4850,140.0400,140.0900,139.0481,6548100,0.0000,1.0000
2019-06-13,141.7200,141.9500,140.2100,140.7100,139.6635,7500800,0.0000,1.0000
2019-06-12,140.3000,142.9100,140.3004,141.6800,140.6262,9216500,0.0000,1.0000
2019-06-11,139.6800,140.6600,139.5000,139.7800,138.7404,8230500,0.0000,1.0000
2019-06-10,138.6000,139.1500,137.6000,139.0200,137.9860,4994700,0.0000,1.0000
2019-06-07,137.5900,139.5900,137.1400,138.5500,137.5195,6533900,0.0000,1.0000
2019-06-06,134.9000,137.6600,134.5900,136.6800,135.6634,9115800,0.0000,1.0000
2019-06-05,134.7000,135.1300,133.8600,134.3800,133.3805,6860600,0.0000,1.0000
2019-06-04,132.6000,134.3000,132.5800,133.7300,132.7354,6648900,0.0000,1.0000
2019-06-03,131.4854,132.4000,131.0400,131.4400,130.4624,8434600,0.0000,1.0000
2019-05-31,131.5200,132.0000,129.6100,131.1500,130.1746,7811000,0.0000,1.0000
2019-05-30,131.4400,132.8200,131.1700,132.1100,131.1274,7360600,0.0000,1.0000
2019-05-29,135.8900,135.8900,128.5200,131.3300,130.3532,23247400,0.0000,1.0000
2019-05-28,138.9934,140.4900,137.0000,137.0700,136.0505,11919600,0.0000,1.0000
2019-05-24,139.5000,139.4991,138.5600,138.8500,137.8173,5473300,0.9500,1.0000
2019-05-23,138.5000,139.8500,137.6700,139.7900,137.8074,6951800,0.0000,1.0000
2019-05-22,138.3500,138.9500,137.4850,138.7600,136.7920,5456800,0.0000,1.0000
2019-05-21,139.1200,139.5700,138.0800,138.1200,136.1610,4859000,0.0000,1.0000
2019-05-20,138.6100,138.9600,137.6800,138.4200,136.4568,4771100,0.0000,1.0000
2019-05-17,137.0000,139.0300,136.8587,138.6100,136.6441,6915300,0.0000,1.0000
2019-05-16,137.3900,139.1930,136.9700,138.2100,136.2498,6857200,0.0000,1.0000
2019-05-15,136.9000,137.4900,135.3300,136.9100,134.9682,6429400,0.0000,1.0000
2019-05-14,137.0400,137.8400,136.7300,136.8200,134.8795,7179400,0.0000,1.0000
2019-05-13,137.8500,138.0600,136.5300,137.2000,135.2541,5560000,0.0000,1.0000
2019-05-10,138.4300,139.2500,136.4100,139.0500,137.0779,4771600,0.0000,1.0000
2019-05-09,138.9500,139.3200,137.6400,138.7300,136.7624,5604200,0.0000,1.0000
2019-05-08,140.2000,140.9200,139.7000,139.7900,137.8074,4667300,0.0000,1.0000
2019-05-07,140.8200,141.3800,139.0600,139.9700,137.9848,6606700,0.0000,1.0000
2019-05-06,140.2500,142.2400,139.9300,142.0900,140.0747,5818900,0.0000,1.0000
2019-05-03,141.2900,142.0900,141.0800,142.0100,139.9959,5281600,0.0000,1.0000
2019-05-02,141.9100,142.1500,140.1200,141.2800,139.2762,8835600,0.0000,1.0000
2019-05-01,140.9500,142.3500,139.7500,141.9500,139.9367,6656300,0.0000,1.0000
2019-04-30,140.1900,141.4500,138.9600,141.2000,139.1974,6003700,0.0000,1.0000
2019-04-29,140.3500,140.4300,139.5800,139.8400,137.8567,4275200,0.0000,1.0000
2019-04-26,139.8779,140.5240,139.3100,140.3900,138.3989,4613600,0.0000,1.0000
2019-04-25,138.5200,139.7700,137.9600,139.6500,137.6693,5218100,0.0000,1.0000
2019-04-24,139.6500,140.1400,138.8623,139.2000,137.2257,5676300,0.0000,1.0000
2019-04-23,137.4200,140.8500,137.2500,139.9000,137.9158,5790500,0.0000,1.0000
2019-04-22,136.9800,138.4900,136.4580,137.8300,135.8752,4666500,0.0000,1.0000
2019-04-18,139.3500,140.2400,135.7500,137.5200,135.5696,10485300,0.0000,1.0000
2019-04-17,139.0000,140.1460,137.6700,138.5200,136.5554,9543700,0.0000,1.0000
2019-04-16,138.3200,140.7000,137.5600,138.0200,136.0625,10745700,0.0000,1.0000
2019-04-15,136.0000,136.7900,135.8000,136.5200,134.5838,5380900,0.0000,1.0000
2019-04-12,135.2200,136.3500,134.7500,135.9800,134.0514,5756800,0.0000,1.0000
2019-04-11,135.9600,136.1829,134.4200,135.2100,133.2923,4485200,0.0000,1.0000
2019-04-10,135.8900,136.1300,135.3300,135.5800,133.6571,4194100,0.0000,1.0000
2019-04-09,136.0000,136.2600,134.5600,135.5700,133.6472,5210300,0.0000,1.0000
2019-04-08,136.0500,136.5100,135.7000,136.1400,134.2091,4329600,0.0000,1.0000
2019-04-05,136.0400,136.5800,135.7000,136.1800,134.2486,4759700,0.0000,1.0000
2019-04-04,136.8706,137.0050,135.1300,135.5700,133.6472,5844600,0.0000,1.0000
2019-04-03,138.2018,138.2400,136.8700,137.1700,135.2245,5947000,0.0000,1.0000
2019-04-02,139.0100,139.0100,136.9100,137.7100,135.7569,5517800,0.0000,1.0000
2019-04-01,139.9900,140.2900,138.7350,138.9800,137.0089,5885200,0.0000,1.0000
2019-03-29,139.2800,139.8800,138.8800,139.7900,137.8074,7168400,0.0000,1.0000
2019-03-28,139.0600,139.4600,138.7100,138.8800,136.9103,4602100,0.0000,1.0000
2019-03-27,138.5900,139.4800,138.0700,138.7000,136.7328,6764900,0.0000,1.0000
2019-03-26,136.9300,139.2700,136.9300,138.5700,136.6047,4758600,0.0000,1.0000
2019-03-25,136.9100,137.0100,135.7400,136.6100,134.6725,4500300,0.0000,1.0000
