timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,174.2000,177.3500,173.2080,176.3500,176.3500,801855,0.0000,1.0000
2019-11-12,175.1300,176.2300,173.6500,174.4200,174.4200,888900,0.0000,1.0000
2019-11-11,173.6300,175.3400,171.4600,174.4300,174.4300,631000,0.0000,1.0000
2019-11-08,170.3300,174.2800,170.3300,174.2100,174.2100,648900,0.0000,1.0000
2019-11-07,173.5800,174.0000,171.5200,171.9500,171.9500,960500,0.0000,1.0000
2019-11-06,171.2200,172.7600,168.3300,172.5200,172.5200,1398000,0.0000,1.0000
2019-11-05,174.1700,175.3200,171.4300,171.9800,171.9800,1715500,0.0000,1.0000
2019-11-04,174.7800,175.4300,172.4600,174.0200,174.0200,1021500,0.0000,1.0000
2019-11-01,170.1300,173.1400,169.2700,172.4200,172.4200,1462300,0.0000,1.0000
2019-10-31,167.6700,170.2500,160.4000,169.0400,169.0400,2595600,0.0000,1.0000
2019-10-30,171.8200,173.9400,169.2100,172.9600,172.9600,1700300,0.0000,1.0000
2019-10-29,174.1000,175.3200,170.1900,170.2800,170.2800,1693600,0.0000,1.0000
2019-10-28,171.0200,175.2500,171.0200,174.7800,174.7800,1586000,0.0000,1.0000
2019-10-25,167.6900,170.2900,166.8000,169.9400,169.9400,1101700,0.0000,1.0000
2019-10-24,164.0000,168.9500,163.4600,168.7400,168.7400,1812400,0.0000,1.0000
2019-10-23,161.1400,162.2200,158.2700,158.7200,158.7200,1110100,0.0000,1.0000
2019-10-22,163.8800,164.8500,162.3400,162.8200,162.8200,1183900,0.0000,1.0000
2019-10-21,160.3100,164.2900,159.8700,164.0000,164.0000,1776400,0.0000,1.0000
2019-10-18,160.6300,162.0200,158.3200,159.6900,159.6900,1219600,0.0000,1.0000
2019-10-17,162.7100,167.9500,161.0400,161.5100,161.5100,1611700,0.0000,1.0000
2019-10-16,160.8000,161.9700,159.0800,159.6400,159.6400,1275000,0.0000,1.0000
2019-10-15,160.0800,163.5400,159.5800,162.5600,162.5600,870900,0.0000,1.0000
2019-10-14,159.6200,160.9500,158.3100,159.0000,159.0000,1124400,0.0000,1.0000
2019-10-11,160.9700,162.4900,158.9300,160.2200,160.2200,1174700,0.0000,1.0000
2019-10-10,158.0200,159.2600,156.6000,157.4000,157.4000,873300,0.0000,1.0000
2019-10-09,157.1700,158.8100,156.1100,157.4800,157.4800,1012000,0.0000,1.0000
2019-10-08,158.7600,159.0300,154.3300,154.5200,154.5200,1476500,0.0000,1.0000
2019-10-07,160.7000,162.6800,160.2000,161.0500,161.0500,908700,0.0000,1.0000
2019-10-04,157.6400,161.2900,157.4700,161.1100,161.1100,1165500,0.0000,1.0000
2019-10-03,155.4700,157.6900,153.6900,156.9600,156.9600,1256200,0.0000,1.0000
2019-10-02,156.2800,157.5000,153.6300,155.0500,155.0500,1569900,0.0000,1.0000
2019-10-01,160.7900,162.4100,157.7300,158.2900,158.2900,917800,0.0000,1.0000
2019-09-30,159.4600,160.3000,157.6500,159.4500,159.4500,1115100,0.0000,1.0000
2019-09-27,160.1600,161.3200,157.4800,158.4800,158.4800,1459100,0.0000,1.0000
2019-09-26,160.8800,162.6800,159.9400,161.9500,161.9500,1268400,0.0000,1.0000
2019-09-25,156.3500,160.9300,156.1700,160.5900,160.5900,1198900,0.0000,1.0000
2019-09-24,159.3100,160.5500,155.5300,156.5000,156.5000,1724700,0.0000,1.0000
2019-09-23,155.2000,158.6300,155.2000,157.5800,157.5800,1040100,0.0000,1.0000
2019-09-20,158.0100,158.5400,154.3700,155.5000,155.5000,3094300,0.0000,1.0000
2019-09-19,158.6100,159.3000,156.4600,157.2200,157.2200,1367000,0.0000,1.0000
2019-09-18,152.5900,158.0900,151.7000,157.9800,157.9800,2718300,0.0000,1.0000
2019-09-17,153.2100,155.7800,150.1600,152.6000,152.6000,2134400,0.0000,1.0000
2019-09-16,148.7600,151.9200,148.0600,151.1900,151.1900,1192200,0.0000,1.0000
2019-09-13,149.5800,151.6500,147.8000,150.3200,150.3200,1879800,0.0000,1.0000
2019-09-12,152.4300,152.7700,149.3900,149.6100,149.6100,2282100,0.0000,1.0000
2019-09-11,150.0000,150.7700,148.6300,150.6500,150.6500,2790200,0.0000,1.0000
2019-09-10,149.7700,149.7700,146.0600,148.7500,148.7500,1885800,0.0000,1.0000
2019-09-09,151.9900,152.7600,148.5300,150.5100,150.5100,2245800,0.0000,1.0000
2019-09-06,150.8500,152.5200,150.5900,150.9800,150.9800,1985400,0.0000,1.0000
2019-09-05,153.6800,155.3300,150.9200,151.0000,151.0000,2578200,0.0000,1.0000
2019-09-04,151.5800,152.0000,149.9700,150.6500,150.6500,1982500,0.0000,1.0000
2019-09-03,149.4600,150.3900,147.4100,149.9300,149.9300,2218900,0.0000,1.0000
2019-08-30,147.9800,148.7800,147.0900,147.9000,147.9000,1820600,0.0000,1.0000
2019-08-29,145.6600,147.4700,145.1000,146.3700,146.3700,1155600,0.0000,1.0000
2019-08-28,141.1600,144.0500,140.0500,143.5600,143.5600,996600,0.0000,1.0000
2019-08-27,142.4600,142.9300,140.6100,142.4200,142.4200,1230300,0.0000,1.0000
2019-08-26,141.0000,141.9200,139.8900,141.2900,141.2900,1020800,0.0000,1.0000
2019-08-23,142.2600,144.3200,138.5600,139.1600,139.1600,1888900,0.0000,1.0000
2019-08-22,142.6500,144.5200,141.2800,143.5700,143.5700,1333400,0.0000,1.0000
2019-08-21,141.6200,142.7500,140.3800,141.9000,141.9000,836200,0.0000,1.0000
2019-08-20,140.2600,142.1300,139.2100,140.3700,140.3700,1157400,0.0000,1.0000
2019-08-19,138.0000,141.8000,137.2000,140.3600,140.3600,1707400,0.0000,1.0000
2019-08-16,132.9400,136.5900,132.1300,136.1200,136.1200,1336700,0.0000,1.0000
2019-08-15,131.3200,133.0900,130.9300,132.0400,132.0400,811600,0.0000,1.0000
2019-08-14,131.9000,134.0300,130.4300,131.1100,131.1100,1139000,0.7500,1.0000
2019-08-13,132.5500,137.1300,132.2800,135.2200,134.4700,1933500,0.0000,1.0000
2019-08-12,135.0000,135.9000,133.4300,134.2000,133.4557,941900,0.0000,1.0000
2019-08-09,136.3500,137.2600,134.0300,136.0900,135.3352,1025600,0.0000,1.0000
2019-08-08,135.9400,137.6400,134.7400,137.3300,136.5683,1554300,0.0000,1.0000
2019-08-07,134.1600,135.6200,133.4600,134.1400,133.3960,1428100,0.0000,1.0000
2019-08-06,131.8700,140.7700,131.1100,135.6400,134.8877,3343500,0.0000,1.0000
2019-08-05,130.1000,130.9600,125.1900,126.4600,125.7586,3480500,0.0000,1.0000
2019-08-02,135.1200,135.4000,131.4900,133.2400,132.5010,2269500,0.0000,1.0000
2019-08-01,136.5100,143.9500,135.3700,136.7700,136.0114,2808700,0.0000,1.0000
2019-07-31,139.5800,139.7000,134.3700,136.3200,135.5639,1331200,0.0000,1.0000
2019-07-30,138.1300,140.8300,138.0000,140.0000,139.2235,614800,0.0000,1.0000
2019-07-29,139.0400,139.8100,138.5900,139.5100,138.7362,922500,0.0000,1.0000
2019-07-26,140.3500,141.4400,139.2600,139.4500,138.6765,1065900,0.0000,1.0000
2019-07-25,141.0500,142.0800,139.1800,139.7000,138.9252,1587200,0.0000,1.0000
2019-07-24,139.8800,142.6600,139.7700,142.6500,141.8588,1356200,0.0000,1.0000
2019-07-23,137.4600,140.7000,136.8700,140.1700,139.3925,1722200,0.0000,1.0000
2019-07-22,133.7100,137.2700,132.7900,137.1500,136.3893,1776400,0.0000,1.0000
2019-07-19,133.5300,133.9434,131.6800,131.9600,131.2281,1171500,0.0000,1.0000
2019-07-18,125.5000,133.8400,125.5000,133.4100,132.6700,2504700,0.0000,1.0000
2019-07-17,123.9400,125.9900,122.6900,125.4900,124.7940,1649700,0.0000,1.0000
2019-07-16,123.1100,123.3570,121.6000,122.5000,121.8205,905500,0.0000,1.0000
2019-07-15,123.0500,123.8700,122.4800,123.5400,122.8548,854600,0.0000,1.0000
2019-07-12,120.3400,123.0600,120.3400,122.9200,122.2382,1412400,0.0000,1.0000
2019-07-11,119.5200,120.2100,118.1400,120.0600,119.3941,1559900,0.0000,1.0000
2019-07-10,118.7400,120.7500,118.3976,119.6100,118.9466,1071900,0.0000,1.0000
2019-07-09,116.1300,117.9600,115.9000,117.7800,117.1267,864200,0.0000,1.0000
2019-07-08,116.8800,117.9600,116.7100,117.3500,116.6991,1107300,0.0000,1.0000
2019-07-05,117.5700,118.1450,116.3314,117.9000,117.2461,930100,0.0000,1.0000
2019-07-03,119.9356,119.9400,118.4200,119.0600,118.3996,1195700,0.0000,1.0000
2019-07-02,121.3600,121.3600,118.7650,119.6300,118.9665,1447800,0.0000,1.0000
2019-07-01,121.8400,123.4300,120.1700,121.7200,121.0449,1447600,0.0000,1.0000
2019-06-28,118.9400,119.7100,117.7550,118.2000,117.5444,1226600,0.0000,1.0000
2019-06-27,117.3200,119.2318,117.1900,117.7400,117.0870,881700,0.0000,1.0000
2019-06-26,114.9700,117.1000,113.8500,116.8500,116.2019,1416600,0.0000,1.0000
2019-06-25,113.7300,115.2600,112.9600,113.0700,112.4429,1577800,0.0000,1.0000
2019-06-24,114.3300,114.5700,113.1800,113.2200,112.5920,1336700,0.0000,1.0000
2019-06-21,114.1800,115.0000,113.0100,113.9300,113.2981,2702200,0.0000,1.0000
2019-06-20,114.2600,114.8400,112.9700,113.7900,113.1589,906400,0.0000,1.0000
2019-06-19,111.9500,113.0040,111.1800,112.2600,111.6374,1187500,0.0000,1.0000
2019-06-18,109.5400,112.9000,108.8150,111.6100,110.9910,1969800,0.0000,1.0000
2019-06-17,109.7400,109.9100,107.8900,107.9300,107.3314,1635400,0.0000,1.0000
2019-06-14,108.8600,110.3950,107.6900,109.7000,109.0915,1190900,0.0000,1.0000
2019-06-13,110.8000,111.6500,109.9100,110.9400,110.3247,1074500,0.0000,1.0000
2019-06-12,112.3800,113.8400,109.9100,110.1000,109.4893,1771500,0.0000,1.0000
2019-06-11,115.1400,116.1400,113.4100,114.2300,113.5964,1498000,0.0000,1.0000
2019-06-10,110.8500,114.1700,109.6659,113.4600,112.8307,1516400,0.0000,1.0000
2019-06-07,108.6500,109.8900,107.8900,109.4200,108.8131,1096700,0.0000,1.0000
2019-06-06,106.5300,108.3400,105.8487,107.8600,107.2618,1939100,0.0000,1.0000
2019-06-05,106.4900,107.6100,104.4500,106.3100,105.7203,1658700,0.0000,1.0000
2019-06-04,103.0900,105.4466,101.9850,105.3200,104.7358,2074200,0.0000,1.0000
