timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,154.0400,155.2000,152.4300,154.2300,154.2300,997677,0.0000,1.0000
2019-11-12,153.0000,156.9800,151.8600,152.5100,152.5100,631700,0.0000,1.0000
2019-11-11,152.4900,153.4500,151.6400,153.1800,153.1800,587900,0.0000,1.0000
2019-11-08,153.1500,154.4400,152.4100,153.3100,153.3100,639700,0.0000,1.0000
2019-11-07,152.5000,155.5200,151.8700,153.8300,153.8300,1206100,0.0000,1.0000
2019-11-06,150.0700,151.9300,149.0500,151.4000,151.4000,1292000,0.0000,1.0000
2019-11-05,149.5900,151.5000,149.0700,149.7600,149.7600,1308400,0.0000,1.0000
2019-11-04,147.2600,149.4900,146.4700,149.3600,149.3600,1179300,0.0000,1.0000
2019-11-01,142.0300,146.2000,141.3600,146.1900,146.1900,1308200,0.0000,1.0000
2019-10-31,142.1100,142.3400,139.3000,140.7800,140.7800,1082800,0.0000,1.0000
2019-10-30,143.6100,144.2400,141.4500,142.5600,142.5600,845900,0.0000,1.0000
2019-10-29,143.4300,144.4900,143.0600,143.6300,143.6300,1174100,0.0000,1.0000
2019-10-28,145.0800,145.4700,143.2500,143.6500,143.6500,804400,0.0000,1.0000
2019-10-25,145.3900,146.1800,144.3600,144.4900,144.4900,958000,0.0000,1.0000
2019-10-24,146.3000,147.6000,144.0500,145.5000,145.5000,1168300,0.0000,1.0000
2019-10-23,144.2900,146.2200,143.7500,145.8500,145.8500,1361100,0.0000,1.0000
2019-10-22,146.5300,147.8100,144.6500,145.0600,145.0600,1638600,0.0000,1.0000
2019-10-21,147.2500,149.2300,145.8600,146.7000,146.7000,1683500,0.0000,1.0000
2019-10-18,141.0000,145.8200,140.3600,145.2500,145.2500,3349300,0.0000,1.0000
2019-10-17,135.1600,136.1400,132.9500,135.4200,135.4200,2546500,0.0000,1.0000
2019-10-16,133.9900,135.0600,133.5100,134.2900,134.2900,643500,0.0000,1.0000
2019-10-15,132.5200,134.3200,131.5300,134.1800,134.1800,576900,0.0000,1.0000
2019-10-14,132.6100,133.2200,131.4800,132.0000,132.0000,541200,0.0000,1.0000
2019-10-11,132.6500,134.3800,131.1400,133.5000,133.5000,1385100,0.0000,1.0000
2019-10-10,128.6700,130.7100,128.4500,130.4500,130.4500,612700,0.0000,1.0000
2019-10-09,127.8600,129.3500,127.4400,129.0600,129.0600,480500,0.0000,1.0000
2019-10-08,126.5200,128.1600,125.9500,126.7300,126.7300,841200,0.0000,1.0000
2019-10-07,127.3300,129.2800,126.8000,128.1300,128.1300,643600,0.0000,1.0000
2019-10-04,127.5100,128.3700,126.6000,127.8000,127.8000,835100,0.0000,1.0000
2019-10-03,126.2400,127.5400,124.5200,127.0400,127.0400,543800,0.0000,1.0000
2019-10-02,127.7200,128.1200,125.1900,126.5800,126.5800,834500,0.0000,1.0000
2019-10-01,133.5600,133.6800,128.4500,129.0100,129.0100,727600,0.0000,1.0000
2019-09-30,133.1000,133.4100,132.2100,133.0100,133.0100,606800,0.0000,1.0000
2019-09-27,133.7900,134.4700,132.1900,132.5200,132.5200,478800,0.0000,1.0000
2019-09-26,132.6400,133.8300,131.9100,133.2500,133.2500,426000,0.0000,1.0000
2019-09-25,132.3700,133.0500,131.7000,132.5800,132.5800,544300,0.0000,1.0000
