timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,88.9300,90.1900,88.6000,89.4900,89.4900,773506,0.0000,1.0000
2019-11-12,87.4900,89.0800,87.4900,89.0100,89.0100,954400,0.0000,1.0000
2019-11-11,86.4000,88.0000,86.4000,87.6700,87.6700,1131500,0.0000,1.0000
2019-11-08,85.7700,87.2000,85.7100,87.2000,87.2000,962100,0.0000,1.0000
2019-11-07,85.6700,86.3100,85.2800,86.0000,86.0000,940500,0.0000,1.0000
2019-11-06,83.1100,85.3000,82.6800,85.1300,85.1300,1302600,0.0000,1.0000
2019-11-05,85.8500,86.2300,82.7600,83.1800,83.1800,1368700,0.0000,1.0000
2019-11-04,85.4900,86.0000,84.9700,85.7800,85.7800,1225800,0.0000,1.0000
2019-11-01,86.2400,87.0700,85.2200,85.3300,85.3300,936100,0.0000,1.0000
2019-10-31,86.8200,87.9500,86.1200,86.2300,86.2300,1186900,0.0000,1.0000
2019-10-30,86.9100,87.3200,86.3100,86.6900,86.6900,1195800,0.0000,1.0000
2019-10-29,83.6000,86.7500,82.7100,86.3900,86.3900,3096400,0.0000,1.0000
2019-10-28,80.4200,81.0200,80.2200,80.8100,80.8100,1148600,0.0000,1.0000
2019-10-25,79.7800,80.3100,79.3500,79.9800,79.9800,769900,0.0000,1.0000
2019-10-24,79.4200,80.0800,78.8000,80.0400,80.0400,716300,0.0000,1.0000
2019-10-23,79.1000,80.1400,78.9900,79.2400,79.2400,803300,0.0000,1.0000
2019-10-22,80.8800,81.1100,79.0800,79.2900,79.2900,1008700,0.0000,1.0000
2019-10-21,81.7500,81.7500,80.6000,80.8400,80.8400,1238600,0.0000,1.0000
2019-10-18,81.5300,81.8000,80.9100,81.6200,81.6200,1254600,0.0000,1.0000
2019-10-17,81.6400,81.9000,80.9000,81.7100,81.7100,1206100,0.0000,1.0000
2019-10-16,81.7600,82.2900,81.0800,81.3400,81.3400,1298100,0.0000,1.0000
2019-10-15,82.6000,83.5600,82.2100,82.2300,82.2300,1301400,0.0000,1.0000
2019-10-14,83.4700,83.6300,82.2700,82.4600,82.4600,710500,0.0000,1.0000
2019-10-11,83.7100,84.2800,83.1200,83.1600,83.1600,1066200,0.0000,1.0000
2019-10-10,82.7700,83.6800,82.7500,83.0500,83.0500,1384600,0.0000,1.0000
2019-10-09,82.4600,82.8500,81.7200,82.7000,82.7000,1007900,0.0000,1.0000
2019-10-08,83.1400,83.1400,81.8300,81.8400,81.8400,1110700,0.0000,1.0000
2019-10-07,83.6300,84.4800,83.4700,83.8000,83.8000,1039800,0.0000,1.0000
2019-10-04,83.4500,83.8200,82.7500,83.6300,83.6300,2912900,0.0000,1.0000
2019-10-03,83.0200,83.4500,82.1200,83.0000,83.0000,690800,0.0000,1.0000
2019-10-02,84.0000,84.0800,82.1100,82.9600,82.9600,971600,0.0000,1.0000
2019-10-01,86.1200,86.3600,84.5000,84.7800,84.7800,680200,0.0000,1.0000
2019-09-30,85.0200,86.3200,84.9800,85.8800,85.8800,848500,0.0000,1.0000
2019-09-27,87.5200,87.5200,84.3300,85.0200,85.0200,874500,0.0000,1.0000
2019-09-26,87.1100,87.4400,86.2300,87.1300,87.1300,758100,0.0000,1.0000
2019-09-25,86.1700,87.2000,85.4600,87.0400,87.0400,1047900,0.0000,1.0000
2019-09-24,86.3100,86.9600,85.3300,86.0100,86.0100,1126300,0.0000,1.0000
2019-09-23,85.9800,86.2900,85.0000,85.6900,85.6900,1122000,0.0000,1.0000
2019-09-20,87.7400,88.1200,86.2400,86.3300,86.3300,3708700,0.0000,1.0000
2019-09-19,87.8000,88.2500,87.1900,87.3700,87.3700,937300,0.0000,1.0000
2019-09-18,86.5700,87.6500,86.4000,87.6000,87.6000,723500,0.0000,1.0000
2019-09-17,86.4700,87.0100,86.0500,86.7000,86.7000,1001000,0.0000,1.0000
2019-09-16,85.5300,86.6400,85.3200,86.3000,86.3000,844000,0.0000,1.0000
2019-09-13,86.2700,86.7900,85.6300,85.8200,85.8200,1021100,0.3400,1.0000
2019-09-12,85.8900,87.0500,85.5900,86.3500,86.0100,1120500,0.0000,1.0000
2019-09-11,83.9000,85.2400,83.3300,85.2400,84.9044,1283300,0.0000,1.0000
2019-09-10,84.6300,84.6300,83.3000,83.9900,83.6593,1719100,0.0000,1.0000
2019-09-09,87.7800,88.0300,84.1600,84.9200,84.5856,1695800,0.0000,1.0000
2019-09-06,88.9900,89.0000,87.4600,87.6200,87.2750,962300,0.0000,1.0000
2019-09-05,88.5800,88.9800,88.0300,88.8200,88.4703,775500,0.0000,1.0000
2019-09-04,87.1200,87.8600,87.0200,87.6200,87.2750,687200,0.0000,1.0000
2019-09-03,86.8100,87.2300,85.9900,86.3500,86.0100,1553000,0.0000,1.0000
2019-08-30,87.8300,88.2900,86.8900,87.3600,87.0160,1119900,0.0000,1.0000
2019-08-29,86.3100,87.5300,86.3100,87.2000,86.8567,1000700,0.0000,1.0000
2019-08-28,84.5700,85.9300,84.1400,85.7200,85.3825,1241400,0.0000,1.0000
2019-08-27,84.8700,85.1600,84.1400,85.0300,84.6952,1310100,0.0000,1.0000
2019-08-26,83.8400,84.3300,83.2200,84.3000,83.9681,1498400,0.0000,1.0000
2019-08-23,85.1700,85.8500,83.0700,83.4100,83.0816,1340400,0.0000,1.0000
2019-08-22,85.8600,85.8600,84.6100,85.5600,85.2231,1094400,0.0000,1.0000
2019-08-21,85.4700,85.5400,84.8800,85.5400,85.2032,815600,0.0000,1.0000
2019-08-20,85.1300,85.5600,84.4000,84.4700,84.1374,1339200,0.0000,1.0000
2019-08-19,85.0000,85.6200,82.4100,85.0800,84.7450,1507800,0.0000,1.0000
2019-08-16,83.5600,84.1400,82.4100,83.8200,83.4900,1361300,0.0000,1.0000
2019-08-15,83.0000,83.4500,82.4100,82.9100,82.5835,1013500,0.0000,1.0000
2019-08-14,83.4200,84.0500,82.3300,82.8200,82.4939,1726000,0.0000,1.0000
2019-08-13,82.8383,84.5000,82.7400,84.2700,83.9382,1737000,0.0000,1.0000
2019-08-12,83.2000,84.3950,82.5850,83.0500,82.7230,1438600,0.0000,1.0000
2019-08-09,83.0600,83.7000,82.0300,83.0600,82.7329,1565500,0.0000,1.0000
2019-08-08,81.2800,84.0500,81.2000,83.9000,83.5696,34119300,0.0000,1.0000
2019-08-07,79.5000,81.1800,78.5600,80.5700,80.2528,2046600,0.0000,1.0000
2019-08-06,79.4900,80.2600,78.4800,80.0400,79.7248,1938100,0.0000,1.0000
2019-08-05,80.6200,81.0200,78.3400,78.9800,78.6690,2005800,0.0000,1.0000
2019-08-02,81.6000,82.2712,80.0400,81.8600,81.5377,3358200,0.0000,1.0000
2019-08-01,82.4800,85.4700,82.4000,83.4100,83.0816,1446000,0.0000,1.0000
2019-07-31,84.3900,84.7600,81.1600,82.1000,81.7767,1715900,0.0000,1.0000
2019-07-30,80.6600,84.9700,80.0000,84.3800,84.0478,1467500,0.0000,1.0000
2019-07-29,82.5742,84.3200,82.2300,83.3200,82.9919,1157800,0.0000,1.0000
2019-07-26,81.2400,82.4900,81.2400,82.4300,82.1054,951700,0.0000,1.0000
2019-07-25,81.7100,81.7100,81.0600,81.1500,80.8305,940100,0.0000,1.0000
2019-07-24,80.6500,81.8200,80.5400,81.6000,81.2787,752100,0.0000,1.0000
2019-07-23,80.1200,80.8600,79.5800,80.8300,80.5117,690600,0.0000,1.0000
2019-07-22,79.8500,80.2000,79.5100,79.5800,79.2667,737100,0.0000,1.0000
2019-07-19,81.3600,81.5700,79.5500,79.5900,79.2766,959700,0.0000,1.0000
2019-07-18,80.6700,81.2600,80.1600,80.9600,80.6412,768000,0.0000,1.0000
2019-07-17,82.1100,82.3200,80.7340,80.7700,80.4520,615400,0.0000,1.0000
2019-07-16,82.2300,82.6600,81.7500,82.0400,81.7170,634600,0.0000,1.0000
2019-07-15,82.7500,82.7500,82.0500,82.3400,82.0158,438200,0.0000,1.0000
2019-07-12,82.1300,82.4600,81.5200,82.4300,82.1054,686700,0.0000,1.0000
2019-07-11,81.6400,82.0000,80.9412,81.9400,81.6174,756700,0.0000,1.0000
2019-07-10,81.9600,82.5000,81.0605,81.5000,81.1791,849300,0.0000,1.0000
2019-07-09,80.3800,81.6500,80.0600,81.5200,81.1990,808900,0.0000,1.0000
2019-07-08,81.8300,81.8300,81.0400,81.4100,81.0895,542000,0.0000,1.0000
2019-07-05,81.0200,82.0200,80.5700,82.0200,81.6970,598000,0.0000,1.0000
2019-07-03,80.4400,81.4800,80.1600,81.4000,81.0795,428200,0.0000,1.0000
2019-07-02,80.1000,80.4040,79.7300,80.1400,79.8244,587100,0.0000,1.0000
2019-07-01,80.6300,80.8550,79.4600,80.1700,79.8543,968800,0.0000,1.0000
2019-06-28,79.5500,80.1278,79.2700,79.8500,79.5356,1897300,0.0000,1.0000
2019-06-27,78.8100,79.7000,78.7300,79.3900,79.0774,810600,0.0000,1.0000
2019-06-26,79.3700,79.5300,78.3500,78.5100,78.2009,1192300,0.0000,1.0000
2019-06-25,79.2400,79.5100,78.9100,79.1300,78.8184,1065300,0.0000,1.0000
2019-06-24,78.9800,79.5700,78.7300,78.9600,78.6491,1159700,0.0000,1.0000
2019-06-21,79.1300,79.6600,78.4700,78.9200,78.6093,1802100,0.0000,1.0000
2019-06-20,79.2900,79.7350,78.8200,79.6600,79.3463,980800,0.0000,1.0000
2019-06-19,78.5900,78.8700,78.0000,78.6300,78.3204,1316500,0.0000,1.0000
2019-06-18,78.5500,79.3100,78.2000,78.6300,78.3204,1134500,0.0000,1.0000
2019-06-17,78.8000,79.2900,77.9800,78.2500,77.9419,1304200,0.0000,1.0000
2019-06-14,78.2400,79.0200,77.7800,78.8400,78.5296,1068600,0.0000,1.0000
2019-06-13,79.3500,79.4400,77.8600,78.4200,78.1112,887300,0.3200,1.0000
2019-06-12,78.4000,79.2500,78.0406,79.2500,78.6192,861200,0.0000,1.0000
2019-06-11,79.5400,79.7400,78.2000,78.3300,77.7065,1234900,0.0000,1.0000
2019-06-10,79.8000,80.0000,78.9800,79.1700,78.5398,1232800,0.0000,1.0000
2019-06-07,79.0000,79.6700,78.7249,79.4200,78.7879,772100,0.0000,1.0000
2019-06-06,77.9200,78.8000,77.7600,78.7000,78.0736,1114700,0.0000,1.0000
2019-06-05,78.4746,78.9600,77.8200,78.1200,77.4982,1057100,0.0000,1.0000
2019-06-04,76.5800,78.0900,76.2900,78.0000,77.3792,1873800,0.0000,1.0000
2019-06-03,75.3300,76.2800,75.0000,75.9200,75.3157,1721700,0.0000,1.0000
2019-05-31,74.1400,75.5000,73.9500,75.3300,74.7304,1403600,0.0000,1.0000
2019-05-30,74.9300,75.2300,74.2500,74.8300,74.2344,1571100,0.0000,1.0000
2019-05-29,74.8500,75.3000,74.2600,74.8000,74.2046,1798500,0.0000,1.0000
2019-05-28,76.0800,76.8150,74.7900,74.9800,74.3832,1552500,0.0000,1.0000
2019-05-24,76.7400,76.8700,76.2000,76.2700,75.6629,893400,0.0000,1.0000
2019-05-23,76.4500,76.5900,75.6600,76.1300,75.5240,1290000,0.0000,1.0000
2019-05-22,76.2100,77.3500,76.0100,76.9700,76.3574,1342200,0.0000,1.0000
2019-05-21,75.8352,76.7900,75.5800,76.7300,76.1193,1271600,0.0000,1.0000
2019-05-20,75.4400,76.4200,75.1200,75.2700,74.6709,1009700,0.0000,1.0000
2019-05-17,75.7100,76.7500,75.6000,75.9900,75.3852,739600,0.0000,1.0000
2019-05-16,75.5300,76.3400,75.0660,76.2900,75.6828,942300,0.0000,1.0000
2019-05-15,74.3500,75.4650,74.0592,75.0500,74.4527,992300,0.0000,1.0000
2019-05-14,73.9050,74.8000,73.0500,74.3000,73.7086,925400,0.0000,1.0000
2019-05-13,74.2100,74.5200,73.3200,73.7700,73.1828,773700,0.0000,1.0000
2019-05-10,74.6200,75.7950,74.2480,75.4800,74.8792,638700,0.0000,1.0000
2019-05-09,73.6700,75.1400,73.4200,75.0200,74.4229,984100,0.0000,1.0000
2019-05-08,73.4400,74.5500,73.1900,74.1700,73.5797,1113400,0.0000,1.0000
2019-05-07,73.6100,74.1915,73.1500,73.5300,72.9447,1473400,0.0000,1.0000
2019-05-06,73.2100,74.3050,73.0700,74.1100,73.5201,1532000,0.0000,1.0000
2019-05-03,73.1400,74.6300,72.8420,74.4500,73.8574,903900,0.0000,1.0000
2019-05-02,72.6691,73.6400,72.2900,73.1400,72.5578,1365500,0.0000,1.0000
2019-05-01,74.1100,74.3600,72.8500,72.8500,72.2701,1378700,0.0000,1.0000
2019-04-30,67.6500,73.6900,67.6000,73.4800,72.8951,3289300,0.0000,1.0000
2019-04-29,66.8400,67.2500,66.6000,66.8700,66.3378,1537000,0.0000,1.0000
2019-04-26,66.4100,66.7800,66.3900,66.5500,66.0203,718000,0.0000,1.0000
2019-04-25,66.6900,66.9400,66.1600,66.3900,65.8616,904500,0.0000,1.0000
2019-04-24,66.6000,66.9630,66.4900,66.5300,66.0005,565400,0.0000,1.0000
2019-04-23,65.6379,67.2000,65.4940,66.5100,65.9806,815500,0.0000,1.0000
2019-04-22,65.0000,65.6300,64.8500,65.4000,64.8795,879600,0.0000,1.0000
2019-04-18,65.3200,65.6400,64.8665,65.2500,64.7306,1267500,0.0000,1.0000
2019-04-17,65.2100,65.4200,64.7600,65.1000,64.5818,883600,0.0000,1.0000
2019-04-16,65.1000,65.2400,64.6900,65.1300,64.6116,413000,0.0000,1.0000
2019-04-15,65.3400,65.5500,64.7400,64.9600,64.4430,641400,0.0000,1.0000
2019-04-12,65.3900,65.5000,64.8300,65.3400,64.8199,791700,0.0000,1.0000
2019-04-11,64.8400,65.4800,64.6700,65.2500,64.7306,658900,0.0000,1.0000
2019-04-10,64.0000,64.7600,63.6300,64.6200,64.1057,675400,0.0000,1.0000
2019-04-09,64.5100,64.7800,63.7484,64.0000,63.4906,551100,0.0000,1.0000
2019-04-08,64.3800,64.8400,63.8700,64.8000,64.2842,477300,0.0000,1.0000
2019-04-05,64.2400,64.7100,63.9800,64.6000,64.0858,740400,0.0000,1.0000
2019-04-04,63.8100,64.2100,63.6300,63.9800,63.4708,789500,0.0000,1.0000
2019-04-03,64.0800,64.3300,63.4700,63.6800,63.1731,1055300,0.0000,1.0000
2019-04-02,64.8500,64.9600,63.5900,63.6400,63.1335,993800,0.0000,1.0000
2019-04-01,64.5000,64.9600,64.1600,64.8900,64.3735,929100,0.0000,1.0000
2019-03-29,64.0500,64.4700,63.7800,64.0900,63.5799,779800,0.0000,1.0000
2019-03-28,63.4900,63.8800,63.1800,63.7300,63.2227,415200,0.0000,1.0000
2019-03-27,63.4500,63.8564,62.8800,63.2700,62.7664,1564800,0.0000,1.0000
2019-03-26,62.7200,63.6700,62.6500,63.3700,62.8656,848800,0.0000,1.0000
