timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,207.2000,208.6900,206.7500,207.8200,207.8200,1317299,0.0000,1.0000
2019-11-12,205.2300,207.7100,204.1800,205.7600,205.7600,1681200,0.0000,1.0000
2019-11-11,202.7700,203.3200,201.5800,202.2900,202.2900,881600,0.0000,1.0000
2019-11-08,203.6000,204.4500,202.3100,203.0000,203.0000,966000,0.0000,1.0000
2019-11-07,201.6400,202.7200,201.0400,202.6000,202.6000,1098200,0.0000,1.0000
2019-11-06,201.1100,201.6000,200.1100,201.1200,201.1200,1084500,0.0000,1.0000
2019-11-05,200.9400,201.4800,198.9500,200.3100,200.3100,1132900,0.0000,1.0000
2019-11-04,201.2500,201.4900,200.1200,200.7600,200.7600,1086100,0.0000,1.0000
2019-11-01,198.8800,200.0500,198.3800,198.8000,198.8000,812200,0.0000,1.0000
2019-10-31,199.1800,199.2500,196.9500,198.3500,198.3500,1303500,0.0000,1.0000
2019-10-30,197.8700,199.5600,196.3000,199.1900,199.1900,1110400,0.0000,1.0000
2019-10-29,197.7700,201.3100,197.1100,199.1100,199.1100,1080100,0.0000,1.0000
2019-10-28,196.3100,196.8900,195.6800,196.7700,196.7700,1216700,0.0000,1.0000
2019-10-25,194.3900,195.4500,194.0400,195.0000,195.0000,1025000,0.0000,1.0000
2019-10-24,194.3100,194.6400,192.6900,192.9900,192.9900,996600,0.0000,1.0000
2019-10-23,193.7600,194.8700,193.1700,193.7000,193.7000,1227900,0.0000,1.0000
2019-10-22,193.0800,193.6800,191.4000,191.4700,191.4700,1429700,0.0000,1.0000
2019-10-21,195.9400,196.0500,194.3300,194.9700,194.9700,927900,0.0000,1.0000
2019-10-18,196.8800,197.2400,194.9400,195.7900,195.7900,1022800,0.0000,1.0000
2019-10-17,197.7600,198.9800,196.5500,196.6400,196.6400,958900,0.0000,1.0000
2019-10-16,197.8000,198.1800,196.1400,196.8500,196.8500,1570400,0.0000,1.0000
2019-10-15,195.7900,198.0300,194.8900,195.1800,195.1800,1519300,0.0000,1.0000
2019-10-14,194.3000,195.3100,192.4600,192.5300,192.5300,1213700,0.0000,1.0000
2019-10-11,192.6800,196.5400,192.3500,194.2500,194.2500,1609600,0.0000,1.0000
2019-10-10,190.2300,192.0600,188.6000,191.2300,191.2300,1486200,0.0000,1.0000
2019-10-09,186.1100,188.0400,185.6800,187.3900,187.3900,1266600,0.0000,1.0000
2019-10-08,187.4400,187.4500,183.7000,184.1100,184.1100,1526600,0.0000,1.0000
2019-10-07,186.0000,190.3400,185.8300,188.5800,188.5800,2744100,0.0000,1.0000
2019-10-04,185.6600,187.3800,184.2200,186.1800,186.1800,1498100,0.0000,1.0000
2019-10-03,183.8600,184.9800,182.2800,184.6400,184.6400,955600,0.0000,1.0000
2019-10-02,185.9300,186.0000,182.0600,184.1100,184.1100,1996200,0.0000,1.0000
2019-10-01,193.9300,194.0200,188.4500,188.5500,188.5500,1127500,0.0000,1.0000
2019-09-30,192.5200,194.2400,192.1800,193.7200,193.7200,1027200,0.0000,1.0000
2019-09-27,192.1600,192.7500,190.5800,191.5500,191.5500,873900,0.0000,1.0000
2019-09-26,193.0400,193.2100,191.4800,192.3000,192.3000,1345600,0.0000,1.0000
2019-09-25,190.6400,192.8700,190.3300,192.2500,192.2500,852100,0.0000,1.0000
2019-09-24,193.1700,193.8400,190.8500,191.5200,191.5200,1539800,0.0000,1.0000
2019-09-23,192.6500,194.0000,192.5500,193.5200,193.5200,859600,0.0000,1.0000
2019-09-20,195.4900,196.2500,193.1000,194.1100,194.1100,2475500,0.0000,1.0000
2019-09-19,195.6900,196.1200,193.9200,194.2400,194.2400,1601500,0.0000,1.0000
2019-09-18,193.4500,193.6700,191.0000,192.6600,192.6600,1694800,0.0000,1.0000
2019-09-17,190.3400,193.2000,189.7500,192.2400,192.2400,1186700,0.0000,1.0000
2019-09-16,191.6000,191.8000,187.7500,188.5200,188.5200,1263900,0.0000,1.0000
2019-09-13,192.4900,193.7100,191.9800,192.1600,192.1600,1717100,0.0000,1.0000
2019-09-12,190.6500,192.6200,189.3200,191.5700,191.5700,1640200,0.0000,1.0000
2019-09-11,185.6700,187.7300,185.1100,187.6100,187.6100,1292100,0.0000,1.0000
2019-09-10,184.1100,185.7200,183.2600,185.7200,185.7200,1788900,0.0000,1.0000
2019-09-09,188.1000,188.4400,185.0300,185.2100,185.2100,2862300,0.0000,1.0000
2019-09-06,188.5200,190.3000,187.9700,189.5200,189.5200,1066700,0.0000,1.0000
2019-09-05,188.7000,189.5000,187.1000,187.1000,187.1000,1911200,0.0000,1.0000
2019-09-04,188.0400,188.9000,186.5100,187.5600,187.5600,1210400,0.0000,1.0000
2019-09-03,187.2700,188.1400,186.2000,187.2300,187.2300,1370200,0.0000,1.0000
2019-08-30,188.5000,189.2400,187.4100,188.9100,188.9100,1686800,0.8750,1.0000
2019-08-29,188.1400,188.4400,187.0700,187.6600,186.7850,1458900,0.0000,1.0000
2019-08-28,184.6900,185.9300,183.8600,184.9700,184.1075,1122700,0.0000,1.0000
2019-08-27,186.1000,186.4000,184.3700,184.7400,183.8786,1477100,0.0000,1.0000
2019-08-26,185.2500,185.4400,183.8300,184.9200,184.0578,1226800,0.0000,1.0000
2019-08-23,185.6400,187.3600,181.6000,184.2600,183.4008,2119700,0.0000,1.0000
2019-08-22,188.5500,189.0000,186.6100,187.1300,186.2575,1446700,0.0000,1.0000
2019-08-21,189.3100,189.9500,188.6100,188.7400,187.8600,1074700,0.0000,1.0000
2019-08-20,188.2300,189.0000,186.3000,187.6900,186.8149,1364200,0.0000,1.0000
2019-08-19,189.2400,190.3300,188.3100,189.1100,188.2282,1232100,0.0000,1.0000
2019-08-16,186.6800,189.1300,185.0684,188.7900,187.9097,1198900,0.0000,1.0000
2019-08-15,185.7100,187.4900,185.0700,186.6400,185.7698,1508300,0.0000,1.0000
2019-08-14,188.8000,190.3200,185.4900,185.6400,184.7744,2441100,0.0000,1.0000
2019-08-13,192.1300,195.6100,191.4898,192.9000,192.0006,1678700,0.0000,1.0000
2019-08-12,193.0200,194.6400,192.0100,192.2000,191.3038,1891100,0.0000,1.0000
2019-08-09,189.9300,192.8000,189.7150,191.9700,191.0749,1600200,0.0000,1.0000
2019-08-08,190.4825,193.4300,190.0000,192.6100,191.7119,1927100,0.0000,1.0000
2019-08-07,187.0500,191.4100,186.6200,190.7800,189.8905,2078900,0.0000,1.0000
2019-08-06,190.3000,190.3300,185.9000,188.7600,187.8799,2352000,0.0000,1.0000
2019-08-05,190.0000,193.0900,189.2200,190.6300,189.7411,3074800,0.0000,1.0000
2019-08-02,188.7800,189.0500,185.8300,187.7100,186.8348,2556900,0.0000,1.0000
2019-08-01,189.6100,193.5000,189.1600,190.4200,189.5321,3762800,0.0000,1.0000
2019-07-31,195.9100,196.1900,188.9900,191.2800,190.3881,4160900,0.0000,1.0000
2019-07-30,195.8100,197.7900,195.7500,196.5000,195.5838,2466300,0.0000,1.0000
2019-07-29,199.7700,200.2100,199.2500,199.7700,198.8385,1468200,0.0000,1.0000
2019-07-26,199.4300,201.1500,199.3200,200.9600,200.0230,1191200,0.0000,1.0000
2019-07-25,200.3900,200.6800,196.5300,199.8900,198.9580,2084900,0.0000,1.0000
2019-07-24,204.0600,204.1900,202.2000,202.7500,201.8046,1102800,0.0000,1.0000
2019-07-23,204.8141,206.8200,204.1900,206.8200,205.8557,1064800,0.0000,1.0000
2019-07-22,204.5900,204.9900,203.1700,203.5800,202.6308,653400,0.0000,1.0000
2019-07-19,202.9900,204.6100,202.6300,203.3800,202.4317,1228300,0.0000,1.0000
2019-07-18,202.8000,203.6800,201.8200,203.6400,202.6905,1013800,0.0000,1.0000
2019-07-17,203.5400,203.8500,201.7600,201.8200,200.8790,986700,0.0000,1.0000
2019-07-16,204.1300,205.5500,202.4500,202.5900,201.6454,1073700,0.0000,1.0000
2019-07-15,204.1900,205.1000,203.7100,204.0700,203.1185,869000,0.0000,1.0000
2019-07-12,203.7600,204.7200,202.9800,203.9800,203.0289,1027600,0.0000,1.0000
2019-07-11,201.4400,203.0389,201.0300,202.8100,201.8643,1225200,0.0000,1.0000
2019-07-10,202.0800,202.6500,201.4600,201.7700,200.8292,1062000,0.0000,1.0000
2019-07-09,202.4200,202.6100,200.7100,200.9700,200.0329,1160700,0.0000,1.0000
2019-07-08,201.0434,203.6400,200.8800,201.6700,200.7297,1277100,0.0000,1.0000
2019-07-05,201.1000,203.1650,200.0950,202.4300,201.4861,1741300,0.0000,1.0000
2019-07-03,202.0124,203.6100,201.7100,203.6100,202.6606,939500,0.0000,1.0000
2019-07-02,202.0100,203.9700,201.5300,203.5400,202.5909,1722400,0.0000,1.0000
2019-07-01,203.0200,203.1900,201.5100,203.0000,202.0535,1113300,0.0000,1.0000
2019-06-28,199.6000,201.7200,199.1200,200.8000,199.8637,6440600,0.0000,1.0000
2019-06-27,198.7000,199.9500,198.4600,199.5300,198.5997,1532100,0.0000,1.0000
2019-06-26,202.0500,202.3100,200.5600,200.6000,199.6647,1369900,0.0000,1.0000
2019-06-25,204.3200,204.3200,202.7188,202.8000,201.8544,1118800,0.0000,1.0000
2019-06-24,202.4900,203.8700,202.0250,203.3800,202.4317,1092500,0.0000,1.0000
2019-06-21,202.6400,202.9900,202.0196,202.1300,201.1875,3770300,0.0000,1.0000
2019-06-20,203.6500,203.7100,201.5000,202.3400,201.3965,1703300,0.0000,1.0000
2019-06-19,202.2400,202.4700,199.1400,200.5900,199.6547,1944700,0.0000,1.0000
2019-06-18,204.1800,204.7600,202.7100,204.0200,203.0687,2006900,0.0000,1.0000
2019-06-17,202.9300,203.6100,201.0400,201.2600,200.3216,1757200,0.0000,1.0000
