timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,385.9400,390.5200,385.0900,387.6900,387.6900,922517,0.0000,1.0000
2019-11-12,381.5600,387.5000,381.5600,386.3000,386.3000,910700,0.0000,1.0000
2019-11-11,379.5100,383.4100,379.3100,381.3800,381.3800,580500,0.0000,1.0000
2019-11-08,377.6000,382.8800,377.6000,381.8600,381.8600,783500,0.0000,1.0000
2019-11-07,380.3400,382.7400,377.9100,378.7500,378.7500,1157200,0.0000,1.0000
2019-11-06,374.4900,379.9300,374.0300,379.7900,379.7900,1505700,0.0000,1.0000
2019-11-05,374.0600,375.7700,371.3100,373.6300,373.6300,1364200,0.0000,1.0000
2019-11-04,379.9300,380.7800,372.1800,374.4800,374.4800,1117500,0.0000,1.0000
2019-11-01,378.1100,380.9500,376.9400,379.1700,379.1700,915600,0.0000,1.0000
2019-10-31,377.9200,380.1800,375.2600,376.6800,376.6800,911600,0.0000,1.0000
2019-10-30,373.2200,378.9900,371.4700,378.6400,378.6400,1064900,0.0000,1.0000
2019-10-29,371.6500,375.2500,370.0400,371.1000,371.1000,1298400,0.0000,1.0000
2019-10-28,371.3900,375.4500,370.1200,371.8400,371.8400,1321700,0.0000,1.0000
2019-10-25,374.3800,374.8900,369.5400,370.7300,370.7300,1173500,0.0000,1.0000
2019-10-24,373.7600,377.4600,372.0000,374.7400,374.7400,1126900,0.0000,1.0000
2019-10-23,373.7800,374.9900,368.7300,373.0900,373.0900,1279700,0.0000,1.0000
2019-10-22,363.0000,377.5000,363.0000,373.6800,373.6800,2567200,0.0000,1.0000
2019-10-21,374.0100,375.8900,372.7300,374.0500,374.0500,1160000,0.0000,1.0000
2019-10-18,376.7200,377.7100,368.0000,372.4800,372.4800,1935600,0.0000,1.0000
2019-10-17,383.5500,384.2100,376.2900,377.0600,377.0600,1004600,0.0000,1.0000
2019-10-16,382.3900,384.3900,380.2300,382.8400,382.8400,851300,0.0000,1.0000
2019-10-15,383.6900,385.7000,382.0700,382.7500,382.7500,835300,0.0000,1.0000
2019-10-14,382.7700,385.3700,381.3900,382.6100,382.6100,622300,0.0000,1.0000
2019-10-11,389.7900,390.7300,381.2500,381.4700,381.4700,1327000,0.0000,1.0000
2019-10-10,383.9900,388.5100,383.2000,386.8800,386.8800,690200,0.0000,1.0000
2019-10-09,384.8300,386.3300,382.5000,384.6100,384.6100,712000,0.0000,1.0000
2019-10-08,381.0600,385.8000,379.2900,382.1200,382.1200,1001300,0.0000,1.0000
2019-10-07,385.0100,386.6800,382.6900,383.7800,383.7800,850100,0.0000,1.0000
2019-10-04,380.2100,385.2400,379.4900,384.9500,384.9500,762200,0.0000,1.0000
2019-10-03,378.8700,381.1900,374.3300,380.0600,380.0600,849800,0.0000,1.0000
2019-10-02,382.7400,383.0600,374.0700,378.1600,378.1600,1759000,0.0000,1.0000
2019-10-01,391.4300,392.4800,383.8900,384.1900,384.1900,1240000,0.0000,1.0000
2019-09-30,388.5600,393.8200,388.4200,390.0600,390.0600,1293200,0.0000,1.0000
2019-09-27,395.9400,395.9500,386.4300,387.8700,387.8700,751800,0.0000,1.0000
2019-09-26,391.2500,394.6400,388.9300,392.9200,392.9200,875400,0.0000,1.0000
2019-09-25,390.5800,390.9000,387.7100,390.4300,390.4300,1336400,0.0000,1.0000
2019-09-24,390.0000,392.9900,387.2100,389.1700,389.1700,1162400,0.0000,1.0000
2019-09-23,388.0700,390.0600,386.1100,387.6700,387.6700,1132200,0.0000,1.0000
