timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,276.5100,280.4600,275.0000,278.0700,278.0700,2954117,0.0000,1.0000
2019-11-12,277.6000,279.5000,275.7700,277.1400,277.1400,2217200,0.0000,1.0000
2019-11-11,273.0800,277.1300,273.0600,277.0000,277.0000,2132600,0.0000,1.0000
2019-11-08,271.7000,274.9500,271.7000,274.8900,274.8900,2241300,0.0000,1.0000
2019-11-07,270.0200,275.0800,269.8600,272.7900,272.7900,4277800,0.0000,1.0000
2019-11-06,270.3000,271.6700,268.8800,269.8600,269.8600,3742900,0.0000,1.0000
2019-11-05,276.5000,276.9500,268.4200,269.0000,269.0000,4717500,0.0000,1.0000
2019-11-04,280.6400,282.2400,275.8100,276.3300,276.3300,3726600,0.0000,1.0000
2019-11-01,279.0000,280.3900,276.1200,279.0500,279.0500,2879900,0.0000,1.0000
2019-10-31,276.3800,279.0900,275.0600,276.8100,276.8100,5355700,0.0000,1.0000
2019-10-30,274.6400,277.4700,273.0000,277.1500,277.1500,3485500,0.0000,1.0000
2019-10-29,277.6000,278.2900,273.0800,274.2900,274.2900,4706700,0.0000,1.0000
2019-10-28,273.2600,275.9300,271.3700,275.9300,275.9300,3796600,0.0000,1.0000
2019-10-25,266.2600,272.1800,265.5600,270.1900,270.1900,2760200,0.0000,1.0000
2019-10-24,263.5600,269.3300,263.5600,268.7500,268.7500,3791900,0.0000,1.0000
2019-10-23,262.6800,264.1900,258.5100,260.8500,260.8500,5367000,0.0000,1.0000
2019-10-22,274.9000,275.3500,261.0100,261.2600,261.2600,5619500,0.0000,1.0000
2019-10-21,271.9300,274.3600,269.5000,274.3000,274.3000,2921200,0.0000,1.0000
2019-10-18,275.2400,276.6800,269.9000,270.6300,270.6300,4052300,0.0000,1.0000
2019-10-17,279.3500,280.4400,275.9300,276.5100,276.5100,2396600,0.0000,1.0000
2019-10-16,277.1000,279.0300,274.8000,278.2700,278.2700,2689400,0.0000,1.0000
2019-10-15,277.2100,279.9600,275.9600,278.5600,278.5600,3006600,0.0000,1.0000
2019-10-14,277.5600,278.5600,275.5600,276.3800,276.3800,2042500,0.0000,1.0000
2019-10-11,276.2000,280.0000,275.1200,275.9100,275.9100,3493000,0.0000,1.0000
2019-10-10,271.5600,274.7100,271.2600,273.8300,273.8300,2194700,0.0000,1.0000
2019-10-09,269.9600,273.1400,269.5000,272.2400,272.2400,2169600,0.0000,1.0000
2019-10-08,269.8200,271.0800,266.5900,267.0700,267.0700,2818900,0.3300,1.0000
2019-10-07,271.3100,273.5000,270.4100,272.1900,271.8600,2861900,0.0000,1.0000
2019-10-04,269.5100,274.4800,269.1600,274.0600,273.7277,2671400,0.0000,1.0000
2019-10-03,264.2500,268.5400,260.4100,268.2900,267.9647,3948100,0.0000,1.0000
2019-10-02,268.1600,268.9400,262.5200,264.4800,264.1594,4308900,0.0000,1.0000
2019-10-01,271.4900,273.6500,270.0400,270.9400,270.6115,3066400,0.0000,1.0000
