timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,27.2000,27.5400,27.0500,27.2900,27.2900,1363694,0.0000,1.0000
2019-11-12,27.6200,27.8200,27.2700,27.3000,27.3000,1846800,0.0000,1.0000
2019-11-11,27.5500,27.8900,27.1400,27.8300,27.8300,1417200,0.0000,1.0000
2019-11-08,28.4600,28.4600,27.6300,27.7400,27.7400,1812600,0.0000,1.0000
2019-11-07,28.6500,28.7300,28.1800,28.5000,28.5000,1638900,0.7500,1.0000
2019-11-06,29.0000,29.3600,28.5200,29.0300,28.2800,1616700,0.0000,1.0000
2019-11-05,29.3500,29.7400,28.8900,29.0000,28.2508,1798000,0.0000,1.0000
2019-11-04,28.3000,29.5500,28.1000,29.3600,28.6015,2697200,0.0000,1.0000
2019-11-01,27.6000,28.1900,27.5100,28.1900,27.4617,2909800,0.0000,1.0000
2019-10-31,28.2200,28.2200,26.9100,27.5000,26.7895,2752100,0.0000,1.0000
2019-10-30,28.0100,28.1400,26.8700,27.3600,26.6531,3372400,0.0000,1.0000
2019-10-29,28.5000,28.6000,27.9100,27.9900,27.2669,1957900,0.0000,1.0000
2019-10-28,28.5000,28.7900,28.3200,28.4500,27.7150,1124800,0.0000,1.0000
2019-10-25,27.8600,28.6200,27.6800,28.5000,27.7637,1322100,0.0000,1.0000
2019-10-24,29.0000,29.0000,27.8300,28.0000,27.2766,1856400,0.0000,1.0000
2019-10-23,29.2300,29.4500,28.8300,28.9400,28.1923,1613100,0.0000,1.0000
2019-10-22,28.3800,29.4200,27.8100,29.2300,28.4748,2056300,0.0000,1.0000
2019-10-21,27.5200,28.4100,27.5200,28.2600,27.5299,2312300,0.0000,1.0000
2019-10-18,27.5200,27.6700,27.2000,27.4000,26.6921,1295600,0.0000,1.0000
2019-10-17,27.4000,27.9500,27.4000,27.6100,26.8967,1847300,0.0000,1.0000
2019-10-16,27.5300,27.7700,27.3000,27.4400,26.7311,1811800,0.0000,1.0000
2019-10-15,27.6100,27.6700,27.2100,27.3900,26.6824,2243500,0.0000,1.0000
2019-10-14,27.9200,27.9800,27.1100,27.6300,26.9162,1361400,0.0000,1.0000
2019-10-11,27.7000,28.8800,27.6100,27.9800,27.2571,1909300,0.0000,1.0000
2019-10-10,27.7200,28.1300,27.2700,27.5100,26.7993,1784300,0.0000,1.0000
2019-10-09,27.9900,28.0700,27.1100,27.6400,26.9259,1884800,0.0000,1.0000
2019-10-08,28.4500,28.6500,27.5000,27.6800,26.9649,2098000,0.0000,1.0000
2019-10-07,28.9100,29.0200,28.6000,28.7400,27.9975,1433800,0.0000,1.0000
2019-10-04,29.2800,29.5400,28.5400,29.0100,28.2605,1210500,0.0000,1.0000
2019-10-03,29.3200,29.4600,28.5800,29.2800,28.5235,2248100,0.0000,1.0000
2019-10-02,29.9000,29.9700,28.7400,29.4000,28.6404,2443400,0.0000,1.0000
2019-10-01,31.5100,31.7700,29.9700,30.0900,29.3126,2298100,0.0000,1.0000
2019-09-30,32.3600,32.4800,31.5600,31.5900,30.7739,1768400,0.0000,1.0000
2019-09-27,32.2800,32.6600,32.0100,32.3100,31.4753,897200,0.0000,1.0000
2019-09-26,31.9800,32.3400,31.3800,32.2400,31.4071,1202000,0.0000,1.0000
2019-09-25,31.5400,32.2600,31.5400,32.0500,31.2220,1008000,0.0000,1.0000
2019-09-24,32.4000,32.5400,31.5900,31.6300,30.8128,1539400,0.0000,1.0000
2019-09-23,32.1500,32.6000,31.8100,32.3900,31.5532,1152900,0.0000,1.0000
2019-09-20,32.4300,33.2300,32.3000,32.4200,31.5824,2767400,0.0000,1.0000
2019-09-19,32.4800,32.6200,32.1100,32.3300,31.4947,1080600,0.0000,1.0000
2019-09-18,32.2300,32.5000,32.0300,32.3100,31.4753,1532900,0.0000,1.0000
2019-09-17,33.3200,33.3300,31.9000,32.2700,31.4363,2646300,0.0000,1.0000
2019-09-16,33.2300,33.3900,32.7700,33.3300,32.4689,1753500,0.0000,1.0000
2019-09-13,33.2000,33.7500,32.6800,33.2300,32.3715,2643300,0.0000,1.0000
2019-09-12,34.0200,34.0200,32.3100,33.3300,32.4689,2474300,0.0000,1.0000
2019-09-11,33.7000,34.1300,32.6100,33.8900,33.0144,2775000,0.0000,1.0000
2019-09-10,31.6900,33.6600,31.6400,33.6600,32.7904,4838500,0.0000,1.0000
2019-09-09,30.2500,31.8200,30.1100,31.7500,30.9297,2984900,0.0000,1.0000
2019-09-06,29.7000,30.3300,29.4700,30.2000,29.4198,1915500,0.0000,1.0000
2019-09-05,28.9000,29.8900,28.8000,29.8000,29.0301,2643500,0.0000,1.0000
2019-09-04,28.8000,29.4300,28.8000,28.9000,28.1534,1632500,0.0000,1.0000
2019-09-03,28.3200,28.6500,28.0600,28.5600,27.8221,1246700,0.0000,1.0000
2019-08-30,28.2000,28.5800,28.1500,28.5300,27.7929,1317400,0.0000,1.0000
2019-08-29,28.4500,28.5800,28.0600,28.2000,27.4714,1196900,0.0000,1.0000
2019-08-28,27.6200,28.3300,27.5400,28.2800,27.5494,1397500,0.0000,1.0000
2019-08-27,28.2100,28.2300,27.6200,27.7600,27.0428,2010400,0.0000,1.0000
2019-08-26,28.1600,28.1600,27.6900,28.0400,27.3156,1216800,0.0000,1.0000
2019-08-23,28.7100,28.8100,27.7900,27.8800,27.1597,1666700,0.0000,1.0000
2019-08-22,27.7500,29.0900,27.7500,28.8600,28.1144,3570700,0.0000,1.0000
2019-08-21,28.1800,28.3500,27.6700,27.6700,26.9551,2416700,0.0000,1.0000
2019-08-20,29.0000,29.1900,27.9800,28.0000,27.2766,2839800,0.0000,1.0000
2019-08-19,29.5100,29.6700,28.9200,29.0900,28.3384,1892400,0.0000,1.0000
2019-08-16,29.3100,30.6500,29.1300,29.3000,28.5430,2012900,0.7500,1.0000
2019-08-15,30.6200,30.6500,29.6000,29.8800,28.3774,3286500,0.0000,1.0000
2019-08-14,30.1400,30.2400,28.8700,29.9100,28.4059,2739900,0.0000,1.0000
2019-08-13,30.4500,31.1400,30.3200,30.4400,28.9093,1286800,0.0000,1.0000
2019-08-12,30.6200,31.0500,30.1000,30.3900,28.8618,1159000,0.0000,1.0000
2019-08-09,30.8500,30.9500,30.1700,30.5000,28.9662,1872900,0.0000,1.0000
2019-08-08,31.0900,31.1400,30.6800,30.9800,29.4221,1570900,0.0000,1.0000
2019-08-07,30.7700,31.2400,30.3300,31.0900,29.5266,1592300,0.0000,1.0000
2019-08-06,31.1900,31.5300,30.8400,30.9300,29.3746,2041200,0.0000,1.0000
2019-08-05,32.1699,32.2000,30.7500,31.2500,29.6785,2275100,0.0000,1.0000
2019-08-02,32.0000,32.7791,31.9100,32.3700,30.7422,1396700,0.0000,1.0000
2019-08-01,33.8500,34.0000,32.1000,32.2600,30.6377,2178500,0.0000,1.0000
2019-07-31,33.5000,33.7100,32.7100,33.0500,31.3880,3377600,0.0000,1.0000
2019-07-30,33.0100,33.4700,32.6600,33.4700,31.7869,991000,0.0000,1.0000
2019-07-29,32.8000,33.1600,32.6600,33.0400,31.3785,1204700,0.0000,1.0000
2019-07-26,33.0900,33.2500,32.4800,32.7700,31.1221,921500,0.0000,1.0000
2019-07-25,33.2600,33.3600,32.6900,33.0900,31.4260,1295300,0.0000,1.0000
2019-07-24,33.0000,33.4200,32.8400,33.3400,31.6634,1614800,0.0000,1.0000
2019-07-23,32.1500,33.1800,31.9700,32.8300,31.1791,1826300,0.0000,1.0000
2019-07-22,32.2900,32.5600,31.5300,32.0300,30.4193,1983400,0.0000,1.0000
2019-07-19,32.9300,32.9800,31.7200,32.2600,30.6377,2140400,0.0000,1.0000
2019-07-18,32.7900,33.0000,32.0300,32.9500,31.2930,1607000,0.0000,1.0000
2019-07-17,33.8300,33.8600,32.6200,32.7900,31.1411,1478500,0.0000,1.0000
2019-07-16,33.5000,34.0400,33.4176,33.6500,31.9578,1693200,0.0000,1.0000
2019-07-15,33.4000,33.8300,33.3300,33.6900,31.9958,1459900,0.0000,1.0000
2019-07-12,33.3100,33.5700,32.9800,33.3700,31.6919,1318600,0.0000,1.0000
2019-07-11,34.0000,34.1500,33.2300,33.3100,31.6349,1711200,0.0000,1.0000
2019-07-10,33.8700,34.1300,33.4300,33.9900,32.2807,1404900,0.0000,1.0000
2019-07-09,33.4300,33.7600,33.2000,33.7000,32.0053,1586400,0.0000,1.0000
2019-07-08,33.5000,33.9500,33.3600,33.6100,31.9198,2009700,0.0000,1.0000
2019-07-05,33.0100,33.4600,32.6700,33.2800,31.6064,1074400,0.0000,1.0000
2019-07-03,33.3800,33.9210,33.0700,33.2700,31.5969,1099300,0.0000,1.0000
2019-07-02,32.6100,33.3300,32.4500,33.2200,31.5495,1829600,0.0000,1.0000
2019-07-01,33.6600,33.9400,31.9300,32.4400,30.8087,2786400,0.0000,1.0000
2019-06-28,33.3900,33.7700,33.0300,33.4900,31.8059,2450200,0.0000,1.0000
2019-06-27,32.5000,33.7400,32.5000,33.4400,31.7584,2389000,0.0000,1.0000
2019-06-26,32.5800,32.7200,32.0400,32.2000,30.5808,1569400,0.0000,1.0000
2019-06-25,32.9400,33.3900,32.6400,32.7300,31.0841,1679800,0.0000,1.0000
2019-06-24,33.8822,33.8850,32.6800,32.9400,31.2835,1662200,0.0000,1.0000
2019-06-21,34.0300,34.1000,33.2500,33.7700,32.0718,3029400,0.0000,1.0000
2019-06-20,35.2300,35.3050,33.7400,34.1000,32.3852,2800600,0.0000,1.0000
2019-06-19,35.1500,35.4400,34.5502,34.9700,33.2115,1776600,0.0000,1.0000
2019-06-18,35.4700,35.9400,35.0100,35.1300,33.3634,1366000,0.0000,1.0000
2019-06-17,34.6100,35.3000,34.6100,35.1400,33.3729,1289200,0.0000,1.0000
2019-06-14,35.1800,35.3000,34.5200,34.5300,32.7936,1067800,0.0000,1.0000
2019-06-13,35.2500,35.7300,34.9700,35.2400,33.4679,1763100,0.0000,1.0000
2019-06-12,34.8200,35.2200,34.3900,34.7600,33.0120,1363700,0.0000,1.0000
2019-06-11,35.3800,35.6200,34.6421,34.7400,32.9930,2724500,0.0000,1.0000
2019-06-10,35.6000,35.8800,34.9300,35.1500,33.3824,3111500,0.0000,1.0000
2019-06-07,35.9900,36.1150,35.2800,35.4300,33.6483,3083500,0.0000,1.0000
2019-06-06,37.2600,37.3050,35.8902,35.9100,34.1042,2157300,0.0000,1.0000
2019-06-05,37.5200,37.8200,36.8800,37.3100,35.4338,2337100,0.0000,1.0000
2019-06-04,36.7500,37.2400,36.3700,37.1100,35.2438,1233000,0.0000,1.0000
2019-06-03,36.3200,36.8900,36.0100,36.7100,34.8640,1620700,0.0000,1.0000
2019-05-31,36.5700,36.7200,35.0900,36.3300,34.5031,2666300,0.0000,1.0000
2019-05-30,37.4200,37.9589,36.8350,36.9400,35.0824,1424500,0.0000,1.0000
2019-05-29,39.4200,39.5355,36.8300,37.1300,35.2628,2721400,0.0000,1.0000
2019-05-28,40.6500,40.7600,39.4100,39.4600,37.4757,1482700,0.0000,1.0000
2019-05-24,40.5100,40.7060,39.8200,40.4100,38.3779,684200,0.0000,1.0000
2019-05-23,40.2800,40.4500,39.6000,40.2700,38.2449,1402100,0.0000,1.0000
2019-05-22,41.5200,41.5600,40.5600,40.5900,38.5488,995900,0.0000,1.0000
2019-05-21,40.7900,41.5883,40.6400,41.5400,39.4511,903500,0.0000,1.0000
2019-05-20,41.7400,41.8250,40.6200,40.6500,38.6058,815100,0.0000,1.0000
2019-05-17,41.7100,42.0500,41.4700,41.7400,39.6410,748600,0.0000,1.0000
2019-05-16,42.4800,42.7800,41.9100,41.9600,39.8499,600700,0.0000,1.0000
2019-05-15,42.1500,42.7950,41.9000,42.4900,40.3533,898400,0.0000,1.0000
2019-05-14,41.8800,42.2000,41.4000,42.0700,39.9544,1149000,0.0000,1.0000
2019-05-13,41.1900,41.8100,41.0810,41.5900,39.4986,1262900,0.0000,1.0000
2019-05-10,40.5500,41.6201,40.3500,41.6000,39.5080,885600,0.0000,1.0000
2019-05-09,40.6000,40.7600,39.7500,40.5900,38.5488,929000,0.0000,1.0000
2019-05-08,40.4600,41.3500,40.4600,40.7500,38.7008,1008200,0.0000,1.0000
2019-05-07,41.6300,41.6300,40.2300,40.5100,38.4729,1143700,0.7500,1.0000
2019-05-06,41.7000,42.5300,41.2700,42.3600,39.5175,1039000,0.0000,1.0000
2019-05-03,41.4300,41.9500,40.8300,41.8200,39.0138,978000,0.0000,1.0000
2019-05-02,40.7900,41.9250,40.4986,41.2200,38.4540,1888600,0.0000,1.0000
2019-05-01,40.1600,40.9450,39.9400,40.0200,37.3346,1762100,0.0000,1.0000
2019-04-30,41.3600,41.4300,39.8700,40.1400,37.4465,2340800,0.0000,1.0000
2019-04-29,41.0700,41.5000,40.8000,41.3500,38.5753,1450000,0.0000,1.0000
2019-04-26,40.8500,41.1400,40.5400,41.0700,38.3141,1082400,0.0000,1.0000
2019-04-25,40.9600,41.2500,40.4909,40.5900,37.8663,694100,0.0000,1.0000
2019-04-24,41.3800,41.9100,41.1500,41.1900,38.4261,704700,0.0000,1.0000
2019-04-23,40.5100,41.4000,40.4400,41.2300,38.4634,862500,0.0000,1.0000
2019-04-22,41.2900,41.2980,39.7100,40.3500,37.6424,1836300,0.0000,1.0000
2019-04-18,40.9900,41.7300,40.8800,41.4600,38.6779,723000,0.0000,1.0000
2019-04-17,41.1600,41.4900,40.4900,41.0600,38.3048,1346800,0.0000,1.0000
2019-04-16,42.8400,43.1400,40.0300,41.0400,38.2861,2709800,0.0000,1.0000
2019-04-15,43.6900,43.7800,42.8800,43.0000,40.1146,760000,0.0000,1.0000
2019-04-12,43.0200,43.5600,42.8900,43.5200,40.5997,1000300,0.0000,1.0000
2019-04-11,43.4900,43.7900,42.8700,43.0800,40.1892,530800,0.0000,1.0000
2019-04-10,43.6400,43.8400,42.8200,43.4000,40.4878,814700,0.0000,1.0000
2019-04-09,43.6200,43.7300,43.0000,43.4200,40.5064,888800,0.0000,1.0000
2019-04-08,44.2700,44.7300,43.5900,43.6300,40.7023,464300,0.0000,1.0000
2019-04-05,43.8700,44.2900,43.7550,44.2200,41.2527,580600,0.0000,1.0000
2019-04-04,43.6000,43.9100,43.4400,43.8000,40.8609,421300,0.0000,1.0000
2019-04-03,43.5800,43.9100,43.4200,43.5900,40.6650,584700,0.0000,1.0000
2019-04-02,43.1300,43.6800,42.6600,43.5700,40.6464,900700,0.0000,1.0000
2019-04-01,43.3800,43.4100,42.5300,43.1100,40.2172,989000,0.0000,1.0000
2019-03-29,43.5500,43.9000,43.2400,43.3500,40.4411,1004000,0.0000,1.0000
2019-03-28,43.3300,43.5500,42.8700,43.4100,40.4971,1426900,0.0000,1.0000
2019-03-27,44.0700,44.2900,43.3279,43.3500,40.4411,1179200,0.0000,1.0000
2019-03-26,43.4500,44.2500,43.1200,44.0700,41.1128,950900,0.0000,1.0000
2019-03-25,43.7800,43.8050,43.1900,43.2100,40.3105,1191900,0.0000,1.0000
2019-03-22,43.8700,44.2300,43.6700,43.7800,40.8423,603500,0.0000,1.0000
2019-03-21,42.8300,44.0300,42.8100,43.8100,40.8702,1083000,0.0000,1.0000
2019-03-20,42.7800,43.1121,42.2000,42.9100,40.0306,754200,0.0000,1.0000
2019-03-19,42.6800,42.8500,42.4800,42.7000,39.8347,648100,0.0000,1.0000
2019-03-18,42.8400,43.0500,42.4200,42.6200,39.7601,859400,0.0000,1.0000
2019-03-15,43.3896,43.4300,42.4800,42.6300,39.7694,1658700,0.0000,1.0000
2019-03-14,43.4700,43.6800,42.9600,43.3800,40.4691,1011500,0.0000,1.0000
2019-03-13,43.3518,43.6400,43.2800,43.4500,40.5344,1210300,0.0000,1.0000
2019-03-12,42.9200,43.3900,42.7300,43.2400,40.3385,724700,0.0000,1.0000
2019-03-11,42.1500,42.8000,41.9400,42.7900,39.9187,927000,0.0000,1.0000
2019-03-08,42.4400,42.7050,41.9150,42.0000,39.1817,837300,0.0000,1.0000
2019-03-07,42.9300,43.1150,42.3400,42.5500,39.6948,1009400,0.0000,1.0000
2019-03-06,43.0800,43.4450,42.8450,42.9200,40.0400,745100,0.0000,1.0000
2019-03-05,42.8800,43.4300,42.8050,43.1300,40.2359,792200,0.0000,1.0000
2019-03-04,43.1600,43.4200,42.2200,42.9400,40.0586,1261800,0.0000,1.0000
2019-03-01,43.5200,43.7090,42.0200,42.9500,40.0680,1430700,0.0000,1.0000
2019-02-28,42.9873,43.7800,42.7300,43.6000,40.6743,1874500,0.0000,1.0000
2019-02-27,42.9400,43.3384,42.5300,42.8600,39.9840,965900,0.0000,1.0000
2019-02-26,44.0200,44.0400,43.1500,43.1900,40.2919,650300,0.0000,1.0000
2019-02-25,43.9400,44.0900,43.7350,43.9000,40.9542,1143200,0.0000,1.0000
2019-02-22,44.1400,44.3100,43.6650,43.7600,40.8236,891400,0.0000,1.0000
2019-02-21,43.3300,44.0000,43.3100,43.9600,41.0102,1385000,0.0000,1.0000
2019-02-20,43.5200,43.6120,43.1300,43.5200,40.5997,1335900,0.7500,1.0000
2019-02-19,43.7100,44.2700,43.6900,44.2000,40.5344,1415300,0.0000,1.0000
2019-02-15,43.8138,43.8600,43.4700,43.6900,40.0667,1185400,0.0000,1.0000
2019-02-14,43.9600,44.0200,43.3800,43.5200,39.9108,1170800,0.0000,1.0000
2019-02-13,43.8600,44.2950,43.7100,44.2200,40.5527,617000,0.0000,1.0000
2019-02-12,43.9800,44.1800,43.5400,43.8300,40.1951,1182000,0.0000,1.0000
2019-02-11,43.1800,43.8800,42.9400,43.7700,40.1401,1969200,0.0000,1.0000
2019-02-08,42.4400,43.5800,42.4400,43.2400,39.6540,2466200,0.0000,1.0000
2019-02-07,43.6800,43.7500,41.6300,42.8300,39.2780,3285000,0.0000,1.0000
2019-02-06,45.4100,45.6650,44.7000,44.8700,41.1488,1414900,0.0000,1.0000
2019-02-05,45.5600,45.6100,44.9700,45.4900,41.7174,1489800,0.0000,1.0000
2019-02-04,45.4900,45.7950,45.1000,45.4800,41.7083,1238300,0.0000,1.0000
2019-02-01,46.3700,46.7200,44.8000,45.6100,41.8275,1412500,0.0000,1.0000
2019-01-31,46.4400,46.5700,45.7100,46.1600,42.3319,4079900,0.0000,1.0000
2019-01-30,46.4000,47.0500,46.1950,46.4400,42.5886,1471500,0.0000,1.0000
2019-01-29,46.4400,46.6700,46.1750,46.3400,42.4969,1446300,0.0000,1.0000
2019-01-28,46.0202,46.9000,45.9600,46.5000,42.6437,1701100,0.0000,1.0000
2019-01-25,45.3100,46.1800,44.9700,46.1400,42.3135,1272700,0.0000,1.0000
2019-01-24,44.9900,45.1500,44.5700,44.9900,41.2589,764500,0.0000,1.0000
2019-01-23,45.0000,45.2300,44.4000,44.8100,41.0938,1064600,0.0000,1.0000
2019-01-22,46.2900,46.2900,44.9700,45.2400,41.4882,1062700,0.0000,1.0000
2019-01-18,45.9100,46.4000,45.8400,46.2800,42.4419,745900,0.0000,1.0000
2019-01-17,45.4500,45.9500,44.8900,45.9400,42.1301,1662500,0.0000,1.0000
2019-01-16,45.7900,46.1300,45.4266,45.6200,41.8366,1283300,0.0000,1.0000
2019-01-15,45.1800,45.8400,45.1800,45.8000,42.0017,1006700,0.0000,1.0000
2019-01-14,45.2400,45.5700,44.8700,45.0600,41.3231,961500,0.0000,1.0000
2019-01-11,46.0100,46.0800,45.2904,45.4500,41.6807,1015200,0.0000,1.0000
2019-01-10,45.2900,46.4250,45.2900,45.9900,42.1760,1362800,0.0000,1.0000
2019-01-09,46.5000,46.6396,45.9950,46.4600,42.6070,774400,0.0000,1.0000
2019-01-08,45.6400,46.7000,45.4296,46.5100,42.6528,1083600,0.0000,1.0000
2019-01-07,44.3300,45.8200,44.3300,45.4000,41.6349,1357800,0.0000,1.0000
2019-01-04,43.8000,44.5850,43.8000,44.2300,40.5619,1039800,0.0000,1.0000
