timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,132.2300,133.8550,131.5800,133.6500,133.6500,1251153,0.0000,1.0000
2019-11-12,132.1600,134.2400,132.0100,132.5300,132.5300,1365100,0.0000,1.0000
2019-11-11,132.2500,132.4300,130.8300,131.7500,131.7500,1282700,0.0000,1.0000
2019-11-08,132.8400,133.4000,131.9800,133.2000,133.2000,1020300,0.0000,1.0000
2019-11-07,132.5500,134.1400,132.0400,133.0600,133.0600,1651900,0.0000,1.0000
2019-11-06,133.4200,133.7700,131.7400,132.5800,132.5800,1678200,0.0000,1.0000
2019-11-05,128.0100,134.3200,127.7500,133.6900,133.6900,3577700,0.0000,1.0000
2019-11-04,128.8600,130.5600,127.4700,130.1600,130.1600,2225900,0.0000,1.0000
2019-11-01,128.2400,129.1200,126.9400,128.0800,128.0800,1633400,0.0000,1.0000
2019-10-31,125.9600,126.8400,124.7300,126.5500,126.5500,1500000,0.0000,1.0000
2019-10-30,126.3700,126.9600,124.7100,126.4400,126.4400,931700,0.0000,1.0000
2019-10-29,126.7700,127.1700,125.5400,126.5300,126.5300,1229000,0.0000,1.0000
2019-10-28,126.0300,126.7600,125.1400,126.6000,126.6000,1017100,0.0000,1.0000
2019-10-25,123.7700,126.7200,123.7700,126.1800,126.1800,1364600,0.0000,1.0000
2019-10-24,123.9300,124.6500,122.8600,124.3000,124.3000,1335500,0.0000,1.0000
2019-10-23,121.4600,123.6700,121.0200,123.4900,123.4900,1446400,0.0000,1.0000
2019-10-22,122.6200,123.0100,121.8500,122.0500,122.0500,1722600,0.0000,1.0000
2019-10-21,122.2600,123.4000,121.9100,123.0000,123.0000,1820900,0.0000,1.0000
2019-10-18,120.4000,121.4000,118.9600,121.0500,121.0500,1437500,0.0000,1.0000
2019-10-17,120.8100,121.7300,120.3500,120.5700,120.5700,967300,0.0000,1.0000
2019-10-16,121.1800,121.7000,120.3400,121.0900,121.0900,1097300,0.0000,1.0000
2019-10-15,120.3300,121.7100,120.2900,121.1100,121.1100,905700,0.0000,1.0000
2019-10-14,120.7900,121.2100,119.3700,120.1000,120.1000,1065200,0.0000,1.0000
2019-10-11,119.7300,122.3100,119.0300,121.1800,121.1800,1828800,0.0000,1.0000
2019-10-10,118.5700,119.8400,117.6700,118.1900,118.1900,1683300,0.0000,1.0000
2019-10-09,118.5900,119.0600,117.2500,118.4900,118.4900,1454300,0.0000,1.0000
2019-10-08,118.2000,118.9300,116.8500,117.6700,117.6700,1717700,0.0000,1.0000
2019-10-07,120.0800,120.7100,118.8800,119.2000,119.2000,1707000,0.0000,1.0000
2019-10-04,119.9600,121.0200,119.6000,120.8600,120.8600,1909000,0.0000,1.0000
2019-10-03,120.2900,120.6800,118.5300,119.0200,119.0200,2329100,0.0000,1.0000
2019-10-02,122.3000,122.3000,119.6000,120.3300,120.3300,1859100,0.0000,1.0000
