timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,143.8200,147.2100,142.6800,145.7000,145.7000,1552275,0.0000,1.0000
2019-11-12,141.4600,145.9600,141.1000,144.8300,144.8300,2283400,0.0000,1.0000
2019-11-11,138.9500,140.3900,137.8100,140.3400,140.3400,1325300,0.0000,1.0000
2019-11-08,136.7700,140.3500,136.4100,140.2000,140.2000,939800,0.0000,1.0000
2019-11-07,137.9100,140.5100,136.8300,137.3100,137.3100,1130300,0.0000,1.0000
2019-11-06,138.0300,138.7900,135.2900,135.6500,135.6500,1199200,0.0000,1.0000
2019-11-05,138.1700,142.6800,137.6500,137.7700,137.7700,3066500,0.0000,1.0000
2019-11-04,137.2800,138.2700,134.1000,137.6000,137.6000,1325200,0.0000,1.0000
2019-11-01,134.0200,137.5500,133.8100,137.1100,137.1100,2377400,0.0000,1.0000
2019-10-31,135.4500,136.7900,131.4600,133.0000,133.0000,2387100,0.0000,1.0000
2019-10-30,142.4300,145.0000,135.9500,136.7900,136.7900,3098500,0.0000,1.0000
2019-10-29,145.6400,149.5000,144.8300,149.4000,149.4000,1335700,0.0000,1.0000
2019-10-28,146.2200,146.8700,145.2600,145.4800,145.4800,1124600,0.0000,1.0000
2019-10-25,145.0100,146.8100,144.0200,145.9600,145.9600,1163700,0.0000,1.0000
2019-10-24,146.7800,146.9500,143.9000,145.6000,145.6000,1583100,0.0000,1.0000
2019-10-23,145.7400,147.4500,144.7200,146.0600,146.0600,1409600,0.0000,1.0000
2019-10-22,146.6200,148.1000,144.8500,146.9200,146.9200,1043800,0.0000,1.0000
2019-10-21,149.7900,153.3000,144.4000,147.3500,147.3500,3618700,0.0000,1.0000
2019-10-18,149.6400,152.5300,149.3300,152.2600,152.2600,3241900,0.0000,1.0000
2019-10-17,145.1800,151.0600,145.0700,150.5100,150.5100,2492100,0.0000,1.0000
2019-10-16,145.5800,148.5600,142.0000,144.8400,144.8400,3978200,0.0000,1.0000
2019-10-15,135.9100,138.6300,135.1500,138.1700,138.1700,1288400,0.0000,1.0000
2019-10-14,134.7300,135.1900,133.7000,134.1000,134.1000,1164900,0.0000,1.0000
2019-10-11,133.7800,136.1800,133.4100,134.7400,134.7400,904600,0.0000,1.0000
2019-10-10,132.0500,134.4300,131.2200,132.8100,132.8100,883600,0.0000,1.0000
2019-10-09,130.8700,132.7400,130.0200,132.2300,132.2300,999200,0.0000,1.0000
