timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,216.6600,219.9100,216.4300,218.7400,218.7400,513193,0.0000,1.0000
2019-11-12,217.9300,219.7600,217.1100,217.4600,217.4600,469100,0.0000,1.0000
2019-11-11,216.2600,219.1500,215.4300,218.0500,218.0500,440000,0.0000,1.0000
2019-11-08,217.8500,219.2500,216.6100,218.1300,218.1300,467000,0.0000,1.0000
2019-11-07,217.0600,219.0300,215.4100,218.2700,218.2700,609100,0.0000,1.0000
2019-11-06,213.0000,216.5500,212.2700,215.8000,215.8000,882200,0.0000,1.0000
2019-11-05,218.5000,218.6300,211.5000,213.0600,213.0600,965000,0.0000,1.0000
2019-11-04,222.3700,222.4100,217.7100,218.0000,218.0000,558800,0.0000,1.0000
2019-11-01,222.4500,223.8200,220.0800,220.5000,220.5000,569100,0.0000,1.0000
2019-10-31,218.0400,222.4400,218.0400,220.6900,220.6900,669700,0.0000,1.0000
2019-10-30,222.1900,222.1900,212.1300,218.2400,218.2400,1124800,0.0000,1.0000
2019-10-29,217.3700,221.4200,217.0500,220.4000,220.4000,1072400,0.0000,1.0000
2019-10-28,217.0000,217.9200,215.9500,216.2900,216.2900,494600,0.0000,1.0000
2019-10-25,215.3400,217.3700,215.3400,216.0100,216.0100,391700,0.0000,1.0000
2019-10-24,213.2000,216.1800,212.5300,215.5800,215.5800,348800,0.0000,1.0000
2019-10-23,212.9200,213.5200,209.7500,211.9700,211.9700,975500,0.0000,1.0000
2019-10-22,219.2100,219.6700,213.0300,213.2000,213.2000,462600,0.0000,1.0000
2019-10-21,218.2700,219.4000,216.9600,219.2900,219.2900,476500,0.0000,1.0000
2019-10-18,218.1400,218.7600,215.7700,217.3000,217.3000,608900,0.0000,1.0000
2019-10-17,217.5000,219.1500,216.9100,218.7700,218.7700,430000,0.0000,1.0000
2019-10-16,217.8800,217.8800,214.5100,217.1500,217.1500,511500,0.0000,1.0000
2019-10-15,215.9300,219.1200,215.4600,218.6900,218.6900,664200,0.0000,1.0000
2019-10-14,213.9400,215.9200,213.2000,214.4700,214.4700,835100,0.0000,1.0000
2019-10-11,215.0000,216.2700,213.7700,214.1000,214.1000,873000,0.0000,1.0000
2019-10-10,209.1900,212.7300,208.7600,211.0500,211.0500,474400,0.0000,1.0000
2019-10-09,208.1000,210.6700,207.2400,209.6500,209.6500,570200,0.0000,1.0000
2019-10-08,206.7900,208.8500,203.7400,205.7600,205.7600,1085700,0.0000,1.0000
2019-10-07,204.8300,210.1200,204.8300,208.2100,208.2100,1016700,0.0000,1.0000
2019-10-04,200.0800,203.6700,199.8300,203.5600,203.5600,522200,0.0000,1.0000
2019-10-03,197.1700,200.0700,195.5700,199.5600,199.5600,665200,0.0000,1.0000
2019-10-02,199.8500,200.8400,196.3300,196.8100,196.8100,1327000,0.0000,1.0000
2019-10-01,205.4800,205.8900,201.3800,201.4900,201.4900,891200,0.0000,1.0000
2019-09-30,205.0000,207.9500,204.4800,204.8300,204.8300,933600,0.0000,1.0000
2019-09-27,215.4400,215.7400,203.2100,205.8800,205.8800,1727400,0.0000,1.0000
2019-09-26,213.8300,214.4300,211.7100,213.1800,213.1800,702100,0.0000,1.0000
2019-09-25,210.8700,214.2800,210.3300,213.7300,213.7300,722100,0.0000,1.0000
2019-09-24,216.1700,217.0000,210.4800,210.5800,210.5800,1608000,0.0000,1.0000
2019-09-23,215.4800,215.4900,212.0500,215.3800,215.3800,1068600,0.0000,1.0000
2019-09-20,217.6200,217.6200,213.6500,214.0800,214.0800,1520800,0.0000,1.0000
2019-09-19,216.2500,218.0600,215.5800,216.5700,216.5700,1140800,0.0000,1.0000
2019-09-18,218.9000,218.9000,213.2900,216.7600,216.7600,1302000,0.0000,1.0000
2019-09-17,213.8200,218.5600,213.7500,218.1600,218.1600,638700,0.0000,1.0000
