timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,52.0800,52.8250,51.8400,52.7000,52.7000,3574213,0.0000,1.0000
2019-11-12,52.0500,52.1600,51.8400,52.0700,52.0700,3544000,0.0000,1.0000
2019-11-11,51.6300,51.9900,51.6300,51.8000,51.8000,3506400,0.0000,1.0000
2019-11-08,51.8200,51.9600,51.5100,51.7300,51.7300,3521300,0.0000,1.0000
2019-11-07,52.1700,52.2800,51.6000,51.7400,51.7400,6795600,0.0000,1.0000
2019-11-06,51.8900,52.5500,51.7700,52.2200,52.2200,5478400,0.0000,1.0000
2019-11-05,51.8700,51.9400,51.4200,51.7000,51.7000,5747600,0.0000,1.0000
2019-11-04,52.0900,52.2200,51.5000,51.7400,51.7400,6019200,0.0000,1.0000
2019-11-01,52.6700,52.8300,51.9500,52.0300,52.0300,4841900,0.0000,1.0000
2019-10-31,52.2400,52.8600,51.9900,52.4500,52.4500,5774600,0.0000,1.0000
2019-10-30,51.7700,52.9200,51.2600,52.0300,52.0300,17324000,0.0000,1.0000
2019-10-29,52.5600,53.1300,52.2800,52.8300,52.8300,8126700,0.0000,1.0000
2019-10-28,52.6500,53.0400,52.2400,52.4100,52.4100,7759700,0.0000,1.0000
2019-10-25,53.0900,53.1200,52.3500,52.7700,52.7700,5964300,0.0000,1.0000
2019-10-24,52.7700,53.0600,52.0900,53.0400,53.0400,5610300,0.0000,1.0000
2019-10-23,52.5700,52.9500,52.5000,52.6500,52.6500,6597500,0.0000,1.0000
2019-10-22,53.5100,53.8500,52.3900,52.7100,52.7100,7910400,0.0000,1.0000
2019-10-21,54.7900,54.8200,53.5200,53.5700,53.5700,5798600,0.0000,1.0000
2019-10-18,54.7700,54.8700,54.4600,54.4800,54.4800,5027500,0.0000,1.0000
2019-10-17,54.7800,54.8600,54.4400,54.6300,54.6300,4719700,0.0000,1.0000
2019-10-16,54.0100,54.4000,53.7700,54.2700,54.2700,4969300,0.0000,1.0000
2019-10-15,54.4200,54.5900,54.0100,54.0400,54.0400,3825900,0.0000,1.0000
2019-10-14,54.7100,55.1600,54.1900,54.2200,54.2200,4574400,0.0000,1.0000
2019-10-11,55.6700,55.6900,54.8000,54.8200,54.8200,4810000,0.0000,1.0000
2019-10-10,54.8300,55.7400,54.7700,55.4100,55.4100,4393900,0.0000,1.0000
2019-10-09,55.0400,55.1300,54.4200,54.9500,54.9500,3460100,0.0000,1.0000
2019-10-08,54.9200,55.2000,54.5300,54.5600,54.5600,5168200,0.0000,1.0000
2019-10-07,55.6800,55.8100,54.9800,55.0700,55.0700,6075400,0.0000,1.0000
2019-10-04,54.7800,56.0600,54.7200,55.9800,55.9800,5952400,0.0000,1.0000
2019-10-03,54.2300,54.8100,53.6800,54.5200,54.5200,5163300,0.0000,1.0000
2019-10-02,54.5200,54.6200,53.7800,53.9800,53.9800,6507000,0.0000,1.0000
2019-10-01,55.3300,55.5800,54.6100,54.6400,54.6400,5420500,0.0000,1.0000
2019-09-30,55.3800,55.8200,55.2500,55.3200,55.3200,4408100,0.0000,1.0000
2019-09-27,55.4500,55.6200,55.0300,55.3900,55.3900,6598400,0.2850,1.0000
2019-09-26,55.5000,55.8000,55.2600,55.6900,55.4050,4281000,0.0000,1.0000
2019-09-25,55.1000,55.4100,54.9200,55.1900,54.9076,4330900,0.0000,1.0000
2019-09-24,55.0000,55.6000,54.7300,55.0500,54.7683,6345500,0.0000,1.0000
