timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,108.7000,109.2450,108.3400,109.0100,109.0100,2167783,0.0000,1.0000
2019-11-12,108.5200,108.9900,108.1300,108.6300,108.6300,2413500,0.0000,1.0000
2019-11-11,107.7200,108.7400,107.0600,107.9600,107.9600,3090400,0.0000,1.0000
2019-11-08,107.1200,107.5900,106.6600,107.0300,107.0300,2312800,0.0000,1.0000
2019-11-07,107.3500,107.4800,106.0200,106.8000,106.8000,2630200,0.0000,1.0000
2019-11-06,105.7600,107.2800,105.5300,106.8700,106.8700,3654000,0.0000,1.0000
2019-11-05,106.9400,106.9600,104.8600,105.5300,105.5300,4135600,0.0000,1.0000
2019-11-04,109.0000,109.0000,106.9700,107.1500,107.1500,3524800,0.0000,1.0000
2019-11-01,109.2000,110.2000,108.4100,108.5700,108.5700,3844200,0.0000,1.0000
2019-10-31,108.3900,109.2500,107.7200,108.9000,108.9000,3999200,0.0000,1.0000
2019-10-30,107.5500,108.7400,106.9100,108.5500,108.5500,3064900,0.0000,1.0000
2019-10-29,105.9200,107.9200,105.6000,107.5500,107.5500,3587000,0.0000,1.0000
2019-10-28,105.4500,106.3400,105.1100,106.2200,106.2200,2651100,0.0000,1.0000
2019-10-25,105.5900,105.7000,104.6400,105.4400,105.4400,2671900,0.0000,1.0000
2019-10-24,105.7300,106.1900,104.4500,105.2900,105.2900,3482500,0.0000,1.0000
2019-10-23,105.3800,106.0700,104.8100,105.2200,105.2200,4543500,0.0000,1.0000
2019-10-22,106.9300,107.4100,104.2800,104.4900,104.4900,6141000,0.0000,1.0000
2019-10-21,108.4500,108.6100,106.4600,106.6200,106.6200,4169000,0.0000,1.0000
2019-10-18,108.4700,108.9100,107.9600,108.1200,108.1200,3155100,0.0000,1.0000
2019-10-17,108.6300,108.9800,108.0900,108.5100,108.5100,2332700,0.0000,1.0000
2019-10-16,108.1700,108.7400,107.4200,108.5000,108.5000,2986200,0.0000,1.0000
2019-10-15,108.1100,108.4800,107.5300,108.1900,108.1900,2720500,0.0000,1.0000
2019-10-14,107.9400,108.2100,107.3100,107.5700,107.5700,1906900,0.0000,1.0000
2019-10-11,108.5200,108.7400,107.4400,107.5800,107.5800,3652800,0.0000,1.0000
2019-10-10,105.8700,107.6100,105.7800,107.4200,107.4200,2797200,0.0000,1.0000
2019-10-09,105.8000,107.0200,105.4500,106.7500,106.7500,2901200,0.0000,1.0000
2019-10-08,106.5000,106.7400,105.0000,105.0100,105.0100,4633800,0.0000,1.0000
2019-10-07,107.9200,108.3600,107.1700,107.2600,107.2600,3991000,0.0000,1.0000
2019-10-04,107.5400,108.6500,107.3800,108.5600,108.5600,3421500,0.0000,1.0000
2019-10-03,105.8700,107.2600,105.2000,106.9300,106.9300,2955200,0.0000,1.0000
2019-10-02,108.1200,108.4500,105.2400,105.9400,105.9400,4413800,0.0000,1.0000
2019-10-01,108.8400,109.7000,108.0500,108.2200,108.2200,3539600,0.0000,1.0000
2019-09-30,107.6100,109.0600,107.4600,108.6200,108.6200,3627500,0.0000,1.0000
2019-09-27,107.9000,108.5200,106.5000,107.3200,107.3200,3111800,0.0000,1.0000
2019-09-26,107.9400,107.9800,106.2800,107.4000,107.4000,4042500,0.5400,1.0000
2019-09-25,109.5400,109.7600,106.7300,107.6200,107.0800,6715100,0.0000,1.0000
2019-09-24,111.1400,112.0500,109.4800,109.7600,109.2093,6023400,0.0000,1.0000
2019-09-23,110.7900,111.3800,110.7000,110.8400,110.2838,3268200,0.0000,1.0000
2019-09-20,111.4600,111.6000,110.6500,111.1800,110.6221,7342900,0.0000,1.0000
2019-09-19,110.3300,111.7300,110.1300,111.0100,110.4530,3646400,0.0000,1.0000
2019-09-18,109.5000,110.3200,108.8700,110.0000,109.4481,5486000,0.0000,1.0000
