timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,30.9600,31.1950,30.7600,31.0400,31.0400,3817913,0.0000,1.0000
2019-11-12,31.5000,31.5300,30.8700,30.9900,30.9900,4157900,0.0000,1.0000
2019-11-11,31.1700,31.5200,31.0000,31.4400,31.4400,4101600,0.0000,1.0000
2019-11-08,30.8300,31.4700,30.7800,31.4100,31.4100,5246900,0.0000,1.0000
2019-11-07,30.9500,31.1600,30.5400,30.8200,30.8200,6587600,0.0000,1.0000
2019-11-06,30.3900,30.6200,30.2100,30.5200,30.5200,6718400,0.0000,1.0000
2019-11-05,29.9900,30.5600,29.8500,30.3900,30.3900,7196900,0.0000,1.0000
2019-11-04,29.0200,29.8900,29.0200,29.7700,29.7700,6307400,0.0000,1.0000
2019-11-01,28.6900,28.8500,28.3500,28.8300,28.8300,4367700,0.0000,1.0000
2019-10-31,28.6200,29.3300,28.2700,28.5000,28.5000,5807100,0.0000,1.0000
2019-10-30,28.5400,28.8700,28.1000,28.6300,28.6300,6736700,0.0000,1.0000
2019-10-29,28.7300,28.7500,28.3600,28.5300,28.5300,3934300,0.0000,1.0000
2019-10-28,28.2000,28.5600,28.1700,28.5500,28.5500,4313800,0.0000,1.0000
2019-10-25,28.0900,28.5000,28.0600,28.1500,28.1500,3140100,0.0000,1.0000
2019-10-24,28.1300,28.3500,28.0500,28.2200,28.2200,3135600,0.0000,1.0000
2019-10-23,27.6700,28.2000,27.5100,28.0300,28.0300,3221400,0.0000,1.0000
2019-10-22,28.0900,28.1700,27.6800,27.7100,27.7100,3425200,0.0000,1.0000
2019-10-21,28.0800,28.1900,27.7000,28.0000,28.0000,3642500,0.0000,1.0000
2019-10-18,27.6000,28.0600,27.4200,27.8700,27.8700,5476500,0.0000,1.0000
2019-10-17,27.5700,27.8000,27.5100,27.6400,27.6400,5475700,0.0000,1.0000
2019-10-16,27.9400,27.9700,27.2300,27.4300,27.4300,8541000,0.0000,1.0000
2019-10-15,27.9800,28.1200,27.8600,27.8700,27.8700,7483100,0.0000,1.0000
2019-10-14,27.8100,27.9800,27.5800,27.9700,27.9700,5453200,0.0000,1.0000
2019-10-11,27.8900,28.3900,27.8500,28.0800,28.0800,5196900,0.0000,1.0000
2019-10-10,26.8600,27.6200,26.7200,27.4300,27.4300,5937500,0.0000,1.0000
2019-10-09,26.5300,27.0600,26.5300,26.8000,26.8000,2969800,0.0000,1.0000
2019-10-08,26.9800,27.1700,26.3000,26.3500,26.3500,4946000,0.0000,1.0000
2019-10-07,27.1500,27.4800,26.8700,27.2500,27.2500,4405300,0.0000,1.0000
2019-10-04,27.2800,27.4100,27.0000,27.2900,27.2900,2740100,0.0000,1.0000
2019-10-03,27.1000,27.3400,26.5000,27.2500,27.2500,5063200,0.0000,1.0000
2019-10-02,27.4800,27.6600,27.0800,27.1100,27.1100,7143600,0.0000,1.0000
2019-10-01,27.8900,28.2900,27.4200,27.6800,27.6800,4006900,0.0000,1.0000
2019-09-30,27.4000,27.9700,27.3200,27.7200,27.7200,4607300,0.0000,1.0000
2019-09-27,27.8700,28.1100,27.1700,27.2700,27.2700,4152400,0.0000,1.0000
2019-09-26,28.0900,28.1300,27.3200,27.6800,27.6800,5208000,0.0000,1.0000
2019-09-25,28.3500,28.4400,28.0300,28.2700,28.2700,2873200,0.0000,1.0000
2019-09-24,28.8400,28.9000,28.1500,28.4000,28.4000,5109100,0.0000,1.0000
2019-09-23,28.6300,28.9500,28.5100,28.6200,28.6200,3100700,0.0000,1.0000
2019-09-20,29.1300,29.3000,28.7200,28.8500,28.8500,6673000,0.0000,1.0000
2019-09-19,29.5500,29.7300,28.9900,29.0600,29.0600,3744800,0.0000,1.0000
2019-09-18,29.5500,29.7000,29.2500,29.5100,29.5100,5854600,0.0000,1.0000
2019-09-17,29.5400,29.7400,29.2500,29.6000,29.6000,5830500,0.0000,1.0000
2019-09-16,28.8500,30.5000,28.6300,29.6900,29.6900,13569500,0.0000,1.0000
2019-09-13,29.3200,29.5300,29.0300,29.0700,29.0700,4672800,0.0000,1.0000
2019-09-12,28.9300,29.2600,28.7500,29.1700,29.1700,8420700,0.0000,1.0000
2019-09-11,29.1200,29.2100,28.5700,28.7500,28.7500,5380700,0.0000,1.0000
2019-09-10,28.2900,28.8200,28.0300,28.8000,28.8000,9692500,0.0000,1.0000
2019-09-09,28.4600,28.8200,28.3700,28.4000,28.4000,6097800,0.1300,1.0000
2019-09-06,28.0300,28.5600,28.0200,28.3000,28.1700,5756100,0.0000,1.0000
2019-09-05,27.7700,28.3600,27.6400,27.9800,27.8515,9052900,0.0000,1.0000
2019-09-04,27.4800,27.7900,27.1000,27.4800,27.3538,10889100,0.0000,1.0000
2019-09-03,27.7000,27.7500,26.7900,27.0900,26.9656,7849800,0.0000,1.0000
2019-08-30,28.3400,28.4800,28.0000,28.0600,27.9311,4770900,0.0000,1.0000
2019-08-29,28.4300,28.6400,28.1200,28.1500,28.0207,3841300,0.0000,1.0000
2019-08-28,27.7300,28.2700,27.6200,28.1400,28.0107,3048600,0.0000,1.0000
2019-08-27,28.4500,28.5100,27.8300,27.8900,27.7619,3112000,0.0000,1.0000
2019-08-26,28.0900,28.1800,27.7700,28.0400,27.9112,3111300,0.0000,1.0000
2019-08-23,28.5000,28.6400,27.6200,27.7800,27.6524,4913400,0.0000,1.0000
2019-08-22,28.8000,29.0200,28.2900,28.5100,28.3790,3774100,0.0000,1.0000
2019-08-21,29.2000,29.2500,28.4800,28.5100,28.3790,2702500,0.0000,1.0000
2019-08-20,28.6200,28.9300,28.4400,28.8100,28.6777,2320100,0.0000,1.0000
2019-08-19,29.1500,29.1700,28.6800,28.7700,28.6378,5527900,0.0000,1.0000
2019-08-16,28.1700,28.4000,27.7100,28.3100,28.1800,4222100,0.0000,1.0000
2019-08-15,28.0200,28.1400,27.7100,27.9300,27.8017,3942400,0.0000,1.0000
2019-08-14,28.3300,28.4400,27.5900,27.7400,27.6126,6626700,0.0000,1.0000
2019-08-13,28.4600,29.6300,28.4200,28.8600,28.7274,4541000,0.0000,1.0000
2019-08-12,28.4500,28.6700,28.2900,28.4300,28.2994,3484800,0.0000,1.0000
2019-08-09,28.6800,29.0000,28.4700,28.8500,28.7175,3289600,0.0000,1.0000
2019-08-08,28.5000,28.9200,28.3800,28.9000,28.7672,4786800,0.0000,1.0000
2019-08-07,27.7100,28.3210,27.6000,28.2700,28.1401,5318600,0.0000,1.0000
2019-08-06,28.1900,28.5100,27.9400,28.2300,28.1003,5053900,0.0000,1.0000
2019-08-05,27.9000,28.1100,27.6600,27.9400,27.8117,7889900,0.0000,1.0000
2019-08-02,28.7900,29.3000,28.4100,28.6500,28.5184,5388200,0.0000,1.0000
2019-08-01,30.0000,30.4500,29.0400,29.4000,29.2649,6295000,0.0000,1.0000
2019-07-31,30.4300,30.4800,29.6400,30.0200,29.8821,4039100,0.0000,1.0000
2019-07-30,30.2200,30.6300,30.0500,30.5500,30.4097,5422000,0.0000,1.0000
2019-07-29,30.5300,30.6000,29.9500,30.4700,30.3300,5115600,0.0000,1.0000
2019-07-26,30.3500,31.6800,30.2100,30.4700,30.3300,12595700,0.0000,1.0000
2019-07-25,29.3729,29.6900,29.1300,29.3700,29.2351,5650900,0.0000,1.0000
2019-07-24,28.9100,29.7500,28.8900,29.7100,29.5735,6505300,0.0000,1.0000
2019-07-23,28.5700,29.3200,28.4700,29.2000,29.0659,6455600,0.0000,1.0000
2019-07-22,28.5906,28.6900,28.2700,28.3500,28.2198,5922200,0.0000,1.0000
2019-07-19,28.9600,29.0800,28.5700,28.5900,28.4587,3677900,0.0000,1.0000
2019-07-18,28.2400,28.9300,28.1200,28.7600,28.6279,6276100,0.0000,1.0000
2019-07-17,29.3400,29.3412,28.6800,28.8600,28.7274,4406600,0.0000,1.0000
2019-07-16,29.4300,29.6900,29.3100,29.4100,29.2749,3400700,0.0000,1.0000
2019-07-15,29.0200,29.5000,29.0200,29.3800,29.2450,3819100,0.0000,1.0000
2019-07-12,28.8000,29.0600,28.6800,29.0200,28.8867,4653400,0.0000,1.0000
2019-07-11,29.1000,29.3288,28.7400,28.7900,28.6578,4784300,0.0000,1.0000
2019-07-10,29.3000,29.4600,28.9500,29.1300,28.9962,5155500,0.0000,1.0000
2019-07-09,28.7200,29.2516,28.7000,29.2300,29.0957,4614200,0.0000,1.0000
2019-07-08,29.0300,29.1700,28.8400,28.9000,28.7672,4444300,0.0000,1.0000
2019-07-05,28.7300,29.2550,28.7000,29.2300,29.0957,4730500,0.0000,1.0000
2019-07-03,28.9400,29.1900,28.8000,28.8900,28.7573,2692500,0.0000,1.0000
2019-07-02,28.7100,28.9900,28.6650,28.8800,28.7473,4185100,0.0000,1.0000
2019-07-01,29.1700,29.3000,28.5300,28.6900,28.5582,7282500,0.0000,1.0000
2019-06-28,28.3200,28.5800,28.1200,28.5700,28.4388,5642500,0.0000,1.0000
2019-06-27,28.0000,28.5100,27.8800,28.4400,28.3094,4087800,0.0000,1.0000
2019-06-26,27.7828,28.1300,27.7800,27.8700,27.7420,5078100,0.0000,1.0000
2019-06-25,27.9100,28.0400,27.3010,27.6200,27.4931,5038200,0.0000,1.0000
2019-06-24,27.7200,28.5750,27.6900,27.9200,27.7917,6603700,0.0000,1.0000
2019-06-21,27.9300,28.1300,27.6900,27.7000,27.5728,5091900,0.0000,1.0000
2019-06-20,28.1800,28.5000,27.6700,28.0100,27.8813,5370700,0.0000,1.0000
2019-06-19,28.1800,28.2900,27.6150,27.7400,27.6126,5238900,0.0000,1.0000
2019-06-18,27.8300,28.5800,27.7300,28.2200,28.0904,5430000,0.0000,1.0000
2019-06-17,27.6700,27.8700,27.3600,27.5500,27.4234,3504600,0.0000,1.0000
2019-06-14,27.6800,27.7600,27.3400,27.6600,27.5329,4176700,0.0000,1.0000
2019-06-13,27.8800,28.0600,27.5700,27.7200,27.5927,4865400,0.0000,1.0000
2019-06-12,27.8700,28.0300,27.5200,27.7000,27.5728,4795800,0.0000,1.0000
2019-06-11,27.6500,28.1250,27.6500,27.9700,27.8415,7279900,0.0000,1.0000
2019-06-10,26.6300,27.8500,26.5400,27.4200,27.2940,7882300,0.0000,1.0000
2019-06-07,26.3285,26.6200,26.1300,26.2800,26.1593,7088500,0.1300,1.0000
2019-06-06,25.9501,26.6700,25.9100,26.4900,26.2389,8572000,0.0000,1.0000
2019-06-05,25.8500,26.0300,25.3697,25.9600,25.7139,7048400,0.0000,1.0000
2019-06-04,24.1800,25.6600,24.0450,25.6400,25.3970,8920600,0.0000,1.0000
2019-06-03,24.8500,24.9200,23.6800,23.8700,23.6437,10844400,0.0000,1.0000
2019-05-31,24.9200,25.2000,24.7800,24.8200,24.5847,6058600,0.0000,1.0000
2019-05-30,25.3600,25.5650,25.1045,25.3400,25.0998,3610700,0.0000,1.0000
2019-05-29,25.1600,25.5500,25.0000,25.3600,25.1196,5470900,0.0000,1.0000
2019-05-28,25.7600,25.8340,25.3200,25.3200,25.0800,3999800,0.0000,1.0000
2019-05-24,25.5000,25.6663,25.2900,25.5400,25.2979,2517000,0.0000,1.0000
2019-05-23,25.5300,25.6700,25.1300,25.3700,25.1295,3876200,0.0000,1.0000
2019-05-22,25.5900,26.0700,25.4900,25.8200,25.5753,4647400,0.0000,1.0000
2019-05-21,25.5100,26.0350,25.5000,25.7800,25.5356,4707000,0.0000,1.0000
2019-05-20,25.4700,25.4900,24.9350,25.3500,25.1097,7582800,0.0000,1.0000
2019-05-17,26.1528,26.4600,25.8100,25.8900,25.6446,7548900,0.0000,1.0000
2019-05-16,26.2200,26.6600,26.1700,26.5300,26.2785,8569500,0.0000,1.0000
2019-05-15,25.6900,26.3700,25.3700,26.1000,25.8526,5713600,0.0000,1.0000
2019-05-14,25.4700,26.0700,25.3100,25.9300,25.6842,6853300,0.0000,1.0000
2019-05-13,25.0400,25.5200,24.7500,25.3600,25.1196,10239600,0.0000,1.0000
2019-05-10,25.1600,25.7900,24.9900,25.6300,25.3871,7783100,0.0000,1.0000
2019-05-09,25.2000,25.7100,24.8500,25.5500,25.3078,8296200,0.0000,1.0000
2019-05-08,24.8200,25.7550,24.8150,25.6700,25.4267,11590300,0.0000,1.0000
2019-05-07,25.3900,25.3900,24.5800,24.8700,24.6343,6398200,0.0000,1.0000
2019-05-06,25.4000,25.6600,25.1195,25.5000,25.2583,6209000,0.0000,1.0000
2019-05-03,25.6994,26.0200,25.5400,25.9900,25.7437,7548400,0.0000,1.0000
2019-05-02,25.7900,26.1400,25.4050,25.6700,25.4267,9012900,0.0000,1.0000
2019-05-01,26.8000,26.9500,25.8100,25.8400,25.5951,8403600,0.0000,1.0000
2019-04-30,27.4400,27.7000,26.3800,26.6300,26.3776,17075400,0.0000,1.0000
2019-04-29,28.4400,28.7800,28.1700,28.6000,28.3289,9537800,0.0000,1.0000
2019-04-26,27.8700,28.5110,27.7500,28.3100,28.0417,5969800,0.0000,1.0000
2019-04-25,27.7000,27.8200,27.4600,27.7500,27.4870,4074000,0.0000,1.0000
2019-04-24,27.4300,27.9350,27.3700,27.7900,27.5266,4183300,0.0000,1.0000
2019-04-23,27.2297,27.5600,27.1700,27.5100,27.2492,3227900,0.0000,1.0000
2019-04-22,27.3300,27.3600,27.1050,27.2000,26.9422,3474500,0.0000,1.0000
2019-04-18,27.6100,27.7800,27.3000,27.5200,27.2592,4296300,0.0000,1.0000
2019-04-17,27.7000,27.9400,27.4900,27.5600,27.2988,5755200,0.0000,1.0000
2019-04-16,27.3100,27.5900,27.2200,27.4400,27.1799,9292200,0.0000,1.0000
2019-04-15,27.3500,27.4420,26.8600,27.2800,27.0214,4258900,0.0000,1.0000
2019-04-12,27.2500,27.6000,26.9900,27.3500,27.0908,5230400,0.0000,1.0000
2019-04-11,26.8000,27.0150,26.7050,26.9400,26.6846,3623800,0.0000,1.0000
2019-04-10,26.5000,26.8600,26.4200,26.6400,26.3875,5456500,0.0000,1.0000
2019-04-09,27.3300,27.3700,26.3900,26.4800,26.2290,7521000,0.0000,1.0000
2019-04-08,27.5000,27.6100,27.2800,27.5600,27.2988,4090500,0.0000,1.0000
2019-04-05,27.2500,27.6100,27.0900,27.4400,27.1799,5262800,0.0000,1.0000
2019-04-04,27.0500,27.1700,26.8800,27.1500,26.8927,4033400,0.0000,1.0000
2019-04-03,26.8300,27.3200,26.8000,27.0000,26.7441,8058300,0.0000,1.0000
2019-04-02,26.6400,26.8500,26.3800,26.7700,26.5163,4595100,0.0000,1.0000
2019-04-01,26.0500,26.7300,26.0300,26.5900,26.3380,8150700,0.0000,1.0000
2019-03-29,25.6900,26.0700,25.4900,25.6600,25.4168,7182100,0.0000,1.0000
2019-03-28,25.0200,25.8550,25.0200,25.4600,25.2187,8125000,0.0000,1.0000
2019-03-27,25.7500,25.7800,24.8550,25.0000,24.7630,8953500,0.0000,1.0000
2019-03-26,25.8500,26.1307,25.5600,25.7800,25.5356,5327100,0.0000,1.0000
2019-03-25,26.0400,26.4100,25.7250,25.7500,25.5059,6357700,0.0000,1.0000
2019-03-22,26.7000,26.7400,25.9673,26.0900,25.8427,5681400,0.0000,1.0000
2019-03-21,26.1116,26.9600,26.0900,26.9000,26.6450,6258200,0.0000,1.0000
