timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,147.9000,147.9000,145.6400,147.1100,147.1100,644750,0.0000,1.0000
2019-11-12,150.2600,151.0300,147.1900,148.9300,148.9300,749300,0.0000,1.0000
2019-11-11,150.8600,152.7200,149.6900,150.0600,150.0600,818300,0.0000,1.0000
2019-11-08,152.1400,152.6500,151.3100,152.0300,152.0300,817700,0.0000,1.0000
2019-11-07,151.0500,153.0500,150.4800,152.1200,152.1200,1036500,0.0000,1.0000
2019-11-06,148.4300,150.2200,146.7300,150.1700,150.1700,726100,0.0000,1.0000
2019-11-05,148.1500,149.7000,146.9100,148.7000,148.7000,910600,0.0000,1.0000
2019-11-04,144.2500,147.8800,143.7000,147.4300,147.4300,1043800,0.0000,1.0000
2019-11-01,143.6100,144.1900,142.0200,143.0300,143.0300,771300,0.0000,1.0000
2019-10-31,143.6000,143.6000,138.4400,143.3800,143.3800,928300,0.0000,1.0000
2019-10-30,143.7100,144.8000,141.4000,144.3300,144.3300,795400,0.0000,1.0000
2019-10-29,145.1500,145.9700,144.3200,144.6900,144.6900,835900,0.0000,1.0000
2019-10-28,145.7800,146.8400,144.1500,145.2000,145.2000,1604900,0.0000,1.0000
2019-10-25,137.6200,146.6600,136.0000,144.1300,144.1300,3327700,0.0000,1.0000
2019-10-24,127.8000,130.8100,127.1700,129.9200,129.9200,1472800,0.0000,1.0000
2019-10-23,126.2300,128.9800,125.5000,128.5000,128.5000,1042400,0.0000,1.0000
2019-10-22,126.1800,126.7900,125.2100,125.9000,125.9000,958600,0.0000,1.0000
2019-10-21,126.0000,126.9200,125.1600,125.8700,125.8700,824200,0.0000,1.0000
2019-10-18,124.6700,125.5400,123.1100,125.1700,125.1700,724300,0.0000,1.0000
2019-10-17,126.3000,126.8600,124.3700,125.0800,125.0800,536800,0.0000,1.0000
2019-10-16,125.4500,127.2900,125.1400,125.5500,125.5500,588200,0.0000,1.0000
2019-10-15,123.4900,125.6900,123.2900,125.0100,125.0100,508100,0.0000,1.0000
2019-10-14,121.5700,123.7700,120.7600,123.2600,123.2600,473500,0.0000,1.0000
2019-10-11,124.7200,126.3900,124.1000,124.4200,124.4200,664900,0.0000,1.0000
2019-10-10,123.5900,123.9200,122.9300,123.4100,123.4100,593900,0.0000,1.0000
2019-10-09,123.3600,123.4800,122.4600,123.1300,123.1300,635900,0.0000,1.0000
2019-10-08,122.9200,124.1200,121.6100,122.3100,122.3100,604900,0.0000,1.0000
2019-10-07,122.9100,126.0300,122.8700,124.0600,124.0600,1064700,0.0000,1.0000
2019-10-04,122.6400,124.1200,122.0000,124.0600,124.0600,648900,0.0000,1.0000
2019-10-03,119.3200,122.0700,118.9700,121.9500,121.9500,1053800,0.0000,1.0000
2019-10-02,120.4100,120.8600,117.5200,118.9800,118.9800,825100,0.0000,1.0000
2019-10-01,125.0300,126.1800,121.0900,121.2700,121.2700,531900,0.0000,1.0000
2019-09-30,123.8000,125.1700,123.7200,124.0700,124.0700,396100,0.0000,1.0000
2019-09-27,122.7800,124.7700,122.6800,123.5800,123.5800,540200,0.0000,1.0000
2019-09-26,122.2600,123.4000,121.3400,121.5200,121.5200,467000,0.0000,1.0000
2019-09-25,121.0100,122.4300,120.6100,122.2300,122.2300,603300,0.0000,1.0000
2019-09-24,121.7000,122.6000,119.8300,120.1400,120.1400,833600,0.0000,1.0000
2019-09-23,122.0700,123.5000,121.2800,121.7000,121.7000,580600,0.0000,1.0000
2019-09-20,124.5300,125.4800,122.5700,123.3900,123.3900,958000,0.0000,1.0000
