timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,254.7200,257.9400,252.5500,257.3900,257.3900,591705,0.0000,1.0000
2019-11-12,256.3500,258.3200,254.6600,255.2400,255.2400,458500,0.0000,1.0000
2019-11-11,255.5600,257.2600,254.6200,256.0200,256.0200,503900,0.0000,1.0000
2019-11-08,258.3300,258.9800,255.4400,256.9000,256.9000,605900,0.0000,1.0000
2019-11-07,256.7100,258.0900,254.2300,257.5500,257.5500,614300,0.0000,1.0000
2019-11-06,250.7600,257.1800,247.2500,256.6000,256.6000,720700,0.0000,1.0000
2019-11-05,261.0000,263.6300,251.4700,253.3000,253.3000,1541300,0.0000,1.0000
2019-11-04,264.5800,266.5900,259.6600,260.8600,260.8600,1344900,0.0000,1.0000
2019-11-01,263.6300,267.3500,261.3800,263.3500,263.3500,1010200,0.0000,1.0000
2019-10-31,267.9000,269.9500,260.6000,261.9100,261.9100,735600,0.0000,1.0000
2019-10-30,266.8100,268.6500,259.5000,266.8500,266.8500,743500,0.0000,1.0000
2019-10-29,274.0100,275.4400,263.5800,268.1600,268.1600,1088200,0.0000,1.0000
2019-10-28,269.6200,271.0000,267.6900,269.0500,269.0500,698400,0.0000,1.0000
2019-10-25,264.4500,272.0900,263.5100,268.3300,268.3300,605400,0.0000,1.0000
2019-10-24,265.5600,266.2200,264.2300,264.9000,264.9000,572100,0.0000,1.0000
2019-10-23,268.6100,269.8400,262.1700,264.0600,264.0600,559800,0.0000,1.0000
2019-10-22,268.2000,272.3900,267.2700,267.7100,267.7100,425100,0.0000,1.0000
2019-10-21,267.0900,271.3100,266.8900,268.6100,268.6100,424800,0.0000,1.0000
2019-10-18,265.9500,266.5800,263.1800,265.7800,265.7800,480600,0.0000,1.0000
2019-10-17,268.0000,270.8300,266.9800,267.0200,267.0200,316100,0.0000,1.0000
2019-10-16,266.3200,267.8100,265.0600,266.6500,266.6500,452400,0.0000,1.0000
2019-10-15,268.9800,270.1100,264.8100,265.8300,265.8300,475900,0.0000,1.0000
2019-10-14,265.5000,267.2300,265.1600,265.7200,265.7200,399200,0.0000,1.0000
2019-10-11,269.2300,270.3100,264.9300,265.4300,265.4300,491200,0.0000,1.0000
2019-10-10,266.1200,269.8700,265.0400,267.8700,267.8700,376700,0.0000,1.0000
2019-10-09,265.3100,267.6900,264.0400,266.1000,266.1000,448800,0.0000,1.0000
2019-10-08,260.4300,267.2500,258.9600,262.9500,262.9500,608200,0.0000,1.0000
2019-10-07,261.6000,264.1000,259.2400,262.1100,262.1100,732700,0.0000,1.0000
2019-10-04,261.0900,264.0000,259.3200,261.9300,261.9300,636100,0.0000,1.0000
2019-10-03,260.5100,261.5300,256.5200,259.7900,259.7900,612600,0.0000,1.0000
2019-10-02,266.1700,266.3200,259.0900,261.0200,261.0200,890200,0.0000,1.0000
2019-10-01,274.4100,275.9100,267.7900,268.0400,268.0400,622500,0.0000,1.0000
2019-09-30,271.2600,275.9900,271.2600,274.1000,274.1000,399000,0.0000,1.0000
2019-09-27,274.1000,274.6900,268.3700,270.7200,270.7200,345300,0.0000,1.0000
2019-09-26,270.4200,274.7800,268.9800,273.5900,273.5900,404800,0.0000,1.0000
2019-09-25,267.4300,270.8600,266.0100,270.6100,270.6100,403100,0.0000,1.0000
2019-09-24,267.2500,270.3700,267.2500,268.1800,268.1800,353900,0.0000,1.0000
2019-09-23,266.3200,269.9800,265.9100,266.8500,266.8500,341300,0.0000,1.0000
2019-09-20,269.3200,269.6900,263.6400,266.4100,266.4100,800100,0.0000,1.0000
2019-09-19,268.7400,271.5000,266.9000,268.6900,268.6900,401100,0.0000,1.0000
2019-09-18,266.4700,268.3400,263.7100,268.2400,268.2400,541000,0.0000,1.0000
2019-09-17,263.1700,269.2600,261.6100,267.2700,267.2700,512600,0.0000,1.0000
2019-09-16,263.1400,263.3200,260.2300,263.1900,263.1900,368400,0.0000,1.0000
2019-09-13,262.0900,264.3500,260.6400,264.0400,264.0400,327400,0.0000,1.0000
2019-09-12,259.5600,264.6600,259.2100,261.2700,261.2700,480400,0.0000,1.0000
2019-09-11,256.5900,258.4600,254.2800,258.4600,258.4600,423300,0.0000,1.0000
2019-09-10,252.1300,257.2400,247.2800,256.8200,256.8200,489300,0.0000,1.0000
2019-09-09,257.4200,257.5500,252.4600,253.1000,253.1000,533000,0.0000,1.0000
2019-09-06,255.1400,259.4800,254.8900,258.0300,258.0300,263400,0.0000,1.0000
2019-09-05,262.4700,263.0600,254.6100,255.7200,255.7200,617900,0.0000,1.0000
2019-09-04,263.0400,264.3900,260.4800,260.7000,260.7000,554600,0.0000,1.0000
2019-09-03,252.8700,261.5100,249.7900,261.0400,261.0400,887600,0.0000,1.0000
2019-08-30,254.4100,254.5300,251.8200,253.7700,253.7700,444300,0.5500,1.0000
2019-08-29,254.0800,256.3900,252.5100,253.2600,252.7100,605600,0.0000,1.0000
2019-08-28,250.6300,254.4500,248.5800,252.1700,251.6224,506700,0.0000,1.0000
2019-08-27,252.8500,254.2400,249.9100,250.2100,249.6666,439900,0.0000,1.0000
2019-08-26,253.0000,253.6100,248.6600,250.7600,250.2154,366200,0.0000,1.0000
2019-08-23,254.5900,258.3700,251.3200,252.3300,251.7820,544100,0.0000,1.0000
2019-08-22,253.0100,255.8600,251.6100,255.1100,254.5560,302200,0.0000,1.0000
2019-08-21,255.0000,256.4800,251.4500,253.2500,252.7000,715900,0.0000,1.0000
2019-08-20,255.4200,256.3100,252.2300,252.7100,252.1612,819600,0.0000,1.0000
2019-08-19,256.0000,257.5700,254.0000,255.3800,254.8254,456000,0.0000,1.0000
2019-08-16,251.6500,255.6818,247.7300,254.8400,254.2866,406200,0.0000,1.0000
2019-08-15,249.4800,251.7500,247.7300,250.0800,249.5369,422900,0.0000,1.0000
2019-08-14,248.8100,251.4600,247.3300,248.8400,248.2996,485800,0.0000,1.0000
2019-08-13,248.5600,252.8800,247.1400,251.4300,250.8840,421900,0.0000,1.0000
2019-08-12,248.6800,250.7400,247.0900,248.5500,247.9603,358800,0.0000,1.0000
2019-08-09,250.7400,252.9100,247.9100,249.4100,248.8684,317800,0.0000,1.0000
