timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,170.1100,171.3900,169.5800,170.5500,170.5500,1585732,0.0000,1.0000
2019-11-12,170.3600,172.0700,170.0300,170.8400,170.8400,1740400,0.0000,1.0000
2019-11-11,172.5000,172.5000,169.6500,170.1100,170.1100,2664300,0.0000,1.0000
2019-11-08,174.5800,174.8700,172.1100,173.1500,173.1500,1615600,0.0000,1.0000
2019-11-07,175.7300,176.7100,173.7900,174.5200,174.5200,3358800,0.0000,1.0000
2019-11-06,174.9100,175.0000,172.3600,174.0000,174.0000,3012900,0.0000,1.0000
2019-11-05,175.0000,175.4600,173.7700,175.2700,175.2700,2304300,0.0000,1.0000
2019-11-04,171.6200,175.0000,171.6200,174.9000,174.9000,4142800,0.0000,1.0000
2019-11-01,166.9400,170.1500,166.7200,170.0900,170.0900,2467400,0.0000,1.0000
2019-10-31,168.5100,168.5600,163.5500,164.9900,164.9900,2653100,0.0000,1.0000
2019-10-30,168.2300,168.5700,167.0300,168.3700,168.3700,1780100,0.0000,1.0000
2019-10-29,168.0300,169.9500,167.5100,168.8100,168.8100,2669200,0.0000,1.0000
2019-10-28,166.4800,169.7100,166.2000,169.0600,169.0600,3138000,0.0000,1.0000
2019-10-25,162.5100,167.6300,162.1300,166.0900,166.0900,3104700,0.0000,1.0000
2019-10-24,165.1600,165.2500,159.6300,161.8900,161.8900,5953300,0.0000,1.0000
2019-10-23,167.4100,168.7600,166.5600,168.7600,168.7600,2712300,0.0000,1.0000
2019-10-22,166.2700,168.9100,165.1000,167.5400,167.5400,2064000,0.0000,1.0000
2019-10-21,165.4700,166.1500,164.7600,165.9400,165.9400,1998600,0.0000,1.0000
2019-10-18,163.5600,164.2700,162.9800,163.1000,163.1000,2693700,0.0000,1.0000
2019-10-17,163.1400,165.4900,163.0800,163.5400,163.5400,1944600,0.0000,1.0000
2019-10-16,163.1000,164.2000,162.1200,162.1800,162.1800,1935200,0.0000,1.0000
2019-10-15,159.3500,164.0200,159.3500,162.9800,162.9800,3098600,0.0000,1.0000
2019-10-14,158.0400,162.3900,157.3400,160.5100,160.5100,3269800,0.0000,1.0000
2019-10-11,154.1300,159.6000,154.1100,158.1000,158.1000,4670200,0.0000,1.0000
2019-10-10,150.9500,153.0900,150.8700,152.3100,152.3100,3192000,0.0000,1.0000
2019-10-09,152.3400,152.4400,150.7900,150.9900,150.9900,3358600,0.0000,1.0000
2019-10-08,152.3300,152.8000,150.5800,150.7400,150.7400,2781800,0.0000,1.0000
2019-10-07,155.0000,155.3500,153.5200,153.5200,153.5200,2471200,0.0000,1.0000
2019-10-04,155.2300,156.0500,154.4000,155.8200,155.8200,2646400,0.0000,1.0000
2019-10-03,155.1400,155.4600,150.8100,155.2300,155.2300,3025700,0.0000,1.0000
2019-10-02,157.0600,157.2200,154.6300,155.6500,155.6500,2972300,0.0000,1.0000
2019-10-01,165.0000,165.2100,158.1700,158.3800,158.3800,3271500,0.0000,1.0000
2019-09-30,165.2100,165.5700,163.9400,164.4000,164.4000,2508500,0.0000,1.0000
2019-09-27,164.4800,165.6400,163.5200,164.5300,164.5300,2870300,0.0000,1.0000
2019-09-26,164.0000,164.4100,162.8000,163.8300,163.8300,2763300,0.0000,1.0000
2019-09-25,164.7600,164.9800,163.6900,164.0000,164.0000,2758200,0.0000,1.0000
2019-09-24,167.0500,167.5500,164.1600,164.7400,164.7400,2986800,0.0000,1.0000
2019-09-23,165.4900,167.4300,164.5000,166.7600,166.7600,1938600,0.0000,1.0000
2019-09-20,167.4300,169.1700,166.4800,166.7600,166.7600,3698900,0.0000,1.0000
2019-09-19,167.3900,168.8100,166.9100,167.0700,167.0700,1623000,0.0000,1.0000
2019-09-18,167.6100,168.0500,165.2500,167.4400,167.4400,2096700,0.0000,1.0000
2019-09-17,167.7600,168.5700,166.5000,168.0700,168.0700,2716400,0.0000,1.0000
2019-09-16,171.2100,171.2100,167.9100,169.6700,169.6700,2459300,0.0000,1.0000
2019-09-13,170.5900,172.4800,169.8600,171.4400,171.4400,2534200,0.0000,1.0000
2019-09-12,169.6200,171.8500,168.6100,170.5800,170.5800,2870400,0.0000,1.0000
2019-09-11,169.8600,169.8900,165.3700,168.0800,168.0800,3579100,0.0000,1.0000
2019-09-10,166.1600,169.1000,166.0100,168.8600,168.8600,3240200,0.0000,1.0000
2019-09-09,165.0000,167.8500,164.6900,165.9400,165.9400,3091300,0.0000,1.0000
2019-09-06,164.6400,164.8800,162.9500,163.9400,163.9400,1762300,0.0000,1.0000
2019-09-05,162.5000,166.4100,162.3900,164.2300,164.2300,2421400,0.0000,1.0000
2019-09-04,159.8300,160.6300,158.9900,160.0700,160.0700,1506600,0.0000,1.0000
2019-09-03,161.4000,161.6300,157.2600,158.6400,158.6400,1835800,0.0000,1.0000
2019-08-30,161.5700,162.1500,160.4100,161.7200,161.7200,1967000,0.0000,1.0000
2019-08-29,159.3000,161.0300,159.0500,160.3600,160.3600,3170500,0.0000,1.0000
2019-08-28,155.1000,157.7800,154.0000,157.5500,157.5500,2346900,0.0000,1.0000
2019-08-27,157.3300,157.4800,155.4000,155.7500,155.7500,2281100,0.0000,1.0000
2019-08-26,157.0100,157.4700,155.0800,156.1200,156.1200,2215300,0.0000,1.0000
2019-08-23,160.0800,160.3500,155.2700,155.8500,155.8500,4223900,0.0000,1.0000
2019-08-22,162.0000,162.9300,160.1500,160.8800,160.8800,1441600,0.0000,1.0000
2019-08-21,162.6900,163.6500,161.0500,161.1500,161.1500,1623600,0.0000,1.0000
2019-08-20,163.1100,163.1100,160.9600,161.0100,161.0100,2061700,0.0000,1.0000
2019-08-19,163.7100,163.9500,161.7800,162.9500,162.9500,3198000,0.0000,1.0000
2019-08-16,157.8400,161.9100,155.6300,161.5000,161.5000,3481800,0.0000,1.0000
2019-08-15,158.0600,159.7000,155.6300,156.8400,156.8400,4452700,1.4400,1.0000
2019-08-14,162.5000,162.8700,158.6700,158.8100,157.3700,4056100,0.0000,1.0000
2019-08-13,162.5600,167.8800,162.1500,164.8800,163.3850,3244600,0.0000,1.0000
2019-08-12,163.0200,164.7800,161.5500,162.1000,160.6302,1473800,0.0000,1.0000
2019-08-09,164.5400,164.7500,162.0300,163.4700,161.9877,1582100,0.0000,1.0000
2019-08-08,164.3700,165.4900,163.5500,164.2200,162.7310,3260100,0.0000,1.0000
2019-08-07,162.0000,163.9500,158.0340,163.6400,162.1562,5993200,0.0000,1.0000
2019-08-06,164.8200,165.4800,162.9050,163.7100,162.2256,3494800,0.0000,1.0000
2019-08-05,168.9500,169.0200,164.4200,164.7100,163.2165,2894700,0.0000,1.0000
2019-08-02,172.8551,172.9200,169.8100,170.5500,169.0036,2423100,0.0000,1.0000
2019-08-01,174.7958,177.6700,173.0300,173.3600,171.7881,2381200,0.0000,1.0000
2019-07-31,177.6500,178.0200,173.4000,174.7200,173.1357,3015800,0.0000,1.0000
2019-07-30,175.6600,177.8100,173.8000,177.6300,176.0194,1978900,0.0000,1.0000
2019-07-29,173.8328,177.6200,173.6600,176.7600,175.1572,2638900,0.0000,1.0000
2019-07-26,177.6300,178.3900,170.5700,173.9800,172.4025,4016100,0.0000,1.0000
2019-07-25,187.0100,187.7200,176.6600,178.1300,176.5148,7362000,0.0000,1.0000
2019-07-24,176.9300,180.2900,176.2676,179.4200,177.7931,3532300,0.0000,1.0000
2019-07-23,176.0000,178.0200,175.6500,177.5200,175.9104,2360700,0.0000,1.0000
2019-07-22,172.8100,175.2100,172.1300,174.6400,173.0565,2004400,0.0000,1.0000
2019-07-19,172.9976,173.9900,172.2100,172.6100,171.0449,2360300,0.0000,1.0000
2019-07-18,174.4055,175.1400,172.4000,173.0600,171.4908,2221800,0.0000,1.0000
2019-07-17,176.3500,176.4900,174.1000,174.6700,173.0862,2947400,0.0000,1.0000
2019-07-16,172.7500,177.2500,172.7200,176.4900,174.8897,3918900,0.0000,1.0000
2019-07-15,173.3800,174.2500,171.2100,172.8400,171.2728,2187500,0.0000,1.0000
2019-07-12,170.1000,173.3600,169.2500,173.3400,171.7682,3160700,0.0000,1.0000
2019-07-11,166.3000,169.0900,165.8700,169.0400,167.5072,2814800,0.0000,1.0000
2019-07-10,166.1900,167.3200,165.5700,165.7000,164.1975,2661700,0.0000,1.0000
2019-07-09,166.8200,167.4500,164.2900,165.7000,164.1975,4536100,0.0000,1.0000
2019-07-08,169.9200,170.4800,168.7693,169.1900,167.6559,2285300,0.0000,1.0000
2019-07-05,173.0000,173.2800,169.7250,172.0000,170.4404,1740500,0.0000,1.0000
2019-07-03,174.1700,175.0400,172.9300,174.9800,173.3934,1170700,0.0000,1.0000
2019-07-02,175.1000,175.1000,173.0700,174.0200,172.4421,1555400,0.0000,1.0000
2019-07-01,175.4600,175.7800,173.5200,174.5100,172.9276,2106700,0.0000,1.0000
2019-06-28,171.8500,174.3700,171.7700,173.3400,171.7682,3600800,0.0000,1.0000
2019-06-27,172.5100,172.7900,170.6500,171.5000,169.9449,1718500,0.0000,1.0000
2019-06-26,172.3412,173.2400,171.7190,171.8800,170.3215,1812200,0.0000,1.0000
2019-06-25,173.2500,173.3900,171.2750,172.0300,170.4701,2733200,0.0000,1.0000
2019-06-24,173.3500,174.3400,173.3400,173.3800,171.8079,2711900,0.0000,1.0000
2019-06-21,173.7500,174.5600,172.6300,173.3500,171.7782,4880800,0.0000,1.0000
2019-06-20,172.8700,174.2870,171.7000,173.9400,172.3628,3064200,0.0000,1.0000
2019-06-19,171.8800,172.8100,170.5460,170.7500,169.2017,2777400,0.0000,1.0000
2019-06-18,167.8500,172.2670,167.5700,171.8600,170.3017,3623000,0.0000,1.0000
2019-06-17,167.1000,167.4300,166.4570,166.7800,165.2677,1783300,0.0000,1.0000
2019-06-14,168.2560,168.2500,166.0500,166.6900,165.1786,2719200,0.0000,1.0000
2019-06-13,169.3600,169.9000,167.8700,168.8500,167.3190,2141500,0.0000,1.0000
2019-06-12,169.8793,170.1500,168.5900,169.0100,167.4775,2166400,0.0000,1.0000
2019-06-11,169.9100,170.3600,168.5000,168.9100,167.3784,2227200,0.0000,1.0000
2019-06-10,168.1100,170.2200,167.8700,168.2900,166.7640,2257600,0.0000,1.0000
2019-06-07,165.5600,167.0900,164.6400,166.6100,165.0993,2017700,0.0000,1.0000
2019-06-06,164.0000,166.3500,162.4600,164.7200,163.2264,3581800,0.0000,1.0000
2019-06-05,165.1400,165.8300,162.8800,163.8500,162.3643,3161600,0.0000,1.0000
2019-06-04,161.7300,165.0900,161.5800,164.2900,162.8003,3746800,0.0000,1.0000
2019-06-03,159.7500,161.5000,159.3200,160.0400,158.5888,3726500,0.0000,1.0000
2019-05-31,159.8418,160.7400,159.6300,159.7500,158.3015,3521900,0.0000,1.0000
2019-05-30,161.4000,162.2700,160.0000,160.5800,159.1240,2478700,0.0000,1.0000
2019-05-29,163.0100,163.8028,160.5000,161.4000,159.9365,3669000,0.0000,1.0000
2019-05-28,166.8000,166.9900,163.3500,163.3500,161.8689,4875100,0.0000,1.0000
2019-05-24,166.3400,167.4168,165.3200,166.0900,164.5840,2366900,0.0000,1.0000
2019-05-23,167.5800,168.3000,164.5850,165.8700,164.3660,3830200,1.4400,1.0000
2019-05-22,167.4300,170.7600,166.4600,169.7400,166.7740,4504200,0.0000,1.0000
2019-05-21,167.0100,167.4200,166.1800,167.3000,164.3766,4148200,0.0000,1.0000
2019-05-20,167.9600,167.9600,165.6100,166.2500,163.3449,4374600,0.0000,1.0000
2019-05-17,170.0000,170.2600,168.4300,169.0900,166.1353,4595000,0.0000,1.0000
2019-05-16,174.3900,174.3842,171.3600,171.8100,168.8078,4039500,0.0000,1.0000
