timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-11-13,84.5500,85.1100,84.1100,84.8200,84.8200,6079697,0.0000,1.0000
2019-11-12,83.5800,84.8200,83.5800,84.1200,84.1200,8222000,0.0000,1.0000
2019-11-11,83.1600,83.6400,82.9600,83.2800,83.2800,3554600,0.0000,1.0000
2019-11-08,82.9100,83.7100,82.7100,83.5900,83.5900,6348400,0.0000,1.0000
2019-11-07,83.2300,83.9900,82.6700,82.8800,82.8800,8827600,0.0000,1.0000
2019-11-06,83.5600,83.9600,83.1300,83.2500,83.2500,9289400,0.0000,1.0000
2019-11-05,83.6700,83.7500,82.7300,82.9200,82.9200,9482800,0.0000,1.0000
2019-11-04,85.5900,85.7000,83.8800,83.9000,83.9000,8537400,0.0000,1.0000
2019-11-01,87.0700,87.2400,84.7900,84.9400,84.9400,8855900,0.0000,1.0000
2019-10-31,86.1000,86.9900,85.5100,86.6600,86.6600,11850600,0.0000,1.0000
2019-10-30,85.0000,86.4900,84.3200,86.2200,86.2200,9567600,0.0000,1.0000
2019-10-29,84.0500,85.7700,82.7000,85.1000,85.1000,16575100,0.0000,1.0000
2019-10-28,82.7300,83.4700,80.3400,82.2000,82.2000,14845100,0.0000,1.0000
2019-10-25,82.2700,82.8500,82.0300,82.2600,82.2600,7508000,0.0000,1.0000
2019-10-24,83.1100,83.6400,82.0400,82.5800,82.5800,4993100,0.0000,1.0000
2019-10-23,81.2900,82.8700,81.1600,82.8700,82.8700,8122100,0.0000,1.0000
2019-10-22,82.0000,82.6800,80.2500,81.3000,81.3000,17775800,0.0000,1.0000
2019-10-21,84.9700,85.0600,84.0800,84.5200,84.5200,5107000,0.0000,1.0000
2019-10-18,83.7100,84.9100,83.6600,84.6800,84.6800,7522000,0.0000,1.0000
2019-10-17,84.4200,84.6500,83.7400,83.8000,83.8000,6849700,0.0000,1.0000
2019-10-16,85.0600,85.0900,84.4200,84.4500,84.4500,5425700,0.0000,1.0000
2019-10-15,84.9000,85.1000,84.5900,85.0400,85.0400,4966700,0.0000,1.0000
2019-10-14,84.3700,85.1100,84.2900,84.6900,84.6900,5260700,0.0000,1.0000
2019-10-11,84.3000,85.4400,84.2600,84.3400,84.3400,5944300,0.0000,1.0000
2019-10-10,84.1400,84.8500,83.5900,83.7600,83.7600,8187300,0.0000,1.0000
2019-10-09,84.1700,84.4900,83.5300,84.1800,84.1800,4447400,0.0000,1.0000
2019-10-08,83.7900,84.4100,83.0800,83.2900,83.2900,6122800,0.0000,1.0000
2019-10-07,85.0300,85.1100,83.9500,84.3900,84.3900,4853200,0.0000,1.0000
2019-10-04,83.4200,85.1200,83.1600,85.0000,85.0000,7160800,0.0000,1.0000
2019-10-03,81.9300,82.8800,81.6300,82.7400,82.7400,5524900,0.0000,1.0000
2019-10-02,83.0700,83.2100,80.5400,81.6200,81.6200,8361100,0.0000,1.0000
2019-10-01,84.1800,84.6000,83.5400,83.6100,83.6100,6727100,0.0000,1.0000
2019-09-30,83.2100,85.1000,83.2100,84.1800,84.1800,9357800,0.0000,1.0000
2019-09-27,83.8800,83.9900,82.5800,82.9100,82.9100,7468600,0.0000,1.0000
2019-09-26,83.6200,84.0900,83.0400,83.8800,83.8800,7733700,0.0000,1.0000
2019-09-25,83.4700,84.0300,82.9500,83.1000,83.1000,6957000,0.0000,1.0000
2019-09-24,84.5500,84.8800,83.3900,83.6000,83.6000,8947600,0.0000,1.0000
2019-09-23,84.9100,85.2200,84.3400,84.3600,84.3600,8501500,0.0000,1.0000
2019-09-20,84.7400,85.8700,84.3200,85.1600,85.1600,22548900,0.0000,1.0000
2019-09-19,83.0200,84.3000,82.8800,83.9700,83.9700,6605700,0.0000,1.0000
2019-09-18,82.6700,83.2800,82.3800,83.0200,83.0200,6625700,0.0000,1.0000
2019-09-17,82.1300,83.5000,82.1300,82.5100,82.5100,7037600,0.0000,1.0000
2019-09-16,82.4500,82.4500,81.6900,82.0300,82.0300,5907700,0.0000,1.0000
2019-09-13,82.9700,83.5700,82.1200,82.6100,82.6100,7177000,0.5500,1.0000
2019-09-12,83.4800,84.0800,82.7900,83.3100,82.7600,8031200,0.0000,1.0000
2019-09-11,81.8600,83.1100,81.6200,82.9200,82.3726,10116600,0.0000,1.0000
2019-09-10,82.3900,82.3900,78.8500,81.6900,81.1507,17259000,0.0000,1.0000
2019-09-09,86.5000,86.5200,82.9200,83.4700,82.9189,11489300,0.0000,1.0000
2019-09-06,86.5400,86.9300,86.3100,86.5700,85.9985,6724900,0.0000,1.0000
2019-09-05,86.6400,86.6600,85.5000,86.1000,85.5316,7180300,0.0000,1.0000
2019-09-04,87.1400,87.1700,85.4200,86.0500,85.4819,7507700,0.0000,1.0000
2019-09-03,86.2400,87.0100,86.0400,86.6500,86.0779,6389200,0.0000,1.0000
2019-08-30,87.1200,87.2200,86.1700,86.4700,85.8991,6483900,0.0000,1.0000
2019-08-29,87.0700,87.3500,86.1800,86.7200,86.1475,6031500,0.0000,1.0000
2019-08-28,85.2600,86.5700,85.0400,86.4800,85.9091,5877800,0.0000,1.0000
2019-08-27,86.4200,86.9200,85.4500,85.5200,84.9554,6228100,0.0000,1.0000
2019-08-26,85.3800,85.9000,85.0800,85.8800,85.3130,5765100,0.0000,1.0000
2019-08-23,86.2200,86.9400,84.4800,84.9400,84.3792,10122800,0.0000,1.0000
2019-08-22,86.7500,87.2000,86.2500,86.7200,86.1475,6287000,0.0000,1.0000
2019-08-21,86.2900,87.2500,86.1300,86.9100,86.3362,6189000,0.0000,1.0000
2019-08-20,86.0100,86.7300,85.5800,85.6500,85.0845,5893700,0.0000,1.0000
2019-08-19,85.5900,86.5300,85.4500,86.1900,85.6210,7304600,0.0000,1.0000
2019-08-16,84.4500,85.3614,82.8900,85.0600,84.4984,8736900,0.0000,1.0000
2019-08-15,83.5200,83.8500,82.8918,83.4600,82.9090,9106500,0.0000,1.0000
2019-08-14,85.3700,85.8400,83.3500,83.4000,82.8494,10888500,0.0000,1.0000
2019-08-13,85.4600,86.7900,85.4600,86.0800,85.5117,8028300,0.0000,1.0000
2019-08-12,85.2300,85.9274,84.5200,85.7300,84.4587,8360600,0.0000,1.0000
2019-08-09,85.1000,86.1050,84.7100,85.5200,84.9554,8557500,0.0000,1.0000
2019-08-08,84.7500,85.0500,84.3200,84.7300,84.1706,8301300,0.0000,1.0000
2019-08-07,84.2100,84.6900,82.8000,84.2500,83.6938,10982500,0.0000,1.0000
2019-08-06,83.1200,84.4800,83.1000,84.3500,83.7931,10520300,0.0000,1.0000
2019-08-05,83.8500,84.3400,82.1600,83.1200,82.5713,11341200,0.0000,1.0000
2019-08-02,83.8813,84.7700,83.5500,84.4700,83.9123,10413900,0.0000,1.0000
2019-08-01,83.0600,84.5000,82.6400,83.6900,83.1375,10066800,0.0000,1.0000
2019-07-31,82.9000,84.6500,82.8400,82.9900,82.4421,11873500,0.0000,1.0000
2019-07-30,83.9900,85.1700,82.8118,83.2700,82.7203,13632600,0.0000,1.0000
2019-07-29,82.1000,82.8000,81.6100,82.4900,81.9454,10614200,0.0000,1.0000
2019-07-26,81.5800,81.6300,80.9100,81.4300,80.8924,7289100,0.0000,1.0000
